"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012
Ativo Total,98.738.979,96.905.535,94.126.137,95.691.039,90.921.361,82.378.940,86.851.994,83.020.423,84.124.008,80.733.946,83.841.417,79.110.193,76.656.714,80.248.013,90.176.233,88.043.176,74.436.157,75.101.184,72.143.200,65.125.921,62.989.046,63.297.044,68.674.015,59.618.976,58.739.270,1.340.374,1.346.301
Ativo Circulante,27.356.035,26.194.137,25.329.605,26.200.021,26.409.116,21.560.551,24.718.072,22.230.596,23.042.849,21.297.373,23.886.852,19.990.968,18.561.516,19.074.488,28.314.489,23.835.351,18.360.257,19.241.015,20.728.420,15.446.576,15.773.269,16.352.306,20.470.012,12.478.374,12.057.052,77.552,71.641
Caixa e Equivalentes de Caixa AC,14.233.403,12.822.525,11.463.498,12.227.669,10.619.955,7.953.477,10.354.527,8.340.688,8.757.342,7.230.261,7.876.849,7.285.217,5.729.655,6.007.322,13.620.161,9.680.857,6.899.779,6.974.585,9.722.067,5.748.116,6.273.862,7.296.176,11.285.833,4.835.170,4.482.175,74.204,48.155
Aplicações Financeiras AC,14.038,13.772,13.391,13.008,12.618,12.229,11.883,7.820,8.770,9.903,282.771,274.577,263.893,209.067,215.106,718.737,776.569,1.033.758,712.958,526.789,379.938,410.173,288.604,612.489,486.133,0,0
Contas a Receber AC,4.103.118,3.980.360,4.879.256,4.285.633,4.412.722,3.537.112,4.944.831,3.767.773,3.572.196,3.267.374,4.368.059,3.793.336,3.445.761,3.146.114,4.165.670,3.547.086,2.850.365,2.897.700,3.028.854,3.275.641,3.538.384,3.110.085,3.613.506,2.747.850,2.783.139,3.105,21.490
Estoques AC,6.197.565,6.032.744,5.401.793,5.349.087,4.933.282,4.725.117,4.318.973,4.373.394,4.663.951,4.510.324,4.347.052,4.275.809,4.403.950,4.896.059,4.338.172,4.521.418,4.078.682,4.377.889,3.411.284,3.158.975,3.120.458,3.062.296,2.795.490,2.586.540,2.726.250,0,0
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,1.542.556,1.980.342,2.148.714,2.215.027,4.103.034,3.675.051,3.370.541,4.432.784,4.529.139,4.968.560,5.423.310,3.183.207,3.232.647,3.179.339,3.194.972,1.290.410,1.436.563,1.394.295,1.581.908,1.706.011,1.510.419,1.420.520,1.397.004,850.674,739.122,243,1.996
Despesas Antecipadas AC,507.216,591.274,741.222,439.839,718.994,751.004,771.499,604.183,796.164,719.635,771.257,688.917,703.987,748.560,1.017.140,825.520,630.522,701.362,781.603,539.432,553.012,682.212,787.333,593.453,627.320,0,0
Outros Ativos Circulantes AC,758.141,773.121,681.731,1.669.756,1.608.510,906.562,945.819,703.954,715.286,591.317,817.553,489.904,781.624,888.026,1.763.268,3.251.325,1.687.776,1.861.428,1.489.747,491.612,397.196,370.844,302.243,252.198,212.913,0,0
