Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,13.239999771118164,10.239999771118164,10.289999961853027,12.25,254733366.66666666,8.567636013031006,24133556.0,3693866.0,46276.0,3425721.0,58482.0,0.0,0.0,130809.0,19367.0,13211.0,727560.0,526843.0,0.0,0.0,0.0,0.0,103474.0,0.0,0.0,97243.0,2946036.0,328700.0,16437393.0,0.0,24133556.0,1610382.0,0.0,18907.0,30241.0,16537.0,0.0,3530.0,1541167.0,0.0,0.0,2898757.0,1234067.0,0.0,0.0,1605870.0,0.0,58820.0,0.0,0.0,16186.0,19608229.0,2540239.0,15540751.0,22093.0,817363.0,393017.0,294767.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,14.4399995803833,12.0,12.100000381469727,14.0,210865000.0,9.997758229573568,24147114.0,3536282.0,43642.0,3233361.0,56849.0,0.0,0.0,180458.0,17831.0,4141.0,808868.0,573636.0,0.0,0.0,0.0,0.0,132286.0,2924.0,0.0,100022.0,2928820.0,360993.0,16512151.0,0.0,24147114.0,1660609.0,0.0,60562.0,30922.0,36882.0,0.0,1845.0,1530398.0,0.0,0.0,3072623.0,1242239.0,0.0,0.0,1739644.0,0.0,90740.0,0.0,0.0,15964.0,19397919.0,2540239.0,15552749.0,21946.0,966587.0,0.0,316397.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,14.350000381469727,12.800000190734863,14.0,13.489999771118164,208109200.0,10.285194079081217,24458533.0,4011737.0,32774.0,3705481.0,60285.0,0.0,0.0,186444.0,16239.0,10514.0,659205.0,430801.0,0.0,0.0,0.0,0.0,123539.0,2008.0,0.0,102857.0,2900763.0,354963.0,16531864.0,0.0,24458533.0,1566030.0,0.0,42750.0,25929.0,16369.0,0.0,1805.0,1479177.0,0.0,0.0,3203089.0,1224341.0,0.0,0.0,1878559.0,0.0,100189.0,0.0,0.0,15707.0,19673706.0,2540239.0,15585764.0,21800.0,966587.0,267121.0,292195.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,14.630000114440918,11.279999732971191,13.619999885559082,12.319999694824219,293262800.0,10.261946678161621,24690184.0,3538984.0,187630.0,3093569.0,59680.0,0.0,0.0,157299.0,17302.0,23504.0,922764.0,651239.0,0.0,0.0,0.0,0.0,164990.0,1500.0,0.0,105035.0,3235429.0,363197.0,16629809.0,0.0,24690184.0,1735295.0,0.0,31931.0,29910.0,39552.0,0.0,2166.0,1631736.0,0.0,0.0,3517244.0,1348120.0,0.0,47688.0,2017425.0,0.0,104011.0,0.0,0.0,15680.0,19421964.0,2540239.0,15347881.0,21653.0,577884.0,404523.0,529784.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,13.359999656677246,11.130000114440918,12.229999542236328,12.380000114440918,246597100.0,9.467448870340982,25292073.0,3940868.0,754683.0,2978625.0,53970.0,0.0,0.0,118639.0,17793.0,17158.0,1040334.0,764524.0,0.0,0.0,0.0,0.0,166894.0,992.0,0.0,107924.0,3270048.0,391755.0,16649066.0,0.0,25292073.0,2287149.0,0.0,46022.0,25875.0,18237.0,0.0,1515.0,2195500.0,0.0,0.0,3667331.0,1357043.0,0.0,47998.0,2156618.0,0.0,105672.0,0.0,0.0,15789.0,19321804.0,2540239.0,15228100.0,21507.0,577884.0,405576.0,548496.0,0.0,0.0,0.0
4Q2013,2013,12,Bad,13.199999809265137,10.4399995803833,12.569999694824219,11.0600004196167,200635200.0,9.33198610941569,25896661.0,4319483.0,1196589.0,2853393.0,54227.0,0.0,0.0,120396.0,15606.0,79272.0,1135424.0,820778.0,0.0,0.0,0.0,0.0,203037.0,744.0,0.0,110865.0,3346277.0,423150.0,16672325.0,0.0,25896661.0,2710846.0,0.0,45474.0,27412.0,42129.0,0.0,1428.0,2594403.0,0.0,0.0,3886921.0,1426193.0,0.0,50422.0,2295774.0,0.0,114532.0,0.0,0.0,14663.0,19284229.0,2540239.0,15101655.0,21360.0,940476.0,0.0,0.0,0.0,680499.0,0.0
1Q2014,2014,3,Bad,11.300000190734863,9.100000381469727,11.0600004196167,11.25,251980666.66666666,8.189769903818766,26000204.0,4425023.0,1319604.0,2878254.0,55555.0,0.0,0.0,138040.0,16255.0,17315.0,1195472.0,879987.0,0.0,0.0,0.0,0.0,201419.0,496.0,0.0,113570.0,3248716.0,431910.0,16699082.0,0.0,26000204.0,3142494.0,0.0,40199.0,23885.0,18491.0,0.0,147128.0,2912791.0,0.0,0.0,3985969.0,1377764.0,0.0,48708.0,2436635.0,0.0,122862.0,0.0,0.0,14701.0,18857039.0,2540239.0,14642589.0,21214.0,794773.0,256288.0,0.0,0.0,601936.0,0.0
2Q2014,2014,6,Bad,12.25,10.800000190734863,11.289999961853027,11.59000015258789,213126833.33333334,9.030012766520182,24419996.0,2800326.0,198698.0,2321227.0,54160.0,0.0,0.0,156376.0,26023.0,43842.0,1299502.0,976063.0,0.0,0.0,0.0,0.0,206374.0,248.0,0.0,116817.0,3176786.0,428801.0,16714581.0,0.0,24419996.0,1674774.0,0.0,33867.0,22914.0,39912.0,0.0,1655.0,1576426.0,0.0,0.0,4092036.0,1340873.0,0.0,47406.0,2577821.0,0.0,125936.0,0.0,0.0,14798.0,18638388.0,2540239.0,14437030.0,21067.0,794773.0,301598.0,0.0,0.0,543681.0,0.0
3Q2014,2014,9,Bad,14.470000267028809,10.920000076293945,11.699999809265137,11.1899995803833,292689266.6666667,10.004049301147461,25240265.0,3025592.0,370025.0,2337041.0,61934.0,0.0,0.0,160597.0,26425.0,69570.0,1517338.0,1134242.0,0.0,0.0,0.0,0.0,258719.0,5155.0,0.0,119222.0,3544641.0,421006.0,16731688.0,0.0,25240265.0,1888716.0,0.0,40059.0,29417.0,19804.0,0.0,1625.0,1797811.0,0.0,0.0,4386121.0,1493249.0,0.0,44340.0,2718679.0,0.0,129853.0,0.0,0.0,15084.0,18950344.0,2540239.0,14458172.0,20921.0,794773.0,340090.0,0.0,0.0,796149.0,0.0
4Q2014,2014,12,Good,13.329999923706055,8.600000381469727,11.020000457763672,9.850000381469727,526482950.0,8.585851351420084,25538263.0,2785239.0,500535.0,1962229.0,57571.0,0.0,0.0,166154.0,26431.0,72319.0,1797322.0,1392763.0,0.0,0.0,0.0,0.0,274781.0,7293.0,0.0,122485.0,3761300.0,421186.0,16773216.0,0.0,25538263.0,1891833.0,0.0,66241.0,27542.0,47368.0,0.0,1687.0,1748995.0,0.0,0.0,4658027.0,1619123.0,0.0,48238.0,2859306.0,0.0,131360.0,0.0,0.0,8894.0,18979511.0,2540239.0,14237080.0,20774.0,1176711.0,0.0,0.0,0.0,1004705.0,0.0
