"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,40.174.936,38.714.221,37.672.243,38.653.592,37.965.373,36.987.560,37.579.878,37.111.316,37.242.311,46.014.063,31.155.876,27.152.597,26.803.804,26.706.541,26.308.897,30.999.544,26.197.844,26.497.708,25.538.263,25.240.265,24.419.996,26.000.204,25.896.661,25.292.073,24.690.184,24.458.533,24.147.114,24.133.556,24.261.212,23.397.233,23.589.923,23.144.968,22.563.971,24.032.279,22.633.976,0,0,0,0,0,0,0
Ativo Circulante,10.323.038,8.800.335,7.475.618,8.630.122,8.221.642,7.509.318,6.506.030,5.361.602,4.784.100,13.804.755,11.612.517,9.067.626,8.649.731,9.070.336,8.673.786,11.720.898,2.814.499,3.118.127,2.785.239,3.025.592,2.800.326,4.425.023,4.319.483,3.940.868,3.538.984,4.011.737,3.536.282,3.693.866,3.498.495,2.806.678,2.401.134,2.198.367,2.209.697,3.779.796,2.547.589,3.131.595,3.786.268,4.192.899,2.778.968,2.936.914,2.569.664,2.814.573
Caixa e Equivalentes de Caixa AC,520.253,888.531,329.687,566.166,396.018,252.615,711.140,319.890,313.767,262.320,319.124,546.764,470.557,455.763,440.845,3.022.670,283.849,323.111,500.535,370.025,198.698,1.319.604,1.196.589,754.683,187.630,32.774,43.642,46.276,47.058,34.329,64.648,139.477,25.097,1.542.301,104.017,2.960.682,3.619.712,4.038.100,2.650.563,2.701.557,2.335.424,2.592.074
Aplicações Financeiras AC,8.968.496,7.149.206,6.512.426,7.420.132,7.076.203,6.503.645,4.936.213,4.207.361,3.680.094,12.870.009,10.969.814,8.212.174,7.871.347,8.257.658,7.798.529,8.360.651,2.237.789,2.536.823,1.962.229,2.337.041,2.321.227,2.878.254,2.853.393,2.978.625,3.093.569,3.705.481,3.233.361,3.425.721,3.180.630,2.533.290,2.128.705,1.861.837,1.980.414,2.031.429,2.264.408,0,0,0,0,0,0,0
Contas a Receber AC,345.388,317.457,323.822,287.230,297.963,279.745,278.441,249.255,237.935,219.070,91.645,74.028,88.955,74.715,75.129,68.285,63.116,59.521,57.571,61.934,54.160,55.555,54.227,53.970,59.680,60.285,56.849,58.482,55.029,52.228,46.514,65.440,71.374,67.326,51.399,142.881,140.072,129.052,97.036,209.856,206.844,196.337
Estoques AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,373.582,335.083,232.910,259.505,347.794,410.005,488.081,471.374,422.308,332.592,179.694,167.871,165.872,221.309,175.011,213.837,186.311,164.085,166.154,160.597,156.376,138.040,120.396,118.639,157.299,186.444,180.458,130.809,176.575,158.952,132.058,92.997,94.349,116.149,105.843,0,0,0,0,0,0,0
Despesas Antecipadas AC,53.812,48.485,43.491,49.622,40.217,42.543,40.639,48.412,45.568,49.863,41.951,45.734,33.510,24.742,26.298,28.848,23.222,24.759,26.431,26.425,26.023,16.255,15.606,17.793,17.302,16.239,17.831,19.367,20.256,14.942,17.442,18.794,21.146,9.562,9.005,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,61.507,61.573,33.282,47.468,63.447,20.765,51.516,65.310,84.428,70.901,10.289,21.056,19.490,36.149,157.974,26.607,20.212,9.828,72.319,69.570,43.842,17.315,79.272,17.158,23.504,10.514,4.141,13.211,18.947,12.937,11.767,19.822,17.317,13.029,12.917,28.032,26.484,25.747,31.369,25.501,27.396,26.162
Ativo Realizavel Longo Prazo ,2.306.550,2.290.149,2.388.707,2.096.143,1.603.514,1.159.704,2.563.595,3.036.047,3.566.697,3.145.972,3.749.282,2.335.925,2.429.138,1.934.169,1.961.426,1.977.046,1.689.958,1.608.208,1.797.322,1.517.338,1.299.502,1.195.472,1.135.424,1.040.334,922.764,659.205,808.868,727.560,1.095.486,1.246.963,1.767.411,1.683.593,1.540.061,1.396.972,1.216.812,854.033,1.035.011,995.587,715.951,664.783,693.092,730.230
Aplicações Financeiras Avaliadas a Valor Justo ACLP,257.379,275.831,274.297,399.828,304.611,797.091,2.203.468,2.675.568,3.210.378,2.792.632,3.564.243,2.162.759,2.271.459,1.783.927,1.815.620,1.836.323,1.553.791,1.474.815,1.392.763,1.134.242,976.063,879.987,820.778,764.524,651.239,430.801,573.636,526.843,897.672,1.090.838,1.589.058,1.506.816,1.349.746,1.235.124,1.066.920,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,1.738.036,1.704.013,1.738.081,1.333.366,934.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851.032,1.032.011,990.771,711.396,660.228,685.198,723.711
Estoques ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.781,258.719,206.374,201.419,203.037,166.894,164.990,123.539,132.286,103.474,103.056,63.243,80.550,71.235,88.142,61.773,54.687,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,0,0,0,0,0,9.092,10.972,15.033,16.337,22.616,20.079,15.891,5.512,2.186,3.039,4.517,5.363,5.903,7.293,5.155,248,496,744,992,1.500,2.008,2.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,13.634,16.364,12.396,6.517,10.820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,353.521,349.155,345.446,339.982,330.724,164.960,157.275,152.167,148.056,142.767,136.206,130.804,127.490,122.485,119.222,116.817,113.570,110.865,107.924,105.035,102.857,100.022,97.243,94.758,92.882,97.803,105.542,102.173,100.075,95.205,3.001,3.000,4.816,4.555,4.555,7.894,6.519
Investimentos,46.818,46.706,45.591,45.473,45.482,45.587,44.962,45.188,45.049,44.947,29.117,29.496,29.876,30.255,30.635,31.014,4.438.602,4.564.666,3.761.300,3.544.641,3.176.786,3.248.716,3.346.277,3.270.048,3.235.429,2.900.763,2.928.820,2.946.036,2.929.387,2.627.490,2.710.086,2.617.956,2.189.976,2.265.098,2.286.537,2.312.649,38.967,39.345,1.319.439,1.319.747,1.318.238,1.318.279
Imobilizado,637.135,629.221,627.325,564.408,586.825,593.114,573.669,574.535,577.494,583.539,462.753,455.211,454.881,460.034,453.094,454.862,454.342,426.537,421.186,421.006,428.801,431.910,423.150,391.755,363.197,354.963,360.993,328.700,338.922,344.486,357.164,352.356,358.650,361.071,367.134,287.869,285.650,254.999,268.895,266.010,255.718,246.680
