Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Good,36.400001525878906,27.530000686645508,30.110000610351562,35.0099983215332,52699600.0,30.019453684488933,31602303.0,11362937.0,1506757.0,609290.0,2723074.0,3435568.0,1387351.0,1185142.0,0.0,515755.0,5332077.0,0.0,96000.0,174092.0,0.0,400546.0,2821446.0,0.0,0.0,1839993.0,28769.0,10214297.0,4664222.0,0.0,31602303.0,7447663.0,121568.0,3267264.0,233152.0,2653569.0,0.0,1075.0,574644.0,596391.0,0.0,9950735.0,6468017.0,0.0,428531.0,1942430.0,0.0,1111757.0,0.0,0.0,44592.0,14159312.0,12460471.0,28361.0,0.0,1809635.0,101269.0,0.0,0.0,-240424.0,0.0
4Q2012,2012,12,Good,42.95000076293945,34.79999923706055,34.91999816894531,42.189998626708984,45357433.333333336,36.515000661214195,30772249.0,11589980.0,1930693.0,621908.0,3208619.0,3018576.0,1370999.0,964769.0,0.0,474416.0,3723249.0,0.0,74458.0,163431.0,0.0,428190.0,724942.0,0.0,0.0,2332228.0,36658.0,10670700.0,4751661.0,0.0,30772249.0,7464218.0,134968.0,3381246.0,227995.0,2440782.0,0.0,160020.0,654018.0,465189.0,0.0,8731990.0,7077539.0,0.0,561900.0,27792.0,0.0,1064759.0,0.0,0.0,37512.0,14538528.0,12460471.0,17990.0,0.0,2261079.0,0.0,0.0,0.0,-201012.0,0.0
1Q2013,2013,3,Bad,46.75,40.849998474121094,42.189998626708984,44.4900016784668,46836766.666666664,40.72418467203776,30387417.0,10969776.0,1381318.0,540131.0,3063738.0,3191743.0,1318853.0,918569.0,0.0,555424.0,3671232.0,0.0,52607.0,148170.0,0.0,439973.0,669683.0,0.0,0.0,2360799.0,104901.0,10886217.0,4755292.0,0.0,30387417.0,6899071.0,113348.0,3147929.0,186556.0,2520342.0,0.0,2266.0,496510.0,432120.0,0.0,8470821.0,6613198.0,0.0,680680.0,25107.0,0.0,1151836.0,0.0,0.0,34068.0,14983458.0,12460471.0,28909.0,0.0,2289087.0,330526.0,0.0,0.0,-125535.0,0.0
2Q2013,2013,6,Bad,50.27000045776367,43.459999084472656,44.599998474121094,48.470001220703125,42082200.0,45.89791361490885,31587076.0,11972385.0,2028379.0,525461.0,3291271.0,3141835.0,1281172.0,1251308.0,0.0,452959.0,3824698.0,0.0,53568.0,326409.0,0.0,441509.0,707218.0,0.0,0.0,2295994.0,91237.0,10939909.0,4758848.0,0.0,31587076.0,7505686.0,108603.0,3176279.0,234593.0,2443488.0,0.0,330098.0,689294.0,523331.0,0.0,9500263.0,7329793.0,0.0,977317.0,25174.0,0.0,1167979.0,0.0,0.0,35037.0,14546091.0,12460471.0,54051.0,0.0,2275160.0,148591.0,0.0,0.0,-392182.0,0.0
3Q2013,2013,9,Bad,59.31999969482422,46.650001525878906,48.0,54.0,46709200.0,49.379974365234375,31934876.0,12343638.0,2275108.0,500019.0,2899882.0,3649424.0,1296640.0,1282234.0,0.0,440331.0,3719060.0,0.0,54724.0,302928.0,0.0,445007.0,667775.0,0.0,0.0,2248626.0,99301.0,11021943.0,4750935.0,0.0,31934876.0,7687982.0,113316.0,3450730.0,189105.0,2576487.0,0.0,1811.0,723264.0,633269.0,0.0,9382648.0,7236607.0,0.0,992414.0,22801.0,0.0,1130826.0,0.0,0.0,41623.0,14822624.0,12460471.0,16932.0,0.0,2296392.0,414374.0,0.0,0.0,-365545.0,0.0
4Q2013,2013,12,Good,56.470001220703125,48.0,54.400001525878906,48.83000183105469,38214166.666666664,47.87759653727213,32374569.0,13242523.0,3127715.0,459568.0,3487362.0,3111615.0,1205851.0,1302939.0,0.0,547473.0,3444556.0,0.0,56002.0,361486.0,0.0,568978.0,665677.0,0.0,0.0,1792413.0,107990.0,10821578.0,4757922.0,0.0,32374569.0,8436031.0,122143.0,3674705.0,253678.0,2696594.0,0.0,336677.0,747944.0,604290.0,0.0,9242384.0,7484596.0,0.0,719627.0,20566.0,0.0,1017595.0,0.0,0.0,41083.0,14655071.0,12460471.0,36418.0,0.0,2511880.0,0.0,0.0,0.0,-353698.0,0.0
1Q2014,2014,3,Good,49.2400016784668,39.290000915527344,48.83000183105469,45.29999923706055,58048533.333333336,41.50101979573568,31982658.0,13086094.0,3313354.0,543330.0,2993028.0,3056320.0,1203385.0,1337576.0,0.0,639101.0,3288927.0,0.0,57358.0,368404.0,0.0,566272.0,532358.0,0.0,0.0,1764535.0,119174.0,10769149.0,4719314.0,0.0,31982658.0,7809449.0,115145.0,3737335.0,260553.0,2690765.0,0.0,4334.0,381894.0,619423.0,0.0,9009192.0,7236911.0,0.0,722386.0,15799.0,0.0,1034096.0,0.0,0.0,42482.0,15121535.0,12460471.0,65402.0,0.0,2538709.0,288619.0,0.0,0.0,-231666.0,0.0
2Q2014,2014,6,Good,53.880001068115234,45.189998626708984,45.47999954223633,52.97999954223633,40083633.333333336,47.98828125,33298981.0,14333748.0,4578388.0,530118.0,2969571.0,3153571.0,1193814.0,1297965.0,0.0,610321.0,3358724.0,0.0,58811.0,417746.0,0.0,573805.0,487298.0,0.0,0.0,1821064.0,56681.0,10785184.0,4764643.0,0.0,33298981.0,8703970.0,117510.0,4081181.0,289602.0,2757571.0,0.0,330259.0,433549.0,694298.0,0.0,9459103.0,7597765.0,0.0,739951.0,14421.0,0.0,1106966.0,0.0,0.0,43122.0,15092785.0,12460471.0,69848.0,0.0,2584201.0,149196.0,0.0,0.0,-170931.0,0.0
3Q2014,2014,9,Good,60.720001220703125,52.45000076293945,53.45000076293945,58.2400016784668,39045000.0,55.33392079671224,33792092.0,14772142.0,4793226.0,552566.0,3045815.0,3469362.0,1121223.0,1241224.0,0.0,548726.0,3393738.0,0.0,60426.0,386542.0,0.0,570127.0,566249.0,0.0,0.0,1810394.0,53361.0,10929638.0,4643212.0,0.0,33792092.0,8285249.0,117966.0,4056216.0,243198.0,2529360.0,0.0,1910.0,564305.0,772294.0,0.0,10134294.0,8216435.0,0.0,835104.0,22164.0,0.0,1060590.0,0.0,0.0,32789.0,15339760.0,12460471.0,26635.0,0.0,2607115.0,750553.0,0.0,0.0,-505014.0,0.0
4Q2014,2014,12,Bad,69.1500015258789,55.41999816894531,57.38999938964844,63.439998626708984,188720706.0,61.94654210408529,36103737.0,17488245.0,6006942.0,587480.0,3261938.0,2941355.0,1130580.0,1009076.0,0.0,2550874.0,3789075.0,0.0,62104.0,369379.0,0.0,683210.0,714015.0,0.0,0.0,1960367.0,438423.0,10059349.0,4328643.0,0.0,36103737.0,9569126.0,136749.0,3977327.0,299951.0,2738903.0,0.0,430909.0,887644.0,589379.0,508264.0,10844666.0,8850432.0,0.0,703317.0,90184.0,0.0,1200733.0,0.0,0.0,99466.0,15590477.0,12460471.0,-195428.0,0.0,3945825.0,0.0,0.0,0.0,-620391.0,0.0
