"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - BRF Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,42.161.181,42.888.360,42.382.377,44.518.707,45.529.174,44.997.620,45.228.478,48.285.630,48.081.629,43.370.713,42.944.938,43.126.497,41.554.895,41.476.362,40.388.014,39.989.727,36.183.585,36.716.933,36.103.737,33.792.092,33.298.981,31.982.658,32.374.569,31.934.876,31.587.076,30.387.417,30.772.249,31.602.303,31.351.556,29.618.012,29.983.455,29.478.584,28.892.946,27.895.056,27.751.549,0,0,0,0,0,0,0
Ativo Circulante,16.572.097,17.561.690,19.030.901,18.253.203,19.315.091,18.992.896,19.185.525,21.582.432,21.851.195,18.937.580,18.893.738,19.075.277,18.053.247,18.648.056,19.180.048,19.444.466,17.176.132,17.774.588,17.488.245,14.772.142,14.333.748,13.086.094,13.242.523,12.343.638,11.972.385,10.969.776,11.589.980,11.362.937,11.609.079,10.437.777,11.123.751,11.092.298,10.989.875,10.226.511,9.852.130,9.516.034,9.492.870,9.678.398,0,11.048.468,5.138.908,5.658.990
Caixa e Equivalentes de Caixa AC,5.236.091,4.494.913,4.869.562,4.424.095,5.747.786,5.515.699,6.010.829,8.438.125,8.510.902,6.307.017,6.356.919,5.773.267,4.630.909,5.639.250,5.362.890,7.724.101,4.635.089,5.873.772,6.006.942,4.793.226,4.578.388,3.313.354,3.127.715,2.275.108,2.028.379,1.381.318,1.930.693,1.506.757,2.106.932,1.205.307,1.366.843,1.848.692,1.974.461,2.093.783,2.310.643,3.060.003,3.230.535,3.367.405,4.243.769,4.124.725,1.432.715,1.803.166
Aplicações Financeiras AC,585.060,588.961,507.035,563.830,416.529,390.598,228.430,294.301,408.387,526.227,622.285,792.218,671.814,852.378,734.711,703.399,588.557,613.627,587.480,552.566,530.118,543.330,459.568,500.019,525.461,540.131,621.908,609.290,641.113,819.597,1.372.671,1.592.089,1.859.786,1.226.353,863.806,0,0,0,0,0,0,0
Contas a Receber AC,2.564.576,2.519.063,2.720.041,3.536.761,3.858.949,3.866.332,4.032.149,4.170.906,3.802.151,3.315.509,3.234.129,3.143.918,3.513.898,3.532.983,4.180.024,3.689.896,3.139.371,2.783.530,3.261.938,3.045.815,2.969.571,2.993.028,3.487.362,2.899.882,3.291.271,3.063.738,3.208.619,2.723.074,2.813.326,2.700.764,3.264.748,2.522.758,2.461.349,2.402.199,2.606.696,2.236.407,2.130.750,2.003.465,1.787.337,2.122.087,1.144.056,1.315.340
Estoques AC,4.035.048,4.057.453,3.877.294,5.543.805,4.986.329,4.949.268,4.948.168,5.139.257,4.999.877,4.919.178,4.791.640,5.378.452,4.724.899,4.518.198,4.032.911,4.201.036,3.519.633,3.337.397,2.941.355,3.469.362,3.153.571,3.056.320,3.111.615,3.649.424,3.141.835,3.191.743,3.018.576,3.435.568,3.000.803,3.057.498,2.679.211,2.872.001,2.406.599,2.417.855,2.135.809,2.936.888,2.837.632,3.058.564,3.101.324,3.379.894,1.531.254,1.604.062
Ativos Biológicos AC,1.556.471,1.538.434,1.513.133,1.442.204,1.510.218,1.490.183,1.510.480,1.492.632,1.625.758,1.540.889,1.644.939,1.574.257,1.646.538,1.494.014,1.329.861,1.271.352,1.246.190,1.201.198,1.130.580,1.121.223,1.193.814,1.203.385,1.205.851,1.296.640,1.281.172,1.318.853,1.370.999,1.387.351,1.343.825,1.180.162,1.156.081,1.124.923,1.087.791,972.046,900.681,0,0,0,0,0,0,0
Tributos a Recuperar AC,1.067.012,1.169.823,1.066.872,1.330.369,1.287.688,1.281.270,1.228.259,1.200.032,1.286.784,1.256.417,1.234.795,1.163.602,1.237.580,1.308.762,1.231.759,1.112.671,1.081.805,990.081,1.009.076,1.241.224,1.297.965,1.337.576,1.302.939,1.282.234,1.251.308,918.569,964.769,1.185.142,1.128.114,1.034.826,907.929,814.015,765.677,727.716,695.892,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.499,17.012,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,1.527.838,3.193.043,4.476.963,1.412.140,1.507.592,1.499.547,1.227.208,847.179,1.217.336,1.072.342,1.009.031,1.249.562,1.627.608,1.302.470,2.307.893,742.011,2.965.487,2.974.983,2.550.874,548.726,610.321,639.101,547.473,440.331,452.959,555.424,474.416,515.755,574.966,439.623,376.268,317.820,434.212,365.060,321.591,1.282.736,1.293.953,1.248.964,1.313.912,1.421.762,1.030.883,936.422
