Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Good,16.649999618530273,10.9399995803833,13.3100004196167,14.270000457763672,41568500.0,8.807711283365885,40896643.0,12221034.0,3568870.0,241733.0,2992690.0,3907673.0,0.0,1452693.0,57375.0,0.0,4428977.0,28481.0,0.0,51984.0,0.0,0.0,2041628.0,0.0,150861.0,2156023.0,130433.0,21142882.0,2973317.0,0.0,40896643.0,12479967.0,314950.0,9016995.0,472937.0,1287755.0,0.0,487401.0,887490.0,12439.0,0.0,19860507.0,15734911.0,0.0,1711269.0,2087785.0,0.0,326541.0,0.0,0.0,261446.0,8294724.0,8043222.0,749087.0,0.0,108714.0,-961635.0,0.0,0.0,355336.0,0.0
4Q2012,2012,12,Good,14.979999542236328,12.699999809265137,14.239999771118164,12.800000190734863,27090533.333333332,8.928241411844889,41163575.0,12692327.0,3287622.0,172146.0,3322452.0,4102055.0,0.0,1476211.0,54013.0,277828.0,4227765.0,34489.0,0.0,37742.0,0.0,0.0,2055621.0,0.0,127627.0,1972286.0,125735.0,21176785.0,2940966.0,0.0,41163575.0,12656627.0,349176.0,8897597.0,342789.0,1836028.0,0.0,5369.0,1063634.0,52264.0,109770.0,19843152.0,15675610.0,0.0,1666000.0,2138622.0,0.0,362919.0,0.0,0.0,87813.0,8575987.0,8043222.0,749087.0,0.0,0.0,-565549.0,0.0,0.0,349227.0,0.0
1Q2013,2013,3,Good,15.390000343322754,12.800000190734863,12.800000190734863,13.75,32838200.0,9.673750241597494,42266771.0,13108956.0,3002201.0,221799.0,3296976.0,4632690.0,0.0,1661217.0,16245.0,277828.0,4258862.0,28614.0,0.0,34059.0,0.0,0.0,2060149.0,0.0,128736.0,2007304.0,117773.0,21854970.0,2926210.0,0.0,42266771.0,13446435.0,425585.0,8701681.0,352837.0,2383219.0,0.0,4111.0,1434047.0,35185.0,109770.0,19946707.0,15723502.0,0.0,1661415.0,2196467.0,0.0,365322.0,0.0,0.0,108348.0,8765282.0,8043222.0,749087.0,0.0,0.0,-348586.0,0.0,0.0,321559.0,0.0
2Q2013,2013,6,Bad,17.670000076293945,13.420000076293945,13.539999961853027,16.489999771118164,49870366.666666664,11.309849421183268,43630944.0,13134785.0,3400349.0,39149.0,3226541.0,4374023.0,0.0,1683079.0,133815.0,277828.0,4828296.0,55104.0,0.0,143108.0,0.0,0.0,2636091.0,0.0,131330.0,1862663.0,118446.0,22620856.0,2928559.0,0.0,43630944.0,14903039.0,329876.0,9843702.0,425640.0,2796159.0,0.0,4102.0,1345156.0,48634.0,109770.0,20837294.0,16157485.0,0.0,2106928.0,2248056.0,0.0,324825.0,0.0,0.0,137633.0,7752976.0,8043222.0,183538.0,0.0,0.0,106788.0,0.0,0.0,-580572.0,0.0
3Q2013,2013,9,Bad,18.780000686645508,15.420000076293945,16.799999237060547,17.75,37081866.666666664,11.823223749796549,45785416.0,14268150.0,3854933.0,61968.0,3371586.0,4897296.0,0.0,1709696.0,94843.0,277828.0,4672044.0,31592.0,0.0,103393.0,0.0,0.0,2480208.0,0.0,132479.0,1924372.0,119796.0,23815256.0,2910171.0,0.0,45785416.0,13939374.0,458815.0,9715114.0,398289.0,2492015.0,0.0,4050.0,709171.0,52150.0,109770.0,23671259.0,15671336.0,0.0,5367235.0,2254591.0,0.0,378097.0,0.0,0.0,126608.0,8048177.0,8043222.0,183538.0,0.0,0.0,506753.0,0.0,0.0,-685336.0,0.0
4Q2013,2013,12,Bad,21.399999618530273,17.559999465942383,17.8700008392334,21.0,31368900.0,13.767348607381185,48346083.0,14997128.0,4335859.0,86719.0,3203066.0,5033593.0,0.0,2237213.0,62997.0,37681.0,4900891.0,20779.0,0.0,61875.0,116714.0,0.0,2653606.0,0.0,133649.0,1914268.0,121886.0,25413548.0,2912630.0,0.0,48346083.0,13594801.0,490816.0,10421687.0,445424.0,1248804.0,0.0,131799.0,750415.0,105856.0,0.0,27069948.0,17353687.0,0.0,6872869.0,2393698.0,0.0,449694.0,0.0,0.0,137116.0,7544218.0,8043222.0,183538.0,0.0,410149.0,0.0,0.0,0.0,-1092691.0,0.0
1Q2014,2014,3,Bad,21.079999923706055,14.800000190734863,21.0,17.790000915527344,65614666.666666664,11.722782135009766,46576476.0,14861170.0,3214065.0,87499.0,3571819.0,5551054.0,0.0,2390438.0,46295.0,0.0,2870699.0,25950.0,0.0,18144.0,104232.0,0.0,806852.0,0.0,134815.0,1780706.0,122522.0,25838555.0,2883527.0,0.0,46576476.0,12952383.0,559485.0,9959674.0,473325.0,1224291.0,0.0,131797.0,515792.0,88019.0,0.0,25244848.0,21481267.0,0.0,2462874.0,847724.0,0.0,452980.0,0.0,0.0,119604.0,8259641.0,8043222.0,183538.0,0.0,410149.0,412357.0,0.0,0.0,-789625.0,0.0
2Q2014,2014,6,Bad,17.979999542236328,14.0600004196167,17.90999984741211,14.09000015258789,37855133.333333336,10.417499860127768,46492164.0,14185680.0,3150894.0,155307.0,3245377.0,5118116.0,0.0,2363511.0,152475.0,0.0,2644697.0,22622.0,0.0,27189.0,77177.0,0.0,705573.0,0.0,136013.0,1676123.0,122975.0,26687539.0,2851273.0,0.0,46492164.0,12596812.0,436779.0,9766021.0,524644.0,1329292.0,0.0,4533.0,442927.0,92616.0,0.0,25534288.0,16482787.0,0.0,7755597.0,842295.0,0.0,453609.0,0.0,0.0,108483.0,8252582.0,8043222.0,183538.0,0.0,55307.0,547885.0,0.0,0.0,-577370.0,0.0
3Q2014,2014,9,Bad,16.489999771118164,13.619999885559082,14.140000343322754,16.200000762939453,25574133.333333332,10.965275446573893,48999842.0,15074849.0,3722404.0,102243.0,3439227.0,5110534.0,0.0,2581241.0,119200.0,0.0,3117633.0,33276.0,0.0,17814.0,49346.0,0.0,1244949.0,0.0,137245.0,1635003.0,120181.0,27842810.0,2844365.0,0.0,48999842.0,12801654.0,490611.0,9566665.0,674058.0,1308737.0,0.0,4506.0,664201.0,92876.0,0.0,28682971.0,17762820.0,0.0,9610755.0,856568.0,0.0,452830.0,0.0,0.0,61725.0,7453486.0,8043222.0,183538.0,0.0,55307.0,823935.0,0.0,0.0,-1652516.0,0.0
4Q2014,2014,12,Good,19.959999084472656,15.859999656677246,16.0,17.5,59848225.333333336,13.203526496887207,49421750.0,14761199.0,3993359.0,89729.0,3080659.0,5368146.0,0.0,2129837.0,99469.0,0.0,2696799.0,42494.0,0.0,25050.0,68988.0,0.0,870206.0,0.0,138501.0,1551560.0,126535.0,29001490.0,2835728.0,0.0,49421750.0,14083292.0,533373.0,10852410.0,203392.0,1418542.0,0.0,215888.0,771140.0,88547.0,0.0,29444108.0,18918019.0,0.0,9416921.0,603490.0,0.0,505677.0,0.0,0.0,-144533.0,6038883.0,8043222.0,183538.0,0.0,736180.0,0.0,0.0,0.0,-2924057.0,0.0
