"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - BRASKEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,63.802.503,62.044.279,59.193.983,60.791.128,58.156.073,52.809.155,53.341.553,53.186.367,54.572.130,52.064.723,51.821.851,53.102.821,52.595.450,56.854.917,59.961.295,59.780.895,52.486.975,54.057.570,49.421.750,48.999.842,46.492.164,46.576.476,48.346.083,45.785.416,43.630.944,42.266.771,41.163.575,40.896.643,40.455.959,39.611.183,37.354.160,36.917.666,35.043.885,34.660.860,34.477.490,0,0,0,0,0,0,0
Ativo Circulante,20.008.628,21.324.507,21.383.868,21.948.185,19.996.971,17.076.176,17.992.327,17.887.181,18.477.879,16.656.218,16.256.252,16.876.342,15.443.530,16.421.999,17.498.489,16.833.948,14.541.559,15.339.781,14.761.199,15.074.849,14.185.680,14.861.170,14.997.128,14.268.150,13.134.785,13.108.956,12.692.327,12.221.034,11.860.167,11.774.230,10.171.777,10.987.858,9.652.906,9.416.124,8.780.298,9.954.872,0,7.280.231,7.047.325,7.013.458,7.141.238,7.293.567
Caixa e Equivalentes de Caixa AC,5.788.353,6.104.026,5.547.637,4.891.141,5.149.873,3.413.252,3.775.093,5.452.435,5.711.450,6.617.161,6.701.864,8.200.168,6.740.633,7.523.641,7.439.723,6.346.923,4.821.025,5.071.271,3.993.359,3.722.404,3.150.894,3.214.065,4.335.859,3.854.933,3.400.349,3.002.201,3.287.622,3.568.870,3.297.456,3.303.119,2.986.819,3.253.959,2.369.788,2.389.293,2.624.270,3.491.533,3.446.989,3.282.316,3.130.462,3.138.266,3.224.893,2.960.196
Aplicações Financeiras AC,679.386,1.720.058,2.357.613,2.080.736,2.055.906,2.440.254,2.302.672,2.284.643,2.677.819,1.011.223,1.190.483,433.009,428.219,1.397,1.172,108.363,96.956,92.813,89.729,102.243,155.307,87.499,86.719,61.968,39.149,221.799,172.146,241.733,169.962,289.078,170.297,186.645,250.386,479.572,236.319,0,0,0,0,0,0,0
Contas a Receber AC,3.291.346,3.728.668,3.555.400,4.772.338,3.624.380,3.627.263,3.584.239,3.007.806,2.792.301,2.440.374,1.838.425,2.424.671,2.314.116,2.512.477,3.102.212,3.642.663,2.952.785,3.736.158,3.080.659,3.439.227,3.245.377,3.571.819,3.203.066,3.371.586,3.226.541,3.296.976,3.322.452,2.992.690,2.484.117,3.071.193,2.250.390,2.904.706,2.196.023,2.239.774,2.163.553,2.182.126,2.470.736,1.718.647,1.297.090,1.217.196,1.236.215,1.372.488
Estoques AC,8.267.672,8.133.926,8.486.577,8.944.894,8.114.007,6.679.689,6.846.923,5.746.335,5.907.679,5.546.050,5.238.014,4.873.736,5.031.098,5.145.074,5.517.206,5.194.666,5.234.348,4.692.269,5.368.146,5.110.534,5.118.116,5.551.054,5.033.593,4.897.296,4.374.023,4.632.690,4.102.055,3.907.673,4.533.689,3.920.944,3.623.522,3.447.422,3.691.556,3.272.155,3.015.657,3.140.491,3.353.968,1.706.562,1.919.124,2.004.437,2.032.448,2.261.814
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,1.782.324,1.381.376,1.197.140,1.147.427,911.871,793.646,1.349.064,1.206.478,1.184.187,592.413,826.015,804.454,771.216,1.081.509,1.272.004,1.475.783,1.374.088,1.653.295,2.129.837,2.581.241,2.363.511,2.390.438,2.237.213,1.709.696,1.683.079,1.661.217,1.476.211,1.452.693,1.300.513,1.096.936,1.036.253,1.184.384,1.117.913,996.615,698.879,0,0,0,0,0,0,0
Despesas Antecipadas AC,199.547,256.454,239.500,111.649,140.935,122.073,134.337,189.482,204.444,73.780,101.747,140.304,158.248,157.901,166.170,65.550,62.357,93.975,99.469,119.200,152.475,46.295,62.997,94.843,133.815,16.245,54.013,57.375,74.430,92.959,104.496,10.742,27.240,38.715,41.620,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,0,0,0,0,0,0,0,0,0,375.217,359.704,0,0,0,0,0,0,0,0,0,0,0,37.681,277.828,277.828,277.828,277.828,0,0,0,0,0,0,0,0,1.140.722,946.641,572.706,700.649,653.559,647.682,699.069
Ativo Realizavel Longo Prazo ,7.907.018,4.448.045,3.243.289,3.278.527,3.720.951,2.559.894,2.758.857,2.648.018,2.763.378,2.915.786,3.327.489,3.465.903,3.863.080,4.684.337,5.526.886,5.730.199,4.008.771,4.538.184,2.696.799,3.117.633,2.644.697,2.870.699,4.900.891,4.672.044,4.828.296,4.258.862,4.227.765,4.428.977,4.338.948,3.811.830,3.496.791,2.972.455,2.792.583,2.728.393,3.083.464,3.023.593,3.238.114,2.886.642,2.576.696,2.424.699,2.429.951,2.413.016
Aplicações Financeiras Avaliadas a Valor Justo ACLP,10.502,9.480,9.998,10.191,10.242,9.915,10.336,0,0,0,0,0,0,37.457,46.193,35.183,33.592,39.011,42.494,33.276,22.622,25.950,20.779,31.592,55.104,28.614,34.489,28.481,71.317,39.295,34.752,30.793,26.025,21.394,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.706,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,38.292,37.496,109.069,62.697,64.932,70.236,18.884,27.447,11.871,19.822,19.815,100.184,135.814,25.050,17.814,27.189,18.144,61.875,103.393,143.108,34.059,37.742,51.984,55.268,48.336,51.056,53.606,57.673,56.022,419.930,2.817.538,3.001.131,2.601.095,2.406.742,2.290.968,2.286.571,2.292.862
Estoques ACLP,11.884,14.016,17.785,29.252,37.321,42.696,46.464,50.231,53.998,57.766,61.533,65.300,69.068,86.249,135.046,138.158,133.957,160.560,68.988,49.346,77.177,104.232,116.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,23.860,27.627,31.394,35.162,38.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,852.366,1.165.726,918.737,1.026.328,1.182.197,1.653.115,1.437.580,1.550.792,2.363.688,3.226.507,3.593.693,1.674.816,2.268.809,870.206,1.244.949,705.573,806.852,2.653.606,2.480.208,2.636.091,2.060.149,2.055.621,2.041.628,1.936.226,1.463.193,1.237.144,1.112.131,1.100.714,1.122.070,1.136.685,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,1.066.893,1.163.036,1.104.158,1.605.639,1.976.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,322.486,310.212,308.321,144.633,142.903,141.299,139.835,138.501,137.245,136.013,134.815,133.649,132.479,131.330,128.736,127.627,150.861,166.406,59.327,58.169,57.020,55.892,54.801,53.742,99.939,130.092,109.332,100.725,48.858,58.073,47.392
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,1.616.625,1.498.835,1.569.981,1.620.355,1.610.891,1.542.605,1.621.653,1.905.561,1.876.751,1.954.685,1.800.447,1.924.923,1.794.155,1.551.560,1.635.003,1.676.123,1.780.706,1.914.268,1.924.372,1.862.663,2.007.304,1.972.286,2.156.023,2.109.731,2.201.679,2.115.670,1.718.905,1.552.279,1.474.106,1.444.401,106.116,106.891,176.215,69.229,84.873,85.307,72.762
Investimentos,64.661,65.592,65.954,69.393,72.548,104.418,101.258,100.490,96.880,105.102,92.313,98.209,82.284,78.028,86.354,196.463,169.592,167.769,126.535,120.181,122.975,122.522,121.886,119.796,118.446,117.773,125.735,130.433,158.102,41.783,40.714,37.433,37.644,174.142,168.275,176.469,348.687,154.943,29.306,38.787,38.048,36.783
Imobilizado,33.094.328,33.476.616,31.759.890,32.746.822,31.625.941,30.356.044,29.761.610,29.803.098,30.448.083,29.606.664,29.336.709,29.844.161,30.371.668,32.836.813,33.961.964,34.184.624,30.955.235,31.168.457,29.001.490,27.842.810,26.687.539,25.838.555,25.413.548,23.815.256,22.620.856,21.854.970,21.176.785,21.142.882,21.098.228,20.997.917,20.628.187,19.886.111,19.542.540,19.293.243,19.366.273,0,0,0,0,0,0,0
Intangível,2.727.869,2.729.517,2.740.982,2.748.203,2.739.662,2.712.622,2.727.497,2.747.582,2.785.911,2.780.955,2.809.087,2.818.208,2.834.887,2.833.739,2.887.604,2.835.664,2.811.820,2.843.382,2.835.728,2.844.365,2.851.273,2.883.527,2.912.630,2.910.171,2.928.559,2.926.210,2.940.966,2.973.317,3.000.515,2.985.428,3.016.692,3.033.806,3.018.210,3.048.959,3.079.182,3.111.491,3.147.466,2.315.666,2.335.955,2.442.651,2.444.069,2.393.572
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.618,94.127,98.228,102.470
Passivo Total,63.802.503,62.044.279,59.193.983,60.791.128,58.156.073,52.809.155,53.341.553,53.186.367,54.572.130,52.064.723,51.821.851,53.102.821,52.595.450,56.854.917,59.961.295,59.780.895,52.486.975,54.057.570,49.421.750,48.999.842,46.492.164,46.576.476,48.346.083,45.785.416,43.630.944,42.266.771,41.163.575,40.896.643,40.455.959,39.611.183,37.354.160,36.917.666,35.043.885,34.660.860,34.477.490,0,0,0,0,0,0,0
Passivo Circulante,25.322.891,22.539.364,23.116.130,24.288.190,23.078.959,18.108.848,19.137.733,20.779.293,22.634.484,21.545.249,23.038.308,13.396.773,12.511.969,14.469.872,16.682.229,15.628.304,14.108.792,16.340.205,14.083.292,12.801.654,12.596.812,12.952.383,13.594.801,13.939.374,14.903.039,13.446.435,12.656.627,12.479.967,12.215.564,11.257.468,9.061.588,9.597.658,8.440.621,8.337.790,8.462.150,8.368.135,8.362.516,7.467.820,7.290.369,6.020.102,6.550.838,6.975.414
