Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,19.123699188232422,14.107000350952148,15.237500190734863,18.82939910888672,72743704.66666667,14.189374605814615,15431605.0,1360151.0,13119.0,1004147.0,222542.0,0.0,0.0,56507.0,3020.0,60816.0,397472.0,80099.0,0.0,191684.0,0.0,0.0,79437.0,0.0,0.0,46252.0,13651712.0,10798.0,11472.0,0.0,15431605.0,1449011.0,63126.0,54943.0,35438.0,755748.0,0.0,0.0,518136.0,21620.0,0.0,6133692.0,3370653.0,0.0,309265.0,2350237.0,0.0,103537.0,0.0,0.0,520200.0,7328702.0,3459212.0,-607.0,0.0,3194155.0,675942.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,19.919700622558594,17.23080062866211,18.82939910888672,18.07360076904297,71317125.33333333,14.86324659983317,17904892.0,1267900.0,350404.0,445787.0,310504.0,0.0,0.0,71534.0,2343.0,87328.0,514747.0,199224.0,0.0,169653.0,0.0,0.0,105524.0,0.0,0.0,40346.0,16100665.0,10680.0,10899.0,0.0,17904892.0,1436806.0,76681.0,67566.0,46969.0,766546.0,0.0,215501.0,250700.0,12843.0,0.0,7653129.0,3737328.0,0.0,711097.0,3099777.0,0.0,104927.0,0.0,0.0,626151.0,8188805.0,3459212.0,8839.0,0.0,4720754.0,0.0,0.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,18.662200927734375,15.953200340270996,18.07360076904297,16.622100830078125,93958901.0,13.95865535736084,17429682.0,953979.0,24827.0,493765.0,265655.0,0.0,0.0,76253.0,4634.0,88845.0,496324.0,150721.0,0.0,165936.0,0.0,0.0,87133.0,0.0,50160.0,42374.0,15958049.0,10558.0,10772.0,0.0,17429682.0,1097627.0,43397.0,62832.0,60923.0,452107.0,0.0,215501.0,262867.0,0.0,0.0,7421454.0,3731705.0,6713.0,689885.0,2891891.0,0.0,101260.0,0.0,0.0,638027.0,8272574.0,3473054.0,19381.0,0.0,4720754.0,59385.0,0.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,17.023399353027344,12.2475004196167,16.862899780273438,13.310999870300293,163798872.66666666,12.098431905110678,18140645.0,1063894.0,29178.0,570656.0,274950.0,0.0,0.0,98437.0,2495.0,88178.0,562539.0,211833.0,0.0,174159.0,0.0,0.0,91156.0,0.0,41667.0,43724.0,16493536.0,10435.0,10242.0,0.0,18140645.0,960331.0,57399.0,59868.0,108373.0,487840.0,0.0,0.0,246851.0,0.0,0.0,8046735.0,4214091.0,2721.0,692557.0,3075023.0,0.0,62343.0,0.0,0.0,645896.0,8487684.0,4293277.0,29907.0,0.0,3920470.0,244030.0,0.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,14.896300315856934,11.852800369262695,13.257499694824219,13.44480037689209,103507514.66666667,11.025920550028482,18085523.0,799873.0,40879.0,333290.0,237140.0,0.0,0.0,95400.0,4867.0,88297.0,576579.0,224292.0,0.0,178413.0,0.0,0.0,87058.0,0.0,41208.0,45608.0,16688904.0,10313.0,9854.0,0.0,18085523.0,1059128.0,67842.0,67465.0,61204.0,588108.0,0.0,0.0,257050.0,17459.0,0.0,7800491.0,4048771.0,2719.0,578833.0,3108616.0,0.0,61552.0,0.0,0.0,646588.0,8579316.0,4293342.0,40334.0,0.0,3910774.0,334866.0,0.0,0.0,0.0,0.0
4Q2013,2013,12,Bad,15.364500045776367,10.996700286865234,13.551799774169922,11.40470027923584,86409200.66666667,10.935347239176432,18820850.0,943410.0,70509.0,374370.0,320499.0,0.0,0.0,100701.0,2250.0,75081.0,615621.0,245049.0,0.0,203691.0,0.0,0.0,82117.0,0.0,39069.0,45695.0,17235268.0,10191.0,16360.0,0.0,18820850.0,1397128.0,69169.0,84892.0,39884.0,766580.0,0.0,144535.0,248010.0,44058.0,0.0,7956466.0,3956500.0,382.0,654903.0,3280145.0,0.0,64536.0,0.0,0.0,677137.0,8790119.0,4293342.0,50588.0,0.0,4446189.0,0.0,0.0,0.0,0.0,0.0
1Q2014,2014,3,Bad,13.097000122070312,9.8193998336792,11.40470027923584,13.097000122070312,94736301.33333333,9.953912099202475,19025039.0,1295896.0,48277.0,878011.0,223454.0,0.0,0.0,56488.0,3504.0,86162.0,594383.0,229524.0,0.0,197926.0,0.0,0.0,79625.0,0.0,40963.0,46345.0,17108552.0,10076.0,16135.0,0.0,19025039.0,1167877.0,23516.0,72053.0,52141.0,586416.0,0.0,144535.0,259233.0,29983.0,0.0,8284318.0,4321951.0,1631.0,627391.0,3269595.0,0.0,63750.0,0.0,0.0,680496.0,8892350.0,4331619.0,60791.0,0.0,4446189.0,53751.0,0.0,0.0,0.0,0.0
2Q2014,2014,6,Bad,13.685600280761719,11.665599822998047,12.909700393676758,12.575200080871582,64650622.0,10.739798227945963,19291261.0,1166713.0,58137.0,670455.0,240039.0,0.0,0.0,104990.0,4443.0,88649.0,548621.0,176157.0,0.0,207267.0,0.0,0.0,74548.0,0.0,43682.0,46967.0,17542396.0,9987.0,23541.0,0.0,19291261.0,1052472.0,30424.0,72550.0,54374.0,614273.0,0.0,0.0,258547.0,22304.0,0.0,8333621.0,4313455.0,5217.0,549504.0,3399681.0,0.0,65764.0,0.0,0.0,703731.0,9201435.0,4331619.0,71137.0,0.0,4446189.0,352490.0,0.0,0.0,0.0,0.0
3Q2014,2014,9,Bad,15.82610034942627,12.194000244140625,12.608699798583984,12.929800033569336,70640389.33333333,12.033402760823568,19309228.0,907100.0,54931.0,422991.0,271895.0,0.0,0.0,93070.0,3801.0,60412.0,677205.0,300768.0,0.0,201878.0,0.0,0.0,71339.0,0.0,55761.0,47459.0,17683268.0,9824.0,31831.0,0.0,19309228.0,919877.0,42300.0,78156.0,42602.0,623487.0,0.0,0.0,113458.0,19874.0,0.0,8488420.0,4332568.0,5384.0,630599.0,3456228.0,0.0,63641.0,0.0,0.0,709291.0,9191640.0,4331619.0,81483.0,0.0,4446189.0,332349.0,0.0,0.0,0.0,0.0
4Q2014,2014,12,Bad,14.280900001525879,9.478260040283203,12.742500305175781,10.989999771118164,165636595.33333334,10.599590301513672,19860625.0,1184013.0,76648.0,598015.0,345090.0,0.0,0.0,107600.0,3669.0,52991.0,674523.0,387101.0,0.0,158763.0,0.0,0.0,53432.0,0.0,27386.0,47841.0,17955971.0,10787.0,35330.0,0.0,19860625.0,837014.0,57823.0,48219.0,44000.0,325211.0,0.0,211728.0,128874.0,21159.0,0.0,9210689.0,4796976.0,7999.0,689925.0,3650869.0,0.0,64920.0,0.0,0.0,738757.0,9074166.0,4331619.0,90776.0,0.0,4651771.0,0.0,0.0,0.0,0.0,0.0
