"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - BR MALLS PARTICIPAÇÔES S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,18.691.873,18.539.739,18.131.036,17.250.169,17.492.015,17.663.883,18.003.583,19.130.468,20.733.182,19.358.812,19.402.240,20.283.959,20.317.172,20.456.729,20.684.044,20.737.712,20.505.025,20.135.127,19.860.625,19.309.228,19.291.261,19.025.039,18.820.850,18.085.523,18.140.645,17.429.682,17.904.892,15.431.605,15.162.736,14.050.610,14.081.717,12.594.234,12.039.350,11.087.327,10.569.767,8.943.251,8.684.105,8.449.971,8.463.321,4.026.365,3.567.597,3.550.846
Ativo Circulante,1.254.448,1.727.579,1.305.042,1.341.319,1.694.122,1.906.807,2.274.047,1.481.610,3.033.048,1.213.754,977.898,867.692,988.268,1.217.472,1.452.733,1.466.647,1.261.636,1.190.542,1.184.013,907.100,1.166.713,1.295.896,943.410,799.873,1.063.894,953.979,1.267.900,1.360.151,925.867,1.037.389,915.262,1.037.782,1.546.537,996.428,514.994,1.116.624,1.029.338,1.087.068,1.249.910,1.286.328,842.108,815.796
Caixa e Equivalentes de Caixa AC,17.561,18.090,23.672,19.681,19.775,23.485,28.977,22.615,41.875,36.601,21.718,22.750,22.755,29.194,25.981,30.296,40.434,32.404,76.648,54.931,58.137,48.277,70.509,40.879,29.178,24.827,350.404,13.119,25.425,43.017,37.063,8.404,15.483,9.328,19.843,692.336,845.956,936.273,13.526,1.150.829,696.958,678.431
Aplicações Financeiras AC,923.895,1.393.509,907.277,981.294,1.316.507,1.535.246,1.668.225,1.029.526,2.506.532,651.776,390.373,377.011,485.372,703.385,877.887,932.899,711.251,685.587,598.015,422.991,670.455,878.011,374.370,333.290,570.656,493.765,445.787,1.004.147,535.982,639.356,493.970,810.964,1.242.478,717.410,232.579,0,0,0,0,0,0,0
Contas a Receber AC,205.643,211.935,247.597,204.552,204.285,207.987,305.517,295.226,355.535,364.369,425.087,347.541,354.484,350.756,413.151,329.944,320.494,292.814,345.090,271.895,240.039,223.454,320.499,237.140,274.950,265.655,310.504,222.542,211.134,215.642,242.317,185.868,164.885,150.524,154.933,101.648,76.727,64.222,96.408,59.743,52.548,53.178
Estoques AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,51.642,47.662,65.953,71.130,95.868,77.531,59.104,88.111,78.206,97.022,88.359,73.947,74.624,76.705,82.548,111.587,121.061,122.277,107.600,93.070,104.990,56.488,100.701,95.400,98.437,76.253,71.534,56.507,75.122,66.387,78.198,0,55.539,50.774,59.922,0,0,0,0,0,0,0
Despesas Antecipadas AC,12.547,10.421,7.120,11.811,9.765,7.909,6.273,7.138,8.316,5.083,5.254,5.964,8.080,4.843,4.648,6.831,6.318,5.566,3.669,3.801,4.443,3.504,2.250,4.867,2.495,4.634,2.343,3.020,24.604,21.504,16.886,17.074,17.658,17.742,7.683,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,43.160,45.962,53.423,52.851,47.922,54.649,205.951,38.994,42.584,58.903,47.107,40.479,42.953,52.589,48.518,55.090,62.078,51.894,52.991,60.412,88.649,86.162,75.081,88.297,88.178,88.845,87.328,60.816,53.600,51.483,46.828,15.472,50.494,50.650,40.034,322.640,106.655,86.573,1.139.976,75.756,92.602,84.187
