Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Good,9.810319900512695,5.092790126800537,5.137460231781006,9.515469551086426,27172055.0,7.499203205108643,4439950.0,2855901.0,34430.0,1133027.0,858987.0,610984.0,0.0,182718.0,16006.0,19749.0,362804.0,0.0,0.0,0.0,0.0,0.0,321597.0,0.0,24680.0,16527.0,0.0,251135.0,970110.0,0.0,4439950.0,1624842.0,28149.0,686016.0,17457.0,860243.0,0.0,0.0,32977.0,0.0,0.0,1802815.0,1661618.0,0.0,34335.0,88821.0,0.0,18041.0,0.0,0.0,0.0,1012293.0,1182491.0,1290.0,0.0,0.0,-171554.0,0.0,66.0,0.0,0.0
4Q2012,2012,12,Bad,17.79800033569336,8.505849838256836,9.506540298461914,15.189000129699707,28970509.333333332,12.562200228373209,4786747.0,3136775.0,36267.0,1333890.0,857950.0,726240.0,0.0,127534.0,16946.0,37948.0,399143.0,0.0,0.0,0.0,0.0,0.0,256862.0,0.0,30848.0,111433.0,0.0,262015.0,988814.0,0.0,4786747.0,1647391.0,28448.0,960175.0,13114.0,617141.0,0.0,0.0,28513.0,0.0,0.0,2170343.0,2141711.0,0.0,9691.0,0.0,0.0,18941.0,0.0,0.0,0.0,969013.0,1182491.0,1719.0,0.0,0.0,-215245.0,48.0,0.0,0.0,0.0
1Q2013,2013,3,Good,16.082500457763672,11.615099906921387,15.189000129699707,13.553999900817871,16285867.333333334,13.229366620381674,4647550.0,2887421.0,33635.0,1003439.0,840266.0,806077.0,0.0,148237.0,16983.0,38784.0,409436.0,0.0,0.0,0.0,0.0,0.0,290405.0,0.0,0.0,119031.0,0.0,262899.0,1087794.0,0.0,4647550.0,1499788.0,30708.0,834652.0,9967.0,576475.0,0.0,0.0,47986.0,0.0,0.0,2239542.0,2200504.0,4184.0,11943.0,0.0,0.0,22911.0,0.0,0.0,0.0,908220.0,1182491.0,2226.0,0.0,0.0,-276371.0,-126.0,0.0,0.0,0.0
2Q2013,2013,6,Good,13.678999900817871,5.503779888153076,13.205499649047852,5.932650089263916,16970125.333333332,8.36588684717814,5602229.0,3675245.0,136718.0,1727769.0,769860.0,811872.0,0.0,157327.0,21291.0,50408.0,454803.0,0.0,0.0,0.0,0.0,0.0,314032.0,0.0,0.0,140771.0,0.0,264009.0,1208172.0,0.0,5602229.0,1605001.0,38714.0,979441.0,10205.0,489494.0,0.0,0.0,87147.0,0.0,0.0,3137553.0,3104166.0,6285.0,2791.0,0.0,0.0,24311.0,0.0,0.0,0.0,859675.0,1182491.0,2996.0,0.0,0.0,-325700.0,-112.0,0.0,0.0,0.0
3Q2013,2013,9,Good,14.563599586486816,5.530590057373047,6.334710121154785,12.660499572753906,19822855.666666668,11.433466593424479,5771580.0,3615125.0,30423.0,1655452.0,780146.0,947680.0,0.0,125793.0,28883.0,46748.0,565610.0,0.0,0.0,0.0,0.0,0.0,335287.0,0.0,0.0,230323.0,0.0,275946.0,1314899.0,0.0,5771580.0,1994006.0,44131.0,1311423.0,21557.0,543084.0,0.0,0.0,73811.0,0.0,0.0,2944638.0,2861362.0,36560.0,20355.0,0.0,0.0,26361.0,0.0,0.0,0.0,832936.0,1193473.0,3767.0,0.0,0.0,-364295.0,-9.0,0.0,0.0,0.0
4Q2013,2013,12,Good,16.04669952392578,11.061200141906738,12.776599884033203,13.64330005645752,11124388.0,13.714799880981445,6613476.0,4142478.0,89501.0,1789328.0,922400.0,1096098.0,0.0,165180.0,28999.0,50972.0,609046.0,0.0,0.0,0.0,0.0,0.0,342930.0,0.0,0.0,266116.0,0.0,319636.0,1542316.0,0.0,6613476.0,2556308.0,43194.0,1879664.0,19260.0,506499.0,0.0,0.0,107691.0,0.0,0.0,3227495.0,3074147.0,35910.0,74085.0,0.0,0.0,43353.0,0.0,0.0,0.0,829673.0,1198991.0,5655.0,0.0,0.0,-374807.0,-166.0,0.0,0.0,0.0
1Q2014,2014,3,Bad,24.97249984741211,12.06190013885498,13.64330005645752,24.74020004272461,10310223.666666666,22.11043357849121,6723963.0,4052094.0,111146.0,1501038.0,936017.0,1221923.0,0.0,196592.0,31498.0,53880.0,671188.0,0.0,0.0,0.0,0.0,0.0,376604.0,0.0,0.0,294584.0,0.0,344432.0,1656249.0,0.0,6723963.0,2447492.0,43725.0,1819212.0,16427.0,479799.0,0.0,0.0,88329.0,0.0,0.0,3503241.0,3335625.0,41884.0,82337.0,0.0,0.0,43395.0,0.0,0.0,0.0,773230.0,1198991.0,7079.0,0.0,0.0,-432422.0,-418.0,0.0,0.0,0.0
2Q2014,2014,6,Bad,32.28969955444336,21.66670036315918,24.525800704956055,27.02869987487793,13304147.0,24.907400131225586,6899414.0,3970224.0,290125.0,1658087.0,840950.0,898303.0,0.0,197681.0,29224.0,55854.0,705348.0,0.0,0.0,0.0,0.0,0.0,414094.0,0.0,402.0,290852.0,0.0,366826.0,1857016.0,0.0,6899414.0,2314953.0,52470.0,1472668.0,19238.0,689254.0,0.0,0.0,81323.0,0.0,0.0,2393322.0,2297004.0,0.0,56185.0,0.0,0.0,40133.0,0.0,0.0,0.0,2191139.0,1198991.0,1489683.0,0.0,0.0,-497001.0,-534.0,0.0,0.0,0.0
3Q2014,2014,9,Bad,41.508399963378906,26.29509925842285,27.42449951171875,31.662200927734375,11093086.666666666,33.51240030924479,6594968.0,3331577.0,185730.0,939964.0,892441.0,998953.0,0.0,219278.0,28260.0,66951.0,836726.0,0.0,0.0,0.0,0.0,0.0,481615.0,0.0,10755.0,344356.0,0.0,420423.0,2006242.0,0.0,6594968.0,2027569.0,73075.0,1340707.0,31217.0,346763.0,0.0,0.0,235807.0,0.0,0.0,1515487.0,1419201.0,0.0,56596.0,0.0,0.0,39690.0,0.0,0.0,0.0,3051912.0,3601113.0,10455.0,0.0,0.0,-559059.0,-597.0,0.0,0.0,0.0
4Q2014,2014,12,Bad,33.7859001159668,20.590099334716797,30.996200561523438,21.66160011291504,17769497.666666668,26.819599787394207,7634965.0,4027890.0,195349.0,1315849.0,897640.0,1366221.0,0.0,145594.0,31696.0,75541.0,1061665.0,0.0,0.0,0.0,0.0,0.0,504974.0,0.0,5736.0,550955.0,0.0,474169.0,2071241.0,0.0,7634965.0,3107329.0,65723.0,2145347.0,34640.0,574549.0,0.0,0.0,287070.0,0.0,0.0,1448179.0,1335018.0,0.0,72786.0,0.0,0.0,40375.0,0.0,0.0,0.0,3079457.0,3605326.0,12671.0,0.0,0.0,-538120.0,-420.0,0.0,0.0,0.0
