"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - B2W - COMPANHIA GLOBAL DO VAREJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,14.178.157,14.450.958,13.031.194,13.048.977,12.595.094,12.985.612,12.623.127,11.687.373,11.156.145,10.228.080,10.241.349,9.718.122,9.448.509,8.914.891,9.948.401,8.265.026,7.746.757,7.684.984,7.634.965,6.594.968,6.899.414,6.723.963,6.613.476,5.771.580,5.602.229,4.647.550,4.786.747,4.439.950,4.437.341,3.922.775,4.090.027,3.700.765,4.198.144,3.334.005,3.212.014,2.874.857,2.524.598,2.135.122,2.324.320,2.056.344,2.288.432,2.293.660
Ativo Circulante,7.701.478,8.013.883,7.032.072,7.230.935,6.931.738,7.276.022,6.959.525,6.119.346,5.656.861,4.782.366,4.936.400,4.501.586,4.358.309,4.099.507,5.257.690,3.633.042,3.501.570,3.609.719,4.027.890,3.331.577,3.970.224,4.052.094,4.142.478,3.615.125,3.675.245,2.887.421,3.136.775,2.855.901,2.927.314,2.550.708,2.801.029,2.487.153,3.059.867,2.356.002,2.324.297,2.065.694,1.755.524,1.516.458,1.723.151,1.498.280,1.732.182,1.761.836
Caixa e Equivalentes de Caixa AC,3.313.209,3.744.146,3.119.948,3.122.940,2.642.489,2.556.514,1.469.500,1.422.241,1.693.501,450.079,224.248,203.672,257.386,193.767,329.424,123.715,53.193,161.193,195.349,185.730,290.125,111.146,89.501,30.423,136.718,33.635,36.267,34.430,22.520,29.250,15.297,17.135,10.242,8.049,15.283,582.042,480.159,360.744,609.879,299.982,430.105,717.009
Aplicações Financeiras AC,2.156.692,2.119.869,1.920.738,1.962.877,2.151.809,2.327.580,2.987.229,2.354.871,1.799.532,1.752.552,1.742.541,1.269.133,1.596.102,1.735.991,2.239.205,1.084.604,1.226.558,1.143.086,1.315.849,939.964,1.658.087,1.501.038,1.789.328,1.655.452,1.727.769,1.003.439,1.333.890,1.133.027,1.307.444,689.287,923.113,740.714,968.991,748.746,790.707,0,0,0,0,0,0,0
Contas a Receber AC,480.066,423.389,155.489,289.845,213.160,328.802,414.750,448.514,340.260,625.399,689.083,869.223,631.291,722.245,858.431,685.380,589.024,826.015,897.640,892.441,840.950,936.017,922.400,780.146,769.860,840.266,857.950,858.987,796.793,1.117.643,1.133.190,1.058.323,1.369.362,910.157,817.201,812.685,624.997,572.664,427.228,576.491,565.024,355.665
Estoques AC,852.378,840.672,879.569,845.282,871.191,1.053.270,1.207.347,1.050.989,997.875,1.238.912,1.541.324,1.605.742,1.434.964,976.913,1.425.872,1.360.702,1.213.240,1.214.046,1.366.221,998.953,898.303,1.221.923,1.096.098,947.680,811.872,806.077,726.240,610.984,583.159,480.909,510.934,493.180,524.824,524.986,560.013,522.375,511.399,412.147,490.397,435.188,387.400,329.079
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,513.582,449.626,492.407,484.494,472.399,477.030,397.827,309.251,364.385,371.285,441.343,288.823,223.411,228.117,205.888,176.403,150.988,149.106,145.594,219.278,197.681,196.592,165.180,125.793,157.327,148.237,127.534,182.718,154.686,121.988,116.654,87.186,72.179,57.438,54.919,0,0,0,0,0,0,0
Despesas Antecipadas AC,30.842,33.748,37.293,32.726,32.368,33.277,36.142,34.503,41.634,46.504,51.952,48.754,32.681,75.205,79.599,42.773,37.989,33.149,31.696,28.260,29.224,31.498,28.999,28.883,21.291,16.983,16.946,16.006,9.126,21.740,17.790,13.360,10.495,21.129,18.783,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,354.709,402.433,426.628,492.771,548.322,499.549,446.730,498.977,419.674,297.635,245.909,216.239,182.474,167.269,119.271,159.465,230.578,83.124,75.541,66.951,55.854,53.880,50.972,46.748,50.408,38.784,37.948,19.749,53.586,89.891,84.051,77.255,103.774,85.497,67.391,148.592,138.969,170.903,195.647,186.619,349.653,360.083
Ativo Realizavel Longo Prazo ,2.841.786,2.799.508,2.597.367,2.433.556,2.268.130,2.281.665,2.206.597,2.168.994,2.088.363,2.047.936,1.881.549,1.848.890,1.751.848,1.512.025,1.441.966,1.490.392,1.356.150,1.245.622,1.061.665,836.726,705.348,671.188,609.046,565.610,454.803,409.436,399.143,362.804,338.203,300.455,266.369,252.685,233.934,194.825,169.202,156.965,156.380,58.906,62.393,38.948,41.024,37.421
Aplicações Financeiras Avaliadas a Valor Justo ACLP,92.423,71.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,8.804,3.229,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,1.051,1.051,1.051,1.051,138.505,135.920,58.906,62.393,38.948,41.024,37.421
Estoques ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,1.012.679,953.711,928.711,880.779,820.397,722.770,673.801,595.007,551.559,474.252,726.178,678.244,625.041,504.974,481.615,414.094,376.604,342.930,335.287,314.032,290.405,256.862,321.597,285.746,255.742,226.092,218.431,181.124,155.301,134.943,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,1.301.669,1.239.593,1.163.874,1.134.709,1.071.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.914,5.736,10.755,402,0,0,0,0,0,30.848,24.680,18.069,15.623,19.604,14.766,21.658,14.759,19.361,18.460,20.460,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,13.984,41.013,0,0,1.268.986,1.252.886,1.240.283,1.207.584,1.227.539,1.158.779,1.175.089,1.156.841,960.466,967.714,764.214,677.906,603.667,550.955,344.356,290.852,294.584,266.116,230.323,140.771,119.031,111.433,16.527,34.388,29.090,19.802,17.457,21.297,20.485,13.847,0,0,0,0,0,0,0
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
