Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,19.34000015258789,15.949999809265137,16.25,17.809999465942383,103775333.33333333,12.34359327952067,14612522.0,2178090.0,1472105.0,36525.0,438247.0,0.0,0.0,49917.0,20601.0,160695.0,3322282.0,659.0,0.0,19587.0,0.0,0.0,401469.0,1438.0,146246.0,2752883.0,0.0,527406.0,8584744.0,0.0,14612522.0,5454456.0,143085.0,336402.0,287541.0,3308556.0,78380.0,953554.0,139324.0,207614.0,0.0,6145719.0,4600505.0,201308.0,415713.0,204820.0,0.0,723373.0,0.0,0.0,30416.0,2981931.0,2025342.0,0.0,0.0,628860.0,329739.0,0.0,-2010.0,0.0,0.0
4Q2012,2012,12,Bad,19.600000381469727,17.219999313354492,18.350000381469727,19.450000762939453,70016066.66666667,13.2034060160319,14305826.0,1603684.0,872491.0,9765.0,447073.0,0.0,0.0,71476.0,71698.0,131181.0,3359170.0,667.0,0.0,19732.0,0.0,0.0,440149.0,7837.0,149159.0,2741626.0,0.0,560906.0,8782066.0,0.0,14305826.0,3743691.0,139538.0,365314.0,334504.0,2519747.0,86787.0,257.0,149632.0,147912.0,0.0,7199803.0,5634667.0,203437.0,385185.0,218599.0,0.0,757915.0,0.0,0.0,53456.0,3308876.0,2025342.0,-22934.0,0.0,1306144.0,0.0,0.0,324.0,0.0,0.0
1Q2013,2013,3,Bad,21.959999084472656,18.93000030517578,19.450000762939453,20.059999465942383,88966100.0,14.480315844217936,13000129.0,1337716.0,798614.0,0.0,303422.0,0.0,0.0,66410.0,20625.0,148645.0,3491605.0,673.0,0.0,20175.0,0.0,0.0,436928.0,1402.0,288491.0,2743936.0,705153.0,478107.0,6987547.0,0.0,13000129.0,3334730.0,140278.0,146450.0,219428.0,2531125.0,49757.0,258.0,112433.0,135001.0,0.0,5969865.0,4771017.0,96403.0,131341.0,212472.0,0.0,758632.0,0.0,0.0,53987.0,3641546.0,2025342.0,-22934.0,0.0,1306144.0,336669.0,0.0,-3675.0,0.0,0.0
2Q2013,2013,6,Bad,21.010000228881836,15.449999809265137,20.600000381469727,17.690000534057617,95361566.66666667,13.670588493347168,13294284.0,1449024.0,866569.0,0.0,317730.0,0.0,0.0,64632.0,17781.0,182312.0,3475501.0,681.0,0.0,21288.0,0.0,0.0,451804.0,1371.0,244705.0,2755652.0,674153.0,472719.0,7222887.0,0.0,13294284.0,2717610.0,109137.0,163858.0,260450.0,1858745.0,54808.0,271.0,107878.0,162463.0,0.0,6627073.0,5410768.0,98163.0,156932.0,214666.0,0.0,746544.0,0.0,0.0,61171.0,3888430.0,2025342.0,-22934.0,0.0,1205369.0,641104.0,0.0,39549.0,0.0,0.0
3Q2013,2013,9,Bad,18.93000030517578,16.299999237060547,17.790000915527344,17.350000381469727,101103066.66666667,12.63475259145101,14007118.0,1921397.0,1345768.0,0.0,339395.0,0.0,0.0,75695.0,16302.0,144237.0,3490069.0,689.0,0.0,21763.0,0.0,0.0,479122.0,1331.0,249514.0,2737650.0,694529.0,527105.0,7374018.0,0.0,14007118.0,4233523.0,127711.0,201352.0,352343.0,2000491.0,74143.0,1201181.0,96011.0,180291.0,0.0,6610848.0,5390478.0,104415.0,161993.0,221815.0,0.0,732147.0,0.0,0.0,66815.0,3095932.0,2025342.0,-22934.0,0.0,639770.0,409606.0,0.0,44148.0,0.0,0.0
4Q2013,2013,12,Bad,18.959999084472656,16.920000076293945,17.59000015258789,17.770000457763672,87713000.0,13.701697985331217,14033010.0,1824915.0,1265675.0,0.0,336574.0,0.0,0.0,67933.0,53226.0,101507.0,3515615.0,698.0,0.0,23711.0,0.0,0.0,498381.0,7715.0,258794.0,2726316.0,583895.0,550950.0,7557635.0,0.0,14033010.0,3346299.0,128632.0,189941.0,381115.0,2329307.0,63042.0,422.0,100669.0,153171.0,0.0,7201170.0,5932301.0,108203.0,161752.0,229513.0,0.0,769401.0,0.0,0.0,49523.0,3436018.0,2025342.0,-22934.0,0.0,1355761.0,0.0,77849.0,0.0,0.0,0.0
1Q2014,2014,3,Bad,17.950000762939453,14.880000114440918,17.770000457763672,17.420000076293945,99059466.66666667,12.239185651143393,14899677.0,2460072.0,1783414.0,0.0,382687.0,0.0,0.0,37766.0,30917.0,225288.0,3621420.0,708.0,0.0,27222.0,0.0,0.0,539460.0,1239.0,263706.0,2789085.0,629302.0,559788.0,7629095.0,0.0,14899677.0,3753800.0,151885.0,192004.0,226667.0,2787888.0,60879.0,422.0,175637.0,158418.0,0.0,7194731.0,5861246.0,115085.0,184802.0,239420.0,0.0,794178.0,0.0,0.0,213052.0,3738094.0,2025342.0,-22934.0,0.0,1355761.0,343095.0,36830.0,0.0,0.0,0.0
2Q2014,2014,6,Bad,19.0,16.719999313354492,17.520000457763672,18.0,72460433.33333333,13.264574686686197,15260873.0,2345848.0,1690127.0,0.0,425940.0,0.0,0.0,52239.0,28920.0,148622.0,3734236.0,717.0,0.0,74080.0,0.0,0.0,594297.0,1235.0,249269.0,2814638.0,668936.0,579693.0,7932160.0,0.0,15260873.0,3768289.0,121031.0,224308.0,261362.0,2876872.0,44308.0,435.0,106594.0,133379.0,0.0,7400541.0,6031403.0,112361.0,183714.0,257387.0,0.0,815676.0,0.0,0.0,217516.0,3874527.0,2025342.0,-24520.0,0.0,1254986.0,618857.0,-138.0,0.0,0.0,0.0
3Q2014,2014,9,Bad,21.360000610351562,16.25,18.110000610351562,16.780000686645508,83044733.33333333,13.774888674418131,17236908.0,2763893.0,1922954.0,0.0,560323.0,0.0,0.0,93542.0,24758.0,162316.0,3811105.0,726.0,0.0,102525.0,0.0,0.0,620829.0,1957.0,280975.0,2804093.0,726201.0,611418.0,9324290.0,0.0,17236908.0,5416013.0,149577.0,251431.0,340945.0,3042795.0,47401.0,1299644.0,171658.0,112562.0,0.0,8591116.0,6226235.0,112903.0,1171848.0,255613.0,0.0,824517.0,0.0,0.0,219478.0,3010300.0,2025342.0,-24520.0,0.0,515690.0,404908.0,88880.0,0.0,0.0,0.0
4Q2014,2014,12,Bad,18.940000534057617,14.130000114440918,16.56999969482422,15.40999984741211,187931852.33333334,13.436815897623697,17223176.0,2531046.0,1588647.0,0.0,645264.0,0.0,0.0,107942.0,64799.0,124394.0,3545253.0,736.0,0.0,118111.0,0.0,0.0,320744.0,1179.0,196882.0,2907601.0,790591.0,649180.0,9707106.0,0.0,17223176.0,4514031.0,157579.0,275420.0,328028.0,3436273.0,46290.0,514.0,184105.0,85822.0,0.0,9038932.0,7014488.0,122897.0,1177358.0,253511.0,0.0,470678.0,0.0,0.0,201210.0,3469003.0,2025342.0,-24855.0,0.0,1304531.0,0.0,163985.0,0.0,0.0,0.0
