"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - COMPANHIA DE CONCESSÕES RODOVIÁRIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,30.583.024,31.257.752,30.815.998,31.910.504,30.316.876,31.223.044,30.612.208,28.878.457,28.285.137,27.641.266,24.555.848,23.853.494,22.222.299,22.710.315,21.683.495,20.997.333,19.508.652,18.681.297,17.223.176,17.236.908,15.260.873,14.899.677,14.033.010,14.007.118,13.294.284,13.000.129,14.305.826,14.612.522,13.887.781,13.171.442,12.851.366,12.668.764,12.988.610,13.026.912,12.767.531,10.789.402,11.198.243,10.734.411,9.084.829,7.436.631,6.862.903,6.677.860
Ativo Circulante,4.792.250,5.322.923,4.740.722,6.315.917,4.866.835,6.734.472,6.424.592,5.260.832,4.920.700,6.644.224,4.244.386,4.298.073,3.185.433,4.236.905,3.704.623,4.039.230,3.471.996,3.384.242,2.531.046,2.763.893,2.345.848,2.460.072,1.824.915,1.921.397,1.449.024,1.337.716,1.603.684,2.178.090,2.069.913,1.639.911,1.380.739,1.386.337,1.838.518,1.816.434,1.721.541,1.736.942,2.425.499,2.373.576,2.535.619,1.334.960,1.329.127,1.467.379
Caixa e Equivalentes de Caixa AC,753.933,1.454.322,1.267.097,1.813.142,1.466.695,2.277.503,2.835.226,3.620.227,3.395.881,5.285.888,2.821.220,2.708.507,1.630.615,2.606.191,2.296.420,2.756.174,2.519.545,2.305.977,1.588.647,1.922.954,1.690.127,1.783.414,1.265.675,1.345.768,866.569,798.614,872.491,1.472.105,1.432.511,1.017.439,30.006,785.132,1.281.010,1.357.823,33.626,1.201.436,1.925.296,1.994.493,2.121.145,712.638,847.215,1.071.928
Aplicações Financeiras AC,2.325.436,2.186.214,1.754.487,2.890.914,1.812.426,2.853.407,1.999.777,17.884,17.495,17.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.765,36.525,44.021,40.663,733.329,4,3,3,1.145.046,0,0,0,0,0,0,0
Contas a Receber AC,884.741,917.932,896.965,828.519,847.209,913.359,904.611,840.119,785.813,809.581,873.636,1.054.359,987.347,1.004.063,909.174,814.165,589.998,621.704,645.264,560.323,425.940,382.687,336.574,339.395,317.730,303.422,447.073,438.247,373.259,384.021,430.261,388.116,364.652,297.707,321.193,336.498,315.345,240.549,233.842,215.539,196.204,184.099
Estoques AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,593,107,0,0,0,0
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,124.305,113.627,150.137,131.562,121.852,116.424,180.513,136.816,138.757,120.830,143.299,142.446,150.446,129.065,108.023,82.106,82.390,96.969,107.942,93.542,52.239,37.766,67.933,75.695,64.632,66.410,71.476,49.917,65.112,59.525,39.970,79.521,73.299,34.351,92.658,0,0,0,0,0,0,0
Despesas Antecipadas AC,48.255,50.308,41.409,50.153,40.876,35.441,33.235,38.979,108.254,67.282,65.271,71.986,73.710,76.741,90.156,67.531,64.610,85.044,64.799,24.758,28.920,30.917,53.226,16.302,17.781,20.625,71.698,20.601,21.323,22.863,43.185,17.297,16.742,16.823,39.847,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,655.580,600.520,630.627,601.627,577.777,538.338,471.230,606.807,474.500,343.478,340.960,320.775,343.315,420.845,300.850,319.254,215.453,274.548,124.394,162.316,148.622,225.288,101.507,144.237,182.312,148.645,131.181,160.695,133.687,115.400,103.988,116.267,102.812,109.727,89.171,198.181,184.265,138.427,180.632,406.783,285.708,211.352
Ativo Realizavel Longo Prazo ,5.984.483,6.036.303,6.131.493,6.529.122,6.573.516,6.561.122,6.478.481,6.934.442,6.307.451,5.919.494,5.708.036,5.624.584,5.377.006,5.254.542,4.523.876,4.287.532,3.957.219,3.786.104,3.545.253,3.811.105,3.734.236,3.621.420,3.515.615,3.490.069,3.475.501,3.491.605,3.359.170,3.322.282,3.169.831,3.647.782,3.585.218,3.483.397,3.407.593,3.362.387,3.272.096,3.110.358,3.053.264,2.873.989,2.184.767,1.912.332,1.653.433,1.405.503
