"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - CIELO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,89.633.464,84.166.083,82.563.088,82.427.888,80.526.655,83.007.046,88.347.181,77.682.582,80.003.211,30.937.207,30.544.071,28.953.479,27.846.506,29.063.027,29.977.801,29.121.524,28.004.624,28.082.545,18.679.675,13.863.947,13.460.114,13.245.413,13.310.582,12.145.788,11.511.037,10.147.446,10.037.189,7.742.677,5.865.108,5.222.459,5.081.182,4.298.447,4.037.806,3.867.519,3.771.406,3.549.426,3.177.783,2.812.974,2.490.947,2.051.257,1.888.225,1.913.334
Ativo Circulante,76.944.826,71.660.315,65.967.301,65.780.249,64.060.195,66.723.693,71.933.616,61.320.278,63.503.614,14.337.250,13.743.400,12.210.799,11.094.686,12.060.600,12.675.854,11.549.115,11.092.204,11.015.926,13.681.733,9.293.736,9.210.057,9.040.291,9.104.461,8.127.315,7.581.201,6.416.612,6.338.629,4.440.829,4.085.349,3.472.870,3.361.330,2.747.083,2.629.519,2.542.120,2.536.321,2.358.670,2.040.959,1.727.740,1.919.657,1.469.403,1.297.084,1.270.941
Caixa e Equivalentes de Caixa AC,44.575,661.821,2.874.424,4.282.660,4.439.172,5.987.884,6.024.197,5.218.738,2.755.711,4.396.044,2.658.956,2.193.569,1.228.552,1.660.525,1.249.524,1.273.521,1.208.278,1.080.587,3.998.721,462.826,431.439,376.237,423.062,469.239,429.665,420.071,431.155,393.231,301.254,284.416,292.915,273.486,253.050,237.837,250.603,245.816,211.041,171.456,510.242,360.695,344.760,285.871
Aplicações Financeiras AC,8.718.350,7.028.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber AC,68.089.897,63.833.514,63.092.875,61.497.590,59.401.257,60.700.824,65.869.951,56.101.540,60.747.907,9.941.206,11.084.444,10.004.109,9.866.134,10.289.410,11.213.016,10.275.594,9.883.926,9.935.338,9.683.012,8.830.910,8.778.618,8.664.054,8.681.399,7.658.076,7.151.536,5.996.541,5.907.474,4.047.598,3.784.095,3.188.454,3.068.415,2.473.597,2.376.469,2.304.283,2.285.718,2.105.770,1.823.006,1.542.756,1.403.528,1.101.032,943.311,978.328
Estoques AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,92.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,0,136.668,0,0,219.767,34.986,39.465,0,0,0,0,13.121,0,110.665,213.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.084,6.912,13.528,5.887,7.676,9.013,6.742
