Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,26.484899520874023,15.941900253295898,24.589099884033203,16.138900756835938,92645522.0,12.848618507385254,39222657.0,9970105.0,2538780.0,2141364.0,3085935.0,80174.0,0.0,556473.0,0.0,1567379.0,15733001.0,0.0,199787.0,1935552.0,0.0,0.0,1196061.0,0.0,0.0,12401601.0,151816.0,8752301.0,4615434.0,0.0,39222657.0,11021911.0,263452.0,1439751.0,736063.0,6928670.0,0.0,642704.0,1011271.0,0.0,0.0,14365843.0,9684275.0,0.0,3832326.0,305842.0,0.0,543400.0,0.0,0.0,0.0,13834903.0,4265091.0,3953850.0,0.0,2353537.0,2334206.0,918573.0,9646.0,0.0,0.0
4Q2012,2012,12,Bad,17.892000198364258,14.346400260925293,16.112600326538086,14.838899612426758,129332517.66666667,9.482611338297525,40772960.0,11990079.0,2485810.0,1557804.0,5294830.0,68092.0,0.0,623456.0,0.0,1960087.0,15273273.0,161750.0,0.0,325728.0,0.0,0.0,1451794.0,0.0,0.0,13334001.0,225599.0,8810529.0,4473481.0,0.0,40772960.0,14307372.0,260047.0,1735462.0,696195.0,7106306.0,0.0,3478810.0,1030552.0,0.0,0.0,14421527.0,9064004.0,0.0,3941467.0,947870.0,0.0,468186.0,0.0,0.0,0.0,12044062.0,4265091.0,3953850.0,0.0,2856176.0,0.0,968945.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,17.071199417114258,13.486300468444824,14.838899612426758,15.508500099182129,164688606.33333334,8.970375061035156,30812750.0,6991070.0,2041352.0,625190.0,3206051.0,39312.0,0.0,367509.0,0.0,711656.0,8868763.0,0.0,73120.0,225066.0,0.0,0.0,1254036.0,0.0,0.0,7316541.0,7085797.0,6036345.0,1830775.0,0.0,30812750.0,10568898.0,343675.0,1261276.0,427492.0,6327874.0,0.0,1546932.0,661649.0,0.0,0.0,7829384.0,3501036.0,0.0,3760401.0,287987.0,0.0,279960.0,0.0,0.0,0.0,12414468.0,4265091.0,3953851.0,0.0,2856176.0,892615.0,446735.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,17.390499114990234,13.647100448608398,15.429800033569336,14.684900283813477,159121086.66666666,9.689855575561523,30077942.0,7490510.0,1630058.0,2656096.0,2130674.0,39882.0,0.0,349522.0,0.0,684278.0,9030705.0,0.0,173893.0,254826.0,0.0,0.0,1200897.0,0.0,0.0,7401089.0,5705822.0,5950404.0,1900501.0,0.0,30077942.0,6230970.0,212423.0,1030230.0,436832.0,2421998.0,0.0,1418731.0,710756.0,0.0,0.0,11438456.0,7041185.0,0.0,3819447.0,276202.0,0.0,301622.0,0.0,0.0,0.0,12408516.0,4813362.0,3405579.0,0.0,2228045.0,1543716.0,417814.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,16.27120018005371,13.269000053405762,14.506999969482422,14.262299537658691,93762784.0,9.397690137227377,30714108.0,7701510.0,2111144.0,2438468.0,2145441.0,35862.0,0.0,333345.0,0.0,637250.0,9068786.0,0.0,121041.0,244588.0,0.0,0.0,1231942.0,0.0,0.0,7471215.0,6122560.0,5880838.0,1940415.0,0.0,30714108.0,6061965.0,224186.0,1008995.0,452608.0,2485579.0,0.0,1169349.0,721248.0,0.0,0.0,11454218.0,7052810.0,0.0,3851620.0,260012.0,0.0,289776.0,0.0,0.0,0.0,13197926.0,4813362.0,3405579.0,0.0,2228045.0,2365684.0,385256.0,0.0,0.0,0.0
4Q2013,2013,12,Bad,15.099900245666504,13.165200233459473,14.403200149536133,13.580900192260742,79291328.0,9.241421699523926,29814143.0,6668783.0,2201827.0,933571.0,2211954.0,37726.0,0.0,730159.0,0.0,553546.0,9163114.0,0.0,89723.0,188595.0,0.0,0.0,1220896.0,0.0,0.0,7663900.0,6160800.0,5817455.0,2003990.0,0.0,29814143.0,5921641.0,185693.0,1066358.0,533452.0,2237766.0,0.0,1107664.0,790708.0,0.0,0.0,11254144.0,7219598.0,0.0,3472348.0,255813.0,0.0,306385.0,0.0,0.0,0.0,12638358.0,6294208.0,1924733.0,0.0,3839882.0,0.0,579534.0,0.0,0.0,0.0
1Q2014,2014,3,Bad,15.209500312805176,12.029899597167969,13.580900192260742,14.782899856567383,189570184.66666666,9.33751360575358,31727587.0,6792025.0,1110535.0,860454.0,3106463.0,37421.0,0.0,354436.0,0.0,1322716.0,9438782.0,0.0,71985.0,171068.0,0.0,0.0,1258753.0,0.0,0.0,7936976.0,7871089.0,5766016.0,1859675.0,0.0,31727587.0,6739072.0,152397.0,1716538.0,602928.0,2325485.0,0.0,1107628.0,834096.0,0.0,0.0,11101483.0,7109164.0,0.0,3474675.0,245433.0,0.0,272211.0,0.0,0.0,0.0,13887032.0,6294208.0,1924503.0,0.0,3839882.0,1260160.0,568279.0,0.0,0.0,0.0
2Q2014,2014,6,Bad,18.03030014038086,14.307900428771973,14.879899978637695,15.645700454711914,123678670.0,10.69159730275472,32735248.0,7354716.0,1988777.0,1238040.0,2819544.0,37335.0,0.0,291170.0,0.0,979850.0,9766187.0,0.0,41367.0,178056.0,0.0,0.0,1367994.0,0.0,0.0,8178770.0,8179227.0,5697763.0,1737355.0,0.0,32735248.0,8725365.0,173253.0,1443812.0,494294.0,4456947.0,0.0,1331673.0,825386.0,0.0,0.0,11141640.0,7096882.0,0.0,3521429.0,236311.0,0.0,287018.0,0.0,0.0,0.0,12868243.0,6294208.0,1924503.0,0.0,2081355.0,2020873.0,547304.0,0.0,0.0,0.0
3Q2014,2014,9,Bad,19.387500762939453,13.89109992980957,15.752300262451172,14.530900001525879,88069694.66666667,12.251544634501139,31934423.0,6066789.0,1326744.0,987660.0,2238849.0,34238.0,0.0,349477.0,0.0,1129821.0,10062781.0,0.0,14148.0,215844.0,0.0,0.0,1430723.0,0.0,0.0,8402066.0,8535524.0,5640273.0,1629056.0,0.0,31934423.0,7806127.0,196305.0,1534932.0,498693.0,4697841.0,0.0,46282.0,832074.0,0.0,0.0,11225132.0,7107882.0,0.0,3571809.0,237746.0,0.0,307695.0,0.0,0.0,0.0,12903164.0,6294208.0,1924503.0,0.0,2081355.0,2070077.0,533021.0,0.0,0.0,0.0
4Q2014,2014,12,Bad,16.789499282836914,11.690600395202637,14.240099906921387,12.737600326538086,155666046.0,9.657614390055338,35000005.0,6554378.0,887143.0,993994.0,2462698.0,39887.0,0.0,508505.0,0.0,1662151.0,11482918.0,0.0,17278.0,208906.0,0.0,0.0,1245726.0,0.0,0.0,10011008.0,8039791.0,5543620.0,3379296.0,0.0,35000005.0,10123317.0,194608.0,1603716.0,597264.0,5290655.0,0.0,1643451.0,793623.0,0.0,0.0,13591734.0,8218083.0,0.0,4007207.0,611469.0,0.0,754975.0,0.0,0.0,4041.0,11280911.0,6294208.0,1924503.0,0.0,2593868.0,0.0,468332.0,0.0,0.0,0.0
