"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - CEMIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,65.555.984,60.213.629,59.854.672,43.183.096,41.738.129,40.636.953,42.239.586,41.832.075,41.916.088,41.764.090,42.035.851,43.187.544,42.735.358,41.399.099,40.857.088,38.584.648,37.113.295,36.383.261,35.000.005,31.934.423,32.735.248,31.727.587,29.814.143,30.714.108,30.077.942,30.812.750,40.772.960,39.222.657,37.556.924,37.852.631,37.357.744,36.940.313,35.274.899,34.309.083,33.555.833,0,0,0,0,0,0,0
Ativo Circulante,27.617.151,27.758.563,27.796.074,9.536.516,7.312.878,6.913.109,8.537.303,7.855.582,7.874.788,7.901.975,8.285.470,8.624.362,8.156.182,7.478.878,9.376.738,8.300.478,13.516.391,12.668.574,6.554.378,6.066.789,7.354.716,6.792.025,6.668.783,7.701.510,7.490.510,6.991.070,11.990.079,9.970.105,8.565.893,8.462.174,8.531.649,9.812.604,9.161.417,8.781.865,8.085.576,9.365.046,8.898.428,9.557.004,9.444.415,8.580.662,7.886.252,7.995.024
Caixa e Equivalentes de Caixa AC,748.540,796.441,890.804,1.493.383,940.937,422.328,1.030.257,582.382,946.103,842.265,995.132,1.693.078,1.500.415,1.192.976,924.632,1.606.057,757.015,617.572,887.143,1.326.744,1.988.777,1.110.535,2.201.827,2.111.144,1.630.058,2.041.352,2.485.810,2.538.780,2.335.270,2.234.744,2.862.490,3.851.624,3.037.108,2.733.242,2.979.693,4.178.835,3.754.516,4.495.283,4.424.959,2.769.169,2.250.277,2.705.591
Aplicações Financeiras AC,665.710,506.095,703.551,571.620,288.035,438.513,1.058.384,690.991,1.101.213,840.999,1.014.188,910.983,932.321,795.985,2.426.746,1.044.600,517.917,448.461,993.994,987.660,1.238.040,860.454,933.571,2.438.468,2.656.096,625.190,1.557.804,2.141.364,856.396,812.968,358.987,89.341,715.415,849.931,321.858,0,0,0,0,0,0,0
Contas a Receber AC,4.544.176,4.387.766,4.211.465,4.210.225,3.768.848,3.707.567,4.197.303,3.861.255,3.532.103,3.826.967,3.436.404,3.490.777,3.328.885,3.444.498,3.826.502,3.294.992,3.595.168,3.458.053,2.462.698,2.238.849,2.819.544,3.106.463,2.211.954,2.145.441,2.130.674,3.206.051,5.294.830,3.085.935,3.029.496,3.069.043,4.680.856,3.888.041,3.678.559,2.817.742,3.878.702,4.503.380,4.489.883,4.442.940,4.650.008,5.340.299,5.254.084,4.759.961
Estoques AC,33.592,32.010,35.619,30.911,33.730,35.186,38.134,48.605,47.997,48.155,49.473,38.419,40.817,37.597,37.264,42.298,40.494,38.070,39.887,34.238,37.335,37.421,37.726,35.862,39.882,39.312,68.092,80.174,67.253,61.993,54.430,53.114,49.810,42.577,41.080,46.832,44.616,42.790,35.032,35.407,36.452,36.817
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,8.143,371.881,510.851,1.232.502,540.195,448.359,513.364,804.261,730.236,661.897,825.803,587.523,578.720,551.392,481.159,638.332,595.308,457.570,508.505,349.477,291.170,354.436,730.159,333.345,349.522,367.509,623.456,556.473,546.190,701.038,574.886,1.163.086,1.038.874,948.266,489.813,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,6.785,51.767,96.563,127.528,116.050,140.541,813,920,1.059,8.739,51.397,25.562,87.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,21.616.988,21.664.371,21.437.000,1.946.108,1.644.570,1.733.628,1.583.811,1.727.547,1.516.323,1.680.772,1.963.411,1.894.843,1.723.627,1.430.868,1.593.194,1.674.199,8.010.489,7.648.848,1.662.151,1.129.821,979.850,1.322.716,553.546,637.250,684.278,711.656,1.960.087,1.567.379,1.731.288,1.582.388,0,767.398,641.651,1.390.107,374.430,635.999,609.413,575.991,334.416,435.787,345.439,492.655
Ativo Realizavel Longo Prazo ,19.330.753,13.785.061,13.385.245,12.401.799,13.115.830,12.008.990,11.991.823,11.501.491,11.556.349,11.261.042,10.402.538,9.962.479,10.165.576,9.586.508,7.520.077,13.554.625,6.003.340,5.949.527,11.482.918,10.062.781,9.766.187,9.438.782,9.163.114,9.068.786,9.030.705,8.868.763,15.273.273,15.733.001,15.336.804,15.657.924,14.726.385,12.813.832,12.459.957,12.599.437,12.413.852,3.945.203,3.782.074,3.783.593,3.821.571,3.957.120,4.210.711,4.298.403
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.750,0,164.099,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,9.936,29.753,12.123,14.501,27.029,31.040,35.122,54.402,61.350,83.566,71.641,8.620,8.210,17.278,14.148,41.367,71.985,89.723,121.041,173.893,73.120,0,199.787,0,198.677,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,12.256,85.988,108.683,78.459,63.847,252.278,255.328,174.252,145.480,146.361,146.367,152.397,139.491,135.710,133.691,137.088,144.798,144.856,208.906,215.844,178.056,171.068,188.595,244.588,254.826,225.066,325.728,1.935.552,1.987.136,1.942.079,1.988.845,1.788.353,1.834.192,1.886.011,1.932.795,3.945.203,3.782.074,3.783.593,3.821.571,3.957.120,4.210.711,4.298.403
Estoques ACLP,323.236,339.901,326.455,330.904,324.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,1.939.086,1.871.228,2.003.908,1.949.547,1.879.662,1.797.453,1.605.840,1.653.023,1.535.205,1.498.479,1.261.341,1.285.839,1.280.212,1.245.726,1.430.723,1.367.994,1.258.753,1.220.896,1.231.942,1.200.897,1.254.036,1.451.794,1.196.061,1.361.438,2.044.535,2.036.087,1.934.776,1.885.886,1.804.924,1.800.567,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,1.898.417,2.147.228,2.146.863,1.930.774,1.936.021,47.072,6.870,319.913,249.256,239.725,229.053,133.603,110.042,37.885,60.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,87.285,85.277,99.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
