Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Good,33.292301177978516,26.395599365234375,27.284400939941406,32.910099029541016,25811643.0,23.068409601847332,24559364.0,5903443.0,1892161.0,0.0,1098820.0,1477580.0,0.0,384284.0,0.0,1050598.0,4097594.0,0.0,0.0,58024.0,0.0,972460.0,431859.0,0.0,722460.0,1912791.0,2493963.0,7000517.0,5063848.0,0.0,24559364.0,3214502.0,221244.0,787966.0,208943.0,1244365.0,189717.0,95609.0,348616.0,0.0,118042.0,10037482.0,4455611.0,371854.0,1970757.0,2149757.0,0.0,1089504.0,0.0,0.0,1898659.0,9408721.0,4691822.0,863613.0,0.0,3587104.0,266182.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,38.12699890136719,32.13690185546875,32.785701751708984,37.10499954223633,22708792.333333332,27.520056406656902,34858791.0,7065644.0,2324594.0,0.0,1857291.0,1706626.0,0.0,473679.0,0.0,703454.0,4210675.0,0.0,0.0,212949.0,0.0,950594.0,405827.0,0.0,720550.0,1920755.0,2610829.0,7016528.0,13955115.0,0.0,34858791.0,4454106.0,257127.0,1449504.0,423218.0,1789555.0,140012.0,43146.0,351544.0,0.0,0.0,16941736.0,9871883.0,372366.0,2047328.0,3516212.0,0.0,1133948.0,0.0,0.0,3731372.0,9731576.0,4691822.0,844175.0,0.0,3587104.0,608475.0,0.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,43.44169998168945,36.962799072265625,37.10499954223633,41.04209899902344,25199731.0,32.072699228922524,33800036.0,6563643.0,2487860.0,0.0,1691559.0,911910.0,0.0,431566.0,0.0,1040748.0,6471419.0,0.0,0.0,0.0,0.0,989239.0,388732.0,0.0,681512.0,4411936.0,168032.0,7435103.0,13161838.0,0.0,33800036.0,4710438.0,274430.0,1387651.0,246049.0,2098518.0,117360.0,177481.0,408949.0,0.0,0.0,15693925.0,9514120.0,318465.0,2099281.0,2616711.0,0.0,1145348.0,0.0,0.0,3601753.0,9793919.0,4691822.0,1028346.0,0.0,4073751.0,0.0,0.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,43.903900146484375,36.091800689697266,40.1088981628418,38.48249816894531,25471499.666666668,31.696542739868164,28167936.0,3674483.0,1490634.0,0.0,1018243.0,274147.0,0.0,190238.0,0.0,701221.0,2409205.0,0.0,0.0,10957.0,0.0,0.0,204708.0,0.0,542375.0,1651165.0,11121471.0,1206120.0,9756656.0,0.0,28167936.0,3438933.0,109172.0,970343.0,215462.0,1554529.0,112450.0,341818.0,135159.0,0.0,0.0,11686282.0,7138719.0,0.0,1960727.0,1822475.0,0.0,764361.0,0.0,0.0,3604481.0,9438240.0,4691822.0,1019084.0,0.0,3925330.0,-197996.0,0.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,39.54899978637695,34.9453010559082,38.527000427246094,37.967098236083984,29319373.666666668,29.285074869791668,28102605.0,3330933.0,1202229.0,105658.0,1301729.0,292076.0,0.0,143682.0,0.0,285559.0,2466500.0,0.0,0.0,14040.0,0.0,0.0,219559.0,0.0,517768.0,1715133.0,11081359.0,1249958.0,9973855.0,0.0,28102605.0,2950733.0,105593.0,841972.0,242944.0,1376146.0,134512.0,0.0,249566.0,0.0,0.0,11894855.0,7241013.0,0.0,2062319.0,1845593.0,0.0,745930.0,0.0,0.0,3713212.0,9543805.0,4691822.0,744725.0,0.0,3925330.0,10847.0,0.0,0.0,171081.0,0.0
4Q2013,2013,12,Bad,40.20669937133789,34.6609001159668,38.367000579833984,35.17639923095703,26572532.0,29.828193028767902,28598372.0,3546641.0,1474553.0,0.0,844483.0,311980.0,0.0,141677.0,0.0,773948.0,2818698.0,0.0,0.0,238460.0,0.0,0.0,232188.0,0.0,504481.0,1843569.0,10883084.0,1271910.0,10078040.0,0.0,28598372.0,2637257.0,103296.0,862429.0,227200.0,987596.0,105463.0,144751.0,206522.0,0.0,0.0,12445746.0,7842563.0,0.0,2904561.0,1698622.0,0.0,0.0,0.0,0.0,3778512.0,9736859.0,4691822.0,752573.0,0.0,4071112.0,0.0,0.0,0.0,221351.0,0.0
1Q2014,2014,3,Bad,35.247501373291016,28.9552001953125,35.17639923095703,31.336999893188477,32898105.333333332,24.772612889607746,28486869.0,3599539.0,1472480.0,0.0,869707.0,269594.0,0.0,129084.0,0.0,858674.0,2679263.0,0.0,0.0,258748.0,0.0,0.0,223893.0,0.0,398763.0,1797859.0,10829536.0,1296841.0,10081690.0,0.0,28486869.0,2346254.0,68099.0,825409.0,210912.0,810079.0,76570.0,202499.0,152686.0,0.0,0.0,12426975.0,7912384.0,0.0,2796093.0,1718498.0,0.0,0.0,0.0,0.0,3773260.0,9940380.0,4691822.0,759729.0,0.0,4071112.0,256122.0,0.0,0.0,161595.0,0.0
2Q2014,2014,6,Bad,37.185001373291016,30.510499954223633,31.106000900268555,35.63859939575195,26197770.333333332,27.218502680460613,28762718.0,3631117.0,1321395.0,0.0,879997.0,303675.0,0.0,109895.0,0.0,1016155.0,2661071.0,0.0,0.0,320223.0,0.0,0.0,251391.0,0.0,0.0,2089457.0,10998670.0,1320690.0,10151170.0,0.0,28762718.0,2085745.0,0.0,926995.0,236250.0,549998.0,0.0,43688.0,328814.0,0.0,0.0,12881051.0,6461662.0,0.0,4744742.0,1674647.0,0.0,0.0,0.0,0.0,3859969.0,9935953.0,4691822.0,725152.0,0.0,3976723.0,360269.0,0.0,0.0,181987.0,0.0
3Q2014,2014,9,Bad,42.4640998840332,31.879199981689453,35.67409896850586,34.96310043334961,29493814.0,29.14200210571289,29294725.0,3797397.0,1306496.0,0.0,872473.0,327367.0,0.0,92672.0,0.0,1198389.0,3048085.0,0.0,0.0,406104.0,0.0,0.0,270017.0,0.0,0.0,2371964.0,10855206.0,1360812.0,10233226.0,0.0,29294725.0,2267138.0,0.0,996693.0,229286.0,654774.0,0.0,12181.0,374204.0,0.0,0.0,13122558.0,6685705.0,0.0,4816120.0,1620733.0,0.0,0.0,0.0,0.0,3941216.0,9963814.0,4691822.0,768775.0,0.0,3976723.0,375502.0,0.0,0.0,150992.0,0.0
4Q2014,2014,12,Bad,38.900001525878906,25.010000228881836,34.4031982421875,28.850000381469727,60882252.666666664,25.50905927022298,27103711.0,3408388.0,1540192.0,0.0,822424.0,347903.0,0.0,172296.0,0.0,525573.0,2740611.0,0.0,0.0,34299.0,0.0,0.0,213288.0,0.0,212527.0,2280497.0,11177158.0,351435.0,9426120.0,0.0,27103711.0,2545209.0,101115.0,971170.0,328061.0,856334.0,122449.0,20347.0,145733.0,0.0,0.0,12109230.0,6541268.0,0.0,4025286.0,1542676.0,0.0,0.0,0.0,0.0,3630997.0,8818276.0,3632231.0,892000.0,0.0,4118747.0,0.0,0.0,0.0,175298.0,0.0
1Q2015,2015,3,Good,29.110000610351562,23.309999465942383,28.850000381469727,27.889999389648438,32355633.333333332,21.6949405670166,28407779.0,3737087.0,1861592.0,0.0,785840.0,317790.0,0.0,180403.0,0.0,591462.0,3589675.0,0.0,0.0,32460.0,0.0,0.0,253966.0,0.0,194484.0,3108765.0,11292427.0,370970.0,9417620.0,0.0,28407779.0,2671925.0,62518.0,1192167.0,132720.0,1070779.0,90213.0,20347.0,103181.0,0.0,0.0,13298350.0,7314044.0,0.0,4488697.0,1495609.0,0.0,0.0,0.0,0.0,3660076.0,8777428.0,3632231.0,894743.0,0.0,4118747.0,-43683.0,0.0,0.0,175390.0,0.0
2Q2015,2015,6,Good,30.43000030517578,24.75,27.959999084472656,25.149999618530273,25742700.0,21.524342854817707,28399821.0,3900256.0,2020616.0,0.0,828679.0,332394.0,0.0,105801.0,0.0,612766.0,3419133.0,0.0,0.0,36996.0,0.0,0.0,257886.0,0.0,197520.0,2926731.0,11297505.0,372858.0,9410070.0,0.0,28399821.0,3024941.0,77604.0,1313803.0,160194.0,1159312.0,99630.0,14315.0,200083.0,0.0,0.0,13012230.0,7062548.0,0.0,4514711.0,1434971.0,0.0,0.0,0.0,0.0,3631118.0,8731532.0,3822725.0,894342.0,0.0,3803252.0,5765.0,0.0,0.0,205448.0,0.0
3Q2015,2015,9,Good,25.270000457763672,17.049999237060547,25.219999313354492,18.93000030517578,43608533.333333336,16.347121874491375,29178741.0,4709616.0,1865000.0,0.0,862131.0,392141.0,0.0,182582.0,0.0,1407762.0,3859573.0,0.0,0.0,36933.0,0.0,0.0,296203.0,0.0,201543.0,3324894.0,10811635.0,383654.0,9414262.0,0.0,29178741.0,3219208.0,94756.0,1545339.0,179123.0,1147344.0,129093.0,15756.0,107797.0,0.0,0.0,13816538.0,7852483.0,0.0,4481133.0,1482922.0,0.0,0.0,0.0,0.0,3707660.0,8435334.0,3822725.0,896591.0,0.0,3653252.0,-7580.0,0.0,0.0,70346.0,0.0
4Q2015,2015,12,Good,26.940000534057617,19.510000228881836,20.479999542236328,25.200000762939453,31341333.333333332,20.497193654378254,30382193.0,5165823.0,3129530.0,0.0,759710.0,431117.0,0.0,230963.0,0.0,614503.0,4302610.0,0.0,0.0,39597.0,0.0,0.0,335808.0,0.0,221344.0,3705861.0,11064689.0,401800.0,9447269.0,0.0,30382193.0,3345053.0,106407.0,1544822.0,167961.0,1230518.0,114559.0,41656.0,139130.0,0.0,0.0,14502462.0,8525185.0,0.0,4562142.0,1415135.0,0.0,0.0,0.0,0.0,3688488.0,8846189.0,3822725.0,896632.0,0.0,4311522.0,0.0,0.0,0.0,-184691.0,0.0
1Q2016,2016,3,Good,32.86000061035156,21.610000610351562,25.200000762939453,31.389999389648438,27709933.333333332,23.322145462036133,29437856.0,4723574.0,2660251.0,0.0,726119.0,436518.0,0.0,162499.0,0.0,738187.0,3977543.0,0.0,0.0,37070.0,0.0,0.0,325401.0,0.0,235665.0,3379407.0,10929371.0,396143.0,9411226.0,0.0,29437856.0,3394322.0,62864.0,1391622.0,191350.0,1214715.0,128187.0,33295.0,372289.0,0.0,0.0,14018955.0,8059768.0,0.0,4659594.0,1299593.0,0.0,0.0,0.0,0.0,3307708.0,8716872.0,3822725.0,887415.0,0.0,3942506.0,248706.0,0.0,0.0,-184480.0,0.0
2Q2016,2016,6,Bad,36.060001373291016,28.6299991607666,31.850000381469727,33.310001373291016,17296300.0,28.1420841217041,28203291.0,4291437.0,2259354.0,0.0,797496.0,431590.0,0.0,190478.0,0.0,612519.0,3063329.0,0.0,0.0,45720.0,0.0,0.0,318960.0,0.0,197219.0,2501430.0,11074977.0,392832.0,9380714.0,0.0,28203291.0,3456419.0,81916.0,1370017.0,229058.0,1192881.0,109767.0,36012.0,436768.0,0.0,0.0,12630428.0,7051319.0,0.0,4289858.0,1289251.0,0.0,0.0,0.0,0.0,3469014.0,8647429.0,3822725.0,893768.0,0.0,3652506.0,530292.0,0.0,0.0,-251862.0,0.0
3Q2016,2016,9,Bad,38.650001525878906,31.950000762939453,33.709999084472656,37.709999084472656,20758066.666666668,31.854801177978516,29306305.0,7649835.0,2981145.0,0.0,774147.0,396908.0,0.0,218128.0,0.0,3279507.0,3279622.0,0.0,0.0,39770.0,0.0,0.0,327810.0,0.0,203876.0,2708166.0,8659533.0,393488.0,9323827.0,0.0,29306305.0,3581242.0,95249.0,1386895.0,264283.0,1246859.0,126260.0,21202.0,440494.0,0.0,0.0,13268645.0,7768618.0,0.0,4358930.0,1141097.0,0.0,0.0,0.0,0.0,3507222.0,8949196.0,3822725.0,904072.0,0.0,3652506.0,857805.0,0.0,0.0,-287912.0,0.0
4Q2016,2016,12,Bad,44.369998931884766,35.0099983215332,37.75,38.150001525878906,20848633.333333332,35.10784784952799,27299828.0,6303857.0,3990930.0,0.0,713468.0,346173.0,0.0,290386.0,0.0,962900.0,2531998.0,0.0,0.0,40501.0,0.0,0.0,330212.0,0.0,0.0,2161285.0,8746495.0,389329.0,9328150.0,0.0,27299828.0,3222805.0,0.0,1467570.0,274679.0,936000.0,0.0,94055.0,450501.0,0.0,0.0,13284685.0,8202129.0,0.0,3973808.0,1108748.0,0.0,0.0,0.0,0.0,1826733.0,8965606.0,3824648.0,921352.0,0.0,4515529.0,0.0,0.0,0.0,-295923.0,0.0
1Q2017,2017,3,Bad,43.5,35.93000030517578,37.619998931884766,38.86000061035156,21585566.666666668,36.029412587483726,27054352.0,6021846.0,3724546.0,0.0,704084.0,351462.0,0.0,304840.0,0.0,936914.0,2420912.0,0.0,0.0,38882.0,0.0,0.0,341483.0,0.0,0.0,2040547.0,8979281.0,381842.0,9250470.0,0.0,27054352.0,3405068.0,0.0,1426973.0,202123.0,1436914.0,0.0,24003.0,315055.0,0.0,0.0,12549629.0,7424680.0,0.0,3932072.0,1192877.0,0.0,0.0,0.0,0.0,1734758.0,9364896.0,3839075.0,918911.0,0.0,4454898.0,205316.0,0.0,0.0,-53304.0,0.0
2Q2017,2017,6,Bad,39.83000183105469,29.90999984741211,38.83000183105469,34.58000183105469,29770900.0,32.8755137125651,26973272.0,5892204.0,3415115.0,0.0,860640.0,338336.0,0.0,277877.0,0.0,1000236.0,2631630.0,0.0,0.0,34935.0,0.0,0.0,516481.0,0.0,0.0,2080214.0,8872419.0,376340.0,9200679.0,0.0,26973272.0,3700691.0,0.0,1583548.0,242897.0,1480582.0,0.0,27325.0,366339.0,0.0,0.0,12444072.0,7577927.0,0.0,3547246.0,1318899.0,0.0,0.0,0.0,0.0,1808762.0,9019747.0,3999075.0,888653.0,0.0,3914898.0,129273.0,0.0,0.0,87848.0,0.0
