"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - COSAN SA INDUSTRIA E COMERCIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,29.691.073,29.902.318,28.789.760,28.080.267,27.994.710,28.070.158,28.539.271,27.657.132,26.973.272,27.054.352,27.299.828,29.306.305,28.203.291,29.437.856,30.382.193,29.178.741,28.399.821,28.407.779,27.103.711,29.294.725,28.762.718,28.486.869,28.598.372,28.102.605,28.167.936,33.800.036,34.858.791,24.559.364,22.728.456,22.124.136,22.845.012,22.875.638,22.263.359,18.744.656,16.129.030,0,0,0,0,0,0,0
Ativo Circulante,8.384.651,8.463.953,7.589.545,7.359.263,7.277.278,7.375.378,7.780.048,6.450.820,5.892.204,6.021.846,6.303.857,7.649.835,4.291.437,4.723.574,5.165.823,4.709.616,3.900.256,3.737.087,3.408.388,3.797.397,3.631.117,3.599.539,3.546.641,3.330.933,3.674.483,6.563.643,7.065.644,5.903.443,5.312.270,4.715.135,4.926.270,5.164.909,4.588.941,3.462.254,5.154.307,4.807.071,4.195.121,3.892.795,4.212.843,4.107.851,3.602.587,3.074.914
Caixa e Equivalentes de Caixa AC,3.246.371,3.487.723,2.696.947,3.139.142,3.144.354,3.963.908,3.150.328,3.720.495,3.415.115,3.724.546,3.990.930,2.981.145,2.259.354,2.660.251,3.129.530,1.865.000,2.020.616,1.861.592,1.540.192,1.306.496,1.321.395,1.472.480,1.474.553,1.202.229,1.490.634,2.487.860,2.324.594,1.892.161,1.407.201,1.616.169,1.194.889,1.471.685,1.278.158,1.254.070,1.136.882,988.367,1.054.914,1.078.366,864.077,948.647,932.920,719.356
Aplicações Financeiras AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber AC,1.558.092,1.408.275,1.128.304,1.261.691,1.161.828,971.744,918.423,892.319,860.640,704.084,713.468,774.147,797.496,726.119,759.710,862.131,828.679,785.840,822.424,872.473,879.997,869.707,844.483,1.301.729,1.018.243,1.691.559,1.857.291,1.098.820,960.536,963.586,1.023.153,983.724,825.225,594.857,1.904.602,1.807.955,1.638.219,1.706.533,1.358.007,1.585.991,1.487.070,1.199.094
Estoques AC,519.909,468.133,452.904,464.020,407.589,350.754,380.770,355.511,338.336,351.462,346.173,396.908,431.590,436.518,431.117,392.141,332.394,317.790,347.903,327.367,303.675,269.594,311.980,292.076,274.147,911.910,1.706.626,1.477.580,893.481,748.150,1.354.432,1.361.809,1.001.950,670.331,2.010.008,1.938.814,1.433.659,1.046.730,1.936.791,1.531.522,1.149.923,1.106.185
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,814.316,741.593,818.513,375.605,443.266,433.170,375.271,265.751,277.877,304.840,290.386,218.128,190.478,162.499,230.963,182.582,105.801,180.403,172.296,92.672,109.895,129.084,141.677,143.682,190.238,431.566,473.679,384.284,342.172,325.096,325.010,416.032,411.706,374.991,0,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,2.245.963,2.358.229,2.492.877,2.118.805,2.120.241,1.655.802,2.955.256,1.216.744,1.000.236,936.914,962.900,3.279.507,612.519,738.187,614.503,1.407.762,612.766,591.462,525.573,1.198.389,1.016.155,858.674,773.948,285.559,701.221,1.040.748,703.454,1.050.598,1.708.880,1.062.134,1.028.786,931.659,1.071.902,568.005,102.815,71.935,68.329,61.166,53.968,41.691,32.674,50.279
Ativo Realizavel Longo Prazo ,3.453.265,3.162.697,2.592.901,2.870.042,2.607.546,2.311.558,2.289.091,2.695.073,2.631.630,2.420.912,2.531.998,3.279.622,3.063.329,3.977.543,4.302.610,3.859.573,3.419.133,3.589.675,2.740.611,3.048.085,2.661.071,2.679.263,2.818.698,2.466.500,2.409.205,6.471.419,4.210.675,4.097.594,4.247.187,4.190.753,5.121.132,4.892.798,4.955.176,3.552.062,1.654.096,1.512.032,1.424.088,1.456.497,1.353.356,1.496.979,1.549.757,1.381.570
