Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,14.550000190734863,9.0,11.3100004196167,11.420000076293945,132985266.66666667,6.878919919331868,49295229.0,21121944.0,14444875.0,0.0,1794566.0,3580025.0,0.0,0.0,0.0,1302479.0,4137310.0,0.0,116753.0,0.0,0.0,0.0,2372501.0,0.0,0.0,1648056.0,2351774.0,20408748.0,1275452.0,0.0,49295229.0,6408076.0,241291.0,1957789.0,336348.0,2295409.0,0.0,0.0,0.0,355889.0,0.0,33879640.0,27856349.0,0.0,0.0,284110.0,0.0,1350728.0,0.0,0.0,390616.0,8616897.0,4540000.0,30.0,0.0,3690543.0,0.0,0.0,0.0,386324.0,0.0
4Q2012,2012,12,Good,12.4399995803833,9.819999694824219,11.5,11.859999656677246,101581366.66666667,7.243465423583984,52712026.0,18120456.0,11332139.0,0.0,2514625.0,3386368.0,0.0,0.0,0.0,887324.0,4234557.0,0.0,118648.0,0.0,0.0,0.0,2521107.0,0.0,0.0,1594802.0,10588232.0,18890009.0,878775.0,0.0,52712026.0,7039603.0,191818.0,1827730.0,332130.0,2665999.0,0.0,0.0,0.0,324887.0,0.0,37501227.0,26784463.0,0.0,0.0,222893.0,0.0,1365138.0,0.0,0.0,384957.0,7786240.0,4540000.0,30.0,0.0,3130543.0,27326.0,0.0,0.0,88341.0,0.0
1Q2013,2013,3,Bad,12.890000343322754,8.899999618530273,11.859999656677246,9.09000015258789,110956600.0,6.553159077962239,54216745.0,18788336.0,12272870.0,0.0,2467511.0,3321737.0,0.0,0.0,0.0,726218.0,4785733.0,0.0,145785.0,0.0,0.0,0.0,2977273.0,0.0,0.0,1662675.0,10362962.0,19352533.0,927183.0,0.0,54216745.0,6720191.0,204729.0,1704287.0,254382.0,2934549.0,0.0,0.0,0.0,320126.0,0.0,39093932.0,28241140.0,0.0,0.0,242434.0,0.0,1420306.0,0.0,0.0,394355.0,8008266.0,4540000.0,30.0,0.0,3130543.0,521795.0,0.0,0.0,-184102.0,0.0
2Q2013,2013,6,Good,9.770000457763672,5.760000228881836,9.350000381469727,5.960000038146973,165384666.66666666,4.60859743754069,54448001.0,17611307.0,11146875.0,0.0,2514545.0,3254360.0,0.0,0.0,0.0,695526.0,4691972.0,0.0,146401.0,0.0,0.0,0.0,2860413.0,0.0,0.0,1685158.0,11238283.0,19946346.0,960095.0,0.0,54448001.0,6741010.0,240161.0,1218197.0,263145.0,3366230.0,0.0,0.0,0.0,319177.0,0.0,38799880.0,27828044.0,0.0,0.0,258811.0,0.0,1437407.0,0.0,0.0,399814.0,8507300.0,4540000.0,30.0,0.0,3130543.0,621451.0,0.0,0.0,215276.0,0.0
3Q2013,2013,9,Bad,9.789999961853027,5.28000020980835,6.150000095367432,9.460000038146973,178693966.66666666,5.652668635050456,50402542.0,16402042.0,9995672.0,0.0,2522465.0,3160985.0,0.0,0.0,0.0,722920.0,4636608.0,0.0,30756.0,0.0,0.0,0.0,2770527.0,0.0,0.0,1835325.0,13487023.0,14911426.0,965440.0,0.0,50402542.0,5564230.0,208921.0,1102037.0,304095.0,2642807.0,0.0,0.0,0.0,333519.0,0.0,36769247.0,25103624.0,0.0,0.0,268833.0,0.0,1335223.0,0.0,0.0,-27511.0,8096570.0,4540000.0,30.0,0.0,2839568.0,0.0,0.0,0.0,716972.0,0.0
4Q2013,2013,12,Bad,14.699999809265137,9.239999771118164,9.5,14.380000114440918,127801066.66666667,9.222492218017578,49861825.0,16067724.0,10000372.0,0.0,1705710.0,3401759.0,0.0,0.0,0.0,959883.0,4514337.0,0.0,30042.0,0.0,0.0,0.0,3079049.0,0.0,0.0,1405246.0,13417079.0,14916278.0,946404.0,0.0,49861825.0,6704889.0,195975.0,1340116.0,285870.0,3460711.0,0.0,0.0,0.0,377330.0,0.0,35931587.0,24159594.0,0.0,0.0,253767.0,0.0,1354501.0,0.0,0.0,-30749.0,7256093.0,4540000.0,30.0,0.0,2414568.0,55334.0,0.0,0.0,246161.0,0.0
1Q2014,2014,3,Bad,14.5600004196167,8.5,14.380000114440918,9.84000015258789,131790300.0,7.703675905863444,49164218.0,15591407.0,9019972.0,0.0,1826767.0,3635724.0,0.0,0.0,0.0,1108944.0,4511147.0,0.0,28913.0,0.0,0.0,0.0,3282979.0,0.0,0.0,1199255.0,13005972.0,15130171.0,925523.0,0.0,49164218.0,7026116.0,217614.0,1531076.0,261857.0,3547634.0,0.0,0.0,0.0,427578.0,0.0,35635995.0,24019763.0,0.0,0.0,238830.0,0.0,1096769.0,0.0,0.0,-33431.0,6535538.0,4540000.0,30.0,0.0,1972130.0,77049.0,0.0,0.0,-53671.0,0.0
2Q2014,2014,6,Bad,10.149999618530273,8.529999732971191,9.899999618530273,9.399999618530273,115272033.33333333,6.806147734324138,49731949.0,15597390.0,8971362.0,0.0,1487952.0,3856384.0,0.0,0.0,0.0,1281692.0,4587176.0,0.0,32539.0,0.0,0.0,0.0,3354960.0,0.0,0.0,1199677.0,13204192.0,15341609.0,1001581.0,0.0,49731949.0,7155426.0,253595.0,1469748.0,289221.0,3657719.0,0.0,0.0,0.0,511082.0,0.0,36654387.0,25061112.0,0.0,0.0,237707.0,0.0,920405.0,0.0,0.0,39351.0,5882784.0,4540000.0,30.0,0.0,1668280.0,-173056.0,0.0,0.0,-152470.0,0.0
3Q2014,2014,9,Bad,12.079999923706055,8.619999885559082,9.470000267028809,8.699999809265137,123827233.33333333,7.687999248504639,49767100.0,15935502.0,8686021.0,0.0,1753056.0,4122122.0,0.0,0.0,0.0,1374303.0,3598352.0,0.0,34874.0,0.0,0.0,0.0,2616058.0,0.0,0.0,947420.0,13665453.0,15624140.0,943653.0,0.0,49767100.0,6362938.0,219740.0,1638505.0,318675.0,2790524.0,0.0,0.0,0.0,550385.0,0.0,37669188.0,27092857.0,0.0,0.0,238892.0,0.0,1022077.0,0.0,0.0,38507.0,5696468.0,4540000.0,30.0,0.0,1131298.0,0.0,0.0,0.0,25140.0,0.0
4Q2014,2014,12,Bad,9.470000267028809,4.21999979019165,8.6899995803833,5.579999923706055,147056203.0,5.096279621124268,51568443.0,16314338.0,9070785.0,0.0,2009697.0,3958557.0,0.0,0.0,0.0,1275299.0,4257164.0,0.0,42549.0,0.0,0.0,0.0,3285500.0,0.0,0.0,929115.0,14250403.0,15782164.0,964376.0,0.0,51568443.0,5522042.0,214427.0,1555728.0,483542.0,1745801.0,0.0,0.0,0.0,631586.0,0.0,39841006.0,29375089.0,0.0,0.0,246022.0,0.0,1064914.0,0.0,0.0,38253.0,6167147.0,4540000.0,30.0,0.0,846908.0,392056.0,0.0,0.0,388153.0,0.0
