"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - CSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
Ativo Total,50.897.510,51.724.354,49.952.506,47.327.523,46.226.199,46.204.539,44.841.714,45.209.969,43.873.710,43.846.992,43.778.163,44.153.623,44.152.623,43.145.687,44.653.793,48.649.978,52.648.559,50.117.825,51.568.443,49.767.100,49.731.949,49.164.218,49.861.825,50.402.542,54.448.001,54.216.745,52.712.026,49.295.229,49.365.078,47.455.273,47.946.043,46.869.705,45.362.729,38.880.629,40.271.282,0,0,0,0,0,29.709.799,27.649.708
Ativo Circulante,12.968.644,14.021.052,13.825.742,12.014.483,12.708.158,13.086.676,11.110.356,11.881.496,11.653.843,12.164.101,12.149.265,12.444.918,12.127.269,11.925.609,13.697.372,16.430.691,16.206.671,15.171.959,16.314.338,15.935.502,15.597.390,15.591.407,16.067.724,16.402.042,17.611.307,18.788.336,18.120.456,21.121.944,21.024.856,20.365.285,20.854.784,21.944.306,22.446.176,17.722.634,17.227.031,0,0,15.011.839,0,0,14.779.689,13.528.284
Caixa e Equivalentes de Caixa AC,1.895.863,2.154.630,2.702.077,2.248.004,2.995.240,3.511.332,2.234.154,3.411.572,3.381.432,3.591.339,4.315.796,4.871.162,5.091.372,5.139.041,5.508.066,7.861.052,7.599.362,7.844.428,9.070.785,8.686.021,8.971.362,9.019.972,10.000.372,9.995.672,11.146.875,12.272.870,11.332.139,14.444.875,14.553.711,13.690.478,14.144.014,15.417.393,15.635.164,11.684.994,11.115.047,0,0,9.672.149,9.148.905,142.045,1.388.701,182.004
Aplicações Financeiras AC,696.153,678.891,778.608,895.713,902.403,741.184,729.027,735.712,757.338,737.165,734.688,760.391,341.684,322.925,797.006,763.599,627.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber AC,2.409.990,3.335.560,2.835.396,2.078.182,2.142.670,2.388.157,2.230.749,2.276.215,2.240.375,2.417.950,1.931.081,1.997.216,1.859.630,1.688.377,1.816.106,1.578.277,2.417.122,2.049.480,2.009.697,1.753.056,1.487.952,1.826.767,1.705.710,2.522.465,2.514.545,2.467.511,2.514.625,1.794.566,1.813.323,1.878.754,2.019.285,1.616.206,1.717.538,1.647.330,1.992.827,1.367.759,1.958.740,2.002.982,2.021.988,2.877.092,3.124.646,2.617.068
Estoques AC,5.900.197,5.983.700,5.665.830,5.039.560,4.788.365,5.131.411,4.902.125,4.464.419,4.246.458,4.449.326,4.259.964,3.964.136,3.799.306,3.834.048,4.494.832,4.941.314,4.707.165,4.399.938,3.958.557,4.122.122,3.856.384,3.635.724,3.401.759,3.160.985,3.254.360,3.321.737,3.386.368,3.580.025,3.583.346,3.693.270,3.648.280,3.734.984,3.927.426,3.517.810,3.285.739,3.355.786,3.370.625,3.160.662,3.019.388,2.588.946,2.726.509,3.412.724
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.954,584.273,500.768,427.043,475.735,473.787,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.694,12.997,0,0,0,0,0,0
Outros Ativos Circulantes AC,2.066.441,1.868.271,1.843.831,1.753.024,1.879.480,1.314.592,1.014.301,993.578,1.028.240,968.321,907.736,852.013,1.035.277,941.218,1.081.362,1.286.449,855.604,878.113,1.275.299,1.374.303,1.281.692,1.108.944,959.883,722.920,695.526,726.218,887.324,1.302.479,1.074.477,1.102.784,349.252,591.450,665.281,445.457,318.988,344.081,227.338,176.046,192.192,7.960.511,7.539.833,7.316.488
