Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,18.190000534057617,13.149999618530273,14.600000381469727,17.399999618530273,73482500.0,12.550758361816406,13616873.0,9099201.0,360513.0,1219310.0,5118905.0,2255796.0,0.0,78277.0,12724.0,53676.0,4249243.0,71689.0,0.0,1438264.0,1763706.0,0.0,12586.0,0.0,513781.0,449217.0,7999.0,175952.0,84478.0,0.0,13616873.0,4127029.0,121731.0,302591.0,407955.0,1132696.0,227115.0,32.0,1934909.0,0.0,0.0,4131033.0,3213047.0,0.0,0.0,112274.0,0.0,805712.0,0.0,0.0,375667.0,4983144.0,2548695.0,-56073.0,0.0,2108435.0,411046.0,0.0,0.0,-28959.0,0.0
4Q2012,2012,12,Bad,19.09000015258789,16.299999237060547,17.479999542236328,17.889999389648438,56013333.333333336,13.638095219930014,13829895.0,9737751.0,1244492.0,488182.0,4875743.0,2984464.0,0.0,88655.0,5580.0,50635.0,3822166.0,34058.0,0.0,1529411.0,1085613.0,0.0,15043.0,0.0,357236.0,800805.0,8471.0,173901.0,87606.0,0.0,13829895.0,4290025.0,93398.0,281890.0,326252.0,931598.0,266129.0,156818.0,2233940.0,0.0,0.0,4146564.0,3287098.0,0.0,0.0,94443.0,0.0,765023.0,0.0,0.0,331057.0,5062249.0,2548695.0,99374.0,0.0,2449910.0,0.0,0.0,0.0,-35730.0,0.0
1Q2013,2013,3,Bad,18.700000762939453,15.930000305175781,17.889999389648438,16.549999237060547,67763333.33333333,13.269637107849121,13898293.0,8905486.0,1042867.0,568785.0,4529503.0,2634351.0,0.0,80618.0,6724.0,42638.0,3695144.0,29016.0,0.0,1383629.0,1194581.0,0.0,4512.0,0.0,444786.0,638620.0,1039755.0,167355.0,90553.0,0.0,13898293.0,3857624.0,102685.0,328357.0,281698.0,750954.0,322893.0,156818.0,1914219.0,0.0,0.0,3843906.0,3047965.0,0.0,0.0,72015.0,0.0,723926.0,0.0,0.0,950288.0,5246475.0,2548695.0,104581.0,0.0,2449910.0,179019.0,0.0,0.0,-35730.0,0.0
2Q2013,2013,6,Bad,18.969999313354492,14.579999923706055,17.200000762939453,15.399999618530273,70235000.0,13.117398897806803,13620424.0,8822814.0,968984.0,555057.0,4668733.0,2501193.0,0.0,82594.0,4659.0,41594.0,3881776.0,47111.0,0.0,1204399.0,1518900.0,0.0,6652.0,0.0,367929.0,736785.0,681451.0,153072.0,81311.0,0.0,13620424.0,3828647.0,107149.0,330233.0,262143.0,875044.0,242727.0,539.0,2010812.0,0.0,0.0,3678621.0,2904961.0,0.0,0.0,59948.0,0.0,713712.0,0.0,0.0,736486.0,5376670.0,2548695.0,84737.0,0.0,2421861.0,361706.0,0.0,0.0,-40329.0,0.0
3Q2013,2013,9,Bad,17.670000076293945,14.970000267028809,15.4399995803833,16.75,61249433.333333336,12.876914978027344,14039473.0,8425534.0,1384733.0,196648.0,4825336.0,1890113.0,0.0,84358.0,4659.0,39687.0,4685072.0,40756.0,0.0,1135489.0,2353649.0,0.0,8897.0,0.0,384326.0,761955.0,683728.0,155038.0,90101.0,0.0,14039473.0,3705420.0,124676.0,365096.0,260428.0,907241.0,268341.0,108.0,1779530.0,0.0,0.0,4011749.0,2968173.0,0.0,0.0,53303.0,0.0,990273.0,0.0,0.0,767743.0,5554561.0,2548695.0,88394.0,0.0,2421905.0,536310.0,0.0,0.0,-40743.0,0.0
4Q2013,2013,12,Bad,17.43000030517578,14.25,16.969999313354492,14.399999618530273,60532433.333333336,12.355836868286133,14387099.0,8689340.0,1330136.0,230022.0,4575237.0,2421633.0,0.0,91442.0,4659.0,36211.0,4742486.0,167262.0,0.0,1170604.0,2358979.0,0.0,2567.0,0.0,227174.0,815900.0,708087.0,156563.0,90623.0,0.0,14387099.0,3886979.0,109495.0,317869.0,277928.0,907317.0,169321.0,170826.0,1934223.0,0.0,0.0,4306072.0,3306431.0,0.0,0.0,49370.0,0.0,950271.0,0.0,0.0,732426.0,5461622.0,2548695.0,94022.0,0.0,2861096.0,0.0,0.0,0.0,-42191.0,0.0
1Q2014,2014,3,Bad,15.569999694824219,12.119999885559082,14.399999618530273,13.65999984741211,74556133.33333333,10.7899751663208,14416449.0,9226719.0,1658232.0,330942.0,4448484.0,2561968.0,0.0,91445.0,5348.0,130300.0,4218456.0,199679.0,0.0,934231.0,2125690.0,0.0,56.0,0.0,198590.0,760210.0,718234.0,164309.0,88731.0,0.0,14416449.0,3833314.0,77195.0,354506.0,258944.0,964402.0,164418.0,170826.0,1843023.0,0.0,0.0,4370978.0,3625153.0,0.0,0.0,41758.0,0.0,704067.0,0.0,0.0,631772.0,5580385.0,2548695.0,100037.0,0.0,2806957.0,163453.0,0.0,0.0,-38757.0,0.0
2Q2014,2014,6,Bad,14.020000457763672,12.970000267028809,13.800000190734863,13.819999694824219,70348766.66666667,10.957284291585287,13896935.0,8622141.0,879923.0,348059.0,4478502.0,2751592.0,0.0,98357.0,4303.0,61405.0,4301015.0,530607.0,0.0,874288.0,1941374.0,0.0,189.0,0.0,179240.0,775317.0,720167.0,167276.0,86336.0,0.0,13896935.0,3611950.0,100468.0,353709.0,247803.0,902208.0,150785.0,156.0,1856821.0,0.0,0.0,3964662.0,3378339.0,0.0,0.0,37275.0,0.0,549048.0,0.0,0.0,668627.0,5651696.0,3095744.0,101985.0,0.0,2162916.0,332347.0,0.0,0.0,-41296.0,0.0
3Q2014,2014,9,Bad,14.319999694824219,12.069999694824219,13.84000015258789,12.350000381469727,48641900.0,10.631535847981771,13965433.0,8435211.0,925530.0,361324.0,4283795.0,2699279.0,0.0,105059.0,4844.0,55380.0,4539065.0,496076.0,0.0,791482.0,2380374.0,0.0,373.0,0.0,163447.0,707313.0,739253.0,164763.0,87141.0,0.0,13965433.0,3780863.0,106675.0,340339.0,244258.0,1137467.0,160085.0,0.0,1792039.0,0.0,0.0,3740521.0,3081693.0,0.0,0.0,34674.0,0.0,624154.0,0.0,0.0,690581.0,5753468.0,3095745.0,104527.0,0.0,2079518.0,511476.0,0.0,0.0,-37798.0,0.0
4Q2014,2014,12,Bad,13.680000305175781,10.40999984741211,12.180000305175781,11.0600004196167,66404029.0,9.767095247904459,13420612.0,8643734.0,919160.0,353278.0,4192870.0,3031736.0,0.0,112346.0,7612.0,26732.0,3810054.0,481826.0,0.0,789648.0,2081213.0,0.0,18.0,0.0,190441.0,266908.0,694614.0,171442.0,100768.0,0.0,13420612.0,4059614.0,100997.0,312034.0,232678.0,1301419.0,148482.0,157284.0,1806720.0,0.0,0.0,2993153.0,2573801.0,0.0,0.0,36785.0,0.0,382567.0,0.0,0.0,708754.0,5659091.0,3060863.0,104825.0,0.0,2560282.0,0.0,0.0,0.0,-66879.0,0.0
