"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - METALÚRGICA GERDAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,51.170.656,52.190.061,51.344.417,56.180.777,54.517.367,51.029.271,50.351.780,52.624.151,54.223.303,53.603.664,54.758.969,58.798.559,58.298.384,65.072.185,70.218.777,76.685.869,68.925.710,71.004.783,63.253.422,61.812.392,58.183.635,57.827.942,58.503.963,56.499.466,55.326.351,52.079.391,53.370.114,53.866.168,53.596.406,49.877.946,50.172.211,49.642.787,45.242.786,43.165.995,43.116.704,0,0,0,9.347.591,9.235.787,9.217.837,9.929.192
Ativo Circulante,16.937.624,17.611.692,17.563.118,22.227.653,20.704.301,19.606.985,18.028.804,17.521.963,17.940.953,17.803.649,17.916.039,17.919.748,17.355.964,19.929.625,22.294.901,24.273.281,21.944.297,22.969.473,20.793.485,20.329.599,18.836.355,18.215.637,18.208.340,17.415.129,16.823.748,15.930.023,16.427.655,17.562.249,18.184.722,16.889.508,17.335.568,17.280.219,15.835.527,13.428.925,12.972.141,0,0,0,213.428,20.794,22.756,54.094
Caixa e Equivalentes de Caixa AC,1.750.949,1.941.977,2.891.217,2.795.394,2.638.013,2.378.183,2.555.433,3.263.050,4.305.641,4.476.287,5.140.117,3.986.525,3.845.394,4.764.871,5.681.778,5.294.356,3.790.669,3.596.384,3.111.608,2.906.695,2.628.213,1.871.433,2.099.638,1.965.852,1.239.632,1.060.159,1.437.724,1.665.883,1.664.368,1.359.008,1.477.020,1.279.266,1.183.614,1.079.377,1.062.247,1.641.456,4.274.185,4.461.482,156,150,177,138
Aplicações Financeiras AC,390.607,590.403,459.470,679.994,303.724,870.691,821.518,1.803.822,1.124.769,977.466,1.024.411,1.312.389,1.067.515,794.989,1.270.760,1.548.127,1.930.179,2.281.185,2.828.064,1.798.506,1.334.535,1.649.039,2.123.168,1.546.514,1.732.644,772.299,1.059.605,1.333.850,1.500.610,2.075.933,3.101.649,3.090.087,2.919.645,1.346.614,1.120.363,0,0,0,0,0,0,0
Contas a Receber AC,3.732.421,3.976.755,3.201.656,4.193.568,4.100.884,3.596.583,3.269.187,4.771.094,4.596.043,4.488.146,4.249.453,4.542.601,4.537.638,4.971.066,5.044.334,5.965.348,5.491.263,5.664.309,4.772.366,4.820.860,4.672.263,4.809.279,4.372.389,4.748.081,4.398.438,4.692.749,3.957.604,4.514.258,4.773.468,4.263.137,3.867.714,4.394.273,4.135.393,3.827.263,3.388.454,4.169.860,4.279.623,3.998.456,207.125,19.809,21.746,52.559
Estoques AC,9.531.907,9.377.329,9.167.689,9.124.052,8.479.855,6.980.484,6.701.404,6.811.831,6.995.222,6.836.354,6.332.730,6.911.010,6.763.727,8.117.680,8.781.113,10.040.178,9.532.157,10.190.200,8.866.888,9.311.613,9.006.486,8.688.879,8.499.691,8.196.754,8.551.238,8.536.526,9.021.542,9.125.445,9.365.626,8.372.318,8.059.427,7.852.885,7.080.608,6.614.218,6.797.785,7.205.281,7.181.048,6.220.345,0,0,0,0
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,960.663,905.645,1.031.581,941.142,909.635,804.499,935.628,871.407,919.279,1.025.394,1.166.772,1.166.875,1.141.689,1.267.761,1.445.687,1.315.867,1.145.410,1.173.038,1.172.809,1.190.050,1.194.859,1.196.168,1.113.135,957.511,901.797,865.246,951.180,922.698,880.012,818.643,829.617,0,0,0,602.509,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,571.076,819.582,811.505,4.493.503,4.272.191,4.976.543,3.745.634,758,0,0,2.557,347,0,13.257,71.227,109.405,54.620,64.358,41.751,301.874,0,837,319,418,0,3.044,0,116,638,470,140,663.710,516.267,561.453,783,384.044,302.090,329.229,6.147,835,833,1.397
