"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - IGUATEMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,5.285.962,5.248.769,5.290.203,5.150.612,5.184.786,4.915.105,5.062.802,5.272.804,5.034.349,5.037.124,5.230.634,5.195.822,5.000.244,4.985.057,5.057.018,4.910.060,4.741.653,4.720.641,4.910.968,4.849.709,4.592.363,4.595.586,4.618.823,4.548.358,4.250.536,4.069.742,3.572.195,3.363.361,3.202.899,3.278.740,2.897.032,2.804.576,2.825.327,2.751.091,2.294.331,2.172.696,2.040.551,2.024.950,1.964.885,1.529.749,1.476.604,1.482.205
Ativo Circulante,833.943,793.353,839.215,739.526,787.608,521.571,659.725,742.693,502.703,509.401,755.200,707.845,538.759,527.350,625.173,647.895,552.750,605.137,882.855,964.488,787.795,1.153.691,1.293.900,1.446.068,1.404.090,1.422.810,1.084.865,1.004.786,962.544,1.159.586,837.686,935.768,1.041.299,1.090.149,723.472,668.308,619.116,660.947,683.129,296.961,265.122,301.392
Caixa e Equivalentes de Caixa AC,21.880,13.212,24.199,46.945,42.072,38.948,50.819,39.444,36.575,155.164,184.755,169.231,92.520,133.676,130.069,170.452,68.827,70.656,238.905,245.489,65.374,122.616,278.236,461.122,797.293,1.281.906,937.795,857.073,784.842,1.048.966,721.488,830.561,15.334,23.526,33.258,592.831,557.788,618.027,626.261,230.516,204.274,245.218
Aplicações Financeiras AC,628.156,603.392,628.172,516.126,553.284,298.546,402.008,485.269,287.324,175.246,372.161,296.487,207.991,157.415,262.867,249.407,281.258,322.868,400.173,436.570,495.056,820.087,778.909,819.590,464.697,0,0,0,0,0,0,0,927.574,980.763,594.988,0,0,0,0,0,0,0
Contas a Receber AC,116.716,106.236,134.895,124.077,132.722,118.096,151.991,143.587,132.708,123.595,154.497,172.328,179.965,172.719,176.220,165.875,137.769,148.554,186.650,203.223,183.303,177.731,193.428,109.055,102.092,94.875,106.276,86.315,81.373,80.732,90.021,83.514,75.206,66.611,70.940,52.982,41.462,25.353,37.171,37.413,34.195,33.364
Estoques AC,7.397,7.652,5.778,7.046,5.747,5.389,4.188,5.837,5.607,6.149,5.365,6.668,5.751,7.681,6.060,7.035,6.521,6.368,5.935,4.588,3.774,4.674,3.902,5.940,4.334,4.433,3.508,7.761,7.174,3.712,1.956,2.603,0,0,0,0,0,822,692,757,751,660
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,35.114,34.655,32.690,30.030,35.404,39.344,37.707,41.621,20.803,22.085,23.133,24.289,19.497,21.230,21.944,25.518,26.960,26.264,27.951,41.745,25.425,21.744,33.724,26.612,25.882,31.698,30.350,32.743,26.630,17.834,19.586,13.683,15.099,12.883,13.589,0,0,0,0,0,0,0
Despesas Antecipadas AC,12.857,16.351,7.263,9.308,12.119,15.038,7.061,10.241,12.213,15.069,7.753,9.494,11.901,14.138,6.844,8.360,10.063,11.913,6.431,4.255,8.757,2.681,627,1.207,2.901,3.761,529,1.337,3.626,4.145,216,1.413,1.933,2.129,30,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,11.823,11.855,6.218,5.994,6.260,6.210,5.951,16.694,7.473,12.093,7.536,29.348,21.134,20.491,21.169,21.248,21.352,18.514,16.810,28.618,6.106,4.158,5.074,22.542,6.891,6.137,6.407,19.557,58.899,4.197,4.419,3.994,6.153,4.237,10.667,22.495,19.866,16.745,19.005,28.275,25.902,22.150
Ativo Realizavel Longo Prazo ,168.094,166.964,174.174,166.846,175.268,177.742,192.511,363.508,360.254,348.991,307.842,325.100,297.452,288.611,292.333,274.424,288.986,273.341,242.224,196.771,188.548,205.556,195.231,295.731,258.534,266.200,172.089,131.890,126.260,82.811,83.478,85.834,72.232,46.588,50.280,94.918,84.305,74.443,85.004,77.883,69.124,69.181
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.412,16.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,31.384,0,0,0,36.802,36.589,35.936,35.401,33.724,0,0,0,0,0,0,18.495,17.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,31.848,25.418,30.932,36.867,36.294,17.112,77.699,78.922,79.484,80.206,84.668,76.917,72.231,72.228,83.855,65.798,65.701,62.969,71.575,31.331,42.561,32.254,28.986,73.884,72.127,66.967,63.032,56.755,56.066,27.095,28.946,30.773,31.358,20.552,20.781,22.007,7.825,1.402,4.556,5.426,5.299,5.254
Estoques ACLP,27.962,0,27.498,16.075,16.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,0,0,132.991,126.804,118.727,104.740,100.806,88.662,76.647,68.672,67.399,57.993,51.478,40.214,40.282,32.781,24.185,20.572,19.209,17.936,17.889,16.063,17.338,11.975,10.152,9.535,9.810,9.590,8.578,8.822,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
