Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Good,6.840000152587891,4.909999847412109,6.0,6.71999979019165,74905400.0,5.360211372375488,49224663.0,19167525.0,2530559.0,2510100.0,5300897.0,5489591.0,895509.0,1783754.0,142157.0,514958.0,2089669.0,0.0,0.0,0.0,0.0,279747.0,0.0,0.0,609061.0,1200861.0,257174.0,15996421.0,11713874.0,0.0,49224663.0,10804386.0,1204560.0,3361901.0,196869.0,5512434.0,0.0,0.0,528622.0,0.0,0.0,16896742.0,14773378.0,0.0,958942.0,961425.0,0.0,202997.0,0.0,0.0,829730.0,20693806.0,21506249.0,-485361.0,98033.0,1440799.0,656085.0,104191.0,-2626189.0,0.0,0.0
4Q2012,2012,12,Good,6.989999771118164,5.159999847412109,6.760000228881836,6.0,66616766.666666664,5.378158092498779,49756193.0,19383400.0,1949230.0,3433857.0,5688648.0,5182187.0,849624.0,1676267.0,142961.0,460625.0,2198322.0,0.0,0.0,0.0,0.0,304309.0,0.0,0.0,548909.0,1345104.0,258620.0,16207640.0,11708212.0,0.0,49756193.0,11537573.0,1067472.0,3564270.0,217423.0,6098898.0,0.0,0.0,589510.0,0.0,0.0,16785314.0,14390046.0,0.0,915151.0,1276756.0,0.0,203361.0,0.0,0.0,822759.0,20610546.0,21506249.0,-487273.0,96847.0,1993697.0,0.0,92999.0,-2591970.0,0.0,0.0
1Q2013,2013,3,Good,7.849999904632568,6.0,6.0,6.820000171661377,94151666.66666667,6.374224821726481,50800534.0,19944333.0,2107169.0,3409745.0,5754615.0,5375462.0,870968.0,1789579.0,162676.0,474120.0,2376008.0,0.0,0.0,0.0,0.0,304688.0,0.0,0.0,632414.0,1438906.0,276529.0,16430614.0,11773048.0,0.0,50800534.0,11237970.0,1190074.0,3335859.0,131435.0,5901396.0,0.0,0.0,679206.0,0.0,0.0,17834041.0,15294424.0,0.0,957199.0,1387352.0,0.0,195067.0,0.0,0.0,828539.0,20899981.0,21506249.0,-304820.0,95677.0,1993697.0,229063.0,108644.0,-2728527.0,0.0,0.0
2Q2013,2013,6,Good,7.269999980926514,5.659999847412109,6.739999771118164,6.480000019073486,118578666.66666667,6.011245409647624,57522176.0,23645839.0,2584921.0,4618003.0,6641675.0,6199980.0,1070725.0,1854379.0,141903.0,534255.0,2617302.0,0.0,0.0,0.0,0.0,344040.0,0.0,0.0,721118.0,1552144.0,1474239.0,17414836.0,12369960.0,0.0,57522176.0,14503888.0,1366182.0,4002441.0,144254.0,8470139.0,0.0,0.0,520872.0,0.0,0.0,20446523.0,15952659.0,0.0,2625195.0,1663771.0,0.0,204898.0,0.0,0.0,997031.0,21574737.0,21506249.0,-308279.0,94529.0,1993697.0,568678.0,214719.0,-2494855.0,0.0,0.0
3Q2013,2013,9,Good,8.050000190734863,6.019999980926514,6.170000076293945,7.75,102038500.0,6.4896596272786455,66221117.0,27406828.0,4118527.0,3713794.0,7609914.0,7383185.0,1593364.0,2233529.0,153184.0,601331.0,3061037.0,0.0,0.0,0.0,0.0,492004.0,0.0,0.0,641627.0,1927406.0,304192.0,20574065.0,14874997.0,0.0,66221117.0,19369468.0,1677430.0,5305482.0,168395.0,10694003.0,0.0,0.0,1524159.0,0.0,0.0,23873507.0,19548504.0,0.0,1504179.0,2001498.0,0.0,819327.0,0.0,0.0,1064152.0,21913988.0,21506249.0,-306928.0,93389.0,1993697.0,789642.0,151300.0,-2313358.0,0.0,0.0
4Q2013,2013,12,Good,8.989999771118164,7.420000076293945,7.809999942779541,8.770000457763672,83198500.0,7.613567193349202,68670222.0,28913484.0,4713369.0,4299778.0,8919926.0,6904616.0,1419343.0,2003256.0,152425.0,500770.0,3562888.0,0.0,0.0,0.0,0.0,496903.0,0.0,0.0,733958.0,2332027.0,277571.0,20940616.0,14975663.0,0.0,68670222.0,17708868.0,1592135.0,5342388.0,169161.0,9430892.0,0.0,0.0,1174293.0,0.0,0.0,27828097.0,23330447.0,0.0,1528731.0,2119594.0,0.0,849324.0,0.0,0.0,1181466.0,21951788.0,21506249.0,-297526.0,92227.0,2705084.0,0.0,132787.0,-2187031.0,0.0,0.0
1Q2014,2014,3,Good,9.079999923706055,7.099999904632568,8.770000457763672,7.760000228881836,85906966.66666667,7.163400014241536,68398383.0,28393886.0,5218679.0,3477693.0,8142918.0,7455409.0,1419214.0,2015657.0,181044.0,483272.0,3603564.0,0.0,0.0,0.0,0.0,484674.0,0.0,0.0,675671.0,2443219.0,536324.0,21162004.0,14702605.0,0.0,68398383.0,17873172.0,1495970.0,4908867.0,206650.0,9346726.0,0.0,0.0,1914959.0,0.0,0.0,27581319.0,23028748.0,0.0,1572653.0,2135035.0,0.0,844885.0,0.0,0.0,1186634.0,21757253.0,21506249.0,-295213.0,91161.0,2705084.0,71045.0,123251.0,-2444320.0,0.0,0.0
2Q2014,2014,6,Good,8.289999961853027,7.340000152587891,7.840000152587891,7.599999904632568,84143833.33333333,6.914573669433594,71269704.0,30743136.0,7068719.0,3229028.0,8748807.0,7510227.0,1507413.0,1858582.0,178674.0,641687.0,3783560.0,0.0,0.0,0.0,0.0,487621.0,0.0,0.0,682579.0,2613360.0,288884.0,21534933.0,14919191.0,0.0,71269704.0,18573674.0,1604561.0,5202269.0,494911.0,9894847.0,0.0,0.0,1377086.0,0.0,0.0,29401709.0,25117282.0,0.0,1652124.0,1798297.0,0.0,834006.0,0.0,0.0,1247357.0,22046966.0,21506249.0,-83845.0,90099.0,2705084.0,326372.0,116696.0,-2613688.0,0.0,0.0
3Q2014,2014,9,Good,10.569999694824219,7.429999828338623,7.650000095367432,9.149999618530273,128800200.0,8.425563017527262,78075658.0,35542909.0,7200206.0,5378263.0,9485436.0,8650655.0,1517161.0,2268016.0,200042.0,843130.0,4360176.0,0.0,0.0,0.0,0.0,553969.0,0.0,0.0,761702.0,3044505.0,297358.0,22679464.0,15195746.0,0.0,78075658.0,21519409.0,1780487.0,6065644.0,1241350.0,11483440.0,0.0,0.0,948489.0,0.0,0.0,31435704.0,26943304.0,0.0,1920904.0,1833820.0,0.0,737677.0,0.0,0.0,1544818.0,23575723.0,21506249.0,-81082.0,89007.0,2705084.0,1420349.0,115688.0,-2179572.0,0.0,0.0
4Q2014,2014,12,Good,12.420000076293945,8.760000228881836,9.039999961853027,11.199999809265137,197314447.33333334,10.424383481343588,82315583.0,37542232.0,8368528.0,6541899.0,9577548.0,8273110.0,1567866.0,2300624.0,0.0,912657.0,4670891.0,0.0,0.0,0.0,0.0,633689.0,0.0,0.0,370072.0,3667130.0,295350.0,24188928.0,15618188.0,0.0,82315583.0,24868000.0,1861318.0,6942933.0,749759.0,13686975.0,0.0,0.0,1627016.0,0.0,0.0,31574557.0,26392164.0,0.0,1595181.0,2881367.0,0.0,705844.0,0.0,0.0,1768702.0,24104327.0,21506249.0,-148569.0,87877.0,4261815.0,0.0,101658.0,-1704700.0,0.0,0.0
