"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - JBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,115.583.910,117.790.999,114.145.829,118.883.033,117.327.151,107.818.205,108.695.953,109.901.398,108.801.704,104.190.902,102.815.760,100.445.004,101.587.075,112.288.203,122.502.971,122.497.057,92.768.887,92.460.548,82.315.583,78.075.658,71.269.704,68.398.383,68.670.222,66.221.117,57.522.176,50.800.534,49.756.193,49.224.663,49.185.878,47.245.066,47.410.885,47.622.963,44.290.994,42.842.759,44.529.226,0,0,0,0,0,0,0
Ativo Circulante,34.201.881,35.819.405,36.899.549,39.855.944,39.901.819,35.374.371,36.105.544,38.818.968,38.223.479,34.595.193,33.919.803,33.170.668,35.544.785,42.746.667,49.810.039,55.734.358,40.011.665,40.172.659,37.542.232,35.542.909,30.743.136,28.393.886,28.913.484,27.406.828,23.645.839,19.944.333,19.383.400,19.167.525,19.550.628,17.869.560,17.931.280,18.246.879,16.226.276,14.593.869,14.740.201,0,5.711.290,4.639.808,13.943.259,6.476.496,7.041.303,7.247.283
Caixa e Equivalentes de Caixa AC,3.442.015,3.564.696,3.998.922,6.373.849,8.052.242,5.867.761,5.884.806,9.375.651,5.955.370,4.867.761,5.608.922,4.326.298,4.148.802,6.583.593,10.776.155,7.607.276,7.540.609,7.587.966,8.368.528,7.200.206,7.068.719,5.218.679,4.713.369,4.118.527,2.584.921,2.107.169,1.949.230,2.530.559,2.238.552,2.456.479,2.247.919,2.117.355,1.674.072,1.673.631,1.865.925,4.402.454,1.781.236,1.145.622,4.962.519,2.035.252,2.298.658,1.797.951
Aplicações Financeiras AC,2.850.074,3.848.454,4.936.857,5.719.981,5.059.832,4.965.386,5.856.502,4.721.603,5.345.018,5.876.547,3.746.700,2.980.930,4.322.262,8.703.635,8.067.833,16.401.000,6.367.103,6.532.858,6.541.899,5.378.263,3.229.028,3.477.693,4.299.778,3.713.794,4.618.003,3.409.745,3.433.857,2.510.100,3.236.684,2.694.349,3.040.275,3.463.659,3.286.110,1.883.645,2.197.908,0,0,0,0,0,0,0
Contas a Receber AC,8.787.374,8.986.789,9.657.010,9.827.639,9.617.431,9.056.988,9.333.291,9.391.611,9.782.700,8.085.940,9.589.185,9.328.252,9.156.740,9.788.546,12.119.662,13.076.653,11.098.152,10.680.262,9.577.548,9.485.436,8.748.807,8.142.918,8.919.926,7.609.914,6.641.675,5.754.615,5.688.648,5.300.897,5.045.674,4.431.010,4.679.846,4.468.304,3.934.861,3.969.279,3.904.483,5.259.532,2.822.480,2.291.394,4.267.468,2.140.442,2.428.174,2.634.465
Estoques AC,12.619.810,12.690.038,11.311.734,12.096.880,11.883.844,10.443.284,9.684.878,9.627.376,10.044.983,10.386.576,9.608.474,10.175.726,10.205.661,10.624.334,11.109.744,12.246.273,9.579.785,9.861.344,8.273.110,8.650.655,7.510.227,7.455.409,6.904.616,7.383.185,6.199.980,5.375.462,5.182.187,5.489.591,6.333.557,5.594.857,5.405.705,5.475.929,4.616.191,4.520.914,4.711.938,4.694.983,921.467,787.848,3.732.603,1.835.312,1.941.171,2.335.146
Ativos Biológicos AC,3.183.455,3.453.985,3.190.953,3.269.520,3.093.440,2.762.055,2.767.250,2.487.669,2.670.640,2.672.662,2.673.113,2.667.993,2.764.475,2.869.028,2.873.447,2.372.216,1.922.674,1.786.846,1.567.866,1.517.161,1.507.413,1.419.214,1.419.343,1.593.364,1.070.725,870.968,849.624,895.509,253.007,171.295,209.543,362.811,516.368,420.186,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,1.755.437,1.795.253,2.210.038,1.480.315,1.004.948,1.032.140,974.404,950.761,1.165.010,1.732.118,1.677.791,2.595.176,3.715.767,3.208.628,2.874.987,2.550.653,2.489.701,2.435.582,2.300.624,2.268.016,1.858.582,2.015.657,2.003.256,2.233.529,1.854.379,1.789.579,1.676.267,1.783.754,1.787.350,1.916.537,1.690.311,1.576.378,1.639.375,1.595.519,1.416.809,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,284.920,327.817,364.786,228.630,238.119,0,200.042,178.674,181.044,152.425,153.184,141.903,162.676,142.961,142.157,134.535,138.013,131.033,122.976,119.036,133.249,109.140,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,1.563.714,1.480.188,1.594.035,1.087.758,1.190.084,1.246.758,1.604.413,2.264.298,3.259.758,973.589,1.015.620,1.096.292,1.231.078,683.984,1.660.393,1.115.504,785.008,1.049.684,912.657,843.130,641.687,483.272,500.770,601.331,534.255,474.120,460.625,514.958,521.268,467.021,526.649,659.467,440.263,397.446,533.998,909.630,186.107,414.944,980.669,465.490,373.300,479.721
