Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,10.902700424194336,8.457710266113281,8.683600425720215,10.543899536132812,63534039.0,9.38431453704834,9526429.0,6252985.0,99023.0,1792581.0,1289284.0,1647227.0,0.0,722260.0,21199.0,681411.0,575673.0,0.0,0.0,0.0,0.0,0.0,398635.0,0.0,66025.0,111013.0,0.0,1243722.0,1454049.0,0.0,9526429.0,4534886.0,68446.0,2103336.0,145534.0,1606407.0,0.0,23038.0,0.0,124855.0,463270.0,3785504.0,3529897.0,0.0,21337.0,134531.0,0.0,99739.0,0.0,0.0,406101.0,799938.0,526514.0,-179147.0,0.0,450811.0,0.0,1760.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,12.105199813842773,10.437600135803223,10.477499961853027,11.307900428771973,15171366.333333334,10.64844799041748,11080294.0,7354002.0,183514.0,2924806.0,1622157.0,1884234.0,0.0,385995.0,19995.0,333301.0,790609.0,0.0,0.0,0.0,0.0,0.0,276178.0,0.0,55307.0,459124.0,0.0,1334442.0,1601241.0,0.0,11080294.0,4904392.0,76593.0,2920066.0,260194.0,1360086.0,0.0,117896.0,0.0,169557.0,0.0,5006597.0,4892209.0,0.0,17299.0,5021.0,0.0,92068.0,0.0,0.0,359833.0,809472.0,526514.0,-315492.0,0.0,596708.0,0.0,1742.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,12.75629997253418,11.201600074768066,11.307900428771973,11.527199745178223,36882852.666666664,10.71728547414144,10629539.0,6754862.0,259763.0,2078583.0,1692694.0,2041567.0,0.0,401468.0,33476.0,247311.0,828091.0,0.0,0.0,0.0,0.0,0.0,307769.0,0.0,54260.0,466062.0,0.0,1363724.0,1682862.0,0.0,10629539.0,4106774.0,81342.0,2581735.0,159997.0,1003286.0,0.0,116300.0,0.0,164114.0,0.0,5319776.0,5202081.0,0.0,14293.0,10418.0,0.0,92984.0,0.0,0.0,337179.0,865810.0,526514.0,-316483.0,0.0,596708.0,57503.0,1568.0,0.0,0.0,0.0
2Q2013,2013,6,Good,12.07859992980957,9.480870246887207,11.540499687194824,10.324600219726562,90333386.0,10.604854901631674,11736380.0,7515350.0,437165.0,3039551.0,1416288.0,1979627.0,0.0,387477.0,33590.0,221652.0,951782.0,0.0,0.0,0.0,0.0,0.0,330449.0,0.0,55275.0,566058.0,0.0,1453755.0,1815493.0,0.0,11736380.0,3797446.0,86891.0,2530177.0,154759.0,833453.0,0.0,0.0,0.0,192166.0,0.0,6719375.0,6619171.0,0.0,11688.0,21557.0,0.0,66959.0,0.0,0.0,319083.0,900476.0,526514.0,-315114.0,0.0,594835.0,92659.0,1582.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,11.899299621582031,9.587169647216797,10.258199691772461,10.816300392150879,70423043.66666667,9.92541472117106,12682661.0,8025794.0,326001.0,3430440.0,1354138.0,2279071.0,0.0,379274.0,38618.0,218252.0,1057406.0,0.0,0.0,0.0,0.0,0.0,349665.0,0.0,55176.0,652565.0,0.0,1654205.0,1945256.0,0.0,12682661.0,4237027.0,89835.0,3021922.0,190635.0,736486.0,0.0,22444.0,0.0,175705.0,0.0,7149706.0,7024271.0,0.0,10206.0,30147.0,0.0,85082.0,0.0,0.0,310580.0,985348.0,547927.0,-315700.0,0.0,561779.0,189658.0,1684.0,0.0,0.0,0.0
4Q2013,2013,12,Good,11.812899589538574,9.945940017700195,10.929200172424316,10.450900077819824,57335436.666666664,10.109936396280924,14138353.0,8991570.0,424020.0,3664418.0,1775641.0,2473266.0,0.0,360940.0,35282.0,258003.0,1176079.0,0.0,0.0,0.0,0.0,0.0,354251.0,0.0,55119.0,766709.0,0.0,1785347.0,2185357.0,0.0,14138353.0,5480314.0,99436.0,3953213.0,234897.0,747650.0,0.0,134396.0,0.0,310722.0,0.0,7169555.0,6945688.0,0.0,11038.0,30023.0,0.0,182806.0,0.0,0.0,313377.0,1175107.0,548848.0,-311931.0,0.0,936599.0,0.0,1591.0,0.0,0.0,0.0
1Q2014,2014,3,Good,11.168399810791016,9.062299728393555,10.450900077819824,11.115300178527832,97088384.66666667,9.634489377339682,14214310.0,8776648.0,703566.0,2823139.0,1642474.0,2848460.0,0.0,405228.0,50173.0,303608.0,1254948.0,0.0,0.0,0.0,0.0,0.0,387553.0,0.0,55500.0,811895.0,0.0,1878309.0,2304405.0,0.0,14214310.0,5267472.0,96288.0,3937874.0,95534.0,736914.0,0.0,134396.0,0.0,266466.0,0.0,7451006.0,7237685.0,0.0,3019.0,37686.0,0.0,172616.0,0.0,0.0,292151.0,1203681.0,548848.0,-139099.0,0.0,766567.0,25923.0,1442.0,0.0,0.0,0.0
2Q2014,2014,6,Good,12.282899856567383,10.887700080871582,11.09529972076416,11.70989990234375,63060401.333333336,10.836628595987955,14431231.0,8672412.0,790488.0,3397951.0,1556925.0,2139261.0,0.0,434318.0,43646.0,309823.0,1293592.0,0.0,0.0,0.0,0.0,0.0,425120.0,0.0,52463.0,816009.0,0.0,1953929.0,2511298.0,0.0,14431231.0,4809765.0,111935.0,3164718.0,137111.0,1171113.0,0.0,0.0,0.0,224888.0,0.0,7678487.0,7490096.0,0.0,996.0,41658.0,0.0,145737.0,0.0,0.0,775726.0,1167253.0,868185.0,-146038.0,0.0,377266.0,66442.0,1398.0,0.0,0.0,0.0
3Q2014,2014,9,Good,13.329400062561035,11.294699668884277,11.793000221252441,11.535499572753906,46236161.333333336,11.705360730489096,14462151.0,8238701.0,807210.0,2553600.0,1643002.0,2430784.0,0.0,448344.0,38263.0,317498.0,1458812.0,0.0,0.0,0.0,0.0,0.0,495010.0,0.0,50861.0,912941.0,0.0,2094392.0,2670246.0,0.0,14462151.0,4738523.0,136277.0,3219899.0,165971.0,818621.0,0.0,30462.0,0.0,367293.0,0.0,6867528.0,6666635.0,0.0,3219.0,58079.0,0.0,139595.0,0.0,0.0,1364107.0,1491993.0,868626.0,-151327.0,0.0,641781.0,131550.0,1363.0,0.0,0.0,0.0
4Q2014,2014,12,Good,14.57509994506836,10.190099716186523,11.369400024414062,14.31760025024414,91648345.33333333,12.950399080912272,16858032.0,10093028.0,951819.0,3618403.0,1979527.0,2897069.0,0.0,268357.0,40019.0,337834.0,1690822.0,0.0,0.0,0.0,0.0,0.0,514944.0,0.0,50545.0,1125333.0,0.0,2317668.0,2756513.0,0.0,16858032.0,6547473.0,124200.0,4628643.0,236911.0,966353.0,0.0,127010.0,0.0,464356.0,0.0,7262278.0,7049027.0,0.0,269.0,34771.0,0.0,178211.0,0.0,0.0,1369373.0,1678907.0,868972.0,-179970.0,0.0,988445.0,0.0,1460.0,0.0,0.0,0.0
