"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - RENNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,10.318.428,10.347.815,8.821.048,7.547.252,7.305.307,7.026.755,7.547.658,6.486.567,6.596.513,6.251.926,6.475.212,5.674.332,5.812.619,5.571.244,5.863.719,5.296.100,5.224.002,5.083.749,5.321.540,4.511.948,4.407.842,4.302.066,4.515.524,4.012.280,3.513.137,3.485.527,3.770.028,3.322.175,2.909.729,2.859.507,2.983.504,2.641.337,2.228.907,2.212.079,2.456.015,1.905.562,1.871.880,1.767.865,1.921.197,1.560.587,1.520.286,1.382.198
Ativo Circulante,5.376.263,5.573.986,5.930.335,4.779.355,4.609.391,4.360.150,4.907.941,4.010.903,4.205.998,3.890.929,4.085.477,3.356.909,3.512.408,3.385.396,3.721.211,3.307.446,3.307.172,3.281.904,3.499.343,2.810.923,2.780.762,2.758.485,3.001.262,2.654.108,2.241.864,2.221.684,2.496.890,2.188.443,1.864.842,1.876.789,2.035.555,1.838.263,1.441.844,1.642.597,1.872.921,1.404.589,1.379.239,1.271.048,1.477.545,1.121.318,1.075.577,941.312
Caixa e Equivalentes de Caixa AC,810.451,702.226,944.671,555.121,757.693,788.850,1.059.873,770.949,970.338,905.490,894.881,717.775,784.706,827.183,737.527,559.617,696.597,748.236,834.340,626.461,719.629,753.394,801.592,815.695,448.708,518.146,683.270,643.715,356.209,499.359,578.264,659.093,242.212,504.977,683.661,399.221,359.077,389.562,411.370,297.666,194.402,83.339
Aplicações Financeiras AC,137.238,623.152,439.693,399.440,88.181,96.005,82.360,91.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber AC,2.896.784,2.703.346,3.162.670,2.281.306,2.359.387,2.227.321,2.696.993,2.064.984,2.204.610,1.921.732,2.266.291,1.751.386,1.908.958,1.756.882,2.268.184,1.888.072,1.820.171,1.739.128,1.981.179,1.448.884,1.446.283,1.375.959,1.621.130,1.188.616,1.188.048,1.094.789,1.310.155,969.150,985.358,868.720,1.022.451,757.942,838.260,736.088,893.748,641.468,690.169,549.681,768.412,504.630,568.202,503.513
Estoques AC,1.148.162,1.247.414,1.110.305,1.212.285,1.085.675,1.096.172,923.176,948.666,874.699,920.794,782.266,788.558,701.042,674.815,622.534,763.646,688.231,705.073,612.300,674.462,568.293,581.743,506.990,585.049,542.758,533.648,454.011,524.271,478.196,470.879,402.748,394.960,337.473,378.126,275.950,314.362,285.842,282.976,203.693,231.765,231.175,268.458
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,234.288,201.784,208.840,253.836,209.967,133.218,140.273,124.320,139.690,127.100,135.841,90.497,106.496,114.862,87.630,87.838,92.741,80.577,68.127,54.425,38.489,36.603,68.374,57.062,58.603,71.551,47.598,47.609,41.445,33.972,30.445,23.469,22.084,21.178,18.610,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,12.739,17.590,18.584,5.266,10.109,16.661,15.813,6.198,8.693,11.206,11.654,5.336,8.273,9.432,8.890,3.397,6.691,8.068,10.786,3.176,7.686,3.747,3.550,1.856,3.698,3.634,3.859,1.647,2.799,1.815,2.228,952,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,149.340,96.064,64.156,64.628,90.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.538,44.151,48.829,94.070,87.257,81.798,86.002
Ativo Realizavel Longo Prazo ,266.123,245.831,261.188,274.626,276.813,306.171,299.809,257.447,220.200,228.785,244.376,241.486,240.273,205.973,176.446,126.816,153.047,119.915,149.985,145.896,148.296,129.051,128.648,113.332,147.211,163.961,170.706,152.506,147.218,139.563,143.547,81.639,97.074,87.464,103.451,95.611,90.113,83.769,39.904,43.507,44.226,43.467
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,8.302,9.299,9.798,11.449,10.619,10.692,10.936,8.293,7.468,8.614,9.223,8.576,8.576,7.498,7.101,5.434,5.283,5.249,4.028,2.878,3.408,2.042,1.964,2.642,3.490,4.564,4.699,5.428,5.171,5.872,0,0,0,0,0,0,0
Estoques ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,207.201,199.211,163.752,128.431,142.727,156.616,155.916,158.017,130.728,97.899,56.606,94.156,68.031,95.670,95.289,100.119,85.953,84.925,74.698,26.525,127.375,133.187,119.809,115.765,110.253,115.517,57.399,68.047,60.954,75.457,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,160.391,138.845,153.458,169.552,173.568,326,353,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,1.421,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,90.342,90.946,83.647,80.320,75.439,77.068,74.634,73.963,67.777,69.933,60.987,50.315,43.308,46.817,43.506,42.743,37.815,38.474,34.606,117.808,33.178,35.477,30.733,28.811,25.820,23.466,19.541,23.599,21.339,22.122,95.611,90.113,83.769,39.904,43.507,44.226,43.467
