Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,1.65625,1.1074999570846558,1.181249976158142,1.5299999713897705,63140533.333333336,0.589448869228363,5229007.0,3827405.0,99026.0,274331.0,1963588.0,1306919.0,0.0,42417.0,0.0,141124.0,408543.0,27353.0,0.0,2265.0,0.0,0.0,205076.0,0.0,0.0,173849.0,0.0,552026.0,441033.0,0.0,5229007.0,3213056.0,139985.0,1175623.0,34489.0,222983.0,13799.0,0.0,1626177.0,0.0,0.0,1410388.0,892566.0,0.0,25486.0,6594.0,0.0,185460.0,0.0,300282.0,0.0,605563.0,606505.0,2115.0,0.0,13331.0,-16455.0,0.0,0.0,67.0,0.0
4Q2012,2012,12,Bad,1.6399999856948853,1.2887500524520874,1.5175000429153442,1.5187499523162842,60148000.0,0.6054978171984354,5664755.0,4069970.0,423128.0,175227.0,2104479.0,1068762.0,0.0,214771.0,0.0,83603.0,578862.0,59255.0,0.0,1771.0,0.0,0.0,201730.0,0.0,0.0,316106.0,0.0,575185.0,440738.0,0.0,5664755.0,3607014.0,139537.0,1328155.0,80174.0,317198.0,25989.0,0.0,1715961.0,0.0,0.0,1441749.0,918766.0,0.0,323781.0,0.0,0.0,199202.0,0.0,0.0,0.0,615992.0,606505.0,2820.0,0.0,6586.0,0.0,0.0,0.0,81.0,0.0
1Q2013,2013,3,Bad,1.7100000381469727,1.096250057220459,1.5187499523162842,1.1124999523162842,117105333.33333333,0.5414765576521555,4109118.0,2390970.0,152276.0,476231.0,448829.0,974924.0,0.0,190402.0,0.0,148308.0,481776.0,0.0,0.0,3365.0,0.0,0.0,156480.0,0.0,0.0,321931.0,224621.0,575514.0,436237.0,0.0,4109118.0,1910428.0,115821.0,1169848.0,20406.0,404340.0,41742.0,0.0,158271.0,0.0,0.0,1581799.0,1016201.0,0.0,369364.0,0.0,0.0,196234.0,0.0,0.0,0.0,616891.0,606505.0,3525.0,0.0,6586.0,802.0,0.0,0.0,-527.0,0.0
2Q2013,2013,6,Good,1.1875,0.6725000143051147,1.1449999809265137,0.6725000143051147,131694133.33333333,0.360926220814387,4291966.0,2615181.0,176574.0,539038.0,458447.0,1051127.0,0.0,230455.0,0.0,159540.0,492710.0,0.0,0.0,3987.0,0.0,0.0,148276.0,0.0,0.0,340447.0,236608.0,510821.0,436646.0,0.0,4291966.0,2171470.0,126691.0,1306103.0,28488.0,534795.0,50874.0,0.0,124519.0,0.0,0.0,1449066.0,860423.0,0.0,361374.0,0.0,0.0,227269.0,0.0,0.0,0.0,671430.0,606505.0,4229.0,0.0,6586.0,55456.0,0.0,0.0,-1346.0,0.0
3Q2013,2013,9,Bad,0.981249988079071,0.581250011920929,0.71875,0.9437500238418579,198947733.33333334,0.3209783732891083,4351668.0,2629047.0,260296.0,423487.0,463675.0,1135483.0,0.0,214310.0,0.0,131796.0,508514.0,0.0,0.0,4302.0,0.0,0.0,147984.0,0.0,0.0,356228.0,248715.0,527893.0,437499.0,0.0,4351668.0,2237153.0,146727.0,1332284.0,18876.0,555542.0,53829.0,0.0,129895.0,0.0,0.0,1417035.0,829107.0,0.0,359266.0,0.0,0.0,228662.0,0.0,0.0,0.0,697480.0,606505.0,4934.0,0.0,6586.0,80832.0,0.0,0.0,-1377.0,0.0
4Q2013,2013,12,Bad,1.2862499952316284,0.8899999856948853,0.9512500166893005,0.9437500238418579,134093333.33333333,0.4439619481563568,4713904.0,2921990.0,280306.0,491288.0,530620.0,1251362.0,0.0,218554.0,0.0,149860.0,518353.0,0.0,0.0,4683.0,0.0,0.0,139427.0,0.0,0.0,374243.0,251747.0,540444.0,481370.0,0.0,4713904.0,2527591.0,166585.0,1651543.0,41664.0,425227.0,73619.0,16219.0,152734.0,0.0,0.0,1491702.0,895053.0,0.0,1543.0,0.0,0.0,245882.0,0.0,349224.0,0.0,694611.0,606505.0,-14423.0,0.0,104173.0,0.0,0.0,0.0,-1644.0,0.0
1Q2014,2014,3,Bad,1.1062500476837158,0.737500011920929,0.9437500238418579,0.8100000023841858,164558933.33333334,0.3834455708662669,4475198.0,2677980.0,235278.0,306269.0,510038.0,1263953.0,0.0,224389.0,0.0,138053.0,520043.0,0.0,0.0,3623.0,0.0,0.0,141991.0,0.0,0.0,374429.0,266008.0,530784.0,480383.0,0.0,4475198.0,2471844.0,155419.0,1528393.0,27271.0,520563.0,61553.0,16219.0,162426.0,0.0,0.0,1306719.0,708721.0,0.0,1742.0,0.0,0.0,254969.0,0.0,341287.0,0.0,696635.0,606505.0,-33072.0,0.0,104173.0,20535.0,0.0,0.0,-1506.0,0.0
2Q2014,2014,6,Bad,1.191249966621399,0.793749988079071,0.8125,1.1487499475479126,165962133.33333334,0.5144985020160675,4487408.0,2631090.0,287368.0,283759.0,577419.0,1144160.0,0.0,193428.0,0.0,144956.0,546589.0,0.0,0.0,3840.0,0.0,0.0,146907.0,0.0,0.0,395842.0,287050.0,534741.0,487938.0,0.0,4487408.0,2024950.0,153241.0,1189518.0,46454.0,422422.0,66803.0,0.0,146512.0,0.0,0.0,1752572.0,1154031.0,0.0,1773.0,0.0,0.0,262168.0,0.0,334600.0,0.0,709886.0,606505.0,7871.0,0.0,49079.0,47168.0,0.0,0.0,-737.0,0.0
3Q2014,2014,9,Good,1.225000023841858,0.8962500095367432,1.149999976158142,0.9474999904632568,135467466.66666666,0.5472337504227957,4656338.0,2756424.0,132755.0,435164.0,583812.0,1268406.0,0.0,211256.0,0.0,125031.0,549151.0,0.0,0.0,1293.0,0.0,0.0,141248.0,0.0,0.0,406610.0,313361.0,549651.0,487751.0,0.0,4656338.0,2254948.0,172965.0,1388054.0,35977.0,447664.0,64476.0,0.0,145812.0,0.0,0.0,1660231.0,1076868.0,0.0,2003.0,0.0,0.0,254948.0,0.0,326412.0,0.0,741159.0,606505.0,-2719.0,0.0,49079.0,89251.0,0.0,0.0,-957.0,0.0
4Q2014,2014,12,Bad,1.0987499952316284,0.800000011920929,0.9437500238418579,0.9637500047683716,112110088.0,0.5125091175238291,5290037.0,3395922.0,412170.0,450979.0,618276.0,1472738.0,0.0,295595.0,0.0,146164.0,519565.0,0.0,0.0,5020.0,0.0,0.0,146447.0,0.0,0.0,368098.0,319604.0,566193.0,488753.0,0.0,5290037.0,2831448.0,167423.0,1789898.0,44595.0,591443.0,80305.0,18319.0,139465.0,0.0,0.0,1704122.0,1120184.0,0.0,2381.0,0.0,0.0,265691.0,0.0,315866.0,0.0,754467.0,606505.0,-10092.0,0.0,159316.0,0.0,0.0,0.0,-1262.0,0.0
