"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - MAGAZ LUIZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010
Ativo Total,12.082.657,9.741.227,8.796.741,7.134.704,7.038.714,6.901.211,7.419.513,5.947.142,5.271.800,5.359.888,6.187.162,5.200.333,4.978.370,4.984.309,5.588.537,4.780.376,4.656.777,4.832.704,5.290.037,4.656.338,4.487.408,4.475.198,4.713.904,4.351.668,4.291.966,4.109.118,5.664.755,5.229.007,5.118.172,4.854.808,4.877.354,4.439.438,4.402.023,3.681.970,3.927.780
Ativo Circulante,6.035.612,5.333.105,6.412.390,4.892.255,4.841.942,4.772.292,5.257.617,3.788.465,3.116.317,3.127.783,3.919.843,3.010.297,2.807.439,2.819.393,3.360.515,2.636.572,2.672.208,2.917.622,3.395.922,2.756.424,2.631.090,2.677.980,2.921.990,2.629.047,2.615.181,2.390.970,4.069.970,3.827.405,3.742.741,3.504.614,3.567.127,3.235.354,3.320.699,2.673.821,2.895.585
Caixa e Equivalentes de Caixa AC,625.705,293.189,599.087,419.013,680.451,775.152,412.707,178.625,265.061,255.085,599.141,234.560,197.501,411.265,617.465,270.386,227.137,282.746,412.170,132.755,287.368,235.278,280.306,260.296,176.574,152.276,423.128,99.026,140.300,176.122,173.117,77.968,48.311,125.618,328.865
Aplicações Financeiras AC,441.096,217.285,409.111,253.756,182.840,299.345,1.259.553,1.043.666,596.982,521.375,818.984,566.954,464.845,302.246,497.623,265.143,238.792,337.433,450.979,435.164,283.759,306.269,491.288,423.487,539.038,476.231,175.227,274.331,255.055,162.701,74.957,259.474,655.520,145.338,46.732
Contas a Receber AC,1.460.841,1.761.335,2.051.557,1.657.171,1.507.047,1.410.669,1.241.290,663.189,503.849,578.848,581.001,423.054,404.297,389.638,435.225,431.175,419.449,480.435,618.276,583.812,577.419,510.038,530.620,463.675,458.447,448.829,2.104.479,1.963.588,1.966.529,1.884.416,1.927.828,1.758.287,1.630.621,1.522.202,1.524.671
Estoques AC,2.556.337,2.484.630,2.810.248,2.106.439,2.110.415,1.937.287,1.969.333,1.545.502,1.430.332,1.454.088,1.596.743,1.346.252,1.306.703,1.279.280,1.353.092,1.208.123,1.293.376,1.388.569,1.472.738,1.268.406,1.144.160,1.263.953,1.251.362,1.135.483,1.051.127,974.924,1.068.762,1.306.919,1.131.270,1.134.219,1.264.657,1.001.019,876.603,741.126,849.799
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,712.697,221.942,303.691,226.734,190.422,191.853,200.678,188.989,182.714,195.472,212.151,293.064,296.916,320.883,334.344,311.868,337.574,291.605,295.595,211.256,193.428,224.389,218.554,214.310,230.455,190.402,214.771,42.417,26.499,27.826,24.608,26.140,16.755,31.233,46.524
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,238.936,354.724,238.696,229.142,170.767,157.986,174.056,168.494,137.379,122.915,111.823,146.413,137.177,116.081,122.766,149.877,155.880,136.834,146.164,125.031,144.956,138.053,149.860,131.796,159.540,148.308,83.603,141.124,223.088,119.330,101.960,112.466,92.889,108.304,98.994
Ativo Realizavel Longo Prazo ,1.497.892,836.996,722.814,728.445,758.578,751.399,749.162,746.219,760.344,765.761,813.817,749.155,731.981,719.525,758.706,746.283,609.710,565.041,519.565,549.151,546.589,520.043,518.353,508.514,492.710,481.776,578.862,408.543,403.043,389.318,371.381,348.953,333.833,278.262,298.735
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,214,214,0,0,0,0,0,0,0,171,2.803,148,7.798,46.728,99.842,26.500,32.285,0,0,0,0,0,0,0,0,59.255,27.353,26.037,37.433,43.267,35.364,24.402,21.663,31.951
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,3.269,4.741,3.232,4.263,3.054,3.570,2.265,2.032,1.864,2.595,1.878,2.448,2.944,5.020,1.293,3.840,3.623,4.683,4.302,3.987,3.365,1.771,2.265,2.610,3.616,9.407,6.259,9.301,14.146,18.714
Estoques ACLP,11.268,4.436,7.571,6.429,7.140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,195.191,223.100,233.878,236.549,237.989,242.010,243.824,239.686,236.136,229.347,196.037,171.598,160.292,146.447,141.248,146.907,141.991,139.427,147.984,148.276,156.480,201.730,205.076,206.868,191.552,178.907,183.677,189.654,170.842,168.225
Despesas Antecipadas ACLP,26.979,168.863,181.012,176.515,178.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,552.939,521.321,509.109,519.532,524.718,568.066,500.263,490.115,473.727,480.036,448.526,409.164,369.520,368.098,406.610,395.842,374.429,374.243,356.228,340.447,321.931,316.106,173.849,167.528,156.717,139.800,123.653,110.476,71.611,79.845
Investimentos,293.609,294.610,308.462,294.286,284.527,277.190,311.347,319.037,311.846,391.454,380.386,373.650,368.125,368.531,384.025,333.572,313.165,294.653,319.604,313.361,287.050,266.008,251.747,248.715,236.608,224.621,0,0,0,0,0,0,0,0,0
Imobilizado,2.746.029,2.671.445,754.253,663.328,608.125,565.661,569.027,560.445,557.362,557.974,560.067,558.986,562.404,569.582,578.571,567.682,563.886,561.461,566.193,549.651,534.741,530.784,540.444,527.893,510.821,575.514,575.185,552.026,529.157,513.743,489.938,406.579,372.570,359.863,358.841
Intangível,1.509.515,605.071,598.822,556.390,545.542,534.669,532.360,532.976,525.931,516.916,513.049,508.245,508.421,507.278,506.720,496.267,497.808,493.927,488.753,487.751,487.938,480.383,481.370,437.499,436.646,436.237,440.738,441.033,443.231,447.133,448.908,448.552,374.921,370.024,374.619
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,12.082.657,9.741.227,8.796.741,7.134.704,7.038.714,6.901.211,7.419.513,5.947.142,5.271.800,5.359.888,6.187.162,5.200.333,4.978.370,4.984.309,5.588.537,4.780.376,4.656.777,4.832.704,5.290.037,4.656.338,4.487.408,4.475.198,4.713.904,4.351.668,4.291.966,4.109.118,5.664.755,5.229.007,5.118.172,4.854.808,4.877.354,4.439.438,4.402.023,3.681.970,3.927.780
