Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,12.199999809265137,8.15999984741211,9.319999694824219,11.800000190734863,58148900.0,10.90333334604899,24327432.0,9433608.0,1079608.0,1764808.0,1414057.0,2592440.0,915186.0,1192783.0,0.0,474726.0,3069223.0,886.0,0.0,0.0,0.0,0.0,1692097.0,0.0,0.0,1376240.0,2763.0,7684834.0,4137005.0,0.0,24327432.0,7172350.0,554634.0,2418903.0,169550.0,3274856.0,0.0,0.0,754407.0,0.0,0.0,13622900.0,9022336.0,0.0,3075938.0,1300431.0,0.0,224195.0,0.0,0.0,126040.0,3406143.0,3986518.0,0.0,0.0,33600.0,-1127125.0,-149517.0,662667.0,0.0,0.0
4Q2012,2012,12,Bad,12.40999984741211,8.100000381469727,11.779999732971191,8.479999542236328,65941500.0,10.193333307902018,25589455.0,10234652.0,919908.0,2258286.0,1793315.0,2703732.0,943832.0,1240457.0,0.0,375122.0,3261150.0,886.0,0.0,0.0,0.0,0.0,1851747.0,0.0,0.0,1408517.0,11107.0,8010620.0,4071925.0,0.0,25589455.0,7687320.0,506969.0,2580227.0,187503.0,3741780.0,0.0,0.0,670841.0,0.0,0.0,13597042.0,8786467.0,0.0,3098026.0,1474660.0,0.0,237889.0,0.0,0.0,148854.0,4156238.0,4818468.0,184800.0,0.0,33604.0,-1395005.0,-168805.0,683176.0,0.0,0.0
1Q2013,2013,3,Bad,10.84000015258789,7.949999809265137,8.479999542236328,8.899999618530273,67244166.66666667,9.666666666666666,25756281.0,10403206.0,1441826.0,1728978.0,1862061.0,2664563.0,928552.0,1374564.0,0.0,402662.0,3436789.0,886.0,0.0,0.0,0.0,0.0,1873978.0,0.0,0.0,1561925.0,19407.0,7909963.0,3986914.0,0.0,25756281.0,7470827.0,515051.0,2452538.0,192294.0,3675372.0,0.0,0.0,635572.0,0.0,0.0,13896985.0,9450853.0,0.0,2755818.0,1446241.0,0.0,244073.0,0.0,0.0,156640.0,4231827.0,5168468.0,184800.0,0.0,34572.0,-1458070.0,-253804.0,555861.0,0.0,0.0
2Q2013,2013,6,Bad,8.380000114440918,5.75,8.3100004196167,7.400000095367432,89359500.0,7.263333320617676,25885712.0,16216549.0,727952.0,1597907.0,1606691.0,1945589.0,423412.0,1035803.0,0.0,8879195.0,2446995.0,786.0,0.0,0.0,0.0,0.0,1340409.0,0.0,0.0,1105800.0,55243.0,4538287.0,2628637.0,0.0,25885712.0,9646918.0,329943.0,1549234.0,104062.0,2206368.0,0.0,0.0,5457311.0,0.0,0.0,12136726.0,9023495.0,0.0,2501186.0,595712.0,0.0,16333.0,0.0,0.0,112378.0,3989689.0,5168468.0,184800.0,0.0,34994.0,-1868223.0,-317835.0,601854.0,185631.0,0.0
3Q2013,2013,9,Good,7.880000114440918,5.630000114440918,7.440000057220459,6.050000190734863,70816033.33333333,6.453333377838135,17949606.0,8115676.0,1158907.0,1310837.0,1793209.0,1937363.0,443174.0,1066604.0,0.0,405582.0,2433188.0,1105.0,0.0,0.0,0.0,0.0,1320868.0,0.0,0.0,1111215.0,53535.0,4656796.0,2690411.0,0.0,17949606.0,4026376.0,338778.0,1600677.0,107184.0,1532460.0,0.0,0.0,447277.0,0.0,0.0,10689936.0,7735621.0,0.0,2323055.0,611038.0,0.0,20222.0,0.0,0.0,89644.0,3143650.0,5168468.0,184800.0,0.0,35729.0,-2172707.0,-771016.0,698376.0,0.0,0.0
4Q2013,2013,12,Good,6.130000114440918,3.759999990463257,6.070000171661377,4.0,62924533.333333336,4.283333460489909,17827564.0,7493730.0,771254.0,1040282.0,1951462.0,1828552.0,350106.0,1110436.0,0.0,441638.0,2599540.0,1030.0,0.0,0.0,0.0,0.0,1447965.0,0.0,0.0,1150545.0,54774.0,4868235.0,2811285.0,0.0,17827564.0,3688566.0,337931.0,1596091.0,114651.0,1172905.0,0.0,0.0,466988.0,0.0,0.0,11019976.0,7919618.0,0.0,2427039.0,646857.0,0.0,26462.0,0.0,0.0,89696.0,3029326.0,5168468.0,184800.0,0.0,35773.0,-2259304.0,-969306.0,868895.0,0.0,0.0
1Q2014,2014,3,Bad,5.0,3.4700000286102295,4.0,4.389999866485596,59173400.0,4.216666539510091,18162436.0,7808892.0,1244046.0,1148961.0,1689472.0,1844960.0,402466.0,1144575.0,0.0,334412.0,2794910.0,1015.0,0.0,0.0,0.0,0.0,1495487.0,0.0,0.0,1298408.0,46104.0,4777112.0,2735418.0,0.0,18162436.0,3756739.0,338380.0,1600020.0,117100.0,1344421.0,0.0,0.0,356818.0,0.0,0.0,11382665.0,8055085.0,0.0,2659737.0,640741.0,0.0,27102.0,0.0,0.0,90319.0,2932713.0,5168468.0,184800.0,0.0,35773.0,-2349366.0,-911761.0,804799.0,0.0,0.0
2Q2014,2014,6,Bad,6.190000057220459,3.990000009536743,4.409999847412109,5.960000038146973,52926766.666666664,5.140000025431315,18441210.0,8106615.0,644636.0,2012407.0,1646218.0,1866702.0,386168.0,1185618.0,0.0,364866.0,2830935.0,1000.0,0.0,0.0,0.0,0.0,1535072.0,0.0,0.0,1294863.0,41875.0,4770324.0,2691461.0,0.0,18441210.0,3711030.0,339833.0,1765099.0,147763.0,1101846.0,0.0,0.0,356489.0,0.0,0.0,11705560.0,8425862.0,0.0,2628702.0,619599.0,0.0,31397.0,0.0,0.0,92294.0,2932326.0,5168468.0,184642.0,0.0,35774.0,-2414360.0,-859662.0,817464.0,0.0,0.0
3Q2014,2014,9,Bad,7.75,5.75,5.96999979019165,6.659999847412109,53708166.666666664,6.956666628519694,20173437.0,9369676.0,848774.0,2212689.0,1642541.0,2050257.0,441020.0,1817574.0,0.0,356821.0,2966846.0,985.0,0.0,0.0,0.0,0.0,1594912.0,0.0,0.0,1370949.0,43762.0,4921612.0,2871540.0,0.0,20173437.0,4290048.0,357158.0,1856627.0,200120.0,1301513.0,0.0,0.0,574630.0,0.0,0.0,13329274.0,9440382.0,0.0,3219877.0,633236.0,0.0,35779.0,0.0,0.0,105658.0,2448456.0,5168468.0,184642.0,0.0,36152.0,-2715510.0,-1303052.0,1077756.0,0.0,0.0
4Q2014,2014,12,Bad,7.300000190734863,4.949999809265137,6.599999904632568,6.099999904632568,54033637.0,6.223333358764648,20185907.0,8368517.0,1091685.0,1567112.0,1618760.0,2027919.0,352200.0,1361635.0,0.0,349206.0,3671985.0,970.0,0.0,0.0,0.0,0.0,1708437.0,0.0,0.0,1962578.0,36934.0,5103763.0,3004709.0,0.0,20185907.0,4662465.0,341979.0,2028303.0,200312.0,1730048.0,0.0,0.0,361823.0,0.0,0.0,13451718.0,9470851.0,0.0,3304661.0,635758.0,0.0,40448.0,0.0,0.0,118260.0,1953465.0,5168468.0,184642.0,0.0,36449.0,-2998023.0,-1713198.0,1275127.0,0.0,0.0
