"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - Marfrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,28.629.983,27.897.240,26.504.272,33.458.590,32.613.231,23.454.339,21.301.801,19.942.201,20.797.217,20.322.408,20.258.804,21.226.928,20.412.451,20.337.068,20.915.948,24.057.399,22.760.264,22.002.637,20.185.907,20.173.437,18.441.210,18.162.436,17.827.564,17.949.606,25.885.712,25.756.281,25.589.455,24.327.432,23.511.108,23.712.084,23.823.440,24.168.509,23.168.166,22.403.461,22.599.586,0,0,0,0,9.381.093,9.336.327,9.239.444
Ativo Circulante,12.275.986,12.068.612,11.762.957,18.651.761,18.170.931,15.116.721,9.738.648,8.641.886,9.519.416,9.326.185,9.303.178,10.217.425,9.028.153,9.395.173,9.842.455,13.065.118,11.785.388,9.075.535,8.368.517,9.369.676,8.106.615,7.808.892,7.493.730,8.115.676,16.216.549,10.403.206,10.234.652,9.433.608,8.796.898,9.310.131,9.359.113,9.809.467,9.961.320,9.210.910,9.400.239,9.577.893,6.046.669,5.263.785,6.533.742,4.852.368,4.795.303,4.420.738
Caixa e Equivalentes de Caixa AC,1.223.954,1.693.046,2.459.202,1.268.561,1.546.180,2.060.864,1.213.572,1.268.895,3.939.249,3.382.278,3.291.705,3.310.345,2.719.689,2.520.594,1.630.368,1.053.595,839.152,1.510.756,1.091.685,848.774,644.636,1.244.046,771.254,1.158.907,727.952,1.441.826,919.908,1.079.608,957.212,1.211.295,1.076.820,1.396.928,939.936,857.576,738.048,5.281.014,2.028.812,1.543.840,3.033.438,1.277.089,1.284.370,1.125.082
Aplicações Financeiras AC,5.213.859,4.908.815,4.732.504,4.365.574,4.113.705,3.799.087,3.188.781,3.255.412,1.496.695,2.322.213,1.986.936,2.420.315,2.475.465,2.663.878,3.373.842,6.827.328,1.725.191,1.157.682,1.567.112,2.212.689,2.012.407,1.148.961,1.040.282,1.310.837,1.597.907,1.728.978,2.258.286,1.764.808,2.071.171,2.109.833,2.400.140,2.316.185,3.034.512,2.305.619,3.138.308,0,0,0,0,0,0,0
Contas a Receber AC,1.677.160,1.466.759,1.243.840,1.439.672,1.507.012,507.519,924.998,624.641,652.620,388.130,790.468,990.233,979.472,902.745,1.003.717,1.018.923,1.024.523,1.953.403,1.618.760,1.642.541,1.646.218,1.689.472,1.951.462,1.793.209,1.606.691,1.862.061,1.793.315,1.414.057,1.105.577,1.325.225,1.302.906,1.308.814,1.312.201,1.390.211,1.361.945,1.527.770,1.687.158,1.476.610,1.726.649,1.854.815,1.783.514,1.619.254
Estoques AC,2.381.786,2.301.990,1.822.280,2.305.300,2.299.597,1.058.660,1.759.871,1.561.621,1.334.944,1.211.746,1.257.616,1.369.645,1.208.191,1.276.120,1.496.964,1.486.966,1.406.514,2.231.582,2.027.919,2.050.257,1.866.702,1.844.960,1.828.552,1.937.363,1.945.589,2.664.563,2.703.732,2.592.440,2.414.885,2.530.387,2.526.827,2.623.778,2.445.970,2.452.281,2.249.314,2.686.388,2.276.150,2.198.881,1.726.482,1.672.708,1.679.832,1.626.524
Ativos Biológicos AC,23.606,11.970,16.570,14.619,8.472,4.429,119.621,118.562,118.315,114.792,112.454,123.943,140.961,147.163,160.174,227.360,232.795,361.815,352.200,441.020,386.168,402.466,350.106,443.174,423.412,928.552,943.832,915.186,767.977,697.952,711.169,784.573,730.530,733.445,693.040,0,0,0,0,0,0,0
Tributos a Recuperar AC,1.290.239,1.251.019,1.144.888,2.151.295,2.092.704,2.045.356,2.089.129,1.370.295,1.225.850,1.223.954,1.240.328,1.357.500,1.112.116,1.262.427,1.289.571,1.396.235,1.453.621,1.469.121,1.361.635,1.817.574,1.185.618,1.144.575,1.110.436,1.066.604,1.035.803,1.374.564,1.240.457,1.192.783,1.114.700,1.107.206,1.025.496,1.014.835,1.120.017,1.024.504,868.638,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,465.382,435.013,343.673,7.106.738,6.603.263,5.640.806,442.676,442.460,751.743,683.072,623.671,645.444,392.259,622.246,887.819,1.054.711,5.103.592,391.176,349.206,356.821,364.866,334.412,441.638,405.582,8.879.195,402.662,375.122,474.726,365.376,328.233,315.755,364.354,378.154,447.274,350.946,82.721,54.549,44.454,47.173,47.756,47.587,49.878
Ativo Realizavel Longo Prazo ,3.348.136,3.193.601,2.910.499,4.319.585,4.242.596,4.246.068,4.208.746,4.271.124,4.250.633,4.203.138,4.063.594,4.146.972,4.613.062,4.238.488,4.031.133,3.809.603,4.082.134,3.987.796,3.671.985,2.966.846,2.830.935,2.794.910,2.599.540,2.433.188,2.446.995,3.436.789,3.261.150,3.069.223,2.977.631,2.850.871,2.781.092,2.732.521,2.280.529,2.137.746,2.039.469,1.757.236,1.490.542,1.156.329,620.355,342.151,389.168,447.673
