"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - MRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,14.295.198,13.879.007,13.636.891,14.877.491,14.146.798,14.397.838,14.558.500,14.252.282,13.210.175,13.207.493,12.327.013,11.822.833,11.633.611,11.725.342,11.392.309,11.119.006,11.195.017,11.070.750,10.817.175,10.383.298,10.047.603,9.920.522,10.198.449,10.302.457,10.027.929,9.917.816,11.108.742,10.813.218,10.324.181,9.565.878,9.160.646,8.701.301,7.593.869,7.338.828,6.791.338,6.346.734,5.681.510,5.312.399,4.358.965,3.986.537,3.593.768,2.940.425
Ativo Circulante,8.116.653,7.636.717,7.861.258,8.133.891,7.628.824,8.128.620,8.315.552,8.139.672,7.550.674,7.983.596,7.120.084,6.813.128,6.716.181,6.834.261,6.819.612,6.471.016,6.521.198,6.517.237,6.232.331,5.695.236,5.514.086,5.436.558,5.870.596,6.042.012,5.816.937,5.728.022,6.912.961,6.657.982,6.677.421,6.190.680,5.998.840,5.905.305,4.968.040,4.899.973,4.585.296,4.371.447,4.023.297,3.889.412,3.167.665,3.127.127,2.823.836,2.172.898
Caixa e Equivalentes de Caixa AC,636.314,677.977,794.852,875.096,793.785,788.689,713.123,650.642,883.833,2.645.684,1.763.552,1.661.130,1.627.759,1.812.119,1.595.814,1.370.799,1.393.651,1.468.554,1.217.497,1.038.215,1.039.164,1.130.962,1.422.595,1.458.248,1.148.906,1.157.257,1.522.862,1.473.182,1.381.256,1.033.153,930.496,1.195.912,687.105,1.032.451,864.936,957.423,927.616,1.205.545,713.368,766.646,672.613,220.377
Aplicações Financeiras AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.720,298.196,310.880,0,0,0,0,0,0,0,0
Contas a Receber AC,1.583.544,1.577.926,1.457.630,1.391.501,1.487.598,1.553.289,1.594.050,1.436.866,1.485.496,1.607.674,1.662.025,1.955.356,2.038.723,2.027.885,2.075.203,2.129.053,2.242.382,2.293.827,2.433.993,2.301.394,2.262.490,2.232.606,2.295.682,2.518.837,2.524.444,2.530.015,3.102.655,2.863.947,2.873.765,2.881.009,2.858.536,2.644.404,2.526.828,2.124.437,1.954.982,2.070.631,2.079.432,1.745.588,1.449.955,1.220.024,1.087.706,878.261
Estoques AC,3.828.189,3.311.476,3.752.301,3.516.282,3.302.794,3.299.796,3.385.767,3.335.006,3.274.926,3.221.827,3.076.734,2.747.656,2.590.526,2.554.588,2.726.289,2.545.967,2.479.511,2.337.252,2.125.001,1.907.127,1.830.920,1.656.269,1.735.429,1.615.368,1.721.866,1.727.183,1.965.550,2.021.010,2.094.044,1.922.726,1.855.548,1.696.524,1.343.567,1.323.678,1.360.889,1.272.999,930.525,883.246,946.613,1.067.010,1.011.498,1.015.175
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,93.068,112.840,107.405,116.490,134.867,133.961,129.357,124.955,112.531,112.275,229.364,205.009,209.620,181.771,196.353,188.804,181.481,178.993,206.261,212.644,151.050,123.224,111.715,113.918,114.324,111.269,120.181,90.298,93.284,103.067,104.600,81.104,71.372,37.496,34.891,0,0,0,0,0,0,0
Despesas Antecipadas AC,100.575,102.517,92.454,89.619,93.453,88.076,75.655,73.398,73.077,68.773,57.205,53.804,54.572,51.468,44.002,41.948,42.574,44.083,39.991,0,0,0,0,0,0,0,0,0,0,0,0,6.470,9.535,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,1.874.963,1.853.981,1.656.616,2.144.903,1.816.327,2.264.809,2.417.600,2.518.805,1.720.811,327.363,331.204,190.173,194.981,206.430,181.951,194.445,181.599,194.528,209.588,235.856,230.462,293.497,305.175,335.641,307.397,202.298,201.713,209.545,235.072,250.725,249.660,54.171,31.437,71.031,369.598,70.394,85.724,55.033,57.729,73.447,52.019,59.085
Ativo Realizavel Longo Prazo ,5.544.438,5.719.465,5.332.684,5.319.652,5.153.380,4.920.697,4.898.849,4.800.339,4.584.340,4.235.613,4.197.278,4.120.166,4.016.339,3.967.335,3.643.131,3.688.566,3.686.854,3.570.027,3.598.483,3.678.743,3.548.309,3.724.374,3.568.245,3.467.121,3.436.428,3.516.661,3.652.672,3.647.679,3.212.626,2.989.789,2.826.895,2.455.727,2.323.045,2.169.220,1.969.709,1.802.965,1.533.056,1.353.173,1.120.653,793.784,700.192,695.580
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,930.577,1.022.875,1.023.949,998.621,944.044,991.402,935.063,983.570,1.096.565,1.203.864,1.306.172,1.448.267,1.479.313,1.528.046,1.853.330,1.932.850,2.001.009,1.952.088,1.881.665,1.978.648,2.011.966,2.113.282,2.251.995,2.000.006,1.913.533,1.809.343,1.522.918,1.256.814,1.278.485,1.305.337,1.703.332,1.425.940,1.238.502,995.122,696.973,607.994,622.406
Estoques ACLP,946.245,881.871,829.693,846.919,938.194,3.758.290,3.627.584,3.558.827,3.378.531,3.124.603,3.058.927,3.035.563,2.882.238,2.727.923,2.256.237,2.192.215,2.049.012,1.919.527,1.920.469,1.666.630,1.465.778,1.588.273,1.489.988,1.454.064,1.335.561,1.331.584,1.356.936,1.249.255,1.056.170,916.995,869.936,801.323,943.077,752.697,545.155,0,0,0,0,0,0,0
Ativos Biológicos ACLP,4.323.378,4.595.895,4.256.862,4.248.032,3.986.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1.347,939,827,783,876,834,960,686,638,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,0,0,0,0,0,39.012,40.660,36.837,36.679,34.503,36.050,39.825,35.931,35.129,32.415,37.742,37.493,39.439,32.589,0,0,0,0,0,0,0,0,0,0,0,0,17.391,13.295,20.925,18.358,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,30.931,30.690,37.865,32.155,34.907,60.735,86.537,51.839,46.769,44.056,36.643,38.294,45.396,39.355,88.387,86.615,82.983,63.732,56.954,56.459,56.814,56.876,50.514,65.968,68.480,62.374,61.760,61.021,56.459,68.712,65.694,57.100,53.085,61.075,60.913,55.881,68.935,69.018,84.786,78.043,70.507,54.480
Outros Ativos Não Circulantes ACLP,47.541,42.745,42.125,53.811,60.211,132.083,121.193,128.887,123.740,88.407,74.256,71.421,69.204,68.363,62.228,65.822,69.099,68.016,60.425,102.324,92.867,78.216,75.655,65.424,53.739,110.690,119.347,84.469,99.164,89.766,81.046,56.161,55.814,55.352,39.308,43.752,38.181,45.653,40.745,18.768,21.691,18.694
Investimentos,89.545,28.531,46.468,1.062.115,1.046.428,1.056.886,1.073.855,1.085.264,847.851,760.616,783.477,675.688,703.413,732.454,739.840,766.890,798.329,815.683,825.447,856.196,859.028,633.495,632.285,664.409,642.405,546.211,402.991,366.888,296.040,261.062,222.903,238.286,211.951,184.526,155.705,107.544,65.827,23.495,0,0,14,3.065
