Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,20.44879913330078,16.159099578857422,16.385700225830078,19.89550018310547,22380064.666666668,13.462616920471191,5204608.0,708683.0,322707.0,1523.0,204170.0,135588.0,0.0,3593.0,0.0,41102.0,392927.0,0.0,0.0,35808.0,320862.0,0.0,0.0,0.0,0.0,36257.0,3753397.0,19265.0,330336.0,0.0,5204608.0,431130.0,0.0,214251.0,19726.0,81930.0,0.0,0.0,115223.0,0.0,0.0,1564439.0,1281181.0,0.0,190768.0,92490.0,0.0,0.0,0.0,0.0,110.0,3208929.0,1740646.0,933941.0,0.0,275540.0,258802.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,21.078800201416016,18.932300567626953,19.995500564575195,20.065500259399414,14947642.0,14.730412165323893,5684512.0,851338.0,392857.0,2144.0,219592.0,166084.0,0.0,28623.0,0.0,42038.0,440203.0,0.0,0.0,61473.0,333175.0,0.0,0.0,0.0,0.0,45555.0,4035068.0,17366.0,340537.0,0.0,5684512.0,549428.0,0.0,185325.0,19126.0,114353.0,0.0,106997.0,123627.0,0.0,0.0,1929744.0,1685281.0,0.0,142529.0,101934.0,0.0,0.0,0.0,0.0,131.0,3205209.0,1740646.0,837867.0,0.0,626696.0,0.0,0.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,20.26219940185547,17.992300033569336,20.065500259399414,19.466699600219727,28643184.666666668,14.660313606262207,5673374.0,674239.0,225376.0,2178.0,173113.0,195116.0,0.0,5318.0,23636.0,49502.0,436357.0,0.0,0.0,58206.0,335532.0,0.0,0.0,0.0,0.0,42619.0,4203820.0,17114.0,341844.0,0.0,5673374.0,544765.0,0.0,183156.0,22489.0,126725.0,0.0,106997.0,105398.0,0.0,0.0,1860484.0,1636121.0,0.0,118288.0,106075.0,0.0,0.0,0.0,0.0,138.0,3267987.0,1740646.0,830015.0,0.0,627451.0,69875.0,0.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,20.100000381469727,16.066699981689453,19.13330078125,17.216699600219727,36221100.0,14.222832361857096,6120315.0,917947.0,172210.0,276421.0,180937.0,228702.0,0.0,14746.0,0.0,44931.0,436613.0,0.0,0.0,58071.0,337734.0,0.0,0.0,0.0,0.0,40808.0,4407308.0,17338.0,341109.0,0.0,6120315.0,482470.0,0.0,152395.0,33965.0,164629.0,0.0,38416.0,93065.0,0.0,0.0,1811672.0,1588567.0,0.0,108093.0,115012.0,0.0,0.0,0.0,0.0,157.0,3826016.0,2350906.0,810750.0,0.0,568961.0,95399.0,0.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,18.309999465942383,15.58329963684082,17.3700008392334,17.66670036315918,29998700.0,13.253023147583008,6393040.0,931896.0,309131.0,219632.0,198279.0,151166.0,0.0,1274.0,0.0,52414.0,445865.0,0.0,0.0,61570.0,339570.0,0.0,0.0,0.0,0.0,44725.0,4654685.0,17366.0,343228.0,0.0,6393040.0,472045.0,0.0,119238.0,33209.0,209620.0,0.0,38402.0,71576.0,0.0,0.0,2096320.0,1883709.0,0.0,89449.0,123162.0,0.0,0.0,0.0,0.0,171.0,3824504.0,2349451.0,769036.0,0.0,569194.0,136823.0,0.0,0.0,0.0,0.0
4Q2013,2013,12,Bad,18.6299991607666,16.00670051574707,17.503299713134766,16.63330078125,26496700.0,13.475493748982748,6397648.0,790948.0,210479.0,121120.0,242249.0,159994.0,0.0,2434.0,0.0,54672.0,450319.0,0.0,0.0,56333.0,348624.0,0.0,0.0,0.0,0.0,45362.0,4796290.0,17371.0,342720.0,0.0,6397648.0,483758.0,0.0,117530.0,26207.0,210573.0,0.0,38386.0,91062.0,0.0,0.0,2094552.0,1877860.0,0.0,98181.0,118511.0,0.0,0.0,0.0,0.0,186.0,3819152.0,2349434.0,751330.0,0.0,718388.0,0.0,0.0,0.0,0.0,0.0
1Q2014,2014,3,Good,16.75,14.133299827575684,16.63330078125,16.139999389648438,37019700.0,12.281198819478353,6388283.0,716432.0,154519.0,92177.0,236873.0,163638.0,0.0,2841.0,0.0,66384.0,461020.0,0.0,0.0,54139.0,350506.0,0.0,11085.0,0.0,0.0,45290.0,4831886.0,35202.0,343743.0,0.0,6388283.0,416561.0,0.0,94421.0,36062.0,202398.0,0.0,0.0,83680.0,0.0,0.0,2072947.0,1832404.0,0.0,103866.0,136677.0,0.0,0.0,0.0,0.0,206.0,3898569.0,2349434.0,748244.0,0.0,718623.0,82268.0,0.0,0.0,0.0,0.0
2Q2014,2014,6,Good,17.556699752807617,15.51669979095459,16.163299560546875,16.97330093383789,37057500.0,13.181842168172201,6424775.0,693010.0,141723.0,45621.0,259091.0,166529.0,0.0,2120.0,0.0,77926.0,478922.0,0.0,0.0,53009.0,361603.0,0.0,12598.0,0.0,0.0,51712.0,4873077.0,34005.0,345761.0,0.0,6424775.0,445621.0,0.0,69361.0,19857.0,208444.0,0.0,59971.0,87988.0,0.0,0.0,2034512.0,1801926.0,0.0,82969.0,149617.0,0.0,0.0,0.0,0.0,2834.0,3941808.0,2349434.0,768281.0,0.0,718857.0,105236.0,0.0,0.0,0.0,0.0
3Q2014,2014,9,Good,19.709999084472656,16.32670021057129,16.93670082092285,16.70669937133789,34570300.0,14.618322690327963,6456863.0,700713.0,130508.0,70112.0,276344.0,157647.0,0.0,2814.0,0.0,63288.0,484022.0,0.0,0.0,51935.0,365193.0,0.0,14113.0,0.0,0.0,52781.0,4891938.0,32971.0,347219.0,0.0,6456863.0,608010.0,0.0,76387.0,38090.0,356302.0,0.0,59971.0,77260.0,0.0,0.0,1810061.0,1601549.0,0.0,51404.0,157108.0,0.0,0.0,0.0,0.0,2628.0,4036164.0,2349291.0,794083.0,0.0,719092.0,173698.0,0.0,0.0,0.0,0.0
4Q2014,2014,12,Bad,18.146699905395508,14.720000267028809,16.59000015258789,15.813300132751465,188572145.0,13.696822802225748,6663216.0,871661.0,170926.0,155011.0,345182.0,156420.0,0.0,2661.0,0.0,41461.0,304271.0,0.0,0.0,51517.0,193784.0,0.0,16045.0,0.0,0.0,42925.0,5106281.0,32476.0,348527.0,0.0,6663216.0,492033.0,0.0,89416.0,45176.0,212873.0,0.0,73059.0,71509.0,0.0,0.0,2101529.0,1906178.0,0.0,37511.0,157840.0,0.0,0.0,0.0,0.0,2777.0,4066877.0,2349069.0,785383.0,0.0,932425.0,0.0,0.0,0.0,0.0,0.0
