"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - Multiplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,9.353.538,9.023.956,8.875.258,8.819.852,8.825.800,8.536.529,8.644.402,8.724.975,8.604.258,8.650.829,7.954.446,7.452.967,7.040.433,7.094.249,7.014.259,6.702.244,6.696.584,6.697.108,6.663.216,6.456.863,6.424.775,6.388.283,6.397.648,6.393.040,6.120.315,5.673.374,5.684.512,5.204.608,4.910.102,4.844.114,4.703.944,4.229.522,4.032.890,4.040.855,3.985.986,3.907.150,3.845.930,3.824.506,3.670.946,3.524.295,2.733.997,2.658.409
Ativo Circulante,1.327.623,1.370.233,1.274.156,1.243.000,1.375.582,1.109.223,1.299.500,1.442.779,1.402.067,1.474.490,897.945,1.068.436,751.847,832.099,786.435,591.509,688.712,908.885,871.661,700.713,693.010,716.432,790.948,931.896,917.947,674.239,851.338,708.683,785.172,989.991,978.539,810.503,804.582,997.526,1.028.183,1.085.554,1.172.325,1.208.652,1.085.193,1.019.340,362.490,356.545
Caixa e Equivalentes de Caixa AC,31.233,44.148,38.864,49.485,53.898,60.812,39.786,145.357,114.101,101.397,105.647,123.790,174.038,152.755,159.000,125.562,135.214,146.447,170.926,130.508,141.723,154.519,210.479,309.131,172.210,225.376,392.857,322.707,444.445,627.150,527.392,532.860,559.467,784.726,794.839,840.118,933.011,980.467,827.967,796.794,187.337,187.213
Aplicações Financeiras AC,881.860,961.123,816.905,792.971,920.261,705.529,856.245,925.503,891.072,1.003.918,361.721,547.072,151.173,301.866,213.312,126.173,126.998,252.723,155.011,70.112,45.621,92.177,121.120,219.632,276.421,2.178,2.144,1.523,1.493,27.884,30.951,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber AC,258.808,234.324,284.310,257.599,241.316,225.510,277.047,245.011,246.743,243.567,297.249,254.465,253.402,232.590,267.072,231.795,314.405,316.878,345.182,276.344,259.091,236.873,242.249,198.279,180.937,173.113,219.592,204.170,190.305,177.166,201.024,179.108,168.683,150.708,180.122,174.292,167.471,158.762,184.846,158.897,130.684,128.875
Estoques AC,36.531,36.693,36.415,35.930,36.382,38.002,35.959,37.474,49.551,46.731,47.222,69.815,71.945,71.330,72.527,75.879,73.982,158.462,156.420,157.647,166.529,163.638,159.994,151.166,228.702,195.116,166.084,135.588,107.318,91.236,146.573,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,32.804,7.991,23.081,41.633,57.649,16.422,27.281,33.336,41.429,7.218,6.560,7.969,35.414,4.392,10.149,2.609,7.241,2.865,2.661,2.814,2.120,2.841,2.434,1.274,14.746,5.318,28.623,3.593,10.086,26.971,35.642,66.444,40.472,24.499,21.892,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,86.387,85.954,74.581,65.382,66.076,62.948,63.182,56.098,59.171,71.659,79.546,65.325,65.875,69.166,64.375,29.491,30.872,31.510,41.461,63.288,77.926,66.384,54.672,52.414,44.931,49.502,42.038,41.102,31.525,39.584,36.957,32.091,35.960,37.593,31.330,71.144,71.843,69.423,72.380,63.649,44.469,40.457
Ativo Realizavel Longo Prazo ,666.581,668.555,664.262,665.345,534.906,532.018,519.416,510.242,494.026,499.764,500.297,499.320,504.000,503.054,487.844,426.614,334.099,305.620,304.271,484.022,478.922,461.020,450.319,445.865,436.613,436.357,440.203,392.927,386.438,384.961,389.058,148.851,141.122,105.058,110.018,181.429,179.749,190.493,210.167,274.807,303.505,311.496
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,69.205,0,0,0,78.309,79.164,86.213,96.764,107.512,114.982,120.547,129.576,136.987,135.422,138.580,51.559,51.653,51.517,51.935,53.009,54.139,56.333,61.570,58.071,58.206,61.473,35.808,36.332,38.551,44.521,36.767,37.044,35.913,36.154,174.012,172.335,171.868,169.204,172.840,160.635,169.010
Estoques ACLP,67.482,410.709,68.744,75.054,73.362,277.833,272.880,266.674,263.469,259.251,247.120,234.031,230.364,215.976,212.160,228.241,223.245,197.450,193.784,365.193,361.603,350.506,348.624,339.570,337.734,335.532,333.175,320.862,314.235,312.602,310.610,77.060,71.004,35.685,33.183,0,0,0,0,0,0,0
Ativos Biológicos ACLP,412.512,0,406.768,404.232,287.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,21.400,0,0,0,25.445,17.782,13.445,13.309,14.313,14.468,14.509,15.166,15.493,16.375,17.598,17.491,16.240,16.045,14.113,12.598,11.085,0,0,0,0,0,0,0,0,0,0,0,0,8.737,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,22.217,0,21.613,25.702,25.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.527,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,75,74,74,74,74,2.120,1.722,1.698
Outros Ativos Não Circulantes ACLP,0,167.241,0,0,11.852,150.431,149.590,143.910,120.484,118.688,123.727,130.233,128.894,134.598,123.887,42.195,41.804,29.750,42.925,52.781,51.712,45.290,45.362,44.725,40.808,42.619,45.555,36.257,35.871,33.808,33.927,34.950,33.000,33.386,31.869,7.343,7.340,18.551,40.889,99.847,141.148,140.788
Investimentos,6.913.959,6.542.900,6.500.617,6.474.454,6.475.161,6.454.152,6.444.021,6.390.804,6.329.868,6.299.509,6.178.102,5.506.549,5.406.762,5.379.105,5.358.701,5.303.281,5.292.537,5.101.620,5.106.281,4.891.938,4.873.077,4.831.886,4.796.290,4.654.685,4.407.308,4.203.820,4.035.068,3.753.397,3.392.279,3.128.083,2.999.186,2.933.555,2.749.868,2.600.157,2.508.693,11.841,14.891,14.418,15.382,14.864,16.053,17.603
Imobilizado,88.930,88.035,80.584,80.911,83.733,86.117,27.573,28.048,28.565,29.718,30.453,30.190,28.431,29.872,30.841,31.975,32.749,31.999,32.476,32.971,34.005,35.202,17.371,17.366,17.338,17.114,17.366,19.265,19.312,19.497,19.812,18.395,18.218,18.277,18.504,2.285.199,2.138.738,2.073.242,2.022.087,1.875.905,1.711.326,1.630.588
Intangível,356.445,354.233,355.639,356.142,356.418,355.019,353.892,353.102,349.732,347.348,347.649,348.472,349.393,350.119,350.438,348.865,348.487,348.984,348.527,347.219,345.761,343.743,342.720,343.228,341.109,341.844,340.537,330.336,326.901,321.582,317.349,318.218,319.100,319.837,320.588,317.901,313.867,310.206,309.475,309.729,310.035,310.529
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.226,26.360,27.495,28.642,29.650,30.588,31.648
