"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - PÃO DE AÇÚCAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,32.866.001,57.671.999,52.849.000,47.877.001,46.493.000,45.416.002,47.928.001,41.736.999,41.010.999,41.392.001,45.217.001,41.956.000,42.034.000,43.484.000,47.240.999,42.268.000,41.465.000,42.967.998,45.499.998,39.228.113,35.462.144,35.957.879,38.008.353,33.575.524,33.402.053,34.237.985,35.396.231,34.757.517,33.955.039,32.030.167,33.769.003,30.952.708,30.423.372,30.228.824,29.932.749,0,0,0,0,0,0,0
Ativo Circulante,12.002.000,36.919.001,36.303.999,31.876.000,31.238.001,30.610.999,33.220.000,27.320.001,26.968.001,27.970.001,31.651.000,19.918.000,19.448.001,21.076.001,24.960.000,19.622.001,19.375.000,21.197.001,24.132.999,18.329.164,15.669.379,16.381.858,18.609.736,14.849.309,14.909.748,15.886.152,17.250.685,17.183.975,16.757.631,15.465.684,17.276.391,15.438.110,15.295.036,14.881.928,14.716.365,8.696.854,8.268.970,8.190.430,8.532.715,7.881.771,5.922.417,5.616.237
Caixa e Equivalentes de Caixa AC,4.705.000,2.359.000,4.369.000,2.625.000,3.054.000,1.701.000,3.792.000,1.266.000,2.366.000,1.683.000,5.112.000,3.385.000,3.716.000,4.448.000,11.015.000,5.414.000,6.811.000,6.145.000,11.149.000,6.601.101,5.355.930,5.350.459,8.367.176,4.780.019,5.037.251,6.002.374,7.086.251,5.550.551,5.473.383,3.745.811,4.969.955,3.574.539,3.963.067,3.587.926,3.817.994,2.128.035,1.767.393,1.806.826,2.344.200,2.153.703,1.725.344,1.232.219
Aplicações Financeiras AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.990,23.622,24.453,23.270,23.111,0,0,0,0,0,0,0,0,367.229,608.002,0,0,0,0,0,0,0
Contas a Receber AC,665.000,1.072.000,686.000,1.200.000,553.000,1.181.000,903.000,1.144.000,598.000,869.000,669.000,4.149.000,4.655.000,5.659.000,3.585.000,4.136.000,2.939.000,4.818.000,3.505.000,3.161.616,2.696.403,2.645.119,2.743.033,2.577.659,2.728.465,3.144.168,3.430.440,5.493.694,5.269.323,5.274.634,5.717.121,5.127.868,4.909.571,4.243.157,4.047.234,3.552.541,3.660.248,3.502.050,3.356.168,3.280.851,2.540.077,2.486.401
Estoques AC,5.692.000,5.732.000,5.909.000,5.540.000,5.136.000,4.758.000,4.822.000,4.634.000,4.427.000,4.578.000,4.641.000,7.864.000,8.943.000,9.161.000,8.965.000,8.617.000,8.212.000,8.902.000,8.405.000,7.454.993,6.463.993,7.166.107,6.381.544,6.251.715,5.895.910,5.675.913,5.759.648,5.184.539,4.939.249,5.177.976,5.552.769,5.097.065,4.816.465,4.848.072,4.823.768,3.016.278,2.816.066,2.863.280,2.827.463,2.443.640,1.656.996,1.897.617
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,615.000,648.000,679.000,363.000,532.000,573.000,596.000,395.000,449.000,617.000,674.000,1.563.000,1.547.000,1.229.000,1.080.000,1.100.000,987.000,863.000,808.000,750.042,759.836,760.494,907.983,976.042,957.734,834.398,871.021,802.197,889.880,1.031.675,907.702,1.411.623,1.347.428,1.100.986,888.355,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,174.000,183.000,231.000,112.000,165.000,196.000,247.000,97.000,244.000,379.000,432.000,157.000,231.000,255.000,257.000,130.000,230.951,226.412,288.787,92.279,155.239,178.515,190.224,66.792,114.047,140.940,214.698,105.794,183.965,211.292,681.590,436.985,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,325.000,27.108.000,24.661.000,21.974.000,21.780.001,22.166.999,22.994.999,19.716.000,18.932.001,19.975.999,20.458.000,2.713.000,208.000,147.000,158.000,124.000,171.000,212.000,136.000,130.462,143.815,147.270,93.267,85.365,88.762,39.075,36.532,38.948,44.856,20.890,23.051,43.050,47.213,52.968,94.027,0,25.263,18.274,4.884,3.577,0,0
