Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,23.84000015258789,17.969999313354492,18.100000381469727,22.3700008392334,491403600.0,17.825822194417317,646683165.0,125807690.0,30187315.0,22673562.0,23291283.0,30355708.0,0.0,12614975.0,2128645.0,4556200.0,37763990.0,348745.0,289188.0,5471612.0,89927.0,0.0,17741363.0,2383539.0,79538.0,11360074.0,12150947.0,388646502.0,82314019.0,0.0,646683165.0,64248496.0,4059793.0,25374960.0,10521299.0,15340941.0,964493.0,0.0,6489964.0,1497044.0,0.0,237786268.0,171215487.0,193099.0,1188610.0,36314427.0,0.0,28874643.0,0.0,0.0,2190925.0,342457459.0,205392151.0,625114.0,0.0,122611712.0,10765923.0,3062563.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,23.100000381469727,18.350000381469727,22.329999923706055,19.520000457763672,468485500.0,16.78695583343506,677716296.0,118101811.0,27628003.0,21315725.0,22680508.0,29735948.0,0.0,11386585.0,1692488.0,3662553.0,47215186.0,69747.0,289284.0,5230502.0,91847.0,0.0,21965812.0,2663420.0,3844950.0,13059623.0,12476892.0,418715664.0,81206755.0,0.0,677716296.0,69620580.0,4420579.0,23735509.0,12521622.0,15319805.0,1039305.0,6153528.0,4820607.0,1609627.0,0.0,262662046.0,180993540.0,181350.0,1395259.0,39261602.0,0.0,40830296.0,0.0,0.0,2353980.0,343079690.0,205392151.0,630288.0,0.0,134928835.0,0.0,50510.0,2077909.0,0.0,0.0
1Q2013,2013,3,Bad,20.670000076293945,16.399999618530273,19.520000457763672,18.420000076293945,762395266.6666666,15.116227785746256,695313170.0,116893311.0,27235076.0,19301607.0,22441980.0,31801612.0,0.0,10736508.0,2067556.0,3308970.0,53752590.0,60464.0,309954.0,4664989.0,99387.0,0.0,29008296.0,2691313.0,3937014.0,12981172.0,11755720.0,431874146.0,81037361.0,0.0,695313170.0,68529086.0,4163907.0,24117803.0,11732359.0,14564371.0,928801.0,6256967.0,5088115.0,1676769.0,0.0,289119076.0,182369583.0,201816.0,1423878.0,41967821.0,0.0,63155970.0,0.0,0.0,2227710.0,335437289.0,205392151.0,641468.0,0.0,134928835.0,7541654.0,-14768188.0,1701367.0,0.0,0.0
2Q2013,2013,6,Bad,20.81999969482422,15.569999694824219,18.270000457763672,16.170000076293945,819831200.0,16.225396156311035,749027656.0,144710009.0,51249525.0,21782053.0,22130065.0,31097264.0,0.0,13482127.0,2270287.0,2698705.0,58360390.0,33149.0,304342.0,5193339.0,93845.0,0.0,31718097.0,2671932.0,3890726.0,14454957.0,14610342.0,451353346.0,79993561.0,0.0,749027656.0,68163985.0,4863915.0,24127445.0,10357364.0,18199052.0,1139205.0,2898598.0,4991870.0,1586539.0,0.0,340838121.0,230841532.0,391076.0,1908145.0,43315970.0,0.0,64381399.0,0.0,0.0,1760431.0,338265110.0,205410910.0,677845.0,0.0,134910067.0,13745234.0,-20425189.0,3946262.0,0.0,0.0
3Q2013,2013,9,Bad,19.309999465942383,14.9399995803833,16.350000381469727,18.360000610351562,644797500.0,14.97653897603353,758432793.0,137242591.0,39349920.0,18545838.0,21519276.0,33570384.0,0.0,15246380.0,2212821.0,6797979.0,60923814.0,32213.0,300775.0,5326680.0,114315.0,0.0,33057851.0,2823246.0,4478904.0,14789827.0,15104980.0,464647619.0,80513778.0,0.0,758432793.0,69960163.0,6480930.0,24648884.0,11071224.0,18189128.0,1264644.0,0.0,5622231.0,1664700.0,1018419.0,345370427.0,232676770.0,541758.0,1614125.0,45640090.0,0.0,64897708.0,0.0,0.0,1789943.0,341312218.0,205410910.0,658004.0,0.0,134910067.0,17142516.0,-20738656.0,3929412.0,0.0,0.0
4Q2013,2013,12,Bad,21.440000534057617,16.690000534057617,18.530000686645508,17.079999923706055,578363366.6666666,16.383126576741535,752966631.0,123350376.0,37171823.0,9100566.0,22652363.0,33323520.0,0.0,11645732.0,1386799.0,8069577.0,43999363.0,30703.0,276514.0,5581232.0,122545.0,0.0,15250712.0,3134187.0,5034449.0,14569022.0,15615384.0,533880308.0,36121194.0,0.0,752966631.0,82524529.0,4806121.0,26721401.0,11596803.0,18782900.0,1200966.0,9301024.0,5689092.0,1912388.0,2513837.0,321108410.0,249037996.0,386612.0,1309112.0,23206031.0,0.0,47168672.0,0.0,0.0,1393791.0,347939893.0,205410910.0,736885.0,0.0,149035713.0,0.0,-12439537.0,5195931.0,0.0,0.0
1Q2014,2014,3,Bad,17.200000762939453,12.550000190734863,17.079999923706055,15.779999732971191,1064647933.3333334,12.781100273132324,802014626.0,159665095.0,68466528.0,10025962.0,24040520.0,35259679.0,0.0,11609575.0,0.0,10262817.0,45838041.0,21481.0,273992.0,11520449.0,0.0,0.0,15868694.0,0.0,0.0,18153423.0,15619421.0,544913654.0,35978473.0,0.0,802014626.0,83746333.0,6361671.0,26905199.0,734543.0,21843616.0,0.0,9526552.0,15221458.0,2007631.0,1145664.0,362498654.0,286303191.0,0.0,0.0,25624144.0,0.0,50571346.0,0.0,0.0,1279056.0,354490624.0,205410910.0,641482.0,0.0,149035713.0,5395469.0,-5992973.0,0.0,0.0,0.0
2Q2014,2014,6,Bad,19.1299991607666,15.119999885559082,15.720000267028809,17.290000915527344,900804766.6666666,15.310689608256022,800370000.0,144270000.0,58140000.0,8236000.0,23412001.0,37407998.0,0.0,8344000.0,0.0,8730000.0,45138002.0,22000.0,277000.0,12660000.0,0.0,0.0,13827000.0,0.0,0.0,18352001.0,15669000.0,559334949.0,35958002.0,0.0,800370000.0,75255996.0,5709000.0,27551001.0,838000.0,23535000.0,0.0,0.0,15126000.0,1909000.0,588000.0,362873979.0,284177007.0,0.0,0.0,28054000.0,0.0,50643001.0,0.0,0.0,1540000.0,360700016.0,205431996.0,656000.0,0.0,149015003.0,10357000.0,-4760000.0,0.0,0.0,0.0
3Q2014,2014,9,Bad,24.899999618530273,16.850000381469727,17.350000381469727,18.09000015258789,1074842133.3333333,18.724503835042317,815741010.0,142950007.0,49623998.0,20674001.0,21549001.0,32437000.0,0.0,8603000.0,0.0,10063000.0,47874998.0,13000.0,281000.0,12708000.0,0.0,0.0,13662000.0,0.0,0.0,21211001.0,15537000.0,591605989.0,17773001.0,0.0,815741010.0,84708000.0,7931000.0,27658000.0,823000.0,28242999.0,0.0,0.0,17264001.0,2198000.0,591000.0,388637000.0,303461007.0,0.0,0.0,21923000.0,0.0,63253000.0,0.0,0.0,1071000.0,341325010.0,205431996.0,656000.0,0.0,149015003.0,5021000.0,0.0,0.0,-18799000.0,0.0
4Q2014,2014,12,Bad,22.420000076293945,8.5600004196167,17.700000762939453,10.029999732971191,1748745398.6666667,11.797518730163574,793374949.0,135023010.0,44239000.0,24763001.0,21167000.0,30457000.0,0.0,10123000.0,0.0,4274000.0,50104001.0,6000.0,284000.0,14441000.0,0.0,0.0,13318000.0,0.0,0.0,22055000.0,15282000.0,580990009.0,11975999.0,0.0,793374949.0,82659000.0,5489000.0,25924000.0,657000.0,31565001.0,0.0,0.0,16909000.0,2115000.0,0.0,399993995.0,319470010.0,0.0,0.0,8052000.0,0.0,72472003.0,0.0,0.0,1874000.0,308847970.0,205431996.0,-646000.0,0.0,149015003.0,-21577001.0,0.0,0.0,-23375999.0,0.0
