"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - RAIADROGASIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,11.098.713,11.187.695,7.352.005,7.116.260,6.759.816,6.496.808,6.464.249,6.309.836,6.008.409,5.731.590,5.659.303,5.319.851,4.861.771,4.775.378,4.699.201,4.355.143,4.135.822,4.156.851,4.049.289,3.798.948,3.639.198,3.533.231,3.614.093,3.298.645,3.316.119,3.243.082,3.340.186,3.186.097,3.108.413,3.121.129,3.168.308,1.011.133,971.973,990.613,922.285,780.509,699.904,729.799,731.914,680.617,627.300,658.055
Ativo Circulante,4.593.002,4.681.537,4.529.825,4.395.575,4.125.731,3.931.798,3.928.204,3.843.872,3.649.611,3.447.419,3.427.783,3.156.067,2.759.072,2.721.675,2.685.844,2.464.770,2.285.218,2.333.121,2.243.931,2.030.079,1.893.565,1.813.989,1.903.575,1.601.939,1.637.130,1.581.484,1.693.864,1.558.119,1.546.091,1.558.229,1.625.795,751.699,715.076,737.337,666.448,553.428,506.500,542.576,556.399,525.724,477.937,514.952
Caixa e Equivalentes de Caixa AC,145.387,243.596,241.568,273.555,281.255,102.675,264.873,394.563,324.363,181.601,276.632,255.827,56.496,106.770,266.051,268.789,210.927,230.865,281.189,149.768,143.508,139.143,241.885,122.367,73.557,127.007,166.963,218.404,124.927,169.441,339.971,153.718,141.025,160.764,180.846,116.042,87.054,104.045,142.201,141.484,117.913,135.550
Aplicações Financeiras AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.444,16.261,15.773,15.319,0,0,0,0,0,0,0
Contas a Receber AC,1.285.449,1.274.526,1.094.236,1.210.517,1.101.622,1.100.997,1.049.074,1.005.187,957.102,920.630,877.353,823.566,819.971,740.403,700.092,658.402,633.747,584.137,573.580,566.924,535.274,507.101,482.212,461.013,474.313,452.061,452.543,436.728,414.134,377.954,367.183,154.208,152.155,138.797,131.017,176.185,170.816,153.536,151.055,150.049,138.959,129.283
Estoques AC,3.016.387,3.008.238,3.087.275,2.806.902,2.640.799,2.627.074,2.517.594,2.338.694,2.254.560,2.221.116,2.149.468,1.944.365,1.777.079,1.775.777,1.650.453,1.463.731,1.377.391,1.442.362,1.340.199,1.264.465,1.171.545,1.116.980,1.132.620,948.534,1.008.445,907.468,973.396,829.405,900.762,910.613,814.975,361.375,347.031,371.032,295.958,257.457,244.846,280.880,260.936,230.639,217.578,247.479
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,104.662,108.734,84.852,75.027,66.875,68.598,78.778,83.703,86.415,95.620,111.772,115.348,84.578,79.305,59.530,60.745,47.968,58.603,39.042,38.060,28.927,34.191,38.658,58.136,67.939,82.370,96.316,62.110,91.496,85.585,93.160,61.921,54.855,46.732,39.656,0,0,0,0,0,0,0
Despesas Antecipadas AC,41.117,46.443,21.894,29.574,35.180,32.454,17.885,21.725,27.171,28.452,12.558,16.961,20.948,19.420,9.718,13.103,15.185,17.154,9.921,10.862,14.311,16.574,8.200,11.889,12.876,12.578,4.731,11.472,14.772,14.636,10.506,4.033,3.749,4.239,3.652,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,3.744,3.784,4.115,2.207,3.552,3.487,2.640
