Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Bad,10.84119987487793,8.264049530029297,8.69596004486084,10.227800369262695,64870054.666666664,7.553279717763265,4045908.0,1248334.0,823866.0,0.0,361157.0,0.0,0.0,14645.0,374.0,48292.0,51616.0,0.0,0.0,3981.0,0.0,0.0,24510.0,0.0,0.0,23125.0,0.0,2705229.0,40729.0,0.0,4045908.0,734168.0,53188.0,356152.0,35370.0,210059.0,0.0,18659.0,60740.0,0.0,0.0,1986987.0,1845032.0,0.0,18050.0,76807.0,0.0,35167.0,0.0,11931.0,0.0,1324753.0,601708.0,48067.0,0.0,674978.0,0.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,11.028300285339355,9.651949882507324,10.199000358581543,10.314200401306152,53118771.333333336,7.761203606923421,4137964.0,1376652.0,897456.0,0.0,385865.0,0.0,0.0,12015.0,27886.0,53430.0,57026.0,0.0,0.0,6442.0,0.0,0.0,26232.0,0.0,0.0,24352.0,0.0,2662741.0,41545.0,0.0,4137964.0,726321.0,74016.0,302997.0,36428.0,246468.0,0.0,17906.0,48506.0,0.0,0.0,2003991.0,1844518.0,0.0,17909.0,87781.0,0.0,39536.0,0.0,14247.0,0.0,1407652.0,601708.0,56720.0,0.0,674978.0,74246.0,0.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,11.195300102233887,10.112700462341309,10.314200401306152,10.538800239562988,82239523.33333333,8.05446720123291,4287590.0,1314714.0,853955.0,0.0,375294.0,0.0,0.0,15234.0,19997.0,50234.0,58383.0,0.0,0.0,6693.0,0.0,0.0,26573.0,0.0,0.0,25117.0,0.0,2870435.0,44058.0,0.0,4287590.0,880242.0,65595.0,451719.0,36488.0,271578.0,0.0,13190.0,41672.0,0.0,0.0,1945008.0,1770300.0,0.0,17835.0,100881.0,0.0,41202.0,0.0,14790.0,0.0,1462340.0,976708.0,23432.0,0.0,299978.0,162222.0,0.0,0.0,0.0,0.0
2Q2013,2013,6,Good,10.88129997253418,8.72562026977539,10.366100311279297,9.566140174865723,98348482.0,7.583016395568848,4276783.0,1248920.0,791008.0,0.0,374719.0,0.0,0.0,15628.0,10810.0,56755.0,63843.0,0.0,0.0,8136.0,0.0,0.0,29103.0,0.0,0.0,26604.0,0.0,2909830.0,54190.0,0.0,4276783.0,822933.0,69703.0,355257.0,49446.0,305340.0,0.0,12398.0,30789.0,0.0,0.0,1899721.0,1708579.0,0.0,19021.0,108661.0,0.0,46718.0,0.0,16742.0,0.0,1554129.0,976708.0,27681.0,0.0,299978.0,249762.0,0.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,10.439900398254395,8.919119834899902,9.693120002746582,9.956159591674805,74558428.66666667,7.512125174204509,4578200.0,1493420.0,1010740.0,0.0,408262.0,0.0,0.0,9544.0,244.0,64630.0,77661.0,0.0,0.0,7143.0,0.0,0.0,32359.0,0.0,0.0,38159.0,0.0,2947474.0,59645.0,0.0,4578200.0,976658.0,73904.0,460482.0,48761.0,275394.0,0.0,53076.0,65041.0,0.0,0.0,2260334.0,2068145.0,0.0,14115.0,111795.0,0.0,50933.0,0.0,15346.0,0.0,1341208.0,976708.0,30180.0,0.0,334320.0,0.0,0.0,0.0,0.0,0.0
4Q2013,2013,12,Bad,11.165499687194824,9.690099716186523,10.007599830627441,10.037799835205078,73714686.33333333,8.057885964711508,4620516.0,1705577.0,1193686.0,0.0,406192.0,0.0,0.0,8278.0,28220.0,69201.0,80079.0,0.0,0.0,5566.0,0.0,0.0,35813.0,0.0,0.0,38700.0,0.0,2774002.0,60858.0,0.0,4620516.0,891648.0,89181.0,342014.0,55398.0,309774.0,0.0,50486.0,44795.0,0.0,0.0,2289312.0,2091777.0,0.0,14109.0,115904.0,0.0,54120.0,0.0,13402.0,0.0,1439556.0,976708.0,36655.0,0.0,334320.0,91873.0,0.0,0.0,0.0,0.0
1Q2014,2014,3,Good,10.128499984741211,8.973540306091309,10.037799835205078,10.016599655151367,105298003.33333333,7.406775792439778,4769936.0,1475457.0,935147.0,0.0,429135.0,0.0,0.0,22864.0,22029.0,66282.0,157920.0,0.0,0.0,4379.0,0.0,0.0,25263.0,0.0,0.0,128278.0,0.0,3062133.0,74426.0,0.0,4769936.0,1034491.0,72280.0,560942.0,35195.0,308069.0,0.0,12792.0,45213.0,0.0,0.0,2208862.0,1995084.0,937.0,12832.0,129275.0,0.0,58868.0,0.0,11866.0,0.0,1526583.0,976708.0,38068.0,0.0,334320.0,177487.0,0.0,0.0,0.0,0.0
2Q2014,2014,6,Good,11.549500465393066,9.702190399169922,10.098299980163574,11.017399787902832,59535653.333333336,8.34032408396403,5185078.0,1816977.0,1291404.0,0.0,426607.0,0.0,0.0,11887.0,12354.0,74725.0,161448.0,0.0,0.0,3959.0,0.0,0.0,27207.0,0.0,0.0,130282.0,0.0,3129290.0,77363.0,0.0,5185078.0,982053.0,76325.0,558679.0,42293.0,245865.0,0.0,13845.0,45046.0,0.0,0.0,2589250.0,2367427.0,962.0,8084.0,138292.0,0.0,63538.0,0.0,10947.0,0.0,1613775.0,976708.0,39294.0,0.0,334320.0,263453.0,0.0,0.0,0.0,0.0
3Q2014,2014,9,Good,12.26609992980957,10.424799919128418,11.02649974822998,10.708999633789062,58501949.0,8.991048812866211,5697454.0,1962658.0,1390189.0,0.0,459576.0,0.0,0.0,17599.0,276.0,95018.0,170604.0,0.0,0.0,3176.0,0.0,0.0,32855.0,0.0,0.0,134573.0,0.0,3481858.0,82334.0,0.0,5697454.0,1398380.0,86274.0,828421.0,53645.0,300891.0,0.0,59229.0,69920.0,0.0,0.0,2643570.0,2411575.0,988.0,12778.0,138870.0,0.0,69874.0,0.0,9485.0,0.0,1655504.0,976708.0,40428.0,0.0,638368.0,0.0,0.0,0.0,0.0,0.0
4Q2014,2014,12,Bad,11.909299850463867,9.4270601272583,10.509400367736816,10.796699523925781,124003653.33333333,8.626104036966959,5686372.0,2009762.0,1373197.0,0.0,430848.0,0.0,0.0,11687.0,39820.0,154210.0,258081.0,0.0,0.0,2481.0,0.0,0.0,33976.0,0.0,0.0,221624.0,0.0,3335764.0,82765.0,0.0,5686372.0,1251976.0,104293.0,555930.0,40647.0,407650.0,0.0,63668.0,79788.0,0.0,0.0,2699643.0,2458992.0,0.0,13882.0,147288.0,0.0,71280.0,0.0,8201.0,0.0,1734753.0,976708.0,41706.0,0.0,638368.0,77971.0,0.0,0.0,0.0,0.0
