"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - LOCALIZA RENT A CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
Ativo Total,17.175.704,16.071.520,16.288.837,13.992.414,12.828.662,11.065.524,11.206.547,11.186.234,10.001.916,8.765.830,7.119.533,7.417.255,6.562.910,6.324.882,6.064.783,6.123.024,5.647.628,5.543.852,5.686.372,5.697.454,5.185.078,4.769.936,4.620.516,4.578.200,4.276.783,4.287.590,4.137.964,4.045.908,3.559.708,3.728.080,3.906.401,4.009.554,3.547.105,3.587.093,3.212.623,3.354.711,2.713.047,2.603.905,2.396.898,2.568.846,2.239.747,1.997.876
Ativo Circulante,3.539.661,3.802.659,5.320.818,3.693.810,3.662.958,2.641.004,3.463.417,3.430.988,2.680.114,2.886.200,2.035.544,2.242.761,1.790.339,2.064.804,2.245.248,2.005.577,1.877.939,1.931.482,2.009.762,1.962.658,1.816.977,1.475.457,1.705.577,1.493.420,1.248.920,1.314.714,1.376.652,1.248.334,876.518,1.127.062,1.186.515,1.147.636,945.796,874.659,734.887,751.385,648.862,705.900,542.662,709.239,591.851,608.939
Caixa e Equivalentes de Caixa AC,1.767.934,1.883.502,3.345.620,2.175.302,1.986.262,855.861,1.868.092,1.338.195,1.939.356,2.305.821,1.484.711,1.692.261,1.169.334,1.467.113,1.610.775,1.385.103,1.287.245,1.223.611,1.373.197,1.390.189,1.291.404,935.147,1.193.686,1.010.740,791.008,853.955,897.456,823.866,429.440,673.921,712.694,711.002,564.612,484.203,377.131,415.681,321.860,396.465,250.824,459.619,359.813,390.511
Aplicações Financeiras AC,360.520,501.789,613.958,267.484,679.990,826.521,794.377,1.275.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber AC,1.039.689,1.079.456,1.043.839,1.016.497,739.736,688.298,535.689,585.124,507.067,399.043,341.803,424.528,491.132,453.691,460.284,486.072,428.830,418.793,430.848,459.576,426.607,429.135,406.192,408.262,374.719,375.294,385.865,361.157,370.604,363.650,349.896,353.440,310.103,306.750,275.019,274.792,275.994,245.175,226.128,212.140,198.669,184.235
Estoques AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,32.504,35.138,23.681,31.548,32.548,35.954,31.752,28.036,26.578,32.246,24.127,31.539,28.480,29.927,13.609,25.498,26.797,36.878,11.687,17.599,11.887,22.864,8.278,9.544,15.628,15.234,12.015,14.645,14.874,14.721,14.007,15.164,9.252,14.776,8.471,10.038,0,0,0,0,0,0
Despesas Antecipadas AC,47.196,69.271,95.754,6.893,36.791,56.681,76.155,8.178,32.727,50.565,51.074,5.134,19.925,27.876,37.926,157,14.391,27.935,39.820,276,12.354,22.029,28.220,244,10.810,19.997,27.886,374,11.154,19.827,29.068,703,9.246,18.387,24.805,1.161,0,0,0,0,0,0
Outros Ativos Circulantes AC,291.818,233.503,197.966,196.086,187.631,177.689,157.352,195.756,174.386,98.525,133.829,89.299,81.468,86.197,122.654,108.747,120.676,224.265,154.210,95.018,74.725,66.282,69.201,64.630,56.755,50.234,53.430,48.292,50.446,54.943,80.850,67.327,52.583,50.543,49.461,49.713,51.008,64.260,65.710,37.480,33.369,34.193
