"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - SABESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,43.984.577,43.313.455,43.565.122,42.246.074,40.970.555,40.685.617,39.546.446,38.373.429,37.136.339,37.298.455,36.745.032,35.290.513,34.417.222,33.973.592,33.706.617,32.456.526,31.120.003,31.612.764,30.355.440,29.760.012,28.983.527,28.790.512,28.274.295,27.560.792,26.983.475,26.999.761,26.675.792,25.953.817,25.344.936,25.392.325,25.214.984,24.548.479,23.793.066,24.117.336,23.350.583,0,0,0,0,0,0,0
Ativo Circulante,5.227.461,4.927.761,5.602.242,5.954.364,5.198.520,5.340.677,4.574.085,4.113.112,3.329.030,3.988.042,3.823.635,3.218.731,3.212.799,3.340.819,3.450.333,2.612.733,2.463.266,3.370.252,3.215.445,3.404.656,3.314.589,3.388.070,3.254.087,3.129.492,2.968.862,3.438.300,3.336.865,3.169.152,3.145.758,3.547.971,3.725.833,3.663.433,3.445.262,4.149.616,3.590.121,3.145.840,2.875.743,2.371.981,2.529.674,2.082.714,2.181.153,2.332.983
Caixa e Equivalentes de Caixa AC,2.663.892,2.205.083,3.029.191,3.619.253,2.832.735,2.963.862,2.283.047,2.101.000,1.367.605,1.983.822,1.886.221,1.415.465,1.374.400,1.431.876,1.639.214,889.933,803.031,1.737.971,1.722.991,1.859.690,1.823.711,1.982.472,1.782.001,1.828.770,1.669.087,2.127.035,1.921.178,1.777.706,1.752.485,2.019.264,2.149.989,2.265.911,2.174.539,2.399.844,1.989.179,1.367.191,1.047.359,852.523,771.008,386.269,688.904,801.514
Aplicações Financeiras AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber AC,2.135.340,2.143.760,2.017.481,1.891.895,1.838.013,1.928.846,1.853.368,1.758.262,1.686.110,1.788.876,1.760.025,1.622.408,1.657.564,1.616.441,1.483.127,1.374.497,1.273.181,1.260.230,1.156.785,1.281.404,1.218.897,1.149.609,1.254.908,1.152.737,1.148.854,1.181.332,1.152.439,1.140.621,1.106.430,1.284.556,1.257.992,1.124.693,1.038.033,1.110.115,1.109.090,1.192.051,1.239.243,1.301.596,1.315.717,1.232.980,1.214.474,1.274.355
Estoques AC,120.393,70.572,65.596,66.946,64.843,75.492,85.671,123.238,66.677,64.085,58.002,51.886,49.757,56.714,64.066,56.739,55.330,59.877,66.487,52.858,58.394,54.111,58.401,45.747,52.307,46.586,53.090,39.754,33.409,41.655,44.611,35.820,37.062,34.888,36.096,29.994,31.101,34.706,39.877,37.104,39.146,42.228
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,204.554,336.079,380.703,238.713,327.646,190.516,276.585,11.047,82.139,14.195,42.633,12.584,11.669,15.931,77.828,66.097,112.331,174.572,148.768,94.674,88.927,17.841,87.405,15.700,17.663,7.479,129.141,53.683,86.355,54.088,118.116,70.052,26.439,57.652,108.675,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,103.282,172.267,109.271,137.557,135.283,181.961,75.414,119.565,126.499,137.064,76.754,116.388,119.409,219.857,186.098,225.467,219.393,137.602,120.414,116.030,124.660,184.037,71.372,86.538,80.951,75.868,81.017,157.388,167.079,148.408,155.125,166.957,169.189,547.117,347.081,556.604,558.040,183.156,403.072,426.361,238.629,214.886
Ativo Realizavel Longo Prazo ,8.219.247,9.061.435,8.590.597,1.222.194,1.180.788,1.168.708,1.156.593,1.222.464,1.260.525,1.254.765,1.283.164,1.308.566,1.291.445,1.325.546,1.332.517,1.441.729,1.220.398,1.547.471,780.362,667.560,683.423,915.736,896.781,893.759,856.602,925.195,909.577,942.988,866.007,921.690,938.421,957.050,939.705,948.892,964.021,939.129,940.109,920.286,2.046.295,2.458.408,2.562.499,2.543.180
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,217.271,215.910,157.867,186.176,161.786,153.834,163.857,166.683,163.842,182.616,164.311,165.243,171.172,189.458,178.364,185.509,401.412,395.512,374.039,335.769,356.663,335.687,321.680,315.623,322.850,333.713,355.079,375.556,361.343,352.839,939.129,940.109,920.286,2.046.295,2.458.408,2.562.499,2.543.180
Estoques ACLP,187.523,197.170,209.083,221.408,217.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
