Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Good,11.449999809265137,7.480000019073486,11.149999618530273,7.829999923706055,140713833.33333334,6.772305170694987,23517489.0,7810021.0,1945075.0,1726.0,3955782.0,325179.0,0.0,1051397.0,310732.0,220130.0,2893726.0,22350.0,0.0,77268.0,0.0,0.0,1326402.0,95399.0,0.0,1372307.0,0.0,7034164.0,5779579.0,0.0,23517489.0,6131057.0,173517.0,3461999.0,792449.0,1243591.0,0.0,35908.0,423593.0,0.0,0.0,3716410.0,2337309.0,0.0,650118.0,123728.0,0.0,605255.0,0.0,0.0,0.0,13670023.0,9839770.0,383785.0,0.0,2505211.0,941257.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Good,8.210000038146973,6.659999847412109,7.880000114440918,8.199999809265137,111479066.66666667,6.37197224299113,26108975.0,9967717.0,4429780.0,810.0,3650871.0,269145.0,0.0,1237326.0,180371.0,199414.0,2585561.0,21834.0,0.0,61305.0,0.0,0.0,1252018.0,94038.0,0.0,1156366.0,0.0,7566510.0,5989189.0,0.0,26108975.0,7375222.0,133283.0,4293121.0,839978.0,951013.0,0.0,373241.0,784586.0,0.0,0.0,4900885.0,3439082.0,0.0,650416.0,196806.0,0.0,614581.0,0.0,0.0,0.0,13832870.0,9839770.0,383631.0,0.0,3609701.0,0.0,0.0,0.0,-232.0,0.0
1Q2013,2013,3,Good,9.020000457763672,7.789999961853027,8.199999809265137,8.920000076293945,94228966.66666667,7.331103960673015,25422295.0,9403941.0,2772714.0,280.0,3933159.0,336850.0,0.0,1252891.0,893055.0,214992.0,2675052.0,21270.0,0.0,46162.0,0.0,0.0,1237646.0,107994.0,0.0,1261980.0,0.0,7378354.0,5964949.0,0.0,25422295.0,6130486.0,162704.0,2916737.0,966417.0,906469.0,0.0,373205.0,804954.0,0.0,0.0,5150569.0,3498150.0,0.0,758812.0,215870.0,0.0,677737.0,0.0,0.0,0.0,14141241.0,9839770.0,384602.0,0.0,3611034.0,306067.0,0.0,0.0,-232.0,0.0
2Q2013,2013,6,Good,8.869999885559082,7.53000020980835,8.850000381469727,8.069999694824219,98376966.66666667,6.909058252970378,25780052.0,9248415.0,2536591.0,297.0,4022529.0,382252.0,0.0,1431995.0,632103.0,242648.0,2740134.0,23830.0,0.0,42011.0,0.0,0.0,1148782.0,105978.0,0.0,1419533.0,0.0,7555494.0,6236009.0,0.0,25780052.0,6207053.0,171614.0,3441552.0,706258.0,978757.0,0.0,409091.0,499781.0,0.0,0.0,5444743.0,3793379.0,0.0,735145.0,233609.0,0.0,682610.0,0.0,0.0,0.0,14128256.0,9839770.0,836349.0,0.0,2760512.0,691625.0,0.0,0.0,0.0,0.0
3Q2013,2013,9,Good,11.229999542236328,7.860000133514404,7.96999979019165,10.279999732971191,132879633.33333333,7.976099491119385,26333239.0,9703866.0,3335337.0,0.0,3904559.0,396149.0,0.0,1526588.0,364495.0,176738.0,2361868.0,27247.0,0.0,41551.0,0.0,0.0,1086231.0,104100.0,0.0,1102739.0,0.0,7826706.0,6440800.0,0.0,26333239.0,6329636.0,212131.0,4179783.0,684138.0,682710.0,0.0,42401.0,528473.0,0.0,0.0,5559262.0,3981880.0,0.0,625790.0,251327.0,0.0,700265.0,0.0,0.0,0.0,14444342.0,9839770.0,837420.0,0.0,2760512.0,1006640.0,0.0,0.0,0.0,0.0
4Q2013,2013,12,Bad,12.5,10.220000267028809,10.5,12.329999923706055,119733800.0,9.987119356791178,28138168.0,10740804.0,5287642.0,0.0,3513029.0,296829.0,0.0,1283841.0,206354.0,153109.0,2753940.0,28681.0,0.0,35959.0,0.0,0.0,1064721.0,96906.0,0.0,1527673.0,0.0,8207242.0,6436181.0,0.0,28138168.0,8048103.0,170556.0,5255337.0,695728.0,966658.0,0.0,396879.0,562945.0,0.0,0.0,5495424.0,3779998.0,0.0,704684.0,337770.0,0.0,672972.0,0.0,0.0,0.0,14594640.0,9839770.0,1214271.0,0.0,3538586.0,0.0,0.0,0.0,2013.0,0.0
1Q2014,2014,3,Bad,13.8100004196167,11.010000228881836,12.329999923706055,11.850000381469727,96386566.66666667,10.182557106018066,27286045.0,10060148.0,3619273.0,0.0,3511424.0,329425.0,0.0,1440590.0,962191.0,197245.0,2709009.0,36062.0,0.0,32120.0,0.0,0.0,1024822.0,91577.0,0.0,1524428.0,0.0,7994895.0,6521993.0,0.0,27286045.0,6895158.0,202645.0,3845958.0,796589.0,1104618.0,0.0,396838.0,548510.0,0.0,0.0,5422565.0,3678695.0,0.0,705528.0,345054.0,0.0,693288.0,0.0,0.0,0.0,14968322.0,9839770.0,1215821.0,0.0,3538586.0,372132.0,0.0,0.0,2013.0,0.0
2Q2014,2014,6,Bad,13.710000038146973,10.25,11.880000114440918,12.920000076293945,87664766.66666667,10.653834660847982,29242927.0,11736914.0,5324654.0,0.0,3628666.0,365862.0,0.0,1548429.0,665020.0,204283.0,2888468.0,40307.0,0.0,32582.0,0.0,0.0,966656.0,84370.0,0.0,1764553.0,0.0,8223202.0,6394344.0,0.0,29242927.0,7369120.0,201322.0,4211439.0,723397.0,1136282.0,0.0,470969.0,625711.0,0.0,0.0,7023966.0,5214937.0,0.0,755574.0,339587.0,0.0,713868.0,0.0,0.0,0.0,14849842.0,9839770.0,1218330.0,0.0,3051983.0,737746.0,0.0,0.0,2013.0,0.0
3Q2014,2014,9,Bad,14.09000015258789,10.739999771118164,12.920000076293945,12.890000343322754,77737000.0,10.937161445617676,29327440.0,11397069.0,5427870.0,0.0,3429189.0,306619.0,0.0,1607245.0,361906.0,264240.0,3117454.0,41886.0,0.0,32520.0,0.0,0.0,948743.0,75327.0,0.0,2018978.0,0.0,8393996.0,6418922.0,0.0,29327440.0,7108018.0,261460.0,4262636.0,650678.0,1248490.0,0.0,53776.0,630978.0,0.0,0.0,6999562.0,5136548.0,0.0,726401.0,418056.0,0.0,718557.0,0.0,0.0,0.0,15219862.0,9859071.0,1219250.0,0.0,3053451.0,1086076.0,0.0,0.0,2013.0,0.0
4Q2014,2014,12,Bad,14.569999694824219,10.1899995803833,12.640000343322754,11.779999732971191,102332533.0,10.986742655436197,32695112.0,11174415.0,5232992.0,0.0,3537417.0,264033.0,0.0,1642625.0,266264.0,231084.0,3283133.0,41149.0,0.0,29886.0,0.0,0.0,889064.0,70587.0,0.0,2252447.0,0.0,8914929.0,9322634.0,0.0,32695112.0,9123256.0,208629.0,5402204.0,808207.0,1281554.0,0.0,421002.0,1001660.0,0.0,0.0,8249821.0,5472865.0,0.0,1602354.0,481173.0,0.0,693429.0,0.0,0.0,0.0,15322034.0,9866298.0,1341101.0,0.0,4112332.0,0.0,0.0,0.0,2303.0,0.0
