"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - TIM PARTICIPAÇÕES S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,38.396.842,36.822.241,31.957.889,30.779.169,31.220.199,32.176.380,32.600.363,31.972.108,32.089.029,33.369.717,34.655.678,32.837.419,32.409.446,33.405.252,35.403.653,33.904.040,33.596.264,31.947.477,32.695.112,29.327.440,29.242.927,27.286.045,28.138.168,26.333.239,25.780.052,25.422.295,26.108.975,23.517.489,22.518.784,22.578.483,23.438.219,20.097.288,18.961.193,18.852.891,19.370.852,0,0,0,0,0,0,0
Ativo Circulante,5.966.624,6.571.875,5.998.126,5.324.986,6.606.435,7.630.174,7.607.388,7.644.989,7.860.817,9.058.835,10.107.399,9.206.632,8.969.565,10.115.749,12.033.273,10.346.491,10.897.865,10.172.230,11.174.415,11.397.069,11.736.914,10.060.148,10.740.804,9.703.866,9.248.415,9.403.941,9.967.717,7.810.021,6.806.654,7.430.968,8.287.126,7.071.209,6.173.116,6.110.877,6.425.920,5.407.291,6.113.448,5.594.836,6.766.521,5.029.958,4.812.942,4.299.775
Caixa e Equivalentes de Caixa AC,667.109,915.050,1.075.530,653.309,1.150.598,1.958.500,2.960.718,3.318.218,3.422.500,4.056.125,5.128.186,3.733.771,3.318.412,3.838.340,6.100.403,4.408.450,4.842.123,3.550.188,5.232.992,5.427.870,5.324.654,3.619.273,5.287.642,3.335.337,2.536.591,2.772.714,4.429.780,1.945.075,1.299.787,1.773.727,3.262.855,2.129.869,1.297.176,1.580.009,2.376.232,1.369.117,1.703.437,1.521.411,2.559.177,959.568,773.112,456.224
Aplicações Financeiras AC,493.501,752.757,784.841,595.973,1.012.970,894.509,765.614,416.345,5.077,4.795,479.953,492.563,491.318,545.793,599.414,420.654,0,0,0,0,0,0,0,0,297,280,810,1.726,232,426,1.872,42,2.492,7.083,18.177,0,0,0,0,0,0,0
Contas a Receber AC,3.014.854,3.029.490,2.838.808,2.664.872,2.559.180,2.563.053,2.540.856,2.449.062,2.655.144,2.913.772,2.919.177,2.852.473,2.743.937,2.819.260,2.858.089,2.981.349,3.146.115,3.223.756,3.537.417,3.429.189,3.628.666,3.511.424,3.513.029,3.904.559,4.022.529,3.933.159,3.650.871,3.955.782,3.559.645,3.412.684,3.285.782,3.152.122,2.951.482,2.732.850,2.748.411,2.653.589,2.649.504,2.297.742,2.480.143,2.428.809,2.470.139,2.259.895
Estoques AC,213.629,214.628,183.059,151.297,173.153,150.260,123.785,118.155,162.069,171.415,143.934,174.077,172.803,182.075,141.720,160.713,327.609,385.687,264.033,306.619,365.862,329.425,296.829,396.149,382.252,336.850,269.145,325.179,314.515,377.363,273.171,353.191,348.390,302.467,228.654,222.709,227.941,276.933,406.434,397.483,439.149,431.159
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,719.314,554.723,627.759,543.813,605.300,721.509,709.041,624.229,713.279,809.974,968.660,1.142.475,1.176.551,1.098.334,1.247.373,1.436.611,1.620.896,1.727.982,1.642.625,1.607.245,1.548.429,1.440.590,1.283.841,1.526.588,1.431.995,1.252.891,1.237.326,1.051.397,997.855,967.976,1.224.260,1.102.559,1.044.990,783.984,855.965,0,0,0,0,0,0,0
Despesas Antecipadas AC,679.898,899.420,272.060,427.900,682.770,934.221,168.366,323.020,564.187,715.553,130.392,360.010,643.265,927.831,210.056,358.982,670.782,975.691,266.264,361.906,665.020,962.191,206.354,364.495,632.103,893.055,180.371,310.732,521.908,746.860,114.502,236.674,432.409,606.165,93.768,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,178.319,205.807,216.069,287.822,422.464,408.122,339.008,395.960,338.561,387.201,337.097,451.263,423.279,704.116,876.218,579.732,290.340,308.926,231.084,264.240,204.283,197.245,153.109,176.738,242.648,214.992,199.414,220.130,112.712,151.932,124.684,96.752,96.177,98.319,104.713,1.161.876,1.532.566,1.498.750,1.320.767,1.244.098,1.130.542,1.152.497
Ativo Realizavel Longo Prazo ,5.890.640,3.973.717,4.074.137,3.888.148,2.924.656,2.886.879,2.841.962,2.848.728,2.846.978,2.836.968,2.831.176,2.717.276,2.778.886,2.804.622,2.743.838,3.596.142,3.240.915,3.385.417,3.283.133,3.117.454,2.888.468,2.709.009,2.753.940,2.361.868,2.740.134,2.675.052,2.585.561,2.893.726,3.012.072,2.867.600,2.752.738,2.716.863,2.674.844,2.731.749,2.545.361,966.577,891.552,923.142,754.718,543.831,628.031,643.590
Aplicações Financeiras Avaliadas a Valor Justo ACLP,7.776,5.310,5.229,2.861,2.899,2.930,2.997,0,0,0,0,0,0,0,0,0,45.339,40.911,41.149,41.886,40.307,36.062,28.681,27.247,23.830,21.270,21.834,22.350,24.038,20.780,25.873,19.397,15.934,14.338,13.692,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,116.316,26.207,27.223,24.967,22.938,24.092,22.854,28.453,25.597,24.861,26.331,27.561,27.872,29.886,32.520,32.582,32.120,35.959,41.551,42.011,46.162,61.305,77.268,83.532,83.096,59.712,54.700,47.685,39.066,36.812,545.428,480.787,543.326,459.893,310.340,373.072,339.495
Estoques ACLP,112.594,104.460,130.308,122.452,116.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,0,0,0,30.478,22.655,41.690,74.160,132.026,23.846,14.526,739.286,720.289,870.977,889.064,948.743,966.656,1.024.822,1.064.721,1.086.231,1.148.782,1.237.646,1.252.018,1.326.402,1.374.131,1.456.345,1.488.235,1.549.052,1.626.565,1.694.971,1.732.732,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,0,0,0,0,0,65.948,39.466,46.133,46.887,52.557,54.374,58.441,63.068,57.479,55.234,56.144,59.369,63.233,70.587,75.327,84.370,91.577,96.906,104.100,105.978,107.994,94.038,95.399,94.868,90.997,92.874,92.912,89.162,87.100,14.620,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,72.890,72.367,74.381,72.078,77.080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,2.701.685,2.773.292,2.775.372,2.744.646,2.738.818,2.711.020,2.561.821,2.555.339,2.697.700,2.649.217,2.774.381,2.388.357,2.382.424,2.252.447,2.018.978,1.764.553,1.524.428,1.527.673,1.102.739,1.419.533,1.261.980,1.156.366,1.372.307,1.435.503,1.216.382,1.086.044,1.000.802,895.498,896.274,747.505,421.149,410.765,379.816,294.825,233.491,254.959,304.095
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,16.421.554,15.871.284,11.203.622,10.861.227,10.952.411,10.702.638,10.838.488,10.484.888,10.354.364,10.428.042,11.084.530,10.376.157,10.362.494,10.328.850,10.667.348,10.164.053,9.675.429,8.928.056,8.914.929,8.393.996,8.223.202,7.994.895,8.207.242,7.826.706,7.555.494,7.378.354,7.566.510,7.034.164,6.853.867,6.554.978,6.624.081,5.866.218,5.643.414,5.576.244,5.863.723,5.351.457,5.136.565,5.572.807,5.323.174,4.450.295,4.452.588,4.566.173
Intangível,10.118.024,10.405.366,10.682.004,10.704.808,10.736.698,10.956.688,11.312.527,10.993.503,11.026.868,11.045.871,10.632.575,10.537.354,10.298.501,10.156.031,9.959.193,9.797.354,9.782.053,9.461.774,9.322.634,6.418.922,6.394.344,6.521.993,6.436.181,6.440.800,6.236.009,5.964.949,5.989.189,5.779.579,5.846.192,5.724.938,5.774.276,4.442.999,4.469.817,4.434.020,4.535.848,4.637.740,4.356.039,4.912.201,4.494.342,4.366.112,4.494.753,4.611.658
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.954,0,110.979,120.492,130.004,139.517
Passivo Total,38.396.842,36.822.241,31.957.889,30.779.169,31.220.199,32.176.380,32.600.363,31.972.108,32.089.029,33.369.717,34.655.678,32.837.419,32.409.446,33.405.252,35.403.653,33.904.040,33.596.264,31.947.477,32.695.112,29.327.440,29.242.927,27.286.045,28.138.168,26.333.239,25.780.052,25.422.295,26.108.975,23.517.489,22.518.784,22.578.483,23.438.219,20.097.288,18.961.193,18.852.891,19.370.852,0,0,0,0,0,0,0
Passivo Circulante,5.653.873,6.515.581,7.075.379,5.722.579,6.263.134,7.182.522,7.224.437,5.826.408,5.897.642,6.524.047,7.281.555,6.248.952,5.903.855,7.157.203,8.658.406,7.239.288,7.304.588,7.543.827,9.123.256,7.108.018,7.369.120,6.895.158,8.048.103,6.329.636,6.207.053,6.130.486,7.375.222,6.131.057,5.272.745,5.535.244,6.795.630,5.143.912,4.476.262,5.048.115,5.691.089,4.002.764,4.752.642,4.867.930,5.736.889,4.253.949,3.822.239,3.774.434
Obrigações Sociais e Trabalhistas PC,236.032,245.272,211.685,237.579,245.413,312.160,262.450,283.460,219.604,246.060,212.279,242.329,210.299,219.979,199.373,275.990,233.938,248.733,208.629,261.460,201.322,202.645,170.556,212.131,171.614,162.704,133.283,173.517,158.264,163.860,145.803,159.639,134.696,142.213,125.292,0,0,0,0,0,0,0
Fornecedores PC,2.891.236,3.781.912,4.323.374,3.162.932,3.388.342,4.219.003,3.986.557,2.491.542,2.652.744,3.171.781,3.461.081,2.847.760,2.498.537,2.514.376,3.784.945,3.301.592,3.975.840,4.020.126,5.402.204,4.262.636,4.211.439,3.845.958,5.255.337,4.179.783,3.441.552,2.916.737,4.293.121,3.461.999,2.968.642,2.692.296,3.709.301,2.901.207,2.557.930,2.552.396,3.103.469,2.107.669,2.241.615,2.272.528,3.099.983,1.995.329,1.789.795,1.533.194
Obrigações Fiscais PC,735.065,667.486,783.502,539.379,501.310,563.128,566.052,561.738,499.912,596.194,816.856,724.526,751.569,563.812,715.648,593.976,813.262,670.121,808.207,650.678,723.397,796.589,695.728,684.138,706.258,966.417,839.978,792.449,675.229,895.166,1.159.793,870.635,810.727,661.499,809.703,673.495,601.989,714.301,724.105,546.743,579.988,561.484
