"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - USIMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,26.165.717,26.251.940,26.523.853,26.098.377,25.319.369,25.376.778,25.984.475,25.805.816,26.016.131,26.304.567,26.254.744,26.319.026,26.856.755,26.615.781,27.758.332,29.586.731,30.313.888,30.983.983,30.484.062,30.773.684,31.048.810,31.091.169,31.357.995,32.025.448,32.188.310,31.945.783,32.774.220,33.383.907,33.516.476,33.038.903,33.360.425,32.990.884,32.226.804,31.911.709,31.819.561,0,0,0,0,0,0,0
Ativo Circulante,8.155.163,8.221.070,8.324.317,7.697.689,6.888.151,6.749.345,7.254.755,6.800.072,6.701.272,6.893.598,6.420.478,6.314.895,6.739.085,6.099.534,6.894.842,7.584.430,8.560.921,8.542.517,8.245.211,8.847.521,9.267.312,9.241.989,9.460.294,10.436.995,10.560.101,10.172.778,10.780.645,11.551.640,11.925.042,11.965.921,12.616.945,13.692.473,13.821.404,13.795.146,12.305.384,11.647.129,0,9.154.245,9.239.835,9.391.448,9.661.664,11.348.559
Caixa e Equivalentes de Caixa AC,499.611,1.162.045,1.106.790,1.096.344,578.562,1.141.052,1.770.573,1.164.882,1.045.292,1.903.657,719.870,527.850,676.598,622.636,800.272,2.175.974,1.996.659,1.671.342,2.109.812,2.117.064,2.081.437,2.078.833,2.633.187,2.302.788,3.022.647,2.687.056,3.180.764,2.876.553,2.772.289,3.036.777,2.901.312,3.137.325,3.640.345,3.909.941,4.553.885,3.928.306,3.667.540,2.570.600,3.083.047,2.998.151,2.809.358,3.315.295
Aplicações Financeiras AC,745.501,610.747,586.559,585.531,525.050,421.497,543.715,973.168,905.994,511.980,1.537.584,1.811.939,2.036.305,1.112.991,1.224.185,220.642,892.421,949.701,742.091,939.534,813.012,835.146,835.629,1.686.913,1.713.091,1.552.163,1.537.558,1.898.115,2.071.255,1.797.308,2.289.383,2.365.787,1.989.197,1.977.354,0,0,0,0,0,0,0,0
Contas a Receber AC,1.898.882,1.718.305,1.894.291,1.947.482,1.747.824,1.741.954,1.555.494,1.339.336,1.265.246,1.173.118,1.179.212,1.340.983,1.233.438,1.289.168,1.428.421,1.364.568,1.357.433,1.380.296,1.246.694,1.505.040,1.624.755,1.736.898,1.639.551,1.756.348,1.287.603,1.599.098,1.568.085,1.671.370,1.567.895,1.315.983,1.254.435,1.384.575,1.646.133,1.738.834,1.760.751,2.050.527,2.445.578,2.265.870,1.798.390,2.206.626,1.956.145,2.102.835
Estoques AC,4.137.828,3.872.200,3.880.635,3.603.792,3.495.179,2.971.493,2.763.496,2.766.155,2.802.379,2.814.559,2.604.306,2.237.419,2.305.591,2.481.868,2.748.417,3.106.307,3.595.707,3.910.490,3.516.751,3.690.850,4.156.923,4.068.636,3.850.420,3.902.708,3.732.125,3.693.606,3.780.182,4.269.322,4.536.628,4.866.032,5.058.876,5.528.118,5.243.236,4.892.753,4.898.311,5.010.460,3.998.908,3.719.681,3.637.203,3.653.119,4.226.449,4.918.449
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.528,669.481,597.934,0,0,0,0,0,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,873.341,857.773,856.042,464.540,541.536,473.349,621.477,556.531,682.361,490.284,379.506,396.704,487.153,592.871,693.547,716.939,718.701,630.688,629.863,595.033,591.185,522.476,501.507,788.238,804.635,640.856,714.056,287.752,307.494,351.887,1.112.939,1.276.668,1.302.493,1.276.264,1.092.437,657.836,593.383,598.094,721.195,533.552,669.712,1.011.980
