"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - VALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010
Ativo Total,366.869.545,366.875.542,341.714.862,342.278.570,339.647.169,313.706.512,328.096.711,323.424.879,325.210.833,326.375.834,322.696.151,331.396.973,324.097.212,339.061.506,345.549.439,393.410.183,333.058.114,335.397.749,309.415.510,301.095.322,283.575.615,288.843.137,291.880.305,292.741.349,282.120.946,268.785.156,266.921.640,272.265.085,253.501.358,242.568.102,241.783.112,239.097.332,222.235.607,217.320.210,214.662.119
Ativo Circulante,60.989.088,58.742.235,59.256.115,60.585.832,59.639.296,50.650.169,62.700.728,63.005.553,65.705.128,71.044.399,73.547.194,63.324.414,58.654.843,61.304.865,60.417.700,70.324.568,56.057.188,56.786.952,53.744.763,52.123.546,49.724.834,52.027.392,57.104.708,55.177.933,46.937.424,46.178.554,46.039.618,50.607.919,41.205.527,40.794.046,42.095.215,50.422.067,50.617.758,46.568.993,54.267.830
Caixa e Equivalentes de Caixa AC,23.176.176,19.512.945,22.412.548,24.424.372,24.557.353,17.841.261,14.317.520,14.949.025,18.922.164,21.278.972,13.890.591,17.427.892,13.376.978,13.461.076,14.021.704,17.470.157,9.798.673,11.817.819,10.555.341,19.318.729,15.560.231,16.252.338,12.465.248,15.878.774,13.126.350,12.197.112,11.917.718,16.105.087,8.117.669,9.010.806,7.457.928,14.674.488,21.323.360,19.138.882,13.468.958
Aplicações Financeiras AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387.283,0,0,0,0,0,0,0
Contas a Receber AC,12.692.307,10.729.878,11.669.973,11.150.082,10.350.142,9.919.506,14.879.422,15.288.917,12.348.569,16.317.322,12.169.422,8.513.923,8.089.376,9.443.406,6.036.035,9.417.138,9.867.581,9.024.991,10.236.912,8.931.755,10.705.906,10.910.614,13.971.366,13.898.533,12.885.694,13.152.254,14.670.865,14.020.866,14.670.204,14.324.738,16.304.723,16.645.070,13.350.412,12.815.632,14.052.472
Estoques AC,18.105.004,19.129.780,17.215.949,16.238.472,15.417.622,13.184.349,12.987.175,12.934.091,12.782.916,11.537.019,10.913.419,12.658.887,12.409.307,13.526.601,13.774.724,15.128.693,13.740.324,13.036.799,11.955.665,11.829.465,10.980.855,10.757.455,9.662.411,10.171.282,11.192.221,10.884.789,10.319.973,10.434.050,10.501.884,10.155.595,10.351.085,9.983.148,8.762.907,8.310.415,7.592.024
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,4.570.655,6.839.683,5.525.300,6.382.340,6.478.245,5.907.420,6.459.818,4.618.549,5.024.372,5.153.776,5.814.723,6.233.863,6.676.869,7.643.811,8.995.056,9.010.815,8.379.348,9.083.259,8.714.768,7.250.249,6.175.335,7.300.050,9.261.746,4.617.143,5.188.085,4.660.873,4.619.901,3.627.827,4.309.765,3.622.274,4.317.178,3.999.775,3.524.296,2.926.240,2.795.557
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,2.444.947,2.529.953,2.432.348,2.390.565,2.835.935,3.797.633,14.056.793,15.214.968,16.627.108,16.757.314,30.759.037,18.489.848,18.102.315,17.229.967,17.590.180,19.297.767,14.271.263,13.824.083,12.282.078,4.793.344,6.302.507,6.806.935,11.743.937,10.612.199,4.545.073,5.283.522,4.511.161,5.032.808,3.606.004,3.680.634,3.664.302,5.119.587,3.656.780,3.377.824,16.358.823
