Quarter,Year,Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2012,2012,9,Good,50.63029861450195,41.2328987121582,48.162899017333984,42.68830108642578,25761888.333333332,24.137950261433918,11659853.0,8224796.0,1251650.0,0.0,3627724.0,2389380.0,0.0,587992.0,27877.0,340173.0,2242456.0,0.0,0.0,124994.0,0.0,0.0,748338.0,103.0,329753.0,1039268.0,96734.0,976673.0,119194.0,0.0,11659853.0,5983368.0,502829.0,2222142.0,89394.0,2560156.0,87779.0,10.0,0.0,521058.0,0.0,2912106.0,2268328.0,93539.0,378699.0,0.0,0.0,171540.0,0.0,0.0,26742.0,2737637.0,2895453.0,42501.0,0.0,0.0,-200317.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,47.70989990234375,41.66669845581055,42.640098571777344,47.22800064086914,20283333.333333332,25.12676493326823,12082472.0,8512511.0,2581134.0,0.0,2403192.0,2697498.0,0.0,614924.0,29334.0,186429.0,2327130.0,0.0,0.0,134543.0,0.0,0.0,698119.0,205.0,314275.0,1179988.0,92483.0,1027349.0,122999.0,0.0,12082472.0,7439341.0,312365.0,3132545.0,461042.0,2791834.0,109777.0,4749.0,0.0,627029.0,0.0,1647543.0,999255.0,0.0,480204.0,3384.0,0.0,164700.0,0.0,0.0,40874.0,2954714.0,2895453.0,44202.0,0.0,15059.0,0.0,0.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,52.45199966430664,45.96540069580078,47.22800064086914,51.47850036621094,38537252.0,29.457730611165363,11910088.0,8316557.0,2448929.0,0.0,2393413.0,2634515.0,0.0,595564.0,46884.0,197252.0,2331457.0,0.0,0.0,121742.0,0.0,0.0,666639.0,306.0,328944.0,1213826.0,94156.0,1034748.0,133170.0,0.0,11910088.0,7135416.0,355150.0,2894599.0,397699.0,2807732.0,119971.0,4749.0,0.0,555516.0,0.0,1679502.0,934579.0,115379.0,459558.0,3171.0,0.0,166815.0,0.0,0.0,33754.0,3061416.0,2895453.0,44474.0,0.0,15059.0,106430.0,0.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,53.5797004699707,45.92679977416992,52.1531982421875,48.4906005859375,37092471.666666664,30.354440053304035,12189842.0,8541951.0,2330072.0,23111.0,2350382.0,2904239.0,0.0,640577.0,71410.0,222160.0,2397317.0,0.0,0.0,120580.0,0.0,0.0,670194.0,714.0,373383.0,1232446.0,94157.0,1020805.0,135612.0,0.0,12189842.0,7423145.0,378806.0,3156650.0,442813.0,2553473.0,292998.0,59.0,0.0,598346.0,0.0,1575821.0,920010.0,0.0,443080.0,3171.0,0.0,209560.0,0.0,0.0,27795.0,3163081.0,2895453.0,44652.0,0.0,15059.0,207917.0,0.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,49.63759994506836,44.05699920654297,47.7869987487793,47.18939971923828,25938715.666666668,28.215748469034832,12441656.0,8734040.0,2287901.0,23270.0,2328323.0,3093286.0,0.0,702877.0,52458.0,245925.0,2387190.0,0.0,0.0,132702.0,0.0,0.0,645602.0,714.0,390009.0,1218163.0,99670.0,1071192.0,149564.0,0.0,12441656.0,7609029.0,443078.0,3049920.0,433334.0,2631723.0,320696.0,0.0,207979.0,522299.0,0.0,1668916.0,1022467.0,0.0,427423.0,3171.0,0.0,215855.0,0.0,0.0,26028.0,3137683.0,2895453.0,44810.0,0.0,15059.0,182361.0,0.0,0.0,0.0,0.0
4Q2013,2013,12,Bad,48.365299224853516,40.09560012817383,47.70029830932617,42.53409957885742,22733229.0,27.495820999145508,13457823.0,8984634.0,3508878.0,24453.0,2239893.0,2335994.0,0.0,579009.0,46663.0,249744.0,1836858.0,0.0,0.0,136306.0,0.0,0.0,349891.0,330.0,306238.0,1044093.0,669312.0,1149500.0,817519.0,0.0,13457823.0,7809434.0,314612.0,3149899.0,528378.0,3055807.0,54121.0,0.0,298.0,706319.0,0.0,1697586.0,906732.0,0.0,415169.0,3171.0,0.0,372514.0,0.0,0.0,0.0,3950803.0,2895453.0,271026.0,0.0,15059.0,769265.0,0.0,0.0,0.0,0.0
1Q2014,2014,3,Bad,46.35089874267578,40.58720016479492,42.53409957885742,46.29309844970703,44441744.666666664,27.507160186767578,13248195.0,8845553.0,2806584.0,23622.0,2107120.0,2826006.0,0.0,580159.0,0.0,502062.0,1761707.0,0.0,0.0,102907.0,0.0,0.0,311762.0,0.0,276439.0,1070599.0,665651.0,1161876.0,813408.0,0.0,13248195.0,7600497.0,367986.0,2926494.0,417476.0,3146334.0,37340.0,0.0,298.0,704569.0,0.0,1517949.0,680573.0,0.0,434020.0,3171.0,0.0,400185.0,0.0,0.0,0.0,4129749.0,2895453.0,359606.0,0.0,695866.0,178824.0,0.0,0.0,0.0,0.0
2Q2014,2014,6,Bad,46.43769836425781,42.22570037841797,46.25450134277344,43.37269973754883,26178901.0,28.128868738810223,13129767.0,8532553.0,2937648.0,22990.0,2148353.0,2449336.0,0.0,501040.0,0.0,473186.0,1941157.0,0.0,0.0,97275.0,0.0,0.0,261361.0,0.0,333692.0,1248829.0,665618.0,1178227.0,812212.0,0.0,13129767.0,7212410.0,412644.0,2631868.0,435089.0,3098206.0,43086.0,0.0,298.0,591219.0,0.0,1600438.0,672355.0,0.0,413710.0,3171.0,0.0,511202.0,0.0,0.0,0.0,4316919.0,2895453.0,360207.0,0.0,695866.0,365393.0,0.0,0.0,0.0,0.0
3Q2014,2014,9,Bad,50.485801696777344,40.38479995727539,43.382301330566406,46.45690155029297,24440708.666666668,29.221878051757812,14363470.0,9445807.0,3528404.0,0.0,2235932.0,2797591.0,0.0,454830.0,0.0,429050.0,1989521.0,0.0,0.0,95792.0,0.0,0.0,200629.0,0.0,376130.0,1316970.0,660772.0,1237828.0,1029542.0,0.0,14363470.0,8258773.0,479654.0,2998229.0,442304.0,3496971.0,46408.0,0.0,795207.0,0.0,0.0,1576441.0,283058.0,0.0,730893.0,3171.0,0.0,559319.0,0.0,0.0,0.0,4528256.0,2895453.0,355294.0,0.0,695866.0,581643.0,0.0,0.0,0.0,0.0
4Q2014,2014,12,Bad,52.04719924926758,41.99440002441406,46.10029983520508,45.271400451660156,55720211.0,31.396556218465168,16004000.0,10717000.0,4448000.0,0.0,2338000.0,2984000.0,0.0,486000.0,0.0,461000.0,2107000.0,0.0,0.0,105000.0,0.0,0.0,87000.0,0.0,391000.0,1524000.0,809000.0,1313000.0,1058000.0,0.0,16004000.0,9719000.0,395000.0,4132000.0,503000.0,3409000.0,70000.0,0.0,1210000.0,0.0,0.0,1570000.0,297000.0,0.0,701000.0,3000.0,0.0,569000.0,0.0,0.0,0.0,4715000.0,2895000.0,369000.0,0.0,1451000.0,0.0,0.0,0.0,0.0,0.0
1Q2015,2015,3,Bad,52.80860137939453,43.4015998840332,45.271400451660156,47.69060134887695,31872709.333333332,33.15510177612305,14460000.0,9510000.0,1552000.0,0.0,3731000.0,3171000.0,0.0,475000.0,0.0,581000.0,2384000.0,0.0,0.0,86000.0,0.0,0.0,212000.0,0.0,416000.0,1670000.0,176000.0,1330000.0,1060000.0,0.0,14460000.0,8408000.0,408000.0,3556000.0,402000.0,2981000.0,69000.0,0.0,992000.0,0.0,0.0,1525000.0,262000.0,0.0,668000.0,3000.0,0.0,592000.0,0.0,0.0,0.0,4527000.0,2895000.0,499000.0,0.0,893000.0,240000.0,0.0,0.0,0.0,0.0
2Q2015,2015,6,Bad,50.45000076293945,41.189998626708984,47.69060134887695,42.09000015258789,50618663.0,32.080193201700844,13890000.0,8714000.0,2973000.0,0.0,1982000.0,2779000.0,0.0,552000.0,73000.0,355000.0,2566000.0,0.0,0.0,79000.0,0.0,0.0,186000.0,0.0,510000.0,1791000.0,155000.0,1384000.0,1071000.0,0.0,13890000.0,7660000.0,344000.0,3005000.0,424000.0,3094000.0,75000.0,1000.0,717000.0,0.0,0.0,1712000.0,515000.0,0.0,652000.0,28000.0,0.0,517000.0,0.0,0.0,0.0,4518000.0,2895000.0,501000.0,0.0,893000.0,231000.0,0.0,-2000.0,0.0,0.0
3Q2015,2015,9,Good,45.970001220703125,35.86000061035156,43.529998779296875,36.13999938964844,75414100.0,29.66485850016276,13306000.0,7949000.0,1441000.0,0.0,2793000.0,2678000.0,0.0,648000.0,71000.0,318000.0,2747000.0,0.0,0.0,89000.0,0.0,0.0,196000.0,0.0,525000.0,1937000.0,149000.0,1386000.0,1075000.0,0.0,13306000.0,7062000.0,381000.0,2882000.0,461000.0,2525000.0,87000.0,0.0,726000.0,0.0,0.0,1816000.0,524000.0,0.0,622000.0,29000.0,0.0,641000.0,0.0,0.0,0.0,4428000.0,2895000.0,505000.0,0.0,893000.0,184000.0,0.0,-49000.0,0.0,0.0
4Q2015,2015,12,Good,42.15999984741211,35.41999816894531,36.849998474121094,35.75,49142633.333333336,26.988028208414715,16288000.0,10671000.0,5580000.0,0.0,1915000.0,2578000.0,0.0,296000.0,33000.0,269000.0,3008000.0,0.0,0.0,98000.0,0.0,0.0,286000.0,0.0,408000.0,2216000.0,122000.0,1407000.0,1080000.0,0.0,16288000.0,9468000.0,465000.0,3783000.0,489000.0,2679000.0,95000.0,0.0,1957000.0,0.0,0.0,2574000.0,580000.0,0.0,1188000.0,27000.0,0.0,779000.0,0.0,0.0,0.0,4246000.0,2895000.0,507000.0,0.0,894000.0,0.0,0.0,-50000.0,0.0,0.0
1Q2016,2016,3,Bad,47.560001373291016,31.719999313354492,35.75,46.66999816894531,42589400.0,28.916924794514973,15098000.0,9458000.0,1207000.0,0.0,4354000.0,3040000.0,0.0,398000.0,191000.0,268000.0,3061000.0,0.0,0.0,123000.0,0.0,0.0,278000.0,0.0,379000.0,2281000.0,131000.0,1372000.0,1076000.0,0.0,15098000.0,8268000.0,430000.0,3310000.0,604000.0,2676000.0,97000.0,0.0,1151000.0,0.0,0.0,2563000.0,567000.0,0.0,1138000.0,29000.0,0.0,829000.0,0.0,0.0,0.0,4267000.0,2895000.0,509000.0,0.0,894000.0,9000.0,0.0,-40000.0,0.0,0.0
2Q2016,2016,6,Bad,44.689998626708984,39.63999938964844,44.689998626708984,44.0,34783366.666666664,31.669923146565754,14135000.0,8403000.0,1663000.0,0.0,2649000.0,2957000.0,0.0,660000.0,171000.0,303000.0,3168000.0,0.0,0.0,119000.0,0.0,0.0,272000.0,0.0,505000.0,2272000.0,140000.0,1361000.0,1063000.0,0.0,14135000.0,7418000.0,467000.0,2479000.0,480000.0,2646000.0,123000.0,0.0,1223000.0,0.0,0.0,2501000.0,338000.0,0.0,1087000.0,28000.0,0.0,1048000.0,0.0,0.0,0.0,4216000.0,2895000.0,512000.0,0.0,894000.0,-80000.0,0.0,-5000.0,0.0,0.0
