"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - VIAVAREJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,21.327.000,22.012.000,21.056.000,18.520.001,18.276.000,19.033.000,19.931.001,16.628.000,15.868.000,16.977.000,17.526.999,14.182.000,14.135.000,15.098.000,16.288.000,13.306.000,13.890.000,14.460.000,16.004.000,14.363.470,13.129.767,13.248.195,13.457.823,12.441.656,12.189.842,11.910.088,12.082.472,11.659.853,11.298.950,10.745.924,11.674.930,11.025.946,10.845.613,10.013.031,9.891.828,2.563.624,2.563.051,2.317.749,2.437.471,2.086.803,1.994.767,1.959.906
Ativo Circulante,10.598.000,11.166.000,13.543.999,10.747.000,10.774.000,11.402.000,12.443.000,9.434.000,9.037.000,10.044.000,10.708.000,8.469.000,8.403.000,9.458.000,10.671.000,7.949.000,8.714.000,9.510.000,10.717.000,9.445.807,8.532.553,8.845.553,8.984.634,8.734.040,8.541.951,8.316.557,8.512.511,8.224.796,8.026.012,7.569.130,8.401.963,8.389.390,8.616.023,7.853.072,7.760.630,1.478.892,1.439.424,1.293.889,1.416.129,1.538.476,1.462.130,1.388.169
Caixa e Equivalentes de Caixa AC,238.000,1.296.000,3.711.000,429.000,945.000,604.000,3.559.000,539.000,750.000,526.000,4.030.000,1.401.000,1.663.000,1.207.000,5.580.000,1.441.000,2.973.000,1.552.000,4.448.000,3.528.404,2.937.648,2.806.584,3.508.878,2.287.901,2.330.072,2.448.929,2.581.134,1.251.650,1.252.284,914.472,1.425.768,1.112.038,1.386.614,1.147.413,1.352.290,99.266,86.320,111.323,83.355,82.301,82.765,67.170
Aplicações Financeiras AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.990,23.622,24.453,23.270,23.111,0,0,0,0,0,0,0,0,367.229,600.613,0,0,0,0,0,0,0
Contas a Receber AC,3.775.000,3.913.000,3.768.000,3.798.000,3.545.000,4.750.000,3.988.000,4.053.000,3.751.000,5.067.000,2.782.000,3.066.000,2.649.000,4.354.000,1.915.000,2.793.000,1.982.000,3.731.000,2.338.000,2.235.932,2.148.353,2.107.120,2.239.893,2.328.323,2.350.382,2.393.413,2.403.192,3.627.724,3.502.977,3.414.929,3.616.524,3.515.555,3.052.653,2.553.867,1.976.792,423.776,417.260,318.377,405.547,639.964,689.534,715.047
Estoques AC,4.966.000,4.695.000,4.773.000,5.557.000,5.400.000,5.376.000,4.379.000,4.161.000,3.782.000,3.618.000,3.054.000,2.900.000,2.957.000,3.040.000,2.578.000,2.678.000,2.779.000,3.171.000,2.984.000,2.797.591,2.449.336,2.826.006,2.335.994,3.093.286,2.904.239,2.634.515,2.697.498,2.389.380,2.336.135,2.346.376,2.688.139,2.529.063,2.493.962,2.220.784,2.403.546,732.441,731.091,674.291,727.071,504.657,407.220,344.431
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,1.229.000,934.000,1.060.000,681.000,570.000,371.000,219.000,441.000,519.000,622.000,581.000,654.000,660.000,398.000,296.000,648.000,552.000,475.000,486.000,454.830,501.040,580.159,579.009,702.877,640.577,595.564,614.924,587.992,619.806,586.929,449.408,902.954,907.824,663.289,558.517,0,0,0,0,0,0,0
Despesas Antecipadas AC,160.000,105.000,33.000,57.000,51.000,82.000,0,41.000,48.000,48.000,23.000,97.000,171.000,191.000,33.000,71.000,73.000,0,0,0,0,0,46.663,52.458,71.410,46.884,29.334,27.877,32.862,41.532,39.547,62.701,81.736,121.615,132.362,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,230.000,223.000,199.000,225.000,263.000,219.000,298.000,199.000,187.000,163.000,238.000,351.000,303.000,268.000,269.000,318.000,355.000,581.000,461.000,429.050,473.186,502.062,249.744,245.925,222.160,197.252,186.429,340.173,281.948,264.892,182.577,267.079,693.234,778.875,736.510,223.409,204.753,189.898,200.156,311.554,282.611,261.521
Ativo Realizavel Longo Prazo ,4.650.000,4.816.000,4.528.000,4.888.000,4.733.000,4.883.000,4.743.000,4.480.000,4.128.000,4.151.000,3.980.000,3.163.000,3.168.000,3.061.000,3.008.000,2.747.000,2.566.000,2.384.000,2.107.000,1.989.521,1.941.157,1.761.707,1.836.858,2.387.190,2.397.317,2.331.457,2.327.130,2.242.456,2.131.195,2.061.980,2.157.089,1.559.304,1.180.723,1.160.994,1.134.751,778.308,797.067,704.736,725.276,320.715,307.373,299.123
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.020,7.389,0,0,0,0,0,0,0
Contas a Receber ACLP,0,224.000,0,0,0,193.000,201.000,171.000,156.000,158.000,182.000,147.000,119.000,123.000,98.000,89.000,79.000,86.000,105.000,95.792,97.275,102.907,136.306,132.702,120.580,121.742,134.543,124.994,125.660,131.316,145.365,112.596,93.479,95.758,107.369,78.955,75.531,72.149,111.439,465,465,3.085
Estoques ACLP,222.000,0,217.000,173.000,181.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,848.000,0,0,0,526.000,439.000,378.000,327.000,349.000,295.000,277.000,272.000,278.000,286.000,196.000,186.000,212.000,87.000,200.629,261.361,311.762,349.891,645.602,670.194,666.639,698.119,748.338,759.390,768.981,793.758,791.070,765.429,766.150,736.420,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,856.000,0,618.000,502.000,445.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,714,714,306,205,103,413,722,1.032,1.032,1.032,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,183.000,0,0,0,414.000,415.000,508.000,491.000,589.000,549.000,537.000,505.000,379.000,408.000,525.000,510.000,416.000,391.000,376.130,333.692,276.439,306.238,390.009,373.383,328.944,314.275,329.753,322.642,315.446,396.454,415.092,87.409,64.396,80.414,86.768,85.139,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,100.000,3.561.000,190.000,336.000,320.000,3.750.000,3.688.000,3.423.000,3.154.000,3.055.000,2.954.000,2.202.000,2.272.000,2.281.000,2.216.000,1.937.000,1.791.000,1.670.000,1.524.000,1.316.970,1.248.829,1.070.599,1.044.093,1.218.163,1.232.446,1.213.826,1.179.988,1.039.268,923.090,845.515,820.480,239.514,233.374,232.670,203.159,612.585,636.397,632.587,613.837,320.250,306.908,296.038
Investimentos,123.000,114.000,108.000,102.000,93.000,87.000,89.000,128.000,122.000,151.000,144.000,145.000,140.000,131.000,122.000,149.000,155.000,176.000,809.000,660.772,665.618,665.651,669.312,99.670,94.157,94.156,92.483,96.734,93.066,97.581,97.020,91.246,87.905,84.166,95.336,81.054,92.996,89.869,71.151,2.195,2.117,1.395
