"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - WEG SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
Ativo Total,15.479.421,14.907.806,15.226.982,15.399.850,16.274.130,15.464.046,14.526.053,13.985.987,13.964.453,14.181.424,13.446.033,13.509.331,13.634.825,13.048.678,13.458.854,14.261.541,14.289.917,13.121.290,12.951.305,11.782.630,10.902.810,10.362.672,9.898.693,10.141.293,9.552.065,9.542.922,9.496.435,8.873.550,8.757.033,9.109.705,8.824.120,9.105.861,8.695.827,7.979.509,7.424.388,7.511.164,7.365.112,7.343.910,6.417.038,5.373.607,5.382.039,5.259.835
Ativo Circulante,9.649.841,8.803.475,9.089.843,9.438.581,10.075.121,9.968.378,9.569.642,9.415.667,9.462.943,9.682.775,9.094.229,9.127.483,9.182.023,8.648.557,8.713.628,9.589.344,9.679.358,9.157.900,9.046.596,8.098.187,7.285.224,6.886.608,6.602.879,6.851.787,6.306.860,6.339.494,6.310.741,5.710.017,5.657.018,6.020.120,5.478.846,5.867.061,5.742.007,5.069.586,4.731.859,4.794.009,4.628.280,4.591.996,3.803.788,3.973.158,3.979.320,3.829.841
Caixa e Equivalentes de Caixa AC,2.100.404,1.843.868,1.967.509,2.205.700,1.818.725,2.703.771,3.032.815,3.162.685,3.273.239,3.635.476,3.369.965,3.390.662,3.406.774,2.720.005,2.477.210,3.277.115,3.411.805,3.771.495,3.787.607,3.328.015,3.223.617,3.285.865,3.247.375,3.373.799,2.937.836,3.034.080,3.013.804,2.302.256,2.268.231,2.626.935,2.563.889,59.512,3.086.568,2.674.637,2.487.136,53.971,2.399.773,2.463.531,1.962.538,2.127.117,2.003.241,1.806.997
Aplicações Financeiras AC,1.335.683,938.886,925.042,1.324.188,2.119.155,1.553.425,1.454.614,1.411.046,1.484.343,1.434.584,1.423.320,1.373.287,1.329.059,1.306.954,1.263.978,1.157.644,877.157,938.866,883.585,865.162,228.431,76.570,0,0,0,0,265.714,261.244,256.634,251.540,0,2.872.103,0,0,0,2.499.025,0,0,0,0,0,0
Contas a Receber AC,2.488.671,2.474.176,2.429.474,2.440.844,2.564.768,2.589.700,2.265.744,2.242.613,2.233.281,2.239.477,2.140.661,2.251.922,2.267.128,2.421.573,2.490.042,2.545.927,2.576.676,2.050.968,2.054.676,1.867.864,1.747.503,1.637.568,1.576.829,1.658.806,1.562.243,1.554.042,1.347.331,1.472.839,1.411.747,1.350.250,1.263.963,1.307.692,1.162.056,1.095.847,1.026.094,1.044.712,1.026.652,960.353,864.517,910.136,909.473,910.048
Estoques AC,2.901.751,2.583.387,2.498.116,2.458.410,2.518.626,2.328.357,2.014.530,1.852.266,1.836.737,1.754.780,1.594.669,1.575.055,1.647.138,1.644.214,1.868.740,2.009.254,2.248.834,1.954.542,1.909.593,1.704.919,1.672.573,1.541.091,1.461.766,1.445.927,1.467.641,1.368.012,1.316.606,1.306.273,1.389.619,1.459.793,1.371.264,1.362.314,1.269.623,1.086.034,1.019.551,1.008.952,1.015.175,971.196,812.461,758.116,821.688,853.688
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,462.029,527.774,490.132,421.938,453.081,442.556,490.067,419.845,367.578,342.081,280.273,269.626,264.717,276.319,276.560,266.944,234.592,214.644,189.977,159.446,149.674,153.858,148.947,166.384,166.574,170.070,158.070,183.627,188.416,195.200,166.464,156.076,139.791,127.932,118.144,107.182,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,361.303,435.384,779.570,587.501,600.766,350.569,311.873,327.212,267.765,276.377,285.341,266.931,267.207,279.492,337.098,332.460,330.294,227.385,221.158,172.781,263.426,191.656,167.962,206.871,172.566,213.290,209.216,183.778,142.371,136.402,113.266,109.364,83.969,85.136,80.934,80.167,186.680,196.916,164.272,177.789,244.918,259.108
