Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,16.825000762939453,12.96500015258789,14.869999885559082,14.375,24029000.0,13.959863344828287,0.0,5658990.0,1803166.0,0.0,1315340.0,1604062.0,0.0,0.0,0.0,936422.0,625226.0,0.0,0.0,10257.0,0.0,0.0,0.0,0.0,0.0,614969.0,1028.0,2899278.0,1544685.0,163592.0,0.0,3121963.0,0.0,1018250.0,71525.0,1803780.0,0.0,32.0,120876.0,107500.0,0.0,3890924.0,3601815.0,0.0,101782.0,0.0,0.0,187327.0,0.0,0.0,819.0,3879093.0,3445043.0,0.0,0.0,718876.0,-241138.0,-43688.0,0.0,0.0,0.0
2Q2009,2009,6,Good,20.5,14.255000114440918,14.289999961853027,18.75,42012866.666666664,16.831859588623047,0.0,5138908.0,1432715.0,0.0,1144056.0,1531254.0,0.0,0.0,0.0,1030883.0,565787.0,0.0,0.0,11019.0,0.0,0.0,0.0,0.0,0.0,554768.0,1028.0,3004861.0,1542471.0,154165.0,0.0,2989317.0,0.0,1062923.0,103016.0,1567137.0,0.0,31.0,127605.0,128605.0,0.0,3404587.0,3145391.0,0.0,96707.0,0.0,0.0,162489.0,0.0,0.0,1044.0,4012272.0,3445043.0,0.0,0.0,724463.0,-117418.0,-39816.0,0.0,0.0,0.0
3Q2009,2009,9,Bad,24.8799991607666,18.520000457763672,18.850000381469727,23.600000381469727,79057733.33333333,20.17660903930664,0.0,11048468.0,4124725.0,0.0,2122087.0,3379894.0,0.0,0.0,0.0,1421762.0,2190705.0,0.0,0.0,13275.0,0.0,0.0,0.0,0.0,0.0,2177430.0,3457503.0,6988907.0,1617074.0,215541.0,0.0,5568896.0,0.0,1794192.0,165590.0,2885328.0,0.0,856.0,344792.0,378138.0,0.0,6773111.0,6123768.0,0.0,394032.0,0.0,0.0,255311.0,0.0,0.0,4486.0,0.0,0.0,0.0,0.0,657171.0,94231.0,-44890.0,0.0,0.0,0.0
4Q2009,2009,12,Good,24.299999237060547,19.80500030517578,23.549999237060547,22.145000457763672,64175266.666666664,19.774927775065105,0.0,0.0,4243769.0,0.0,1787337.0,3101324.0,0.0,0.0,0.0,1313912.0,2675535.0,0.0,0.0,12808.0,0.0,0.0,0.0,0.0,0.0,2662727.0,17200.0,9274990.0,3098320.0,201940.0,0.0,5876696.0,0.0,1905368.0,220303.0,2913745.0,0.0,839.0,652825.0,183616.0,0.0,6698260.0,5884365.0,0.0,531499.0,0.0,0.0,282396.0,0.0,0.0,4721.0,0.0,0.0,0.0,0.0,697359.0,0.0,-24465.0,0.0,0.0,0.0
1Q2010,2010,3,Good,24.239999771118164,21.600000381469727,22.684999465942383,23.950000762939453,49135000.0,21.188525517781574,0.0,9678398.0,3367405.0,0.0,2003465.0,3058564.0,0.0,0.0,0.0,1248964.0,2731047.0,0.0,0.0,15488.0,0.0,0.0,0.0,0.0,0.0,2715559.0,19082.0,9231756.0,3090591.0,186708.0,0.0,4731807.0,0.0,1776996.0,219600.0,2126465.0,0.0,12.0,333737.0,274997.0,0.0,7015411.0,6152257.0,0.0,569146.0,0.0,0.0,294008.0,0.0,0.0,4203.0,0.0,0.0,0.0,0.0,698772.0,52607.0,-26171.0,0.0,0.0,0.0
2Q2010,2010,6,Good,26.200000762939453,20.809999465942383,23.989999771118164,23.700000762939453,49709910.666666664,21.536131540934246,0.0,9492870.0,3230535.0,0.0,2130750.0,2837632.0,0.0,0.0,0.0,1293953.0,2771570.0,0.0,0.0,14741.0,0.0,0.0,0.0,0.0,0.0,2756829.0,13996.0,9257869.0,3228752.0,172268.0,0.0,4741855.0,0.0,1813079.0,224546.0,1948084.0,0.0,12.0,394753.0,361381.0,0.0,6908862.0,5846573.0,0.0,706338.0,0.0,0.0,355951.0,0.0,0.0,2526.0,0.0,0.0,2945.0,0.0,701590.0,128277.0,-9201.0,0.0,0.0,0.0
3Q2010,2010,9,Good,25.770000457763672,22.0,24.0,25.75,35607137.0,22.91398557027181,0.0,9516034.0,3060003.0,0.0,2236407.0,2936888.0,0.0,0.0,0.0,1282736.0,2648477.0,0.0,0.0,12915.0,0.0,0.0,0.0,0.0,0.0,2635562.0,23110.0,9382400.0,3243716.0,158277.0,0.0,4897227.0,0.0,1915780.0,227709.0,1937726.0,0.0,12.0,401945.0,414055.0,0.0,6504347.0,5443319.0,0.0,749155.0,0.0,0.0,311873.0,0.0,0.0,8151.0,0.0,0.0,4766.0,0.0,726949.0,317960.0,52143.0,0.0,0.0,0.0
4Q2010,2010,12,Good,27.899999618530273,23.790000915527344,25.790000915527344,27.34000015258789,25903666.666666668,24.000705083211262,27751549.0,9852130.0,2310643.0,863806.0,2606696.0,2135809.0,900681.0,695892.0,17012.0,321591.0,4567828.0,229546.0,148107.0,100086.0,0.0,377684.0,2487612.0,391.0,0.0,1224402.0,17494.0,9066831.0,4247264.0,0.0,27751549.0,5686384.0,133014.0,2059196.0,210832.0,2227713.0,0.0,193098.0,543049.0,319482.0,0.0,8428645.0,4975226.0,0.0,489504.0,1635677.0,0.0,1328238.0,0.0,0.0,7551.0,13628967.0,12460471.0,69353.0,0.0,1063949.0,0.0,0.0,0.0,35194.0,0.0
1Q2011,2011,3,Good,31.399999618530273,26.5,27.790000915527344,30.829999923706055,39367523.333333336,26.960543314615887,27895056.0,10226511.0,2093783.0,1226353.0,2402199.0,2417855.0,972046.0,727716.0,21499.0,365060.0,4301609.0,0.0,190972.0,90500.0,0.0,381536.0,2446079.0,261.0,0.0,1192261.0,19531.0,9104964.0,4242441.0,0.0,27895056.0,5469941.0,126463.0,2038982.0,171179.0,2246045.0,0.0,2120.0,448131.0,437021.0,0.0,8401548.0,5087061.0,0.0,457930.0,1674544.0,0.0,1182013.0,0.0,0.0,10650.0,14012917.0,12460471.0,72625.0,0.0,1064000.0,383468.0,0.0,0.0,32353.0,0.0
2Q2011,2011,6,Good,32.040000915527344,23.75,31.100000381469727,26.5,53651514.666666664,27.031752904256184,28892946.0,10989875.0,1974461.0,1859786.0,2461349.0,2406599.0,1087791.0,765677.0,0.0,434212.0,4485050.0,0.0,171240.0,175368.0,0.0,376717.0,2528442.0,0.0,0.0,1233283.0,12950.0,9168696.0,4236375.0,0.0,28892946.0,6392323.0,175912.0,2082125.0,200814.0,2588698.0,0.0,269686.0,525950.0,549138.0,0.0,8282833.0,4949951.0,0.0,446737.0,1728668.0,0.0,1157477.0,0.0,0.0,11308.0,14206482.0,12460471.0,37420.0,0.0,1064688.0,589042.0,0.0,0.0,54861.0,0.0
3Q2011,2011,9,Bad,33.310001373291016,24.770000457763672,26.510000228881836,32.18000030517578,55753395.666666664,28.675764083862305,29478584.0,11092298.0,1848692.0,1592089.0,2522758.0,2872001.0,1124923.0,814015.0,0.0,317820.0,4803251.0,0.0,169955.0,155682.0,0.0,372641.0,2779466.0,0.0,0.0,1325507.0,16023.0,9326153.0,4240858.0,0.0,29478584.0,7025243.0,100415.0,2246660.0,155843.0,3106177.0,0.0,2734.0,826219.0,587195.0,0.0,8280508.0,5002240.0,0.0,268214.0,1724382.0,0.0,1285672.0,0.0,0.0,-1373.0,14174205.0,12460471.0,2369.0,0.0,1064688.0,954056.0,0.0,0.0,-307379.0,0.0
4Q2011,2011,12,Good,37.900001525878906,30.229999542236328,32.13999938964844,36.41999816894531,34012966.666666664,33.27341969807943,29983455.0,11123751.0,1366843.0,1372671.0,3264748.0,2679211.0,1156081.0,907929.0,0.0,376268.0,4654837.0,0.0,153388.0,149741.0,0.0,387383.0,2628750.0,0.0,0.0,1335575.0,20399.0,9798370.0,4386099.0,0.0,29983455.0,7987829.0,116558.0,2681343.0,224761.0,3452477.0,0.0,312624.0,763909.0,436157.0,0.0,7885710.0,4601053.0,0.0,391481.0,1791897.0,0.0,1101279.0,0.0,0.0,39577.0,14070340.0,12460471.0,10939.0,0.0,1760446.0,0.0,0.0,0.0,-161516.0,0.0
1Q2012,2012,3,Good,38.66999816894531,32.36000061035156,36.4900016784668,36.0,50105266.666666664,32.973103841145836,29618012.0,10437777.0,1205307.0,819597.0,2700764.0,3057498.0,1180162.0,1034826.0,0.0,439623.0,4635739.0,0.0,201945.0,162899.0,0.0,399852.0,2607433.0,0.0,0.0,1263610.0,26069.0,10138301.0,4380125.0,0.0,29618012.0,7418427.0,118725.0,2669993.0,205188.0,3590413.0,0.0,2727.0,408839.0,422542.0,0.0,7833699.0,4494557.0,0.0,420109.0,1816670.0,0.0,1102363.0,0.0,0.0,43056.0,14322829.0,12460471.0,14726.0,0.0,1770789.0,142856.0,0.0,0.0,-66013.0,0.0
2Q2012,2012,6,Good,36.54999923706055,30.010000228881836,36.0,30.389999389648438,45964533.333333336,29.91728401184082,31351556.0,11609079.0,2106932.0,641113.0,2813326.0,3000803.0,1343825.0,1128114.0,0.0,574966.0,5156616.0,0.0,193164.0,160928.0,0.0,395173.0,2773963.0,0.0,0.0,1633388.0,101198.0,9812034.0,4672629.0,0.0,31351556.0,7686664.0,117841.0,2772448.0,198561.0,3410992.0,0.0,93038.0,608747.0,485037.0,0.0,9594728.0,6212172.0,0.0,413486.0,1855632.0,0.0,1113438.0,0.0,0.0,51177.0,14018987.0,12460471.0,20501.0,0.0,1799589.0,20443.0,0.0,0.0,-282017.0,0.0
3Q2012,2012,9,Good,36.400001525878906,27.530000686645508,30.110000610351562,35.0099983215332,52699600.0,30.019453684488933,31602303.0,11362937.0,1506757.0,609290.0,2723074.0,3435568.0,1387351.0,1185142.0,0.0,515755.0,5332077.0,0.0,96000.0,174092.0,0.0,400546.0,2821446.0,0.0,0.0,1839993.0,28769.0,10214297.0,4664222.0,0.0,31602303.0,7447663.0,121568.0,3267264.0,233152.0,2653569.0,0.0,1075.0,574644.0,596391.0,0.0,9950735.0,6468017.0,0.0,428531.0,1942430.0,0.0,1111757.0,0.0,0.0,44592.0,14159312.0,12460471.0,28361.0,0.0,1809635.0,101269.0,0.0,0.0,-240424.0,0.0
4Q2012,2012,12,Good,42.95000076293945,34.79999923706055,34.91999816894531,42.189998626708984,45357433.333333336,36.515000661214195,30772249.0,11589980.0,1930693.0,621908.0,3208619.0,3018576.0,1370999.0,964769.0,0.0,474416.0,3723249.0,0.0,74458.0,163431.0,0.0,428190.0,724942.0,0.0,0.0,2332228.0,36658.0,10670700.0,4751661.0,0.0,30772249.0,7464218.0,134968.0,3381246.0,227995.0,2440782.0,0.0,160020.0,654018.0,465189.0,0.0,8731990.0,7077539.0,0.0,561900.0,27792.0,0.0,1064759.0,0.0,0.0,37512.0,14538528.0,12460471.0,17990.0,0.0,2261079.0,0.0,0.0,0.0,-201012.0,0.0
1Q2013,2013,3,Bad,46.75,40.849998474121094,42.189998626708984,44.4900016784668,46836766.666666664,40.72418467203776,30387417.0,10969776.0,1381318.0,540131.0,3063738.0,3191743.0,1318853.0,918569.0,0.0,555424.0,3671232.0,0.0,52607.0,148170.0,0.0,439973.0,669683.0,0.0,0.0,2360799.0,104901.0,10886217.0,4755292.0,0.0,30387417.0,6899071.0,113348.0,3147929.0,186556.0,2520342.0,0.0,2266.0,496510.0,432120.0,0.0,8470821.0,6613198.0,0.0,680680.0,25107.0,0.0,1151836.0,0.0,0.0,34068.0,14983458.0,12460471.0,28909.0,0.0,2289087.0,330526.0,0.0,0.0,-125535.0,0.0
