Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
2Q2009,2009,6,Bad,8.715720176696777,8.28872013092041,8.539899826049805,8.464550018310547,432011369.0,2.944930076599121,1888225.0,1297084.0,344760.0,0.0,943311.0,0.0,0.0,0.0,0.0,9013.0,296399.0,0.0,0.0,296399.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,226655.0,66949.0,0.0,1888225.0,1481799.0,0.0,56178.0,237898.0,0.0,0.0,328333.0,859390.0,0.0,0.0,210884.0,0.0,0.0,142583.0,0.0,0.0,68301.0,0.0,0.0,0.0,195542.0,75379.0,68606.0,0.0,51557.0,0.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Bad,9.534549713134766,7.937079906463623,8.600179672241211,8.831259727478027,335060649.3333333,3.0247417291005454,2051257.0,1469403.0,360695.0,0.0,1101032.0,0.0,0.0,0.0,0.0,7676.0,252671.0,0.0,0.0,252671.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,264748.0,64304.0,0.0,2051257.0,1303859.0,0.0,96480.0,330483.0,0.0,0.0,0.0,876896.0,0.0,0.0,153503.0,0.0,0.0,86866.0,0.0,0.0,66637.0,0.0,0.0,0.0,593895.0,75379.0,70288.0,0.0,448228.0,0.0,0.0,0.0,0.0,0.0
4Q2009,2009,12,Bad,9.26830005645752,6.786709785461426,8.750880241394043,7.530179977416992,247292293.0,2.772485891977946,2490947.0,1919657.0,510242.0,0.0,1403528.0,0.0,0.0,0.0,0.0,5887.0,203723.0,0.0,0.0,203723.0,0.0,0.0,0.0,0.0,0.0,0.0,29081.0,288176.0,50310.0,0.0,2490947.0,1538845.0,0.0,114043.0,416660.0,0.0,0.0,105365.0,902777.0,0.0,0.0,91673.0,0.0,0.0,42445.0,0.0,0.0,49228.0,0.0,0.0,0.0,860429.0,75379.0,3077.0,0.0,781973.0,0.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Bad,8.655440330505371,6.882150173187256,7.705999851226807,8.414310455322266,158244809.33333334,2.67402982711792,2812974.0,1727740.0,171456.0,0.0,1542756.0,0.0,0.0,0.0,0.0,13528.0,710748.0,0.0,0.0,710748.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,313404.0,61070.0,0.0,2812974.0,1588209.0,0.0,159721.0,174248.0,0.0,0.0,0.0,1254240.0,0.0,0.0,535024.0,0.0,0.0,2708.0,0.0,0.0,532316.0,0.0,0.0,0.0,689741.0,75379.0,5692.0,0.0,15076.0,593594.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,9.092479705810547,7.248869895935059,8.434410095214844,7.635670185089111,152513472.33333334,2.9731456438700357,3177783.0,2040959.0,211041.0,0.0,1823006.0,0.0,0.0,0.0,0.0,6912.0,752369.0,0.0,0.0,752369.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,326742.0,57701.0,0.0,3177783.0,1463675.0,0.0,125415.0,266654.0,0.0,0.0,0.0,1071606.0,0.0,0.0,567033.0,0.0,0.0,3992.0,0.0,0.0,563041.0,0.0,0.0,0.0,1147075.0,100000.0,5306.0,0.0,163836.0,877933.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Good,8.384169578552246,6.992670059204102,7.700980186462402,7.399569988250732,140248805.33333334,2.8510384559631348,3549426.0,2358670.0,245816.0,0.0,2105770.0,0.0,0.0,0.0,0.0,7084.0,705430.0,0.0,0.0,705430.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,374995.0,110319.0,0.0,3549426.0,2166301.0,0.0,176856.0,334518.0,0.0,0.0,0.0,1654927.0,0.0,0.0,529921.0,0.0,0.0,30450.0,0.0,0.0,499471.0,0.0,0.0,2710.0,850494.0,100000.0,10807.0,0.0,163836.0,575851.0,0.0,0.0,0.0,0.0
4Q2010,2010,12,Good,7.781350135803223,6.525489807128906,7.444779872894287,6.756569862365723,140748801.66666666,2.9038286209106445,3771406.0,2536321.0,250603.0,0.0,2285718.0,0.0,0.0,0.0,0.0,0.0,745510.0,0.0,0.0,1090.0,0.0,0.0,255216.0,0.0,0.0,489204.0,0.0,360290.0,129285.0,0.0,3771406.0,2016357.0,0.0,180761.0,409042.0,0.0,0.0,117958.0,1308596.0,0.0,0.0,560798.0,0.0,0.0,31586.0,5579.0,0.0,523633.0,0.0,0.0,14470.0,1179781.0,100000.0,14709.0,0.0,1065072.0,0.0,0.0,0.0,0.0,0.0
1Q2011,2011,3,Good,7.324220180511475,5.530839920043945,6.857039928436279,6.9173197746276855,136325080.66666666,2.653172016143799,3867519.0,2542120.0,237837.0,0.0,2304283.0,0.0,0.0,0.0,0.0,0.0,792374.0,0.0,0.0,1171.0,0.0,0.0,272198.0,0.0,0.0,519005.0,0.0,360415.0,172610.0,0.0,3867519.0,2371507.0,0.0,204036.0,146175.0,0.0,0.0,1497.0,2019799.0,0.0,0.0,594422.0,0.0,0.0,33725.0,5786.0,0.0,554911.0,0.0,0.0,13989.0,887601.0,100000.0,18178.0,0.0,769423.0,0.0,0.0,0.0,0.0,0.0
2Q2011,2011,6,Good,8.330920219421387,6.656099796295166,7.203660011291504,7.836609840393066,122651890.66666667,3.3865813414255777,4037806.0,2629519.0,253050.0,0.0,2376469.0,0.0,0.0,0.0,0.0,0.0,835665.0,0.0,0.0,727.0,0.0,0.0,284436.0,0.0,0.0,550502.0,0.0,357216.0,215406.0,0.0,4037806.0,2082731.0,0.0,1790038.0,211487.0,0.0,0.0,0.0,81206.0,0.0,0.0,625615.0,0.0,0.0,34279.0,5165.0,0.0,586171.0,0.0,0.0,14159.0,1315301.0,263836.0,22300.0,0.0,1029165.0,0.0,0.0,0.0,0.0,0.0
3Q2011,2011,9,Good,9.002059936523438,7.661799907684326,7.83459997177124,8.419340133666992,182049844.66666666,3.721033732096354,4298447.0,2747083.0,273486.0,0.0,2473597.0,0.0,0.0,0.0,0.0,0.0,888431.0,0.0,0.0,647.0,0.0,0.0,295573.0,0.0,0.0,592211.0,0.0,445312.0,217621.0,0.0,4298447.0,2394242.0,0.0,2018744.0,270668.0,0.0,0.0,0.0,104830.0,0.0,0.0,671616.0,0.0,0.0,35811.0,4958.0,0.0,630847.0,0.0,0.0,15250.0,1217339.0,263836.0,30864.0,0.0,922639.0,0.0,0.0,0.0,0.0,0.0
