Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
2Q2011,2011,6,Good,14.5,12.619999885559082,13.09000015258789,13.550000190734863,20754870.666666668,8.89917246500651,4044739.0,905206.0,668953.0,30661.0,148161.0,0.0,0.0,28416.0,8606.0,20409.0,105687.0,8356.0,0.0,0.0,0.0,0.0,70314.0,435.0,0.0,26582.0,43456.0,230705.0,2759685.0,0.0,4044739.0,670445.0,31755.0,104043.0,22240.0,381282.0,4911.0,26.0,55402.0,70786.0,0.0,1552860.0,1284714.0,0.0,65263.0,20181.0,0.0,182702.0,0.0,0.0,6022.0,1815412.0,1320549.0,30020.0,0.0,287347.0,177496.0,0.0,0.0,0.0,0.0
3Q2011,2011,9,Good,14.5,11.289999961853027,13.510000228881836,13.800000190734863,26727358.666666668,8.751580874125162,4225271.0,1019534.0,727195.0,73153.0,158086.0,0.0,0.0,25422.0,7177.0,28501.0,136199.0,36407.0,0.0,0.0,0.0,0.0,68855.0,423.0,9.0,30505.0,47263.0,252476.0,2769799.0,0.0,4225271.0,726043.0,36763.0,96608.0,21203.0,445370.0,6976.0,26.0,52438.0,66659.0,0.0,1574066.0,1298420.0,0.0,61542.0,21983.0,0.0,192121.0,0.0,0.0,6502.0,1918660.0,1320549.0,30527.0,0.0,287347.0,280237.0,0.0,0.0,0.0,0.0
4Q2011,2011,12,Good,13.949999809265137,12.199999809265137,13.649999618530273,13.949999809265137,28352800.0,8.833290417989096,4156437.0,877632.0,604551.0,30106.0,176505.0,0.0,0.0,27403.0,8503.0,30564.0,140550.0,0.0,0.0,0.0,0.0,0.0,68444.0,410.0,0.0,71696.0,51613.0,287933.0,2798709.0,0.0,4156437.0,861930.0,30354.0,131851.0,21825.0,541770.0,1787.0,0.0,63378.0,70965.0,0.0,1409406.0,1134393.0,0.0,62761.0,24430.0,0.0,187822.0,0.0,0.0,3041.0,1882060.0,1320549.0,31224.0,0.0,530287.0,0.0,0.0,0.0,0.0,0.0
1Q2012,2012,3,Bad,16.290000915527344,12.010000228881836,13.850000381469727,15.949999809265137,34018366.666666664,9.292281150817871,4220322.0,922631.0,612287.0,70071.0,169931.0,0.0,0.0,30274.0,6824.0,33244.0,153090.0,0.0,0.0,0.0,0.0,0.0,67820.0,398.0,0.0,84872.0,53016.0,281473.0,2810112.0,0.0,4220322.0,888448.0,30538.0,98301.0,21876.0,593455.0,3144.0,0.0,56624.0,84510.0,0.0,1388680.0,1116667.0,0.0,60849.0,27241.0,0.0,183923.0,0.0,0.0,3064.0,1940130.0,1320549.0,33298.0,0.0,478856.0,107427.0,0.0,0.0,0.0,0.0
2Q2012,2012,6,Bad,17.149999618530273,14.670000076293945,16.06999969482422,16.170000076293945,24766733.333333332,10.704365412394205,5469720.0,749241.0,409910.0,51642.0,206900.0,0.0,0.0,31559.0,7548.0,41682.0,176588.0,0.0,0.0,0.0,0.0,0.0,50433.0,385.0,1085.0,124685.0,53190.0,529883.0,3960818.0,0.0,5469720.0,1601199.0,48818.0,151022.0,27052.0,1221244.0,1941.0,0.0,68821.0,82301.0,0.0,1828095.0,1566187.0,0.0,69213.0,14564.0,0.0,178131.0,0.0,0.0,18527.0,2021899.0,1320549.0,30643.0,0.0,478856.0,191851.0,0.0,0.0,0.0,0.0
3Q2012,2012,9,Bad,17.649999618530273,15.359999656677246,16.15999984741211,17.649999618530273,30498466.666666668,11.32162602742513,5715011.0,919038.0,525185.0,71567.0,232769.0,0.0,0.0,27376.0,11941.0,50200.0,196608.0,0.0,0.0,0.0,0.0,0.0,56203.0,373.0,0.0,140032.0,52891.0,533449.0,4013025.0,0.0,5715011.0,1670977.0,57986.0,167564.0,29116.0,1255058.0,6486.0,0.0,59713.0,95054.0,0.0,1903421.0,1632348.0,0.0,79976.0,19637.0,0.0,171460.0,0.0,0.0,19725.0,2120888.0,1320549.0,29947.0,0.0,478856.0,291536.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,18.3700008392334,16.290000915527344,17.649999618530273,17.299999237060547,24525166.666666668,11.625572204589844,6195956.0,1309781.0,946916.0,28498.0,254032.0,0.0,0.0,31948.0,7603.0,40784.0,237687.0,0.0,0.0,0.0,0.0,0.0,59371.0,360.0,0.0,177956.0,10.0,590719.0,4057759.0,0.0,6195956.0,1434436.0,54309.0,150138.0,32643.0,1012465.0,5163.0,0.0,84649.0,95069.0,0.0,2636033.0,2272047.0,0.0,108931.0,2880.0,0.0,252175.0,0.0,0.0,17911.0,2107576.0,1320549.0,31867.0,0.0,755160.0,0.0,0.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,18.149999618530273,16.440000534057617,17.299999237060547,17.149999618530273,25475666.666666668,11.705153783162435,5985766.0,1183125.0,898390.0,65139.0,153025.0,0.0,0.0,36374.0,7444.0,22753.0,219879.0,0.0,0.0,0.0,0.0,0.0,65859.0,327.0,0.0,153693.0,273156.0,394548.0,3915058.0,0.0,5985766.0,1338245.0,38691.0,58575.0,28138.0,1053433.0,7766.0,0.0,60449.0,91193.0,0.0,2416892.0,2088989.0,0.0,87298.0,9933.0,0.0,230672.0,0.0,0.0,18084.0,2212545.0,1320549.0,25681.0,0.0,755160.0,111155.0,0.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,17.940000534057617,13.600000381469727,17.399999618530273,15.65999984741211,52667133.333333336,11.589211463928223,6372993.0,1518510.0,1209512.0,72711.0,151168.0,0.0,0.0,42574.0,9553.0,32992.0,662362.0,0.0,0.0,0.0,0.0,0.0,549964.0,315.0,0.0,112083.0,271905.0,393710.0,3526506.0,0.0,6372993.0,1082897.0,46179.0,63275.0,30986.0,764205.0,12081.0,0.0,75148.0,91023.0,0.0,3227304.0,2878332.0,0.0,83983.0,34537.0,0.0,230452.0,0.0,0.0,17939.0,2044853.0,1320549.0,26076.0,0.0,499960.0,198268.0,0.0,0.0,0.0,0.0
3Q2013,2013,9,Bad,16.290000915527344,14.399999618530273,15.109999656677246,15.15999984741211,28587233.333333332,11.053619384765625,6602606.0,1629967.0,1260360.0,110145.0,168754.0,0.0,0.0,42196.0,11947.0,36565.0,630370.0,0.0,0.0,0.0,0.0,0.0,521769.0,302.0,0.0,108299.0,262000.0,398045.0,3682224.0,0.0,6602606.0,1165536.0,54586.0,74236.0,33528.0,822173.0,18544.0,0.0,70330.0,92139.0,0.0,3267075.0,2881475.0,0.0,77743.0,39051.0,0.0,268806.0,0.0,0.0,17213.0,2152782.0,1320549.0,22715.0,0.0,499960.0,309558.0,0.0,0.0,0.0,0.0
