Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,10.59000015258789,5.539999961853027,8.8100004196167,7.769999980926514,27514266.666666668,6.9372226397196455,0.0,0.0,3867864.0,0.0,1042971.0,7363899.0,0.0,0.0,0.0,896226.0,3270662.0,0.0,0.0,1311126.0,0.0,0.0,0.0,0.0,0.0,1959536.0,12.0,2421532.0,1639302.0,0.0,0.0,8040034.0,0.0,2785851.0,113108.0,981930.0,0.0,0.0,3622989.0,536156.0,0.0,6358136.0,2664476.0,0.0,3455397.0,0.0,0.0,238263.0,0.0,0.0,158143.0,5946155.0,4789617.0,0.0,0.0,1205683.0,0.0,0.0,0.0,0.0,0.0
2Q2009,2009,6,Good,10.819999694824219,7.510000228881836,7.579999923706055,8.149999618530273,39320700.0,8.035740375518799,0.0,11063794.0,3624376.0,0.0,954618.0,5837412.0,0.0,0.0,0.0,647388.0,3083894.0,0.0,0.0,1084106.0,0.0,0.0,0.0,0.0,0.0,1999788.0,9.0,2051814.0,1416498.0,0.0,0.0,7057018.0,0.0,1741960.0,105400.0,1749809.0,0.0,0.0,3044993.0,414856.0,0.0,4954841.0,1828920.0,0.0,2921819.0,0.0,0.0,204102.0,0.0,0.0,142830.0,5461320.0,4789617.0,0.0,0.0,1672594.0,0.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Good,11.300000190734863,7.449999809265137,8.199999809265137,10.25,58331133.333333336,8.875431696573893,0.0,10308311.0,3677033.0,0.0,909586.0,5047818.0,0.0,0.0,0.0,673874.0,2943760.0,0.0,0.0,989896.0,0.0,0.0,0.0,0.0,0.0,1953864.0,10.0,1868196.0,1332598.0,0.0,0.0,6154981.0,0.0,1290270.0,106715.0,1692633.0,0.0,0.0,2598091.0,467272.0,0.0,4967398.0,1911291.0,0.0,2867198.0,0.0,0.0,188909.0,0.0,0.0,138108.0,5192388.0,4789617.0,0.0,0.0,1894483.0,0.0,0.0,0.0,0.0,0.0
4Q2009,2009,12,Good,10.460000038146973,8.510000228881836,10.220000267028809,9.40999984741211,71501600.0,8.153116544087728,0.0,0.0,4398955.0,0.0,731923.0,4272977.0,0.0,0.0,0.0,696335.0,2806527.0,0.0,0.0,898411.0,0.0,0.0,0.0,0.0,0.0,1908116.0,9.0,1777787.0,1261129.0,0.0,0.0,4893539.0,0.0,1037949.0,136593.0,1031494.0,0.0,55200.0,2222008.0,410295.0,0.0,5874014.0,2552489.0,0.0,2947470.0,0.0,0.0,374055.0,0.0,0.0,157284.0,5020805.0,4789617.0,0.0,0.0,1833137.0,0.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Good,11.069999694824219,9.319999694824219,9.510000228881836,10.520000457763672,43170633.333333336,9.125232696533203,0.0,9745048.0,4026688.0,0.0,840847.0,4408661.0,0.0,0.0,0.0,468852.0,2470212.0,0.0,0.0,930571.0,0.0,0.0,0.0,0.0,0.0,1539641.0,9.0,2022732.0,1299958.0,0.0,0.0,4830273.0,0.0,1166532.0,103120.0,835482.0,0.0,0.0,2245819.0,479320.0,0.0,5542001.0,2438016.0,0.0,3015556.0,0.0,0.0,88429.0,0.0,0.0,160182.0,5005503.0,4789617.0,0.0,0.0,1678222.0,0.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Good,10.6899995803833,9.239999771118164,10.619999885559082,9.279999732971191,30776447.666666668,8.839499791463217,0.0,9456202.0,3900343.0,0.0,847567.0,4260266.0,0.0,0.0,0.0,448026.0,2417632.0,0.0,0.0,934473.0,0.0,0.0,0.0,0.0,0.0,1483159.0,8.0,2049593.0,1301930.0,0.0,0.0,4891229.0,0.0,1358372.0,113664.0,593432.0,0.0,0.0,2347832.0,477929.0,0.0,5052403.0,2151078.0,0.0,2811880.0,0.0,0.0,89445.0,0.0,0.0,163431.0,5118302.0,4789617.0,1452.0,0.0,1779875.0,0.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,12.380000114440918,9.050000190734863,9.3100004196167,11.8100004196167,32687323.666666668,10.381247838338217,0.0,9110501.0,3461316.0,0.0,576355.0,4579153.0,0.0,0.0,0.0,493677.0,2452108.0,0.0,0.0,939739.0,0.0,0.0,0.0,0.0,0.0,1512369.0,9.0,1903107.0,1219546.0,0.0,0.0,4699873.0,0.0,1438013.0,132307.0,141981.0,0.0,0.0,2447110.0,540462.0,0.0,4795066.0,2288530.0,0.0,2422417.0,0.0,0.0,84119.0,0.0,0.0,164554.0,5025778.0,4789617.0,3630.0,0.0,1943565.0,0.0,0.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,13.0,11.020000457763672,11.890000343322754,11.800000190734863,29931100.0,11.074402809143066,13981014.0,8302326.0,2321199.0,1222198.0,634221.0,3654591.0,0.0,249006.0,40540.0,180571.0,2484091.0,17.0,86771.0,961995.0,8171.0,0.0,231750.0,6751.0,0.0,1188636.0,8.0,2001074.0,1193515.0,0.0,13981014.0,3980282.0,0.0,1250029.0,149196.0,120883.0,0.0,82331.0,1861999.0,515844.0,0.0,4782975.0,2269723.0,0.0,2263614.0,18998.0,0.0,82729.0,0.0,147911.0,171621.0,5046136.0,4789617.0,0.0,0.0,2057848.0,0.0,0.0,-1803246.0,1917.0,0.0
1Q2011,2011,3,Bad,14.489999771118164,11.829999923706055,12.180000305175781,13.5,28474801.666666668,12.517430941263834,14267577.0,8594129.0,2121377.0,1166461.0,692207.0,4162804.0,0.0,236561.0,40791.0,173928.0,2436175.0,16.0,82930.0,943728.0,7527.0,0.0,227654.0,6194.0,0.0,1168126.0,9.0,2048823.0,1188441.0,0.0,14267577.0,4387597.0,0.0,1476355.0,125173.0,248836.0,0.0,38292.0,1968239.0,530702.0,0.0,4672052.0,2216672.0,0.0,2208606.0,0.0,0.0,109257.0,0.0,137517.0,176141.0,5031787.0,4789617.0,0.0,0.0,2017035.0,130956.0,0.0,-1907738.0,1917.0,0.0
2Q2011,2011,6,Good,13.800000190734863,11.670000076293945,13.800000190734863,11.899999618530273,29693228.0,11.217789967854818,14444032.0,8732584.0,2108828.0,1210337.0,760166.0,4202068.0,0.0,231068.0,35720.0,184397.0,2326751.0,16.0,76816.0,897911.0,7712.0,0.0,179021.0,4742.0,0.0,1160533.0,8.0,2085821.0,1298868.0,0.0,14444032.0,4603708.0,0.0,1618117.0,163445.0,339846.0,0.0,65557.0,1915973.0,500770.0,0.0,4755047.0,2345078.0,0.0,2149172.0,11389.0,0.0,121365.0,0.0,128043.0,174417.0,4910860.0,4789617.0,0.0,0.0,2021132.0,212298.0,0.0,-2114104.0,1917.0,0.0
