Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,8.1279296875,7.02032995223999,7.42786979675293,7.970170021057129,13626866.666666666,3.264457623163859,0.0,1871465.0,423345.0,0.0,1190392.0,9125.0,0.0,0.0,0.0,248603.0,1013971.0,0.0,0.0,457781.0,0.0,0.0,0.0,0.0,22581.0,533609.0,42018.0,6079607.0,1313801.0,0.0,0.0,2585309.0,0.0,448494.0,272665.0,1063482.0,0.0,315985.0,480016.0,4667.0,0.0,2428800.0,1854624.0,0.0,253573.0,0.0,0.0,320603.0,0.0,0.0,1646487.0,3660266.0,3182716.0,35348.0,0.0,320849.0,121353.0,0.0,0.0,0.0,0.0
2Q2009,2009,6,Good,9.465609550476074,7.888010025024414,7.888010025024414,8.890439987182617,16978180.666666668,4.096704006195068,0.0,1919021.0,476397.0,0.0,1207119.0,7283.0,0.0,0.0,0.0,228222.0,970129.0,0.0,0.0,463532.0,0.0,0.0,0.0,0.0,0.0,506597.0,41996.0,6147811.0,1316836.0,0.0,0.0,2573587.0,0.0,444111.0,328501.0,1268095.0,0.0,74008.0,454610.0,4262.0,0.0,2297022.0,1740940.0,0.0,284237.0,0.0,0.0,271845.0,0.0,0.0,1672673.0,3852511.0,3182716.0,35348.0,0.0,320849.0,333876.0,-20278.0,0.0,0.0,0.0
3Q2009,2009,9,Good,9.682530403137207,8.584779739379883,8.880579948425293,9.59706974029541,18539641.333333332,4.4620669682820635,0.0,2221456.0,456683.0,0.0,1350365.0,10180.0,0.0,0.0,0.0,404228.0,807270.0,0.0,0.0,449578.0,0.0,0.0,0.0,0.0,0.0,357692.0,64025.0,6236215.0,1298416.0,0.0,0.0,2696692.0,0.0,441293.0,396806.0,1247606.0,0.0,62153.0,545054.0,3780.0,0.0,2303467.0,1704359.0,0.0,310890.0,0.0,0.0,288218.0,0.0,0.0,1664278.0,3962945.0,3182716.0,35348.0,0.0,320849.0,453986.0,-29954.0,0.0,0.0,0.0
4Q2009,2009,12,Good,11.815600395202637,9.16981029510498,9.600359916687012,10.928199768066406,25403023.0,4.874072551727295,0.0,3037689.0,1102022.0,0.0,1569653.0,13199.0,0.0,0.0,0.0,352815.0,880204.0,0.0,0.0,538429.0,0.0,0.0,0.0,0.0,0.0,341775.0,24032.0,6416645.0,1168909.0,126.0,0.0,2670882.0,0.0,530414.0,464470.0,757471.0,0.0,391888.0,519012.0,7627.0,0.0,2946928.0,2355005.0,0.0,455024.0,0.0,0.0,136899.0,0.0,0.0,1641091.0,4268704.0,3182716.0,96656.0,0.0,1014195.0,5315.0,-30178.0,0.0,0.0,0.0
1Q2010,2010,3,Good,12.331600189208984,10.977499961853027,11.026800155639648,11.240400314331055,17140758.0,5.507299423217773,0.0,2917289.0,1136572.0,0.0,1459451.0,16537.0,0.0,0.0,0.0,304729.0,944780.0,0.0,0.0,522591.0,0.0,0.0,0.0,0.0,0.0,422189.0,23442.0,6446535.0,1154592.0,126.0,0.0,2523310.0,0.0,459181.0,370369.0,771314.0,0.0,394322.0,515314.0,12810.0,0.0,2874927.0,2224278.0,0.0,507990.0,0.0,0.0,142659.0,0.0,0.0,1667215.0,4421312.0,3182716.0,95599.0,0.0,1014195.0,143843.0,-15041.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,12.062100410461426,10.205100059509277,11.345600128173828,11.766300201416016,20711849.666666668,6.114415963490804,0.0,2474524.0,657974.0,0.0,1512072.0,18709.0,0.0,0.0,0.0,285769.0,1053920.0,0.0,0.0,528106.0,0.0,0.0,0.0,0.0,0.0,525814.0,22095.0,6561895.0,1137254.0,126.0,0.0,2030151.0,0.0,479000.0,430942.0,557602.0,0.0,93073.0,457212.0,12322.0,0.0,2948078.0,2267728.0,0.0,537042.0,0.0,0.0,143308.0,0.0,0.0,1696756.0,4574829.0,3182716.0,95599.0,0.0,1014195.0,271018.0,11301.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,12.719400405883789,11.309399604797363,11.667699813842773,12.029199600219727,21456609.666666668,6.9329352378845215,0.0,3148182.0,1260969.0,0.0,1518409.0,21458.0,0.0,0.0,0.0,347346.0,945359.0,0.0,0.0,536108.0,0.0,0.0,0.0,0.0,0.0,409251.0,25612.0,6750827.0,1121694.0,126.0,0.0,2312197.0,0.0,540637.0,499157.0,578797.0,0.0,97991.0,584514.0,11101.0,0.0,3329772.0,2786195.0,0.0,391893.0,0.0,0.0,151684.0,0.0,0.0,1737610.0,4612221.0,3182716.0,95599.0,0.0,1014195.0,348540.0,-28829.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,12.850899696350098,11.559200286865234,11.973299980163574,12.722700119018555,20830004.666666668,7.098098119099935,12810115.0,2874677.0,1126449.0,0.0,898288.0,28112.0,0.0,540314.0,5254.0,276260.0,1567868.0,0.0,0.0,479812.0,0.0,0.0,778680.0,937.0,0.0,308439.0,37271.0,5303587.0,3026712.0,0.0,12810115.0,2525410.0,50450.0,626380.0,609891.0,607431.0,0.0,0.0,573372.0,57886.0,0.0,3829584.0,2778475.0,0.0,389217.0,289003.0,0.0,372889.0,0.0,0.0,1900643.0,4554478.0,3182716.0,88984.0,0.0,1386620.0,0.0,0.0,0.0,-103842.0,0.0
1Q2011,2011,3,Bad,13.196000099182129,11.638099670410156,12.735799789428711,13.196000099182129,20949181.0,7.239288806915283,12614391.0,2647692.0,1015491.0,0.0,945002.0,29097.0,0.0,398107.0,3896.0,256099.0,1587016.0,0.0,0.0,500903.0,0.0,0.0,776023.0,764.0,0.0,309326.0,34899.0,5337188.0,3007596.0,0.0,12614391.0,2173120.0,60417.0,585805.0,420844.0,517630.0,0.0,0.0,530716.0,57708.0,0.0,3781950.0,2728259.0,0.0,399576.0,291409.0,0.0,362706.0,0.0,0.0,1923702.0,4735619.0,3182716.0,88984.0,0.0,1386620.0,187742.0,-110443.0,0.0,0.0,0.0
2Q2011,2011,6,Bad,13.514800071716309,12.058799743652344,13.31760025024414,12.35789966583252,19581265.0,7.862200101216634,12411318.0,2424448.0,755309.0,0.0,940925.0,30088.0,0.0,446274.0,3352.0,248500.0,1608532.0,0.0,0.0,543518.0,0.0,0.0,728977.0,676.0,0.0,335361.0,36897.0,5372464.0,2968977.0,0.0,12411318.0,2038333.0,41222.0,541801.0,445758.0,521896.0,0.0,104345.0,325753.0,57558.0,0.0,3775216.0,2729215.0,0.0,424082.0,269487.0,0.0,352432.0,0.0,0.0,1918303.0,4679466.0,3182716.0,88984.0,0.0,1147942.0,316540.0,-56716.0,0.0,0.0,0.0
3Q2011,2011,9,Bad,13.094099998474121,11.069499969482422,12.403900146484375,12.489299774169922,44818607.333333336,8.221687952677408,12687249.0,2609832.0,950197.0,0.0,941581.0,53966.0,0.0,435553.0,2522.0,226013.0,1615361.0,0.0,0.0,573399.0,0.0,0.0,752095.0,586.0,7.0,289274.0,34193.0,5458495.0,2969368.0,0.0,12687249.0,2199910.0,55459.0,606272.0,506936.0,523254.0,0.0,0.0,449716.0,58273.0,0.0,3779541.0,2786975.0,0.0,421723.0,284384.0,0.0,286459.0,0.0,0.0,1945650.0,4762148.0,3182716.0,88984.0,0.0,1147942.0,408879.0,0.0,0.0,-66373.0,0.0
4Q2011,2011,12,Bad,13.685700416564941,11.674200057983398,12.472900390625,13.639699935913086,41807471.333333336,8.306769212086996,13662280.0,2714873.0,895868.0,0.0,977961.0,67559.0,0.0,519210.0,4887.0,249388.0,1685649.0,0.0,0.0,564891.0,0.0,0.0,838324.0,496.0,2223.0,279715.0,37082.0,5659533.0,3565143.0,0.0,13662280.0,2688197.0,59518.0,703742.0,550776.0,579721.0,0.0,0.0,602278.0,192162.0,0.0,4426445.0,3033865.0,0.0,413728.0,515037.0,0.0,463815.0,0.0,0.0,1942624.0,4605014.0,3182716.0,88984.0,0.0,1507656.0,0.0,0.0,0.0,-174342.0,0.0
1Q2012,2012,3,Bad,14.461299896240234,12.66349983215332,13.685700416564941,13.764599800109863,43824205.666666664,8.90505313873291,13579673.0,2502407.0,859354.0,0.0,1048120.0,92901.0,0.0,283482.0,4729.0,213821.0,1774893.0,0.0,0.0,642758.0,0.0,0.0,844349.0,611.0,2127.0,285048.0,38791.0,5769901.0,3493681.0,0.0,13579673.0,2341245.0,67870.0,701278.0,351571.0,533779.0,0.0,0.0,540399.0,146348.0,0.0,4508345.0,3105669.0,0.0,410891.0,526866.0,0.0,464919.0,0.0,0.0,1986897.0,4743186.0,3182716.0,88984.0,0.0,1507656.0,142033.0,0.0,0.0,-178203.0,0.0
2Q2012,2012,6,Bad,14.13599967956543,12.068699836730957,13.75469970703125,12.709500312805176,31742604.333333332,8.593929608662924,13383533.0,2391143.0,699342.0,0.0,1029013.0,100696.0,0.0,321002.0,4128.0,236962.0,1605824.0,0.0,0.0,581429.0,0.0,0.0,726947.0,955.0,2452.0,294041.0,36487.0,5893093.0,3456986.0,0.0,13383533.0,2381213.0,43936.0,727500.0,382660.0,548824.0,0.0,0.0,591029.0,87264.0,0.0,4475598.0,3232461.0,0.0,389177.0,416740.0,0.0,437220.0,0.0,0.0,1930687.0,4596035.0,3182716.0,138842.0,0.0,1268407.0,181474.0,0.0,0.0,-175404.0,0.0
3Q2012,2012,9,Bad,13.695500373840332,11.496800422668457,12.699700355529785,12.689800262451172,31826481.0,8.735466639200846,13921324.0,2743809.0,911353.0,0.0,1113546.0,113227.0,0.0,369021.0,2650.0,234012.0,1676897.0,0.0,0.0,615715.0,0.0,0.0,740985.0,431.0,28223.0,291543.0,39905.0,6032489.0,3428224.0,0.0,13921324.0,2307731.0,60333.0,800131.0,441722.0,479526.0,0.0,0.0,440490.0,85529.0,0.0,5039812.0,3765155.0,0.0,419773.0,415517.0,0.0,439367.0,0.0,0.0,1969219.0,4604562.0,3182716.0,138384.0,0.0,1268407.0,190939.0,0.0,0.0,-175884.0,0.0
4Q2012,2012,12,Bad,13.005399703979492,11.536199569702148,12.680000305175781,12.315199851989746,36984081.666666664,8.29736328125,14429843.0,2718661.0,572378.0,0.0,1362988.0,109609.0,0.0,404812.0,957.0,267917.0,1926002.0,0.0,0.0,751896.0,0.0,0.0,749871.0,0.0,69488.0,354747.0,100668.0,6259530.0,3424982.0,0.0,14429843.0,3066115.0,67660.0,1033442.0,502642.0,800741.0,0.0,0.0,569689.0,91941.0,0.0,5013525.0,3480087.0,0.0,453493.0,387391.0,0.0,692554.0,0.0,0.0,1886860.0,4463343.0,3182716.0,137926.0,0.0,1194422.0,0.0,0.0,0.0,-51721.0,0.0
1Q2013,2013,3,Bad,13.123700141906738,11.112199783325195,12.315199851989746,12.571499824523926,45071095.333333336,8.217315991719564,13500567.0,2886795.0,936456.0,0.0,1518833.0,42337.0,0.0,151089.0,4518.0,233562.0,1911423.0,0.0,0.0,787928.0,0.0,0.0,610560.0,0.0,159746.0,353189.0,706354.0,4617451.0,3378544.0,0.0,13500567.0,3380087.0,74596.0,1005586.0,265027.0,1403128.0,0.0,0.0,540499.0,91251.0,0.0,3651704.0,2177054.0,0.0,373963.0,379790.0,0.0,720897.0,0.0,0.0,1943314.0,4525462.0,3182716.0,137523.0,0.0,1194422.0,64218.0,0.0,0.0,-53417.0,0.0
2Q2013,2013,6,Bad,13.074399948120117,9.899450302124023,12.315199851989746,11.17140007019043,43337323.0,8.23311964670817,13620847.0,2874246.0,1175249.0,0.0,1178919.0,43197.0,0.0,156608.0,3667.0,316606.0,1965619.0,0.0,0.0,821250.0,0.0,0.0,608010.0,1050.0,162950.0,372359.0,695702.0,4706093.0,3379187.0,0.0,13620847.0,3485642.0,49422.0,849119.0,280126.0,1311142.0,0.0,358547.0,547021.0,90265.0,0.0,4096870.0,2586367.0,0.0,364081.0,376290.0,0.0,770132.0,0.0,0.0,1710611.0,4327724.0,3182716.0,137121.0,0.0,938944.0,117222.0,0.0,0.0,-48279.0,0.0
3Q2013,2013,9,Bad,11.891200065612793,10.284000396728516,10.984000205993652,11.891200065612793,41276978.666666664,7.966874758402507,13669569.0,2736867.0,954838.0,0.0,1163949.0,18467.0,0.0,143713.0,2853.0,453047.0,1942623.0,0.0,0.0,851063.0,0.0,0.0,536268.0,891.0,166414.0,387987.0,683354.0,4959633.0,3347092.0,0.0,13669569.0,3504124.0,66576.0,754979.0,302651.0,1934015.0,0.0,44295.0,287004.0,114604.0,0.0,3888115.0,2347692.0,0.0,384547.0,379285.0,0.0,776591.0,0.0,0.0,1744962.0,4532368.0,3182716.0,136719.0,0.0,938944.0,316614.0,0.0,0.0,-42625.0,0.0
4Q2013,2013,12,Bad,12.778599739074707,10.92490005493164,11.920700073242188,11.191100120544434,35947199.333333336,8.277517636617025,14141494.0,4706944.0,924146.0,0.0,1136270.0,19581.0,0.0,195291.0,159.0,2431497.0,1933067.0,0.0,0.0,851311.0,0.0,0.0,552573.0,0.0,171074.0,358109.0,685920.0,4026216.0,2789347.0,0.0,14141494.0,4598037.0,65367.0,802129.0,351487.0,1132065.0,0.0,160718.0,162084.0,45688.0,1878499.0,3290284.0,2127381.0,0.0,366080.0,173720.0,0.0,623103.0,0.0,0.0,1679956.0,4573217.0,3182716.0,136318.0,0.0,1500066.0,0.0,0.0,0.0,-245883.0,0.0
1Q2014,2014,3,Bad,11.486900329589844,8.026049613952637,11.191100120544434,10.155799865722656,53935794.0,6.68374506632487,14610030.0,5217838.0,780131.0,0.0,1370075.0,22245.0,0.0,168286.0,5332.0,2871769.0,1946909.0,0.0,0.0,889410.0,0.0,0.0,530593.0,0.0,175560.0,351346.0,682560.0,4001709.0,2761014.0,0.0,14610030.0,4623372.0,73581.0,1185656.0,224564.0,799534.0,0.0,163129.0,197720.0,44409.0,1934779.0,3605609.0,2431632.0,0.0,381965.0,167657.0,0.0,624355.0,0.0,0.0,1713732.0,4667317.0,3182716.0,135917.0,0.0,1500066.0,99585.0,0.0,0.0,-250967.0,0.0
2Q2014,2014,6,Bad,11.112199783325195,8.844429969787598,10.21500015258789,10.698100090026855,44601182.333333336,7.279728730519612,13041108.0,3200129.0,1562138.0,0.0,1249926.0,25543.0,0.0,181810.0,4225.0,176487.0,2056837.0,0.0,0.0,929444.0,0.0,0.0,602344.0,0.0,180409.0,344640.0,1084403.0,3981188.0,2718551.0,0.0,13041108.0,3034813.0,49306.0,921336.0,263024.0,1093585.0,0.0,498681.0,164801.0,44080.0,0.0,3771380.0,2499819.0,0.0,370840.0,235393.0,0.0,665328.0,0.0,0.0,1681880.0,4553035.0,3182716.0,135515.0,0.0,1219245.0,283207.0,0.0,0.0,-267648.0,0.0
3Q2014,2014,9,Good,11.58549976348877,9.455750465393066,10.777000427246094,9.860010147094727,26859783.666666668,7.984115759531657,13095401.0,3307675.0,1397733.0,0.0,1398859.0,22807.0,0.0,146714.0,2012.0,339550.0,1968213.0,0.0,0.0,51031.0,0.0,0.0,579814.0,0.0,123714.0,1213654.0,1136631.0,3958768.0,2724114.0,0.0,13095401.0,3511547.0,63282.0,1050210.0,243884.0,1466474.0,0.0,459849.0,177624.0,50224.0,0.0,3198868.0,1939040.0,0.0,350636.0,240241.0,0.0,668951.0,0.0,0.0,1692489.0,4692497.0,3182716.0,135113.0,0.0,1219245.0,426215.0,0.0,0.0,-270792.0,0.0
