Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
2Q2009,2009,6,Bad,16.516300201416016,13.728799819946289,14.435600280761719,15.680100440979004,4714833.0,12.138648986816406,4938799.0,1352658.0,335018.0,0.0,626909.0,16558.0,0.0,0.0,0.0,374173.0,929118.0,0.0,0.0,753778.0,0.0,0.0,0.0,0.0,0.0,175340.0,4923.0,2287494.0,360964.0,3642.0,4938799.0,860687.0,0.0,257137.0,87706.0,243256.0,0.0,23473.0,214347.0,34768.0,0.0,2291644.0,1452413.0,0.0,597911.0,0.0,0.0,241320.0,0.0,0.0,627566.0,1158902.0,907315.0,3705.0,0.0,110866.0,137016.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Bad,19.36359977722168,15.032999992370605,15.680100440979004,17.422300338745117,5763459.0,13.035210609436035,5276223.0,1665561.0,563821.0,0.0,635624.0,15546.0,0.0,0.0,0.0,450570.0,865527.0,0.0,0.0,761696.0,0.0,0.0,0.0,0.0,0.0,103831.0,4996.0,2374641.0,361950.0,3548.0,5276223.0,983063.0,0.0,296906.0,116715.0,288899.0,0.0,23357.0,219765.0,37421.0,0.0,2398590.0,1553115.0,0.0,607421.0,0.0,0.0,238054.0,0.0,0.0,667526.0,1227044.0,907467.0,4429.0,0.0,110866.0,204282.0,0.0,0.0,0.0,0.0
4Q2009,2009,12,Bad,18.766300201416016,16.148000717163086,17.492000579833984,17.32270050048828,3831614.0,13.181626001993815,5343320.0,1800290.0,647977.0,0.0,669048.0,9112.0,0.0,0.0,0.0,474153.0,739426.0,0.0,0.0,686074.0,0.0,0.0,0.0,0.0,0.0,53352.0,2209.0,2433821.0,364120.0,3454.0,5343320.0,1116407.0,0.0,324115.0,105090.0,305029.0,0.0,122211.0,218094.0,41868.0,0.0,2446177.0,1611930.0,0.0,680242.0,0.0,0.0,154005.0,0.0,0.0,599195.0,1181541.0,907485.0,5003.0,0.0,269053.0,0.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Bad,18.318300247192383,15.441100120544434,18.01959991455078,15.570599555969238,5726996.0,12.899063428243002,3429979.0,1028767.0,523413.0,0.0,341835.0,5845.0,0.0,0.0,0.0,157674.0,788906.0,0.0,0.0,406425.0,0.0,0.0,0.0,0.0,0.0,382481.0,-2888.0,1317835.0,295498.0,1861.0,3429979.0,619347.0,0.0,116087.0,48744.0,294144.0,0.0,70468.0,77137.0,12767.0,0.0,1293373.0,1043576.0,0.0,247183.0,0.0,0.0,2614.0,0.0,0.0,271666.0,1245593.0,925996.0,11223.0,0.0,269052.0,39322.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,16.31719970703125,13.708900451660156,15.530699729919434,16.177900314331055,5965708.666666667,12.323753674825033,3059321.0,1014280.0,490780.0,0.0,374702.0,5570.0,0.0,0.0,0.0,143228.0,413165.0,0.0,0.0,403756.0,0.0,0.0,0.0,0.0,0.0,9409.0,-2888.0,1338980.0,293996.0,1788.0,3059321.0,548979.0,0.0,150193.0,49262.0,253917.0,0.0,433.0,78717.0,16457.0,0.0,1298988.0,1041995.0,0.0,255771.0,0.0,0.0,1222.0,0.0,0.0,295151.0,916203.0,566831.0,11304.0,0.0,269053.0,69015.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Good,18.149099349975586,9.955599784851074,16.27739906311035,10.204500198364258,5378444.333333333,10.029374122619629,3217092.0,1073256.0,444709.0,0.0,400654.0,5537.0,0.0,0.0,0.0,222356.0,417922.0,0.0,0.0,409260.0,0.0,0.0,0.0,0.0,0.0,8662.0,-2888.0,1432938.0,294149.0,1715.0,3217092.0,601296.0,0.0,174764.0,65790.0,244443.0,0.0,410.0,89193.0,26696.0,0.0,1301252.0,1015754.0,0.0,283520.0,0.0,0.0,1978.0,0.0,0.0,332972.0,981572.0,566831.0,11386.0,0.0,269053.0,134302.0,0.0,0.0,0.0,0.0
4Q2010,2010,12,Good,12.235400199890137,10.16469955444336,10.24429988861084,11.34939956665039,5040981.666666667,9.293951670328775,3276531.0,1098535.0,550077.0,0.0,489169.0,7965.0,0.0,51324.0,0.0,0.0,428949.0,0.0,0.0,58177.0,0.0,0.0,311521.0,0.0,0.0,59251.0,221.0,142245.0,1606581.0,0.0,3276531.0,666585.0,7651.0,174047.0,46402.0,257092.0,0.0,61154.0,82101.0,38138.0,0.0,1339029.0,1084609.0,0.0,135704.0,0.0,0.0,118716.0,0.0,0.0,0.0,1270917.0,566831.0,11936.0,0.0,692150.0,0.0,0.0,0.0,0.0,0.0
1Q2011,2011,3,Bad,12.693400382995605,11.150300025939941,11.399200439453125,12.693400382995605,2740357.6666666665,9.523284594217936,3030522.0,1115218.0,511855.0,0.0,406354.0,0.0,8030.0,51501.0,0.0,137478.0,379052.0,0.0,0.0,0.0,0.0,0.0,242224.0,0.0,0.0,136828.0,221.0,141217.0,1394814.0,0.0,3030522.0,707849.0,11798.0,144817.0,78950.0,261502.0,0.0,111618.0,72960.0,26204.0,0.0,1283542.0,1041182.0,0.0,117184.0,110404.0,0.0,14772.0,0.0,0.0,49527.0,989604.0,566831.0,13270.0,0.0,409503.0,0.0,0.0,0.0,0.0,0.0
2Q2011,2011,6,Good,13.589400291442871,10.980999946594238,12.842700004577637,11.847200393676758,3539656.3333333335,10.155245145161947,3038886.0,890145.0,300213.0,0.0,505299.0,7720.0,0.0,66493.0,0.0,10420.0,338014.0,0.0,0.0,67755.0,0.0,0.0,200812.0,0.0,0.0,69447.0,233380.0,140069.0,1437278.0,0.0,3038886.0,626422.0,9288.0,177473.0,57321.0,290977.0,0.0,492.0,66133.0,24738.0,0.0,1225252.0,1026861.0,0.0,73125.0,110976.0,0.0,14290.0,0.0,0.0,308633.0,878579.0,566831.0,13293.0,0.0,219962.0,78493.0,0.0,0.0,0.0,0.0
3Q2011,2011,9,Good,12.16569995880127,10.284099578857422,12.135899543762207,11.548500061035156,4518539.666666667,10.478031476338705,3224081.0,847232.0,218543.0,0.0,520663.0,8637.0,0.0,72532.0,0.0,26857.0,470708.0,0.0,0.0,68773.0,0.0,0.0,200808.0,0.0,0.0,201127.0,221.0,139012.0,1766908.0,0.0,3224081.0,655550.0,10231.0,176440.0,66469.0,295911.0,0.0,491.0,66902.0,39106.0,0.0,1306457.0,987620.0,0.0,66673.0,113536.0,0.0,138628.0,0.0,0.0,335877.0,926197.0,566831.0,13316.0,0.0,246930.0,99120.0,0.0,0.0,0.0,0.0
4Q2011,2011,12,Good,12.852700233459473,10.861599922180176,11.34939956665039,12.613699913024902,2750411.3333333335,10.534523328145346,3398831.0,1053617.0,242655.0,205745.0,527637.0,8752.0,0.0,68828.0,0.0,0.0,417150.0,0.0,0.0,69980.0,0.0,0.0,75911.0,0.0,0.0,271259.0,272.0,137749.0,1790043.0,0.0,3398831.0,787004.0,8249.0,189203.0,77109.0,342185.0,0.0,54816.0,79658.0,35784.0,0.0,1353284.0,1127211.0,0.0,79841.0,0.0,0.0,146232.0,0.0,0.0,0.0,1258543.0,566831.0,13339.0,0.0,678373.0,0.0,0.0,0.0,0.0,0.0
1Q2012,2012,3,Good,13.678999900817871,11.657999992370605,12.613699913024902,13.639200210571289,6839066.666666667,11.435715039571127,3351700.0,926474.0,140813.0,137403.0,570003.0,10495.0,0.0,67760.0,0.0,0.0,657041.0,0.0,0.0,67675.0,0.0,0.0,63388.0,0.0,0.0,525978.0,272.0,136750.0,1631163.0,0.0,3351700.0,855574.0,8607.0,190003.0,69527.0,404636.0,0.0,83564.0,62260.0,36977.0,0.0,1191990.0,974622.0,0.0,64012.0,0.0,0.0,153356.0,0.0,0.0,0.0,1304136.0,566831.0,14080.0,0.0,675124.0,48101.0,0.0,0.0,0.0,0.0
