Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2011,2011,3,Bad,14.095000267028809,10.739999771118164,13.324999809265137,12.125,7799073.333333333,7.160014788309733,1355470.0,806560.0,542383.0,0.0,223728.0,8153.0,0.0,21747.0,0.0,10549.0,33461.0,0.0,0.0,0.0,0.0,0.0,23390.0,0.0,0.0,10071.0,246.0,191355.0,323848.0,0.0,1355470.0,129532.0,34852.0,41811.0,21073.0,24206.0,6737.0,0.0,853.0,0.0,0.0,186482.0,54095.0,23645.0,60291.0,38510.0,0.0,9941.0,0.0,0.0,0.0,1039456.0,832058.0,1447.0,2884.0,203067.0,0.0,0.0,0.0,0.0,0.0
2Q2011,2011,6,Good,13.039999961853027,10.84000015258789,12.345000267028809,11.364999771118164,5730690.0,7.2483852704366045,1479238.0,844508.0,565297.0,0.0,242029.0,9931.0,0.0,17815.0,0.0,9436.0,33947.0,0.0,0.0,0.0,0.0,0.0,23220.0,0.0,0.0,10727.0,246.0,221611.0,378926.0,0.0,1479238.0,157870.0,37721.0,48878.0,22941.0,24322.0,23184.0,0.0,824.0,0.0,0.0,248416.0,95231.0,37624.0,57496.0,45004.0,0.0,13061.0,0.0,0.0,0.0,1072952.0,832058.0,1682.0,2671.0,236541.0,0.0,0.0,0.0,0.0,0.0
3Q2011,2011,9,Bad,11.949999809265137,9.0,11.425000190734863,11.220000267028809,9254255.333333334,6.680002212524414,2377886.0,501363.0,88075.0,0.0,340747.0,12430.0,0.0,45654.0,0.0,14457.0,90683.0,0.0,0.0,0.0,0.0,0.0,66226.0,0.0,0.0,24457.0,250.0,313656.0,1471934.0,0.0,2377886.0,380418.0,54684.0,52917.0,34737.0,34292.0,201113.0,0.0,2675.0,0.0,0.0,368767.0,114336.0,37112.0,70490.0,107293.0,0.0,39536.0,0.0,0.0,0.0,1628701.0,832058.0,548189.0,2442.0,246012.0,0.0,0.0,0.0,0.0,0.0
4Q2011,2011,12,Bad,11.390000343322754,10.125,11.0,10.699999809265137,8804133.333333334,6.391794363657634,2831721.0,873980.0,486006.0,0.0,312995.0,17651.0,0.0,46775.0,0.0,10553.0,108230.0,0.0,0.0,0.0,0.0,0.0,75703.0,0.0,0.0,32527.0,251.0,375625.0,1473635.0,0.0,2831721.0,380033.0,43000.0,75441.0,28227.0,36115.0,195734.0,0.0,1516.0,0.0,0.0,819807.0,553382.0,35104.0,71598.0,113565.0,0.0,46158.0,0.0,0.0,0.0,1631881.0,1378124.0,2561.0,2236.0,248960.0,0.0,0.0,0.0,0.0,0.0
1Q2012,2012,3,Bad,13.050000190734863,10.654999732971191,10.890000343322754,12.050000190734863,9709200.0,7.174074172973633,2700925.0,656590.0,251537.0,0.0,327193.0,11209.0,0.0,47959.0,0.0,18692.0,114197.0,0.0,0.0,0.0,0.0,0.0,86194.0,0.0,0.0,28003.0,246.0,414068.0,1515824.0,0.0,2700925.0,212412.0,51439.0,64679.0,31956.0,46226.0,14929.0,0.0,3183.0,0.0,0.0,824486.0,548562.0,29150.0,65875.0,125248.0,0.0,55651.0,0.0,0.0,0.0,1664027.0,1378124.0,2979.0,2039.0,280885.0,0.0,0.0,0.0,0.0,0.0
2Q2012,2012,6,Bad,13.050000190734863,11.600000381469727,12.225000381469727,12.75,5881333.333333333,7.451235930124919,2728297.0,663681.0,235860.0,0.0,325379.0,10824.0,0.0,61485.0,0.0,30133.0,117640.0,0.0,0.0,0.0,0.0,0.0,96665.0,0.0,0.0,20975.0,246.0,420487.0,1526243.0,0.0,2728297.0,265124.0,59266.0,61824.0,34297.0,89817.0,18790.0,0.0,1130.0,0.0,0.0,764851.0,482396.0,25844.0,58450.0,143163.0,0.0,54998.0,0.0,0.0,0.0,1698322.0,1379747.0,2802.0,1847.0,249959.0,63967.0,0.0,0.0,0.0,0.0
3Q2012,2012,9,Bad,13.585000038146973,10.619999885559082,12.635000228881836,12.125,10439133.333333334,6.828204949696858,2776765.0,704601.0,238736.0,0.0,354994.0,11613.0,0.0,70664.0,0.0,28594.0,123899.0,0.0,0.0,0.0,0.0,0.0,98275.0,0.0,0.0,25624.0,246.0,418492.0,1529527.0,0.0,2776765.0,285591.0,67643.0,72154.0,33793.0,99967.0,10898.0,0.0,1136.0,0.0,0.0,786312.0,484326.0,24289.0,59629.0,161003.0,0.0,57065.0,0.0,0.0,0.0,1704862.0,1379747.0,3199.0,1624.0,248960.0,71332.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,13.029999732971191,10.885000228881836,12.145000457763672,11.524999618530273,9572066.666666666,7.106221357981364,2738159.0,662858.0,180798.0,0.0,359043.0,18838.0,0.0,79087.0,0.0,25092.0,121469.0,0.0,0.0,0.0,0.0,0.0,99740.0,0.0,0.0,21729.0,246.0,424288.0,1529298.0,0.0,2738159.0,243624.0,43102.0,70997.0,30492.0,88332.0,10574.0,0.0,127.0,0.0,0.0,788627.0,471731.0,24746.0,58238.0,182388.0,0.0,51524.0,0.0,0.0,0.0,1705908.0,1379747.0,3766.0,1476.0,320919.0,0.0,0.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,11.524999618530273,9.475000381469727,11.524999618530273,9.5,13820400.0,6.4264876047770185,3300963.0,1204315.0,675547.0,0.0,405907.0,13612.0,0.0,81812.0,0.0,27437.0,129958.0,0.0,0.0,0.0,0.0,0.0,108472.0,0.0,0.0,21486.0,9567.0,427059.0,1530064.0,0.0,3300963.0,274915.0,51726.0,83344.0,29869.0,100317.0,9260.0,0.0,399.0,0.0,0.0,1298014.0,971151.0,19077.0,55668.0,200019.0,0.0,52099.0,0.0,0.0,0.0,1728034.0,1379747.0,4334.0,1341.0,30499.0,312113.0,0.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,10.479999542236328,8.925000190734863,9.53499984741211,9.100000381469727,19244026.666666668,5.823972066243489,3280353.0,1187478.0,635420.0,0.0,428232.0,14015.0,0.0,89796.0,0.0,20015.0,128613.0,0.0,0.0,0.0,0.0,0.0,105842.0,0.0,0.0,22771.0,9927.0,427332.0,1527003.0,0.0,3280353.0,216653.0,61421.0,82259.0,29244.0,34043.0,9455.0,0.0,231.0,0.0,0.0,1312406.0,968342.0,18460.0,53484.0,218290.0,0.0,53830.0,0.0,0.0,0.0,1751294.0,1379747.0,5506.0,1208.0,320919.0,43914.0,0.0,0.0,0.0,0.0
