Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,19.34000015258789,10.930000305175781,15.260000228881836,12.899999618530273,21418900.0,11.541250864664713,0.0,1548402.0,117238.0,0.0,1374550.0,0.0,0.0,0.0,0.0,56614.0,5182164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4542139.0,640025.0,0.0,505.0,535621.0,0.0,0.0,452076.0,0.0,106.0,984.0,439680.0,1964.0,0.0,9342.0,0.0,0.0,5853721.0,5737294.0,0.0,98015.0,0.0,0.0,18412.0,0.0,0.0,0.0,0.0,0.0,194322.0,0.0,2390973.0,96010.0,1120245.0,0.0,0.0,0.0
2Q2009,2009,6,Good,22.979999542236328,12.600000381469727,12.640000343322754,20.5,51068200.0,16.207683245340984,0.0,1436364.0,60797.0,0.0,1327844.0,0.0,0.0,0.0,0.0,47723.0,4260901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750001.0,510900.0,0.0,523.0,535621.0,0.0,0.0,397100.0,0.0,49.0,42152.0,344243.0,1805.0,0.0,8851.0,0.0,0.0,5168877.0,5067008.0,0.0,94516.0,0.0,0.0,7353.0,0.0,0.0,0.0,0.0,0.0,18270.0,0.0,2571324.0,14537.0,-256701.0,0.0,0.0,0.0
3Q2009,2009,9,Bad,25.110000610351562,18.280000686645508,20.6200008392334,23.75,115208166.66666667,19.32596778869629,0.0,1445536.0,16752.0,0.0,1385382.0,0.0,0.0,0.0,0.0,43402.0,3719911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3538706.0,181205.0,0.0,543.0,535621.0,0.0,0.0,491800.0,0.0,169.0,52600.0,391900.0,39813.0,0.0,7318.0,0.0,0.0,4752788.0,4653093.0,0.0,96711.0,0.0,0.0,2984.0,0.0,0.0,0.0,0.0,0.0,20820.0,0.0,2562647.0,615383.0,-858361.0,0.0,0.0,0.0
4Q2009,2009,12,Bad,30.399999618530273,22.65999984741211,23.649999618530273,29.139999389648438,119949666.66666667,23.570484161376953,0.0,1419487.0,203.0,0.0,458205.0,0.0,0.0,0.0,0.0,961079.0,144060.0,0.0,0.0,126671.0,0.0,0.0,0.0,0.0,16224.0,1165.0,0.0,546.0,546138.0,0.0,0.0,650081.0,0.0,255.0,53857.0,261761.0,102989.0,229378.0,1841.0,0.0,0.0,2328797.0,2239663.0,0.0,86088.0,0.0,0.0,3046.0,0.0,0.0,0.0,0.0,0.0,23253.0,0.0,3326549.0,0.0,-931621.0,0.0,0.0,0.0
1Q2010,2010,3,Bad,30.3799991607666,23.90999984741211,29.299999237060547,28.899999618530273,58490433.333333336,23.224363327026367,0.0,0.0,4458459.0,0.0,3994751.0,6220345.0,0.0,0.0,0.0,325770.0,3236337.0,0.0,0.0,497063.0,0.0,0.0,0.0,0.0,0.0,2739274.0,9789762.0,0.0,997882.0,0.0,0.0,5013887.0,0.0,2180287.0,712407.0,1351920.0,0.0,121736.0,639301.0,8236.0,0.0,0.0,0.0,0.0,4113864.0,0.0,0.0,574815.0,0.0,0.0,3618536.0,0.0,0.0,-167482.0,0.0,211801.0,6049772.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,31.8799991607666,22.510000228881836,29.200000762939453,23.59000015258789,68179858.0,22.206431070963543,0.0,0.0,4270502.0,0.0,4267536.0,7181048.0,0.0,0.0,0.0,300694.0,3205524.0,0.0,0.0,371832.0,0.0,0.0,0.0,0.0,0.0,2833692.0,9893863.0,0.0,969668.0,0.0,0.0,5283109.0,0.0,2315447.0,703290.0,1482827.0,0.0,16203.0,754143.0,11199.0,0.0,0.0,0.0,0.0,3926041.0,0.0,0.0,620352.0,0.0,0.0,3794693.0,0.0,0.0,-165519.0,0.0,214844.0,6637685.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,27.079999923706055,22.530000686645508,23.489999771118164,22.700000762939453,98844802.33333333,20.703888575236004,0.0,0.0,1636999.0,0.0,4161060.0,7205281.0,0.0,0.0,0.0,381014.0,3090665.0,0.0,0.0,381974.0,0.0,0.0,0.0,0.0,0.0,2708691.0,9436848.0,0.0,965918.0,0.0,0.0,6110813.0,0.0,2007761.0,706587.0,2481698.0,0.0,43052.0,856411.0,15304.0,0.0,0.0,0.0,0.0,3940750.0,0.0,0.0,656217.0,0.0,0.0,0.0,0.0,0.0,-164325.0,0.0,219802.0,6583579.0,0.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,23.6299991607666,19.399999618530273,22.979999542236328,22.670000076293945,127718700.0,18.70101038614909,42891260.0,12945944.0,1061034.0,1115461.0,3384825.0,6797785.0,0.0,586056.0,0.0,783.0,3155313.0,26797.0,0.0,212180.0,0.0,0.0,1579011.0,0.0,0.0,1337325.0,1283522.0,16171560.0,9334921.0,0.0,42891260.0,5021900.0,475237.0,1783274.0,524967.0,1693037.0,0.0,90289.0,425905.0,29191.0,0.0,17721743.0,12976958.0,0.0,951190.0,2270849.0,0.0,1522748.0,0.0,0.0,677173.0,19470443.0,15651352.0,-161405.0,0.0,5864497.0,0.0,-1884002.0,0.0,0.0,0.0
1Q2011,2011,3,Bad,24.780000686645508,20.170000076293945,23.059999465942383,20.280000686645508,108021721.33333333,18.60832913716634,42931610.0,13403304.0,1078466.0,1341211.0,3823810.0,6614218.0,0.0,0.0,0.0,545599.0,2998059.0,26194.0,0.0,193669.0,0.0,0.0,1416007.0,0.0,0.0,1362189.0,1307064.0,16027040.0,9196142.0,0.0,42931610.0,5611643.0,372501.0,2387699.0,639383.0,1728521.0,0.0,0.0,466150.0,17389.0,0.0,16933772.0,12506301.0,0.0,924320.0,1975539.0,0.0,1527611.0,0.0,0.0,1121662.0,19264534.0,15651352.0,144488.0,0.0,5057367.0,390803.0,-1979477.0,0.0,0.0,0.0
2Q2011,2011,6,Bad,19.09000015258789,15.279999732971191,18.610000610351562,16.299999237060547,85625332.66666667,15.418471018473307,45036098.0,15812927.0,1182403.0,2913252.0,4131916.0,7080608.0,0.0,0.0,0.0,504748.0,3275314.0,25107.0,0.0,238410.0,0.0,0.0,1315431.0,0.0,161186.0,1535180.0,1288299.0,15799108.0,8860448.0,0.0,45036098.0,5705141.0,520156.0,2817515.0,599788.0,1288915.0,0.0,0.0,456616.0,22151.0,0.0,14825153.0,10618602.0,11.0,830627.0,1885345.0,0.0,1490566.0,0.0,0.0,1463107.0,23042698.0,19249181.0,210440.0,0.0,5066478.0,757571.0,-2240974.0,0.0,0.0,0.0
