Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,25.5,14.399999618530273,20.600000381469727,16.899999618530273,21351766.666666668,15.308277448018393,9929192.0,54094.0,138.0,0.0,52559.0,0.0,0.0,0.0,0.0,1397.0,70514.0,0.0,0.0,69872.0,0.0,0.0,0.0,0.0,642.0,0.0,8716353.0,994.0,1087237.0,0.0,9929192.0,13547.0,0.0,3.0,371.0,11139.0,752.0,0.0,1282.0,0.0,0.0,1396928.0,1339043.0,0.0,57524.0,0.0,0.0,361.0,0.0,0.0,0.0,8518717.0,6881998.0,89582.0,0.0,1031137.0,43378.0,472622.0,0.0,0.0,0.0
2Q2009,2009,6,Good,29.290000915527344,16.40999984741211,16.75,25.799999237060547,26167566.666666668,20.840340932210285,9217837.0,22756.0,177.0,0.0,21746.0,0.0,0.0,0.0,0.0,833.0,72607.0,0.0,0.0,72321.0,0.0,0.0,0.0,0.0,0.0,286.0,8034264.0,973.0,1087237.0,0.0,9217837.0,15928.0,0.0,3.0,1431.0,11311.0,1967.0,0.0,1216.0,0.0,0.0,1370124.0,1312137.0,0.0,57623.0,0.0,0.0,364.0,0.0,0.0,0.0,7831785.0,6881998.0,8354.0,0.0,1114672.0,-10915.0,-162324.0,0.0,0.0,0.0
3Q2009,2009,9,Bad,31.290000915527344,22.920000076293945,25.969999313354492,29.649999618530273,19806566.666666668,24.307973861694336,9235787.0,20794.0,150.0,0.0,19809.0,0.0,0.0,0.0,0.0,835.0,80682.0,0.0,0.0,80519.0,0.0,0.0,0.0,0.0,0.0,163.0,8046123.0,951.0,1087237.0,0.0,9235787.0,18927.0,0.0,2.0,1084.0,11481.0,5325.0,0.0,1035.0,0.0,0.0,1389124.0,1332137.0,0.0,56620.0,0.0,0.0,367.0,0.0,0.0,0.0,7827736.0,6881998.0,9520.0,0.0,1114672.0,265133.0,-443587.0,0.0,0.0,0.0
4Q2009,2009,12,Bad,38.099998474121094,28.299999237060547,29.559999465942383,34.91999816894531,23128200.0,28.768412907918293,9347591.0,213428.0,156.0,0.0,207125.0,0.0,0.0,0.0,0.0,6147.0,84820.0,0.0,0.0,83998.0,0.0,0.0,0.0,0.0,822.0,0.0,7961177.0,929.0,1087237.0,0.0,9347591.0,133001.0,0.0,65.0,21268.0,11653.0,752.0,97427.0,1836.0,0.0,0.0,1356977.0,1306591.0,0.0,50017.0,0.0,0.0,369.0,0.0,0.0,0.0,7857613.0,6881998.0,10632.0,0.0,1434007.0,0.0,-469024.0,0.0,0.0,0.0
1Q2010,2010,3,Bad,36.560001373291016,29.350000381469727,35.20000076293945,36.47999954223633,16514966.666666666,28.96985371907552,0.0,0.0,4461482.0,0.0,3998456.0,6220345.0,0.0,0.0,0.0,329229.0,3336678.0,0.0,0.0,497063.0,0.0,0.0,0.0,0.0,0.0,2839615.0,0.0,0.0,997882.0,0.0,0.0,4951546.0,0.0,2180336.0,713964.0,1360789.0,0.0,48173.0,648284.0,0.0,0.0,0.0,0.0,0.0,4855763.0,0.0,0.0,575724.0,0.0,0.0,0.0,8622565.0,6881998.0,-69861.0,0.0,104142.0,2282031.0,-575745.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,39.5,27.549999237060547,36.58000183105469,29.209999084472656,16716386.333333334,27.332439422607422,0.0,0.0,4274185.0,0.0,4279623.0,7181048.0,0.0,0.0,0.0,302090.0,3309827.0,0.0,0.0,371832.0,0.0,0.0,0.0,0.0,0.0,2937995.0,0.0,0.0,969668.0,0.0,0.0,5294153.0,0.0,2315513.0,706496.0,1488826.0,0.0,16626.0,766692.0,0.0,0.0,0.0,0.0,0.0,4684791.0,0.0,0.0,621266.0,0.0,0.0,0.0,8766704.0,6881998.0,-69861.0,0.0,105833.0,2537740.0,-689006.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,32.86000061035156,26.799999237060547,29.299999237060547,27.31999969482422,17042096.666666668,24.947563807169598,0.0,0.0,1641456.0,0.0,4169860.0,7205281.0,0.0,0.0,0.0,384044.0,3200573.0,0.0,0.0,381974.0,0.0,0.0,0.0,0.0,0.0,2818599.0,0.0,0.0,965918.0,0.0,0.0,6111718.0,0.0,2007798.0,708556.0,2482977.0,0.0,39201.0,873186.0,0.0,0.0,0.0,0.0,0.0,4716955.0,0.0,0.0,657419.0,0.0,0.0,0.0,8567941.0,6881998.0,-69861.0,0.0,-754032.0,2488271.0,21565.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,27.899999618530273,23.139999389648438,27.5,26.799999237060547,24897900.0,22.1023006439209,43116704.0,12972141.0,1062247.0,1120363.0,3388454.0,6797785.0,0.0,602509.0,0.0,783.0,3260168.0,26797.0,0.0,211851.0,0.0,0.0,1683813.0,0.0,0.0,1337707.0,1283716.0,16172403.0,9428277.0,0.0,43116704.0,5011638.0,476136.0,1783390.0,526732.0,1683865.0,0.0,84323.0,428001.0,29191.0,0.0,19815137.0,14279761.0,0.0,1691232.0,2320237.0,0.0,1523908.0,0.0,0.0,10460212.0,7829716.0,6881998.0,102326.0,0.0,1683083.0,0.0,-837690.0,0.0,0.0,0.0
1Q2011,2011,3,Bad,29.479999542236328,23.530000686645508,27.34000015258789,23.920000076293945,23529822.666666668,21.815292994181316,43165995.0,13428925.0,1079377.0,1346614.0,3827263.0,6614218.0,0.0,0.0,0.0,561453.0,3112454.0,26194.0,0.0,193226.0,0.0,0.0,1530596.0,401502.0,0.0,960936.0,1307258.0,16027862.0,9289498.0,0.0,43165995.0,5628033.0,372832.0,2387751.0,640961.0,1742920.0,0.0,0.0,466180.0,17389.0,0.0,19039044.0,13803177.0,0.0,1682214.0,2024881.0,0.0,1528771.0,0.0,0.0,10900579.0,7598341.0,6881998.0,75290.0,0.0,1371693.0,152388.0,-883027.0,0.0,0.0,0.0
2Q2011,2011,6,Good,24.43000030517578,18.90999984741211,24.170000076293945,20.0,25300651.333333332,18.848119099934895,45242786.0,15835527.0,1183614.0,2919645.0,4135393.0,7080608.0,0.0,0.0,0.0,516267.0,3366394.0,25107.0,0.0,238258.0,0.0,0.0,1406186.0,527767.0,160957.0,1008119.0,1288492.0,15799910.0,8952460.0,0.0,45242786.0,5713290.0,520702.0,2817546.0,602531.0,1292466.0,0.0,0.0,457894.0,22151.0,0.0,16933812.0,11900677.0,158.0,1606852.0,1934113.0,0.0,1492012.0,0.0,0.0,14336641.0,8259039.0,6881998.0,105499.0,0.0,1964895.0,298595.0,-991947.0,0.0,0.0,0.0
