Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,7.2395501136779785,5.442150115966797,6.490630149841309,7.1646599769592285,2308058.3333333335,5.1489817301432295,1482205.0,301392.0,245218.0,0.0,33364.0,660.0,0.0,0.0,0.0,22150.0,69181.0,0.0,0.0,5254.0,0.0,0.0,0.0,0.0,22902.0,41025.0,2570.0,1020893.0,88169.0,0.0,1482205.0,176751.0,0.0,6922.0,9368.0,19093.0,0.0,47363.0,57094.0,36911.0,0.0,343569.0,243259.0,34691.0,30341.0,0.0,0.0,35278.0,0.0,0.0,169.0,961716.0,420230.0,456250.0,0.0,85236.0,0.0,0.0,0.0,0.0,0.0
2Q2009,2009,6,Good,9.870759963989258,6.855110168457031,7.014880180358887,9.386460304260254,3385478.3333333335,7.419902801513672,1476604.0,265122.0,204274.0,0.0,34195.0,751.0,0.0,0.0,0.0,25902.0,69124.0,0.0,0.0,5299.0,0.0,0.0,0.0,0.0,21064.0,42761.0,1551.0,1052638.0,88169.0,0.0,1476604.0,83995.0,0.0,7880.0,11793.0,14421.0,0.0,0.0,44939.0,4962.0,0.0,408299.0,264832.0,34804.0,41752.0,0.0,0.0,66911.0,0.0,0.0,180.0,984130.0,420230.0,456930.0,0.0,68410.0,38560.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Good,14.004799842834473,8.952079772949219,9.461350440979004,13.880000114440918,4481590.333333333,10.169318199157715,1529749.0,296961.0,230516.0,0.0,37413.0,757.0,0.0,0.0,0.0,28275.0,77883.0,0.0,0.0,5426.0,0.0,0.0,0.0,0.0,21128.0,51329.0,980.0,1065756.0,88169.0,0.0,1529749.0,89060.0,0.0,6479.0,14869.0,22384.0,0.0,457.0,38275.0,6596.0,0.0,436732.0,290236.0,34807.0,43745.0,0.0,0.0,67944.0,0.0,0.0,150.0,1003807.0,420230.0,457220.0,0.0,68260.0,58097.0,0.0,0.0,0.0,0.0
4Q2009,2009,12,Good,16.226600646972656,12.6766996383667,13.829999923706055,15.877099990844727,7723862.666666667,12.111143747965494,1964885.0,683129.0,626261.0,0.0,37171.0,692.0,0.0,0.0,0.0,19005.0,85004.0,0.0,0.0,4556.0,0.0,0.0,0.0,0.0,24896.0,55552.0,649.0,1096710.0,99393.0,0.0,1964885.0,126032.0,0.0,7479.0,11191.0,16433.0,0.0,46140.0,37753.0,7036.0,0.0,458365.0,309582.0,35739.0,43583.0,0.0,0.0,69461.0,0.0,0.0,194.0,1380294.0,818125.0,457223.0,0.0,104946.0,0.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Good,17.12529945373535,13.610400199890137,16.975500106811523,14.953399658203125,5854303.0,12.330083847045898,2024950.0,660947.0,618027.0,0.0,25353.0,822.0,0.0,0.0,0.0,16745.0,74443.0,0.0,0.0,1402.0,0.0,0.0,0.0,0.0,32694.0,40347.0,1181346.0,8415.0,99799.0,0.0,2024950.0,149643.0,0.0,9693.0,15977.0,24255.0,0.0,46765.0,42407.0,10546.0,0.0,467204.0,316877.0,35474.0,46165.0,0.0,0.0,68688.0,0.0,0.0,205.0,1407898.0,818125.0,457622.0,0.0,104946.0,27205.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Good,16.471200942993164,13.38070011138916,15.222999572753906,15.827199935913086,4380956.666666667,12.984302838643393,2040551.0,619116.0,557788.0,0.0,41462.0,0.0,0.0,0.0,0.0,19866.0,84305.0,0.0,0.0,7825.0,0.0,0.0,0.0,0.0,38442.0,38038.0,1223755.0,9509.0,103866.0,0.0,2040551.0,89782.0,0.0,7810.0,16085.0,22180.0,0.0,0.0,37326.0,6381.0,0.0,504967.0,355315.0,35965.0,48970.0,0.0,0.0,64717.0,0.0,0.0,177.0,1445625.0,818125.0,457638.0,0.0,104946.0,64916.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,19.41200065612793,15.327899932861328,15.852100372314453,18.97260093688965,4708901.333333333,15.390469868977865,2172696.0,668308.0,592831.0,0.0,52982.0,0.0,0.0,0.0,0.0,22495.0,94918.0,0.0,0.0,22007.0,0.0,0.0,0.0,0.0,36776.0,36135.0,1293202.0,11280.0,104988.0,0.0,2172696.0,107650.0,0.0,9906.0,22144.0,27957.0,0.0,0.0,35829.0,11814.0,0.0,576406.0,417681.0,37028.0,56700.0,0.0,0.0,64997.0,0.0,0.0,188.0,1488452.0,818125.0,457585.0,0.0,104946.0,107796.0,0.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,22.407699584960938,18.772899627685547,19.337099075317383,20.72010040283203,7843968.666666667,17.83253288269043,2294331.0,723472.0,33258.0,594988.0,70940.0,0.0,0.0,13589.0,30.0,10667.0,50280.0,0.0,0.0,20781.0,0.0,0.0,8822.0,0.0,15603.0,5074.0,1400897.0,13743.0,105939.0,0.0,2294331.0,145979.0,12968.0,8741.0,12949.0,22587.0,0.0,35992.0,52742.0,0.0,0.0,660094.0,475804.0,40095.0,22640.0,664.0,0.0,66497.0,0.0,54394.0,157.0,1488101.0,823859.0,453818.0,0.0,210424.0,0.0,0.0,0.0,0.0,0.0
1Q2011,2011,3,Bad,21.4689998626709,16.481199264526367,20.844900131225586,20.09600067138672,5681056.0,16.186222394307453,2751091.0,1090149.0,23526.0,980763.0,66611.0,0.0,0.0,12883.0,2129.0,4237.0,46588.0,0.0,0.0,20552.0,0.0,0.0,8578.0,0.0,12489.0,4969.0,1496669.0,10821.0,106864.0,0.0,2751091.0,152486.0,6927.0,14759.0,15889.0,28239.0,0.0,0.0,86672.0,0.0,0.0,1079662.0,878330.0,53798.0,18857.0,977.0,0.0,65061.0,0.0,62639.0,166.0,1518777.0,823859.0,453006.0,0.0,210424.0,31488.0,0.0,0.0,0.0,0.0
2Q2011,2011,6,Bad,21.424100875854492,18.802900314331055,20.09600067138672,19.14739990234375,5414258.333333333,17.379199981689453,2825327.0,1041299.0,15334.0,927574.0,75206.0,0.0,0.0,15099.0,1933.0,6153.0,72232.0,0.0,0.0,31358.0,0.0,0.0,9590.0,0.0,26420.0,4864.0,1593087.0,10551.0,108158.0,0.0,2825327.0,197071.0,10124.0,16390.0,18981.0,103573.0,0.0,0.0,48003.0,0.0,0.0,1083300.0,877723.0,40859.0,28757.0,2643.0,0.0,60389.0,0.0,72929.0,178.0,1544778.0,823859.0,453470.0,0.0,192982.0,74467.0,0.0,0.0,0.0,0.0
