Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,3.709549903869629,2.7066900730133057,3.197890043258667,3.3206899166107178,100419636.33333333,2.9263013203938804,6011012.0,4253609.0,1759009.0,0.0,668783.0,1127896.0,0.0,0.0,0.0,697921.0,232936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82400.0,150536.0,0.0,501336.0,853998.0,169133.0,6011012.0,3484416.0,0.0,1331885.0,68045.0,1862446.0,0.0,42540.0,131381.0,48119.0,0.0,2099492.0,1931606.0,0.0,38288.0,0.0,0.0,129598.0,0.0,0.0,100440.0,326664.0,118365.0,3703.0,0.0,201930.0,2527.0,139.0,0.0,0.0,0.0
2Q2009,2009,6,Good,5.239419937133789,3.203000068664551,3.2285900115966797,4.6970601081848145,115279580.66666667,4.3802947998046875,5889976.0,4152469.0,1502144.0,0.0,901842.0,1066206.0,0.0,0.0,0.0,682277.0,213588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50196.0,163392.0,0.0,486889.0,879076.0,157954.0,5889976.0,3152749.0,0.0,1366808.0,96467.0,1490615.0,0.0,404.0,146526.0,51929.0,0.0,2332889.0,2163195.0,0.0,36994.0,0.0,0.0,132700.0,0.0,0.0,106384.0,297954.0,85261.0,3932.0,0.0,201930.0,6763.0,68.0,0.0,0.0,0.0
3Q2009,2009,9,Good,6.124589920043945,4.52308988571167,4.732870101928711,6.119480133056641,102116394.33333333,5.349993705749512,5903648.0,4189572.0,1432246.0,0.0,977318.0,1222899.0,0.0,0.0,0.0,557109.0,206261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50657.0,155604.0,0.0,473308.0,887702.0,146805.0,5903648.0,2736892.0,0.0,1326331.0,115192.0,1091211.0,0.0,319.0,150272.0,53567.0,0.0,2781487.0,2611263.0,0.0,46695.0,0.0,0.0,123529.0,0.0,0.0,106163.0,279106.0,85177.0,4113.0,0.0,174869.0,15090.0,-143.0,0.0,0.0,0.0
4Q2009,2009,12,Bad,8.242870330810547,5.45943021774292,6.155290126800537,7.946109771728516,112252972.33333333,6.606947422027588,6747984.0,4927916.0,2208863.0,0.0,999734.0,1263404.0,0.0,0.0,0.0,455915.0,272063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35735.0,236328.0,0.0,494536.0,917923.0,135546.0,6747984.0,3115660.0,0.0,1701718.0,161936.0,899189.0,0.0,51121.0,251639.0,50057.0,0.0,3145069.0,2954700.0,0.0,37028.0,0.0,0.0,153341.0,0.0,0.0,107139.0,380116.0,85052.0,5303.0,0.0,288465.0,0.0,1296.0,0.0,0.0,0.0
1Q2010,2010,3,Bad,8.13031005859375,6.267859935760498,8.027970314025879,6.779520034790039,99446273.0,6.265725771586101,6221174.0,4406166.0,1383439.0,0.0,1316609.0,1207167.0,0.0,0.0,0.0,498951.0,266441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35273.0,231168.0,0.0,485848.0,937693.0,125026.0,6221174.0,2775697.0,0.0,1331884.0,105230.0,1033676.0,0.0,48623.0,206300.0,49984.0,0.0,2926169.0,2733769.0,0.0,37502.0,0.0,0.0,154898.0,0.0,0.0,108740.0,410568.0,84960.0,5903.0,0.0,288465.0,30881.0,359.0,0.0,0.0,0.0
2Q2010,2010,6,Good,7.122330188751221,5.7050299644470215,6.815340042114258,6.692540168762207,89481463.33333333,6.124341646830241,6571166.0,4731310.0,1635142.0,0.0,1404352.0,1207711.0,0.0,0.0,0.0,484105.0,419704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33259.0,386445.0,0.0,509235.0,910917.0,0.0,6571166.0,3070911.0,0.0,1524022.0,112087.0,1139474.0,0.0,126.0,241250.0,53952.0,0.0,3138208.0,2944717.0,0.0,37293.0,0.0,0.0,156198.0,0.0,0.0,97545.0,264502.0,84927.0,6502.0,0.0,81290.0,90634.0,1149.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,8.201939582824707,6.278090000152588,6.651599884033203,7.920529842376709,90241216.0,7.2181447347005205,7061997.0,5104841.0,1674401.0,0.0,1617935.0,1312973.0,0.0,0.0,0.0,499532.0,450228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57785.0,392443.0,0.0,546702.0,960226.0,0.0,7061997.0,3587161.0,0.0,1699755.0,143304.0,1424984.0,0.0,249.0,258599.0,60270.0,0.0,3003911.0,2807000.0,0.0,40645.0,0.0,0.0,156266.0,0.0,0.0,106202.0,364723.0,120947.0,9890.0,0.0,81290.0,149473.0,3123.0,0.0,0.0,0.0
4Q2010,2010,12,Good,9.84949016571045,7.475379943847656,7.920529842376709,7.833539962768555,114814691.0,7.959276040395101,7996619.0,5851663.0,162428.0,1847890.0,1860251.0,1429537.0,0.0,275216.0,21877.0,254464.0,471689.0,5596.0,0.0,0.0,0.0,0.0,332889.0,0.0,58282.0,74922.0,0.0,638406.0,1034861.0,0.0,7996619.0,4444963.0,42709.0,2355521.0,224645.0,1363508.0,0.0,87679.0,0.0,370901.0,0.0,3000978.0,2779793.0,0.0,109231.0,0.0,0.0,111954.0,0.0,0.0,98006.0,452672.0,285054.0,-143133.0,0.0,308350.0,0.0,707.0,0.0,1694.0,0.0
1Q2011,2011,3,Good,8.094490051269531,6.283209800720215,7.925640106201172,6.984179973602295,83882482.66666667,6.461939175923665,7978379.0,5727240.0,135186.0,1732174.0,1819458.0,1426153.0,0.0,350515.0,34109.0,229645.0,475607.0,6284.0,0.0,0.0,0.0,0.0,330577.0,0.0,57804.0,80942.0,0.0,691282.0,1084250.0,0.0,7978379.0,4030500.0,45992.0,1994815.0,150020.0,1413694.0,0.0,87720.0,0.0,338259.0,0.0,3336807.0,3123123.0,0.0,101969.0,0.0,0.0,111715.0,0.0,0.0,97450.0,513622.0,285054.0,-144596.0,0.0,308350.0,62427.0,693.0,0.0,1694.0,0.0
2Q2011,2011,6,Good,8.531550407409668,6.656720161437988,7.224669933319092,7.90054988861084,75958547.33333333,7.323612213134766,8833823.0,6404822.0,170706.0,1989279.0,2269902.0,1320162.0,0.0,386833.0,25732.0,242208.0,511429.0,6515.0,0.0,0.0,0.0,0.0,357447.0,0.0,64056.0,83411.0,0.0,761133.0,1156439.0,0.0,8833823.0,4422716.0,51331.0,1900654.0,141309.0,1937335.0,0.0,178.0,0.0,391909.0,0.0,3397253.0,3180410.0,0.0,106164.0,0.0,0.0,110679.0,0.0,0.0,494516.0,519338.0,296361.0,-144213.0,0.0,259285.0,105810.0,401.0,0.0,1694.0,0.0
