Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,2.9471099376678467,2.066119909286499,2.849090099334717,2.355370044708252,133231083.33333333,0.8831108411153158,1382198.0,941312.0,83339.0,0.0,503513.0,268458.0,0.0,0.0,0.0,86002.0,43467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43467.0,63.0,350828.0,46528.0,0.0,1382198.0,579899.0,0.0,147529.0,43784.0,249604.0,0.0,40838.0,67774.0,30370.0,0.0,76249.0,28178.0,0.0,24828.0,0.0,0.0,23243.0,0.0,0.0,0.0,726050.0,400037.0,142527.0,0.0,172626.0,10860.0,0.0,0.0,0.0,0.0
2Q2009,2009,6,Good,4.136360168457031,2.289259910583496,2.3140499591827393,3.57354998588562,197545810.0,1.3379828135172527,1520286.0,1075577.0,194402.0,0.0,568202.0,231175.0,0.0,0.0,0.0,81798.0,44226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44226.0,63.0,356578.0,43842.0,0.0,1520286.0,658454.0,0.0,184040.0,89747.0,275466.0,0.0,260.0,74563.0,34378.0,0.0,83029.0,39680.0,0.0,19301.0,0.0,0.0,24048.0,0.0,0.0,0.0,778803.0,400132.0,147362.0,0.0,172626.0,58683.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Good,5.418179988861084,3.5305800437927246,3.651240110397339,5.133880138397217,156055716.66666666,1.8805579741795857,1560587.0,1121318.0,297666.0,0.0,504630.0,231765.0,0.0,0.0,0.0,87257.0,43507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43507.0,63.0,354209.0,41490.0,0.0,1560587.0,666276.0,0.0,209440.0,67733.0,278335.0,0.0,260.0,72389.0,38119.0,0.0,79659.0,37476.0,0.0,17192.0,0.0,0.0,24991.0,0.0,0.0,0.0,814652.0,402131.0,151793.0,0.0,172625.0,89278.0,-1175.0,0.0,0.0,0.0
4Q2009,2009,12,Good,7.0,4.811570167541504,5.133880138397217,6.504129886627197,155721151.66666666,2.3113239208857217,1921197.0,1477545.0,411370.0,0.0,768412.0,203693.0,0.0,0.0,0.0,94070.0,39904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39904.0,63.0,357572.0,46113.0,0.0,1921197.0,1062130.0,0.0,268072.0,141159.0,382417.0,0.0,136445.0,101743.0,32294.0,0.0,81427.0,35271.0,0.0,19879.0,0.0,0.0,26277.0,0.0,0.0,0.0,777640.0,402945.0,156184.0,0.0,220023.0,0.0,-1512.0,0.0,0.0,0.0
1Q2010,2010,3,Good,7.145450115203857,5.687600135803223,7.145450115203857,6.743800163269043,127037295.0,2.4645614624023438,1767865.0,1271048.0,389562.0,0.0,549681.0,282976.0,0.0,0.0,0.0,48829.0,83769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83769.0,18466.0,351053.0,43529.0,0.0,1767865.0,772959.0,0.0,212523.0,60288.0,308833.0,0.0,47649.0,109459.0,34207.0,0.0,86904.0,33067.0,3980.0,21079.0,0.0,0.0,28778.0,0.0,0.0,0.0,908002.0,403216.0,160013.0,0.0,308819.0,36903.0,-949.0,0.0,0.0,0.0
2Q2010,2010,6,Good,8.429750442504883,6.150410175323486,6.851240158081055,8.099169731140137,107401566.33333333,3.1389874617258706,1871880.0,1379239.0,359077.0,0.0,690169.0,285842.0,0.0,0.0,0.0,44151.0,90113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90113.0,63.0,360491.0,41974.0,0.0,1871880.0,862863.0,0.0,243175.0,93093.0,404329.0,0.0,369.0,82727.0,39170.0,0.0,93375.0,30862.0,0.0,30925.0,0.0,0.0,31588.0,0.0,0.0,0.0,915642.0,403629.0,164643.0,0.0,220023.0,127861.0,-514.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,10.543600082397461,7.775209903717041,8.135540008544922,10.543600082397461,121208035.33333333,4.3137736320495605,1905562.0,1404589.0,399221.0,0.0,641468.0,314362.0,0.0,0.0,0.0,49538.0,95611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95611.0,63.0,364293.0,41006.0,0.0,1905562.0,829365.0,0.0,241612.0,64754.0,388529.0,0.0,368.0,89683.0,44419.0,0.0,99401.0,28658.0,0.0,34495.0,0.0,0.0,36248.0,0.0,0.0,0.0,976796.0,405377.0,169102.0,0.0,220023.0,184859.0,-2565.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,12.356399536132812,8.928930282592773,10.583600044250488,10.254500389099121,10105718.333333334,4.855705897013347,2456015.0,1872921.0,683661.0,0.0,893748.0,275950.0,0.0,18610.0,952.0,0.0,103451.0,0.0,0.0,5872.0,0.0,0.0,75457.0,0.0,0.0,22122.0,63.0,412603.0,66977.0,0.0,2456015.0,977575.0,72108.0,318285.0,146674.0,279426.0,0.0,61167.0,82334.0,17581.0,0.0,457132.0,377076.0,0.0,36642.0,0.0,0.0,43414.0,0.0,0.0,0.0,1021308.0,408734.0,173570.0,0.0,441614.0,0.0,-2610.0,0.0,0.0,0.0
1Q2011,2011,3,Good,9.636360168457031,7.818180084228516,9.338839530944824,8.74215030670166,124429236.66666667,3.6609042485555015,2212079.0,1642597.0,504977.0,0.0,736088.0,378126.0,0.0,21178.0,2228.0,0.0,87464.0,0.0,0.0,5171.0,0.0,0.0,60954.0,0.0,0.0,21339.0,63.0,414185.0,67770.0,0.0,2212079.0,708507.0,74529.0,278361.0,49179.0,142587.0,0.0,84295.0,60772.0,18784.0,0.0,446786.0,374604.0,0.0,40018.0,0.0,0.0,32164.0,0.0,0.0,0.0,1056786.0,408734.0,178297.0,0.0,441614.0,29113.0,-972.0,0.0,0.0,0.0
2Q2011,2011,6,Bad,10.325599670410156,8.694210052490234,9.099169731140137,9.834710121154785,101393190.33333333,4.83771292368571,2228907.0,1441844.0,242212.0,0.0,838260.0,337473.0,0.0,22084.0,1815.0,0.0,97074.0,0.0,0.0,5428.0,0.0,0.0,68047.0,0.0,0.0,23599.0,63.0,453996.0,235930.0,0.0,2228907.0,755123.0,65042.0,289480.0,118906.0,145461.0,0.0,33068.0,83991.0,19175.0,0.0,456839.0,372383.0,0.0,51132.0,0.0,0.0,33324.0,0.0,0.0,0.0,1016945.0,413725.0,183845.0,0.0,297030.0,123737.0,-1392.0,0.0,0.0,0.0
