Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,4.466720104217529,2.697000026702881,3.266669988632202,4.166719913482666,45183285.666666664,2.2352807919184365,2940425.0,2172898.0,220377.0,0.0,878261.0,1015175.0,0.0,0.0,0.0,59085.0,695580.0,0.0,0.0,622406.0,0.0,0.0,0.0,0.0,54480.0,18694.0,3065.0,52119.0,16763.0,0.0,2940425.0,608301.0,0.0,47456.0,10980.0,106302.0,0.0,51322.0,389013.0,3228.0,0.0,636604.0,492309.0,0.0,127908.0,0.0,0.0,16387.0,0.0,0.0,92283.0,1603237.0,1321910.0,34041.0,0.0,198251.0,49021.0,14.0,0.0,0.0,0.0
2Q2009,2009,6,Good,8.72737979888916,4.181869983673096,4.2546000480651855,8.227370262145996,67900768.33333333,4.858472506205241,3593768.0,2823836.0,672613.0,0.0,1087706.0,1011498.0,0.0,0.0,0.0,52019.0,700192.0,0.0,0.0,607994.0,0.0,0.0,0.0,0.0,70507.0,21691.0,14.0,51355.0,18371.0,0.0,3593768.0,703316.0,0.0,40815.0,10835.0,166143.0,0.0,51322.0,429831.0,4370.0,0.0,607917.0,500780.0,0.0,85820.0,0.0,0.0,21317.0,0.0,0.0,96199.0,2186336.0,1829454.0,35165.0,0.0,198802.0,122937.0,-22.0,0.0,0.0,0.0
3Q2009,2009,9,Good,11.163299560546875,7.857669830322266,8.20009994506836,10.303199768066406,65356827.0,6.504617532094319,3986537.0,3127127.0,766646.0,0.0,1220024.0,1067010.0,0.0,0.0,0.0,73447.0,793784.0,0.0,0.0,696973.0,0.0,0.0,0.0,0.0,78043.0,18768.0,0.0,45906.0,19720.0,0.0,3986537.0,860377.0,0.0,70713.0,6933.0,246284.0,0.0,0.0,525438.0,11009.0,0.0,671138.0,503848.0,0.0,150520.0,0.0,0.0,16770.0,0.0,0.0,102422.0,2352600.0,1891971.0,36287.0,0.0,198802.0,225528.0,12.0,0.0,0.0,0.0
4Q2009,2009,12,Good,13.1899995803833,9.15464973449707,10.300100326538086,12.43649959564209,69394806.66666667,7.284698963165283,4358965.0,3167665.0,713368.0,0.0,1449955.0,946613.0,0.0,0.0,0.0,57729.0,1120653.0,0.0,0.0,995122.0,0.0,0.0,0.0,0.0,84786.0,40745.0,0.0,49537.0,21110.0,0.0,4358965.0,1194473.0,0.0,96514.0,10995.0,303592.0,0.0,82513.0,696857.0,4002.0,0.0,647968.0,482865.0,0.0,136595.0,0.0,0.0,28508.0,0.0,0.0,123604.0,2392920.0,1917434.0,11775.0,0.0,463711.0,0.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Bad,14.100000381469727,10.190999984741211,14.100000381469727,11.281900405883789,68867362.66666667,7.356976509094238,5312399.0,3889412.0,1205545.0,0.0,1745588.0,883246.0,0.0,0.0,0.0,55033.0,1353173.0,0.0,0.0,1238502.0,0.0,0.0,0.0,0.0,69018.0,45653.0,23495.0,24838.0,21481.0,0.0,5312399.0,1340515.0,0.0,96639.0,19514.0,372377.0,0.0,82513.0,763844.0,5628.0,0.0,1321750.0,1002268.0,0.0,285303.0,0.0,0.0,34179.0,0.0,0.0,133558.0,2516576.0,1917597.0,12646.0,0.0,463711.0,122622.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,12.445599555969238,8.845560073852539,11.591099739074707,11.554699897766113,70231386.33333333,7.285468578338623,5681510.0,4023297.0,927616.0,0.0,2079432.0,930525.0,0.0,0.0,0.0,85724.0,1533056.0,0.0,0.0,1425940.0,0.0,0.0,0.0,0.0,68935.0,38181.0,65827.0,35181.0,24149.0,0.0,5681510.0,1561246.0,0.0,125376.0,30704.0,496952.0,0.0,0.0,901713.0,6501.0,0.0,1313605.0,935363.0,0.0,336029.0,0.0,0.0,42213.0,0.0,0.0,136589.0,2670070.0,1917910.0,13547.0,0.0,463711.0,273089.0,1813.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,16.25469970703125,11.309200286865234,11.636500358581543,14.600199699401855,58148400.333333336,9.411397298177084,6346734.0,4371447.0,957423.0,0.0,2070631.0,1272999.0,0.0,0.0,0.0,70394.0,1802965.0,0.0,0.0,1703332.0,0.0,0.0,0.0,0.0,55881.0,43752.0,107544.0,38017.0,26761.0,0.0,6346734.0,1782256.0,0.0,132793.0,40026.0,490271.0,0.0,0.0,1111557.0,7609.0,0.0,1510424.0,1101577.0,0.0,355157.0,0.0,0.0,53690.0,0.0,0.0,166863.0,2887191.0,1917910.0,14888.0,0.0,463711.0,489116.0,1566.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,16.98200035095215,12.872900009155273,14.909299850463867,14.191100120544434,96549746.0,9.954076766967773,6791338.0,4585296.0,864936.0,0.0,1954982.0,1360889.0,0.0,34891.0,0.0,369598.0,1969709.0,0.0,0.0,1305337.0,545155.0,0.0,638.0,18358.0,60913.0,39308.0,155705.0,51180.0,29448.0,0.0,6791338.0,1822378.0,73058.0,154501.0,55940.0,544506.0,0.0,64892.0,921234.0,8247.0,0.0,1916210.0,1394837.0,0.0,185398.0,264395.0,0.0,71580.0,0.0,0.0,177897.0,2874853.0,2350012.0,16229.0,0.0,508612.0,0.0,0.0,0.0,0.0,0.0
1Q2011,2011,3,Bad,15.20930004119873,11.545599937438965,14.545599937438965,11.709199905395508,94087745.66666667,8.137769222259521,7338828.0,4899973.0,1032451.0,310880.0,2124437.0,1323678.0,0.0,37496.0,0.0,71031.0,2169220.0,0.0,0.0,1278485.0,752697.0,0.0,686.0,20925.0,61075.0,55352.0,184526.0,54967.0,30142.0,0.0,7338828.0,1848618.0,80897.0,161423.0,46514.0,561804.0,0.0,151849.0,837656.0,8475.0,0.0,2267048.0,1622363.0,0.0,287955.0,273177.0,0.0,83553.0,0.0,0.0,194558.0,3028604.0,2350012.0,17420.0,0.0,508612.0,152560.0,0.0,0.0,0.0,0.0
2Q2011,2011,6,Bad,13.954700469970703,11.300100326538086,12.272899627685547,11.781999588012695,76632082.33333333,8.359606266021729,7593869.0,4968040.0,687105.0,298196.0,2526828.0,1343567.0,0.0,71372.0,9535.0,31437.0,2323045.0,0.0,0.0,1256814.0,943077.0,0.0,960.0,13295.0,53085.0,55814.0,211951.0,59909.0,30924.0,0.0,7593869.0,1885045.0,80113.0,199092.0,36181.0,536080.0,0.0,10.0,1022840.0,10729.0,0.0,2284272.0,1599041.0,0.0,293012.0,295986.0,0.0,96233.0,0.0,0.0,204799.0,3219753.0,2350118.0,18665.0,0.0,508612.0,342358.0,0.0,0.0,0.0,0.0
