Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,21.0,9.385000228881836,18.989999771118164,11.324999809265137,34613133.333333336,5.322325070699056,2182045.0,1502014.0,438517.0,0.0,365363.0,390933.0,0.0,0.0,0.0,307201.0,140493.0,0.0,0.0,140493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463975.0,75563.0,0.0,2182045.0,1164829.0,0.0,203515.0,186524.0,314999.0,0.0,303234.0,156557.0,0.0,0.0,180996.0,122036.0,0.0,9419.0,0.0,0.0,49541.0,0.0,0.0,1.0,836219.0,393294.0,140711.0,0.0,161736.0,138836.0,1642.0,0.0,0.0,0.0
2Q2009,2009,6,Good,26.0,10.765000343322754,11.0600004196167,12.930000305175781,37684333.333333336,6.813532034556071,2110036.0,1388173.0,295562.0,0.0,373904.0,425819.0,0.0,0.0,0.0,292888.0,183762.0,0.0,0.0,183762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455911.0,82190.0,0.0,2110036.0,1120834.0,0.0,218894.0,181648.0,325389.0,0.0,215309.0,179594.0,0.0,0.0,200805.0,143320.0,0.0,0.0,0.0,0.0,57485.0,0.0,0.0,1.0,788396.0,401166.0,141968.0,0.0,160827.0,91981.0,-7546.0,0.0,0.0,0.0
3Q2009,2009,9,Good,30.260000228881836,12.550000190734863,12.949999809265137,15.975000381469727,48563733.333333336,7.826123873392741,2255909.0,1496264.0,231761.0,0.0,435881.0,526655.0,0.0,0.0,0.0,301967.0,219338.0,0.0,0.0,219338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455755.0,84552.0,0.0,2255909.0,1124322.0,0.0,222826.0,204165.0,476998.0,0.0,176.0,220157.0,0.0,0.0,185721.0,129638.0,0.0,0.0,0.0,0.0,56083.0,0.0,0.0,1.0,945865.0,402091.0,143299.0,0.0,161727.0,257100.0,-18352.0,0.0,0.0,0.0
4Q2009,2009,12,Good,37.0,15.295000076293945,15.850000381469727,18.375,35423000.0,8.95670223236084,2741218.0,1716362.0,500294.0,0.0,452868.0,509551.0,0.0,0.0,0.0,253649.0,449860.0,0.0,0.0,449860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492256.0,82740.0,0.0,2741218.0,1337082.0,0.0,255456.0,341306.0,569366.0,0.0,0.0,170954.0,0.0,0.0,264314.0,134992.0,0.0,9342.0,0.0,0.0,119980.0,0.0,0.0,1.0,1139821.0,404261.0,142979.0,0.0,611304.0,0.0,-18723.0,0.0,0.0,0.0
1Q2010,2010,3,Good,36.310001373291016,15.895000457763672,36.310001373291016,18.049999237060547,26772600.0,9.087733268737793,2831291.0,1780037.0,567376.0,0.0,380917.0,552414.0,0.0,0.0,0.0,279330.0,489047.0,0.0,0.0,489047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483368.0,78839.0,0.0,2831291.0,1282127.0,0.0,229981.0,427014.0,484740.0,0.0,0.0,140392.0,0.0,0.0,263631.0,138545.0,0.0,9342.0,0.0,0.0,115744.0,0.0,0.0,1.0,1285532.0,407087.0,142371.0,0.0,613554.0,140203.0,-17683.0,0.0,0.0,0.0
2Q2010,2010,6,Bad,36.45000076293945,17.170000076293945,18.049999237060547,20.0,36054224.0,10.580546061197916,2775791.0,1639932.0,456035.0,0.0,437088.0,541045.0,0.0,0.0,0.0,205764.0,560444.0,0.0,0.0,560444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488252.0,87163.0,0.0,2775791.0,1036992.0,0.0,260220.0,452803.0,155818.0,0.0,0.0,168151.0,0.0,0.0,615544.0,481721.0,0.0,15995.0,0.0,0.0,117828.0,0.0,0.0,1.0,1123254.0,409783.0,144932.0,0.0,256317.0,332265.0,-20043.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,42.900001525878906,19.440000534057617,19.985000610351562,22.75,34496335.333333336,12.533106168111166,2885705.0,1715015.0,374622.0,0.0,427631.0,623539.0,0.0,0.0,0.0,289223.0,544857.0,0.0,0.0,544857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525295.0,100538.0,0.0,2885705.0,1243162.0,0.0,319540.0,471130.0,230301.0,0.0,0.0,222191.0,0.0,0.0,608981.0,471957.0,0.0,17108.0,0.0,0.0,119916.0,0.0,0.0,0.0,1033561.0,415955.0,147287.0,0.0,258127.0,234891.0,-22699.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,48.70000076293945,22.03499984741211,22.94499969482422,47.689998626708984,34672466.666666664,18.022236824035645,3221871.0,1869897.0,38314.0,521915.0,570280.0,571525.0,0.0,101464.0,0.0,66399.0,671434.0,0.0,0.0,0.0,0.0,0.0,180259.0,0.0,0.0,491175.0,0.0,560467.0,120073.0,0.0,3221871.0,1196459.0,162747.0,366494.0,371815.0,226595.0,0.0,0.0,68808.0,0.0,0.0,767910.0,465068.0,0.0,209316.0,0.0,0.0,93526.0,0.0,0.0,1.0,1257501.0,418061.0,149613.0,0.0,713023.0,0.0,0.0,0.0,-23196.0,0.0
1Q2011,2011,3,Bad,45.0,19.84000015258789,24.25,23.0,37396427.333333336,12.406874656677246,3603086.0,2228228.0,101279.0,766826.0,438222.0,681117.0,0.0,150569.0,0.0,90215.0,699356.0,0.0,0.0,0.0,0.0,0.0,202390.0,0.0,0.0,496966.0,0.0,552435.0,123067.0,0.0,3603086.0,1772673.0,120906.0,380129.0,377304.0,401609.0,0.0,430079.0,62646.0,0.0,0.0,849483.0,525535.0,0.0,0.0,0.0,0.0,323948.0,0.0,0.0,1.0,980929.0,421858.0,150238.0,0.0,434670.0,0.0,0.0,0.0,-25837.0,0.0
2Q2011,2011,6,Good,23.850000381469727,19.100000381469727,23.385000228881836,19.5,38700176.0,12.493512789408365,3460391.0,1990056.0,47228.0,575159.0,437213.0,675251.0,0.0,158969.0,0.0,96236.0,747759.0,0.0,0.0,0.0,0.0,0.0,218820.0,0.0,0.0,528939.0,0.0,587092.0,135484.0,0.0,3460391.0,1303271.0,154250.0,315238.0,407921.0,347835.0,0.0,0.0,78027.0,0.0,0.0,984983.0,664522.0,0.0,0.0,0.0,0.0,320461.0,0.0,0.0,1.0,1172136.0,426962.0,153646.0,0.0,284074.0,339057.0,0.0,0.0,-31603.0,0.0
