Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,32.0901985168457,27.44890022277832,28.94610023498535,30.922399520874023,6881329.0,26.712804794311523,0.0,5616237.0,1232219.0,0.0,2486401.0,1897617.0,0.0,0.0,0.0,0.0,2104749.0,0.0,0.0,1835237.0,0.0,0.0,0.0,0.0,269512.0,0.0,117823.0,4830723.0,700717.0,0.0,0.0,3532461.0,0.0,2215420.0,84771.0,735367.0,13886.0,64429.0,418588.0,0.0,0.0,4236740.0,2685244.0,0.0,1551496.0,0.0,0.0,0.0,0.0,0.0,105060.0,5495988.0,4439816.0,578945.0,0.0,477227.0,0.0,0.0,0.0,0.0,0.0
2Q2009,2009,6,Good,38.626399993896484,30.353500366210938,30.353500366210938,37.97669982910156,13034621.0,33.05632781982422,0.0,5922417.0,1725344.0,0.0,2540077.0,1656996.0,0.0,0.0,0.0,0.0,1942313.0,0.0,0.0,1670482.0,0.0,0.0,0.0,0.0,271831.0,0.0,136828.0,4817184.0,704539.0,0.0,0.0,4561653.0,0.0,1971236.0,107427.0,2003381.0,13649.0,2660.0,463300.0,0.0,0.0,3224933.0,1666849.0,0.0,1558084.0,0.0,0.0,0.0,0.0,0.0,101490.0,5635205.0,4691092.0,496316.0,0.0,221211.0,226586.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Good,49.969398498535156,37.30720138549805,37.62699890136719,49.969398498535156,14342506.333333334,41.53817621866862,0.0,7881771.0,2153703.0,0.0,3280851.0,2443640.0,0.0,0.0,0.0,3577.0,2113215.0,0.0,0.0,1853654.0,0.0,0.0,0.0,0.0,259561.0,0.0,141188.0,5108548.0,1659928.0,0.0,0.0,6845223.0,0.0,3062555.0,142097.0,2210286.0,14568.0,1902.0,1413815.0,0.0,0.0,3485897.0,1736033.0,0.0,1749864.0,0.0,0.0,0.0,0.0,0.0,116851.0,6456679.0,5364412.0,504349.0,0.0,221211.0,366707.0,0.0,0.0,0.0,0.0
4Q2009,2009,12,Bad,64.9802017211914,49.169898986816406,49.169898986816406,64.9802017211914,11834673.333333334,51.809346516927086,0.0,8532715.0,2344200.0,0.0,3356168.0,2827463.0,0.0,0.0,0.0,4884.0,2644651.0,0.0,0.0,2378549.0,0.0,0.0,0.0,0.0,266102.0,0.0,212427.0,5248941.0,1374000.0,0.0,0.0,5801737.0,0.0,4004397.0,313672.0,460549.0,31734.0,98052.0,893333.0,0.0,0.0,5545824.0,3664477.0,0.0,1881347.0,0.0,0.0,0.0,0.0,0.0,105713.0,6559460.0,5374751.0,512419.0,0.0,672290.0,0.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Good,68.40809631347656,56.01570129394531,64.9802017211914,59.233699798583984,13442255.0,54.8828976949056,0.0,8190430.0,1806826.0,0.0,3502050.0,2863280.0,0.0,0.0,0.0,18274.0,2356366.0,0.0,0.0,2296667.0,0.0,0.0,0.0,0.0,59699.0,0.0,195405.0,5502130.0,2087498.0,0.0,0.0,5838008.0,0.0,3406065.0,246789.0,1107625.0,31654.0,96161.0,949714.0,0.0,0.0,5678742.0,3380522.0,0.0,2298220.0,0.0,0.0,0.0,0.0,0.0,5673.0,6809406.0,5378062.0,527263.0,0.0,855405.0,48676.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Good,65.62979888916016,53.3672981262207,58.164398193359375,62.94150161743164,17366590.333333332,54.271263122558594,0.0,8268970.0,1767393.0,0.0,3660248.0,2816066.0,0.0,0.0,0.0,25263.0,2339136.0,0.0,0.0,2268979.0,0.0,0.0,0.0,0.0,70157.0,0.0,213751.0,5633694.0,2067457.0,0.0,0.0,5856800.0,0.0,3263749.0,282533.0,1306080.0,37086.0,3349.0,964003.0,0.0,0.0,5780325.0,3433467.0,0.0,2346858.0,0.0,0.0,0.0,0.0,0.0,8177.0,6877706.0,5573438.0,449142.0,0.0,813241.0,41885.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,64.56050109863281,54.38669967651367,61.4724006652832,58.314300537109375,22245931.666666668,53.53197224934896,0.0,8696854.0,2128035.0,0.0,3552541.0,3016278.0,0.0,0.0,0.0,0.0,2371547.0,0.0,0.0,2282210.0,0.0,0.0,0.0,0.0,89337.0,0.0,225005.0,5890285.0,2046829.0,0.0,0.0,5898125.0,0.0,3274124.0,185350.0,1311441.0,94332.0,2981.0,1029897.0,0.0,0.0,6323194.0,3963856.0,0.0,2359338.0,0.0,0.0,0.0,0.0,0.0,7882.0,7001319.0,5574379.0,456089.0,0.0,908535.0,62316.0,0.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,71.95600128173828,58.174400329589844,58.32429885864258,69.25759887695312,15110475.333333334,62.56647618611654,29932749.0,14716365.0,3817994.0,608002.0,4047234.0,4823768.0,0.0,888355.0,436985.0,94027.0,3398483.0,0.0,0.0,611630.0,0.0,0.0,1392509.0,54204.0,176241.0,1163899.0,232540.0,6703595.0,4881765.0,0.0,29932749.0,10816898.0,595558.0,5306349.0,353894.0,2977505.0,274291.0,116287.0,1193014.0,0.0,0.0,9532080.0,5591936.0,0.0,1376788.0,1325333.0,0.0,697806.0,0.0,540217.0,2485181.0,7098589.0,5579259.0,463148.0,0.0,1141697.0,-299913.0,214398.0,0.0,0.0,0.0
1Q2011,2011,3,Good,70.3469009399414,58.46419906616211,69.6073989868164,65.3021011352539,13629896.333333334,57.91014099121094,30228824.0,14881928.0,3587926.0,367229.0,4243157.0,4848072.0,0.0,1100986.0,681590.0,52968.0,3358109.0,0.0,2020.0,592925.0,0.0,0.0,1358366.0,32536.0,143269.0,1228993.0,228859.0,6861785.0,4898144.0,0.0,30228824.0,10057987.0,530471.0,4864379.0,358375.0,3432539.0,19909.0,116262.0,736052.0,0.0,0.0,10463224.0,6123194.0,0.0,1657854.0,1312818.0,0.0,675517.0,0.0,693841.0,2472067.0,7235547.0,6106434.0,364392.0,0.0,720197.0,-167513.0,212037.0,0.0,0.0,0.0
2Q2011,2011,6,Good,82.09010314941406,60.19540023803711,68.87329864501953,72.13249969482422,24153160.0,62.96256891886393,30423372.0,15295036.0,3963067.0,0.0,4909571.0,4816465.0,0.0,1347428.0,211292.0,47213.0,3061128.0,0.0,0.0,612392.0,0.0,0.0,1180342.0,33645.0,140813.0,1093936.0,231548.0,6980859.0,4854800.0,0.0,30423372.0,9961613.0,645427.0,4475085.0,299925.0,3487192.0,12517.0,2130.0,903530.0,135807.0,0.0,10685409.0,6685641.0,0.0,1975533.0,1102204.0,0.0,514574.0,0.0,407457.0,2448751.0,7327598.0,6118232.0,370260.0,0.0,621237.0,0.0,217869.0,0.0,0.0,0.0
