Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
2Q2009,2009,6,Good,10.793600082397461,2.3582799434661865,2.4822399616241455,3.6583499908447266,64833503.666666664,2.5442768732706704,2239747.0,591851.0,359813.0,0.0,198669.0,0.0,0.0,0.0,0.0,33369.0,20756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20756.0,0.0,1614900.0,12240.0,0.0,2239747.0,683434.0,0.0,251269.0,16293.0,371984.0,0.0,7287.0,36601.0,0.0,0.0,974364.0,936573.0,0.0,14662.0,0.0,0.0,23129.0,0.0,0.0,0.0,581949.0,400000.0,7254.0,0.0,131399.0,43296.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Good,15.238100051879883,3.3257699012756348,3.697659969329834,5.354499816894531,67906172.0,3.574984153111776,2568846.0,709239.0,459619.0,0.0,212140.0,0.0,0.0,0.0,0.0,37480.0,16629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16629.0,0.0,1831346.0,11632.0,0.0,2568846.0,827317.0,0.0,292467.0,0.0,446602.0,0.0,6141.0,82107.0,0.0,0.0,1132844.0,1091591.0,0.0,13976.0,0.0,0.0,27277.0,0.0,0.0,0.0,608685.0,400000.0,6412.0,0.0,202273.0,0.0,0.0,0.0,0.0,0.0
4Q2009,2009,12,Good,17.67799949645996,5.200300216674805,5.291009902954102,5.6689300537109375,64634945.0,4.090114672978719,2396898.0,542662.0,250824.0,0.0,226128.0,0.0,0.0,0.0,0.0,65710.0,17765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17765.0,0.0,1825324.0,11147.0,0.0,2396898.0,611009.0,0.0,287395.0,24022.0,213048.0,0.0,13732.0,72812.0,0.0,0.0,1142192.0,1099876.0,0.0,13292.0,0.0,0.0,29024.0,0.0,0.0,0.0,643697.0,400000.0,7304.0,0.0,202273.0,34120.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Good,18.45800018310547,5.321239948272705,17.523799896240234,5.6840500831604,38958932.666666664,4.190117200215657,2603905.0,705900.0,396465.0,0.0,245175.0,0.0,0.0,0.0,0.0,64260.0,17880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17880.0,0.0,1869122.0,11003.0,0.0,2603905.0,435196.0,0.0,297969.0,24225.0,28035.0,0.0,8162.0,76805.0,0.0,0.0,1484601.0,1443001.0,0.0,12608.0,0.0,0.0,28992.0,0.0,0.0,0.0,684108.0,400000.0,8498.0,0.0,202273.0,73337.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Good,6.648530006408691,5.115650177001953,5.702189922332764,6.334090232849121,42812194.666666664,4.292320569356282,2713047.0,648862.0,321860.0,0.0,275994.0,0.0,0.0,0.0,0.0,51008.0,25661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25661.0,0.0,2026792.0,11732.0,0.0,2713047.0,467872.0,0.0,314439.0,35743.0,32097.0,0.0,8775.0,76818.0,0.0,0.0,1502280.0,1454753.0,0.0,18401.0,0.0,0.0,29126.0,0.0,0.0,0.0,742895.0,400000.0,9448.0,0.0,202273.0,131174.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Bad,8.607709884643555,6.1980299949646,6.1980299949646,8.601659774780273,32969509.333333332,5.588585535685222,3354711.0,751385.0,415681.0,0.0,274792.0,0.0,0.0,10038.0,1161.0,49713.0,48851.0,0.0,0.0,0.0,0.0,0.0,23957.0,0.0,0.0,24894.0,0.0,2542220.0,12255.0,0.0,3354711.0,833704.0,58023.0,442956.0,33127.0,233672.0,0.0,40207.0,25719.0,0.0,0.0,1622265.0,1463083.0,0.0,24789.0,81552.0,0.0,42547.0,0.0,10294.0,0.0,898742.0,601708.0,11984.0,0.0,273939.0,0.0,11111.0,0.0,0.0,0.0
4Q2010,2010,12,Bad,9.614509582519531,7.241119861602783,8.465609550476074,8.13302993774414,66601583.666666664,6.038805802663167,3212623.0,734887.0,377131.0,0.0,275019.0,0.0,0.0,8471.0,24805.0,49461.0,41991.0,0.0,0.0,0.0,0.0,0.0,16638.0,0.0,0.0,25353.0,0.0,2423711.0,12034.0,0.0,3212623.0,627138.0,75765.0,219746.0,34094.0,239388.0,0.0,33015.0,25130.0,0.0,0.0,1633062.0,1471916.0,0.0,24489.0,77959.0,0.0,48866.0,0.0,9832.0,0.0,952423.0,601708.0,13419.0,0.0,329400.0,0.0,7896.0,0.0,0.0,0.0
1Q2011,2011,3,Good,8.613759994506836,6.730160236358643,8.130009651184082,7.709750175476074,53367259.333333336,5.383413950602214,3587093.0,874659.0,484203.0,0.0,306750.0,0.0,0.0,14776.0,18387.0,50543.0,44658.0,0.0,0.0,0.0,0.0,0.0,18344.0,0.0,0.0,26314.0,0.0,2656312.0,11464.0,0.0,3587093.0,570066.0,53611.0,376741.0,35511.0,65675.0,0.0,10332.0,28196.0,0.0,0.0,2001267.0,1830024.0,0.0,24190.0,86837.0,0.0,50791.0,0.0,9425.0,0.0,1015760.0,601708.0,14846.0,0.0,273939.0,120074.0,5193.0,0.0,0.0,0.0
2Q2011,2011,6,Bad,8.689339637756348,7.383220195770264,7.730909824371338,8.435370445251465,52504283.0,5.96282974878947,3547105.0,945796.0,564612.0,0.0,310103.0,0.0,0.0,9252.0,9246.0,52583.0,45374.0,0.0,0.0,0.0,0.0,0.0,17558.0,0.0,0.0,27816.0,0.0,2542754.0,13181.0,0.0,3547105.0,620623.0,60700.0,231442.0,37738.0,250313.0,0.0,11088.0,29342.0,0.0,0.0,1846017.0,1699473.0,0.0,20596.0,89360.0,0.0,27108.0,0.0,9480.0,0.0,1080465.0,601708.0,17257.0,0.0,458555.0,0.0,2945.0,0.0,0.0,0.0
3Q2011,2011,9,Good,9.070289611816406,6.651549816131592,8.414210319519043,7.528339862823486,66085989.0,5.894446849822998,4009554.0,1147636.0,711002.0,0.0,353440.0,0.0,0.0,15164.0,703.0,67327.0,44885.0,0.0,0.0,0.0,0.0,0.0,19782.0,0.0,0.0,25103.0,0.0,2794236.0,22797.0,0.0,4009554.0,793778.0,58682.0,488655.0,41868.0,130945.0,0.0,38294.0,35334.0,0.0,0.0,2095193.0,1943480.0,0.0,20378.0,92373.0,0.0,30080.0,0.0,8882.0,0.0,1120583.0,601708.0,19029.0,0.0,499730.0,0.0,116.0,0.0,0.0,0.0
