Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
1Q2009,2009,3,Good,9.696669578552246,7.166669845581055,9.25333023071289,8.600000381469727,21874500.0,4.352404753367106,0.0,2332983.0,801514.0,0.0,1274355.0,42228.0,0.0,0.0,0.0,214886.0,2543180.0,0.0,0.0,2543180.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,15047337.0,837807.0,0.0,0.0,3036288.0,0.0,175657.0,139814.0,1289791.0,0.0,0.0,938934.0,492092.0,0.0,6977095.0,5384714.0,0.0,914449.0,0.0,0.0,677932.0,0.0,0.0,0.0,0.0,6203688.0,124255.0,2231350.0,1911474.0,277876.0,0.0,0.0,0.0,0.0
2Q2009,2009,6,Good,10.760000228881836,8.326669692993164,8.4399995803833,9.67667007446289,20283700.0,5.369426727294922,0.0,2181153.0,688904.0,0.0,1214474.0,39146.0,0.0,0.0,0.0,238629.0,2562499.0,0.0,0.0,2562499.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,15241117.0,841403.0,0.0,0.0,3325041.0,0.0,183042.0,145586.0,1614312.0,0.0,0.0,910346.0,471755.0,0.0,6427523.0,4850915.0,0.0,922500.0,0.0,0.0,654108.0,0.0,0.0,0.0,0.0,6203688.0,124255.0,2207324.0,1911474.0,627587.0,0.0,0.0,0.0,0.0
3Q2009,2009,9,Good,12.0,9.036669731140137,9.733329772949219,11.366700172424316,25303900.0,6.114398797353108,0.0,2082714.0,386269.0,0.0,1232980.0,37104.0,0.0,0.0,0.0,426361.0,2458408.0,0.0,0.0,2458408.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,15404423.0,1093517.0,0.0,0.0,3539524.0,0.0,230915.0,193457.0,1619417.0,0.0,0.0,891193.0,604542.0,0.0,6230203.0,4454701.0,0.0,1033790.0,0.0,0.0,741712.0,0.0,0.0,0.0,0.0,6203688.0,124255.0,2185646.0,1911474.0,844992.0,0.0,0.0,0.0,0.0
4Q2009,2009,12,Good,12.413299560546875,10.23330020904541,11.3100004196167,11.460000038146973,18136100.0,6.241612593332927,0.0,2529674.0,771008.0,0.0,1315717.0,39877.0,0.0,0.0,0.0,403072.0,2046295.0,0.0,0.0,2046295.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,15443211.0,1545303.0,0.0,0.0,3109896.0,0.0,195765.0,218867.0,1010537.0,0.0,0.0,1040864.0,643863.0,0.0,7927670.0,5549463.0,0.0,1553250.0,0.0,0.0,824957.0,0.0,0.0,0.0,0.0,6203688.0,124255.0,2145100.0,2054594.0,0.0,0.0,0.0,0.0,0.0
1Q2010,2010,3,Good,11.550000190734863,10.033300399780273,11.460000038146973,10.640000343322754,19294100.0,6.233478546142578,0.0,2371981.0,852523.0,0.0,1301596.0,34706.0,0.0,0.0,0.0,183156.0,920286.0,0.0,0.0,920286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187146.0,0.0,0.0,0.0,3073662.0,0.0,168704.0,235433.0,955811.0,0.0,0.0,1001444.0,712270.0,0.0,8895826.0,5608213.0,0.0,2416161.0,0.0,0.0,871452.0,0.0,0.0,0.0,8737629.0,6203688.0,124255.0,0.0,2110641.0,299045.0,0.0,0.0,0.0,0.0
2Q2010,2010,6,Good,12.850000381469727,10.5600004196167,10.736700057983398,12.5,24255481.0,7.080825010935466,0.0,2875743.0,1047359.0,0.0,1239243.0,31101.0,0.0,0.0,0.0,558040.0,940109.0,0.0,0.0,940109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186137.0,0.0,0.0,0.0,3207213.0,0.0,175933.0,168692.0,1412001.0,0.0,0.0,737269.0,713318.0,0.0,9345981.0,6018744.0,0.0,2474542.0,0.0,0.0,852695.0,0.0,0.0,0.0,9057078.0,6203688.0,124255.0,0.0,2110641.0,618494.0,0.0,0.0,0.0,0.0
3Q2010,2010,9,Good,12.633299827575684,10.989999771118164,12.319999694824219,12.633299827575684,15866244.0,7.12092924118042,0.0,3145840.0,1367191.0,0.0,1192051.0,29994.0,0.0,0.0,0.0,556604.0,939129.0,0.0,0.0,939129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211293.0,0.0,0.0,0.0,3127998.0,0.0,194578.0,182058.0,1162844.0,0.0,0.0,829518.0,759000.0,0.0,9672942.0,6495615.0,0.0,2534259.0,0.0,0.0,643068.0,0.0,0.0,0.0,9494096.0,6203688.0,124255.0,0.0,2110641.0,1055512.0,0.0,0.0,0.0,0.0
4Q2010,2010,12,Good,14.826700210571289,12.380000114440918,12.646699905395508,14.196700096130371,14584000.0,7.940172036488851,23350583.0,3590121.0,1989179.0,0.0,1109090.0,36096.0,0.0,108675.0,0.0,347081.0,964021.0,0.0,0.0,352839.0,0.0,0.0,78440.0,0.0,231076.0,301666.0,0.0,249606.0,18546835.0,0.0,23350583.0,3506114.0,246467.0,144043.0,158050.0,1242143.0,11395.0,354254.0,583159.0,766603.0,0.0,10162670.0,7022472.0,0.0,2446971.0,0.0,0.0,693227.0,0.0,0.0,0.0,9681800.0,6203688.0,124255.0,0.0,3353857.0,0.0,0.0,0.0,0.0,0.0
1Q2011,2011,3,Good,15.486700057983398,13.243300437927246,14.600000381469727,15.183300018310547,15366220.0,9.8282257715861,24117336.0,4149616.0,2399844.0,0.0,1110115.0,34888.0,0.0,57652.0,0.0,547117.0,948892.0,0.0,0.0,361343.0,0.0,0.0,91953.0,0.0,218634.0,276962.0,0.0,259620.0,18759209.0,0.0,24117336.0,3675517.0,250898.0,158161.0,201127.0,1276352.0,11460.0,354272.0,642446.0,780801.0,0.0,10577227.0,7207142.0,0.0,2670257.0,0.0,0.0,699828.0,0.0,0.0,0.0,9864593.0,6203688.0,124255.0,0.0,3353857.0,182793.0,0.0,0.0,0.0,0.0
2Q2011,2011,6,Good,16.566699981689453,14.89330005645752,15.183300018310547,15.493300437927246,19869735.0,10.850332895914713,23793066.0,3445262.0,2174539.0,0.0,1038033.0,37062.0,0.0,26439.0,0.0,169189.0,939705.0,0.0,0.0,375556.0,0.0,0.0,76252.0,0.0,197271.0,290626.0,0.0,279340.0,19128760.0,0.0,23793066.0,2922935.0,273712.0,172719.0,156555.0,1008000.0,11712.0,110.0,562281.0,737846.0,0.0,10594651.0,7105863.0,0.0,2711510.0,0.0,0.0,777278.0,0.0,0.0,0.0,10275480.0,6203688.0,124255.0,0.0,3285096.0,662441.0,0.0,0.0,0.0,0.0
